Species_TTOL	MOB	BOD
Anourosorex_squamipes	1.509	1.307
Atelerix_algirus	2.466	2.867
Blarina_brevicauda	1.461	1.267
Chrysochloris_asiatica	1.768	1.69
Chrysochloris_stuhlmanni	1.782	1.626
Crocidura_attenuata	1.294	0.968
Crocidura_flavescens	1.549	1.467
Crocidura_hildegardeae	1.29	0.996
Crocidura_denti	1.288	1.079
Crocidura_russula	1.233	1.049
Crocidura_suaveolens	1.212	1.013
Cryptotis_parvus	1.312	0.991226075692495
Desmana_moschata	2.151	2.646
Echinops_telfairi	1.856	1.942
Echinosorex_gymnura	2.631	2.921
Erinaceus_europaeus	2.526	2.929
Euroscaptor_micrura	1.726	1.617
Galemys_pyrenaicus	1.593	1.778
Geogale_aurita	1.068	1
Hemicentetes_semispinosus	1.969	2.062
Hemiechinus_auritus	2.242	2.371
Hylomys_suillus	1.933	1.756
Limnogale_mergulus	1.635	1.964
Microgale_dobsoni	1.728	1.504
Microgale_talazaci	1.835	1.683
Micropotamogale_lamottei	1.533	1.808
Micropotamogale_ruwenzorii	1.528	1.986
Myosorex_sclateri	1.539	1.23
Neomys_anomalus	1.117	1.037
Neomys_fodiens	1.215	1.182
Oryzorictes_hova	1.672	1.645
Parascalops_breweri	1.77	1.731
Potamogale_velox	1.924	2.791
Ruwenzorisorex_suncoides	1.246	1.262
Scalopus_aquaticus	1.938	2.061
Scutisorex_somereni	1.769	1.792
Setifer_setosus	2.329	2.373
Solenodon_paradoxus	2.672	2.826
Sorex_alpinus	1.22	1.033
Sorex_araneus	1.236	0.987
Sorex_cinereus	1.068	0.633
Sorex_fumeus	1.179	0.924
Sorex_hoyi	0.806	0.42
Sorex_minutus	0.949	0.633
Suncus_etruscus	0.672	0.762
Suncus_murinus	1.567	1.529
Sylvisorex_granti	1.188	0.591
Suncus_megalura	1.23	0.74
Talpa_europaea	1.78	1.908
Tenrec_ecaudatus	2.501	2.935
Aepyprymnus_rufescens	2.641375	3.392697
Antechinus_flavipes	1.705864	1.568202
Antechinus_minimus	1.703291	1.724276
Bettongia_gaimardi	2.579326	3.176091
Bettongia_penicillata	2.66736	3.079181
Burramys_parvus	1.576341	1.770852
Cercartetus_nanus	1.298853	1.278754
Dactylopsila_trivirgata	2.457428	2.643453
Dasycercus_cristicauda	1.990339	2
Dasyuroides_byrnei	2.029789	2.146128
Dasyurus_geoffroii	2.536432	2.69897
Dasyurus_hallucatus	2.401917	3.021189
Dendrolagus_lumholtzi	2.602711	3.78533
Distoechurus_pennatus	1.61066	1.633468
Dorcopsis	2.6861	3.462398
Echymipera_kalubu	2.376759	2.819544
Gymnobelideus_leadbeateri	1.933933	2.041393
Hypsiprymnodon_moschatus	2.523356	2.748188
Isoodon_macrourus	2.590284	3.033424
Isoodon_obesulus_obesulus	2.513351	3.004321
Osphranter_antilopinus	2.977129	4.537819
Macropus_giganteus	2.924383	4.563481
Notamacropus_irma	2.813247	3.819544
Notamacropus_parma	2.46449	3.536558
Notamacropus_parryi	2.896802	4.170262
Osphranter_robustus	2.961753	4.409933
Osphranter_rufus	2.863144	4.494155
Thylamys_pallidior	1.519828	1.477121
Marmosops_impavidus	1.963788	1.845098
Monodelphis_brevicaudata	1.922206	1.924279
Notoryctes_typhlops	1.955207	1.531479
Petauroides_volans	1.835691	3.09691
Petaurus_australis	2.281715	2.748188
Petaurus_breviceps	1.869818	2.113943
Petaurus_norfolcensis	2.035029	2.374748
Petrogale_inornata	2.529943	3.628389
