Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  DIE_d1_m9-glob-001.txt
Log File Name:                   DIE_d1_m9-glob-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            923623443
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   DIE_d1_m9-glob-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.175894
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.74 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	Global Trend	
2000000	743.882393	1	-0.944263376677	0.896571984385	0.007819228098	0.084836468379	-0.012133371721	0.000032479233	0.993145762169	N\A	0.031269027908	0.004768266635	0.018160213185	0.003473068683	37	1	-0.005870731547	Global Trend	
2050000	738.948500	1	-0.834673018115	0.804425964201	0.023208875800	0.105910770721	-0.019683239228	0.000025312684	0.992897435966	N\A	0.051923420635	0.007894027575	0.021443912393	0.004427403465	33	0	-0.000088881344	Global Trend	
2100000	728.829629	1	-1.040048579777	0.970846447349	-0.003139762190	0.033963372443	-0.001342639545	0.000021534243	0.998071935761	N\A	0.015367147526	0.002439628893	0.016177802516	0.003041892031	37	0	-0.022361810821	Global Trend	
2150000	727.209720	1	-0.993500672658	0.950351513882	-0.003654869860	0.056803953876	-0.003586402173	0.000022474774	0.999982114442	N\A	0.014413816400	0.002150761350	0.015781351635	0.002926242248	33	0	-0.319683924509	Global Trend	
2200000	735.826986	1	-0.992160874592	0.928723396131	0.002457963652	0.080171313122	-0.011747896020	0.000027263803	0.999697396028	N\A	0.015219038027	0.002179551189	0.016685629396	0.002977927334	30	1	-0.090604480094	Global Trend	
2250000	733.545540	1	-0.987112121896	0.923550032120	0.001618419085	0.085216437806	-0.010282103574	0.000023469420	0.998101654240	N\A	0.016893182967	0.002336594653	0.017952480308	0.003018933461	33	1	0.035432045355	Global Trend	
2300000	737.221957	1	-0.970429638231	0.932004667391	0.002677488481	0.076739469337	-0.011774364350	0.000026844518	0.999987242172	N\A	0.014665462172	0.002153939505	0.016070911632	0.002901489747	39	1	-0.517171884158	Global Trend	
2350000	736.679472	1	-0.949221671870	0.932764746265	-0.001462821622	0.065113957855	-0.004458398006	0.000025077142	0.996747189848	N\A	0.015465849614	0.002204484025	0.015231534717	0.002737190763	35	0	-0.018236545962	Global Trend	
2400000	730.737421	1	-0.971892705145	0.919872167135	0.006108464387	0.058512846599	-0.008799479145	0.000023009851	0.992246235179	N\A	0.046511667232	0.007090948402	0.021915712718	0.004265812213	37	0	-0.002293304226	Global Trend	
2450000	741.389036	1	-0.975483400992	0.930188441810	0.002837742588	0.078041958382	-0.010816348548	0.000028791647	0.999994643709	N\A	0.015276690630	0.002144070422	0.016711136689	0.002950700735	31	0	0.764802792299	Global Trend	
2500000	738.540414	1	-0.973484721226	0.926363628560	0.000165134182	0.084197081613	-0.009569041898	0.000022851326	0.999774840023	N\A	0.014180295026	0.002033510580	0.015326406004	0.002692873112	38	0	0.071841167499	Global Trend	
2550000	727.596689	1	-1.019373481531	0.970486197451	-0.002970252052	0.037496363600	-0.004881952043	0.000033165888	0.999119835427	N\A	0.015443028913	0.002244140331	0.016596452117	0.002884522858	23	0	0.062909588989	Global Trend	
2600000	734.643017	1	-0.942908935901	0.922692382350	-0.000968282364	0.091681082309	-0.010932471458	0.000037258439	0.999348504588	N\A	0.014346168726	0.002099345870	0.015434077284	0.002676810319	32	0	0.072338711748	Global Trend	
2650000	723.775806	1	-0.993086402245	0.952048411445	-0.001742961290	0.058225109291	-0.008425072594	0.000019583526	0.999982548882	N\A	0.015093309848	0.002077953185	0.016364594435	0.002661559846	29	0	0.283647074151	Global Trend	
2700000	732.361119	1	-0.863728019452	0.907611338956	0.003258451722	0.099634967054	-0.012135383018	0.000034792090	0.999946790745	N\A	0.015612903775	0.002245938458	0.017043131398	0.002972689243	31	1	-0.447279088995	Global Trend	
2750000	722.961654	1	-1.011787901627	0.956372851366	-0.003760747019	0.055214463536	-0.004197765174	0.000026310297	0.995560113918	N\A	0.017173958625	0.002531356473	0.015813270856	0.002836749017	34	1	-0.010394425733	Global Trend	
2800000	722.167177	1	-1.082144880689	0.980340285407	-0.006660391610	0.050244003084	-0.002182497540	0.000028051211	0.993554023911	N\A	0.023455272202	0.003641050427	0.017447835883	0.003276814494	38	0	-0.007021381339	Global Trend	
2850000	723.131249	1	-0.931953594651	0.903011018634	-0.000258628866	0.108176818214	-0.009978540221	0.000025520692	0.999842586162	N\A	0.015640105984	0.002103487795	0.016841905924	0.002708741543	41	0	0.108966781533	Global Trend	
2900000	735.871930	1	-0.948949098287	0.892698187554	0.006759609605	0.091707222438	-0.011750740085	0.000025883096	0.993184668707	N\A	0.045092690546	0.006537669391	0.019785284072	0.003820743996	33	3	0.000674825208	Global Trend	
2950000	722.421996	1	-0.891275770470	0.891919519549	-0.001081083147	0.085224476660	-0.006194210360	0.000026856797	0.990958173835	N\A	0.045435081785	0.006403044852	0.022167656386	0.004184029375	26	1	0.001438607428	Global Trend	
3000000	730.646499	1	-0.982472865686	0.918392696589	0.003898494569	0.081288540513	-0.011099367791	0.000030261979	0.992092226673	N\A	0.046419108436	0.007339269278	0.020369048401	0.004109016735	38	1	-0.002074406336	Global Trend	
3050000	725.315865	1	-1.012803354222	0.919212491304	0.000012777480	0.092483879830	-0.011215051196	0.000039888048	0.999941019517	N\A	0.016473154891	0.002317424642	0.017935614845	0.003052233023	28	0	-0.488687925853	Global Trend	
3100000	724.742444	1	-0.978906200736	0.905066538220	0.005692312474	0.100992120748	-0.013614860868	0.000023473515	0.999704798990	N\A	0.016045720152	0.002237684218	0.017605175185	0.003161127317	35	1	-0.063775125058	Global Trend	
