Species_TTOL	PAL	rest_of_brain	rest_of_brain2	BOD	BOD2
Anourosorex_squamipes	1.667	2.5613393948666	6.56045949569562	1.86328760196422	3.47184068763358
Atelerix_algirus	2.517	3.45937494595256	11.9672750166842	1.86328760196422	3.47184068763358
Blarina_brevicauda	1.602	2.56526016953364	6.58055973739577	1.86328760196422	3.47184068763358
Chrysochloris_asiatica	1.94	2.8124927980164	7.91011573889411	1.86328760196422	3.47184068763358
Chrysochloris_stuhlmanni	1.996	2.83356529108882	8.02909225886326	1.86328760196422	3.47184068763358
Crocidura_attenuata	1.375	2.29369840905507	5.26105239170176	1.86328760196422	3.47184068763358
Crocidura_flavescens	1.632	2.58207746336137	6.66712402679868	1.86328760196422	3.47184068763358
Crocidura_hildegardeae	1.455	2.30064063157812	5.29294731566815	1.86328760196422	3.47184068763358
Crocidura_denti	1.453	2.36479451634544	5.59225310453746	1.86328760196422	3.47184068763358
Crocidura_russula	1.342	2.26471093422473	5.12891561559707	1.86328760196422	3.47184068763358
Crocidura_suaveolens	1.334	2.25063238800831	5.065346145952	1.86328760196422	3.47184068763358
Cryptotis_parvus	1.441	2.36248471949945	5.5813340498684	1.86328760196422	3.47184068763358
Desmana_moschata	2.322	3.55635615102067	12.6476690729026	1.86328760196422	3.47184068763358
Echinops_telfairi	1.934	2.74834886210844	7.55342146785276	1.86328760196422	3.47184068763358
Echinosorex_gymnura	2.774	3.7443098228403	14.0198560494184	1.86328760196422	3.47184068763358
Erinaceus_europaeus	2.54	3.47896517613914	12.1031986967888	1.86328760196422	3.47184068763358
Euroscaptor_micrura	1.857	2.88161190363473	8.30368716316934	1.86328760196422	3.47184068763358
Galemys_pyrenaicus	1.801	3.0873915761491	9.53198674447644	1.86328760196422	3.47184068763358
Geogale_aurita	1.072	2.08153227068238	4.33277659389213	1.86328760196422	3.47184068763358
Hemicentetes_semispinosus	2.013	2.87971667978679	8.29276815584225	1.86328760196422	3.47184068763358
Hemiechinus_auritus	2.266	3.22302557506589	10.3878938575288	1.86328760196422	3.47184068763358
Hylomys_suillus	2.063	3.04265473490601	9.25774783584598	1.86328760196422	3.47184068763358
Limnogale_mergulus	1.736	3.01708868959485	9.10282416088118	1.86328760196422	3.47184068763358
Microgale_dobsoni	1.85	2.70344201843958	7.30859874706469	1.86328760196422	3.47184068763358
Microgale_talazaci	1.995	2.85130596152045	8.12994568620207	1.86328760196422	3.47184068763358
Micropotamogale_lamottei	1.638	2.86835860528116	8.22748108849048	1.86328760196422	3.47184068763358
Micropotamogale_ruwenzorii	1.722	3.0239960099372	9.14455186811612	1.86328760196422	3.47184068763358
Myosorex_sclateri	1.684	2.52863027572128	6.39397107129426	1.86328760196422	3.47184068763358
Neomys_anomalus	1.336	2.4253493121911	5.88231928614584	1.86328760196422	3.47184068763358
Neomys_fodiens	1.358	2.4844525337294	6.17250439235441	1.86328760196422	3.47184068763358
Oryzorictes_hova	1.787	2.72555444984195	7.42864705905324	1.86328760196422	3.47184068763358
Parascalops_breweri	1.914	2.9176407015745	8.51262726348414	1.86328760196422	3.47184068763358
Potamogale_velox	2.031	3.58573403914356	12.8574885994728	1.86328760196422	3.47184068763358
Ruwenzorisorex_suncoides	1.431	2.54319142403048	6.4678226192622	1.86328760196422	3.47184068763358
Scalopus_aquaticus	2.104	3.09133564705225	9.55635608273596	1.86328760196422	3.47184068763358
Scutisorex_somereni	1.881	2.77648055519446	7.70884427337294	1.86328760196422	3.47184068763358
Setifer_setosus	2.365	3.13780347988815	9.84581067839821	1.86328760196422	3.47184068763358
Solenodon_paradoxus	2.704	3.63091110993978	13.1835154882841	1.86328760196422	3.47184068763358
Sorex_alpinus	1.418	2.39429748323639	5.73266043823212	1.86328760196422	3.47184068763358
Sorex_araneus	1.412	2.30376222600923	5.30732039398702	1.86328760196422	3.47184068763358
Sorex_cinereus	1.312	2.19894571979351	4.83536227859818	1.86328760196422	3.47184068763358
Sorex_fumeus	1.438	2.35557876339451	5.5487513105552	1.86328760196422	3.47184068763358
Sorex_hoyi	1.021	1.95473569737117	3.82099164657714	1.86328760196422	3.47184068763358
Sorex_minutus	1.104	2.03191366086741	4.12867312521959	1.86328760196422	3.47184068763358
Suncus_etruscus	0.82	1.76381793243763	3.11105369878857	1.86328760196422	3.47184068763358
Suncus_murinus	1.634	2.54992986543294	6.50214231862683	1.86328760196422	3.47184068763358
Sylvisorex_granti	1.338	2.19026550669	4.797262989796	1.86328760196422	3.47184068763358
Suncus_megalura	1.375	2.24721153694055	5.04995969175869	1.86328760196422	3.47184068763358
Talpa_europaea	1.883	2.9763963558453	8.85893526708917	1.86328760196422	3.47184068763358
Tenrec_ecaudatus	2.517	3.35823796436117	11.2777622252766	1.86328760196422	3.47184068763358
Aepyprymnus_rufescens	2.763428	4.0785367274352	16.6344618370378	1.86328760196422	3.47184068763358
Antechinus_flavipes	1.79795	2.78774994860876	7.77154977596817	1.86328760196422	3.47184068763358
Antechinus_minimus	1.926342	2.86153430048589	8.18837855285726	1.86328760196422	3.47184068763358
Bettongia_gaimardi	2.799961	4.04663551459762	16.3752589880027	1.86328760196422	3.47184068763358
Bettongia_penicillata	2.7577	3.98021273823091	15.8420934415756	1.86328760196422	3.47184068763358
Burramys_parvus	1.759668	2.92464113314859	8.55352575770467	1.86328760196422	3.47184068763358
Cercartetus_nanus	1.431364	2.67775290596171	7.17036062538641	1.86328760196422	3.47184068763358
Dactylopsila_trivirgata	2.605736	3.76646475332113	14.1862567380104	1.86328760196422	3.47184068763358
Dasycercus_cristicauda	2.089905	3.16814378922862	10.0371350692279	1.86328760196422	3.47184068763358
Dasyuroides_byrnei	2.11059	3.1709361619783	10.0548361433417	1.86328760196422	3.47184068763358
Dasyurus_geoffroii	2.584557	3.70221513935253	13.706396938051	1.86328760196422	3.47184068763358
Dasyurus_hallucatus	2.406029	3.45874340368618	11.9629059325426	1.86328760196422	3.47184068763358
Dendrolagus_lumholtzi	2.819412	4.32056441398414	18.6672768553861	1.86328760196422	3.47184068763358
Distoechurus_pennatus	1.812245	2.99668674974598	8.98013147610311	1.86328760196422	3.47184068763358
Dorcopsis	2.889806	4.18833195300086	17.542124548528	1.86328760196422	3.47184068763358
Echymipera_kalubu	2.588047	3.52847956017657	12.4501680065838	1.86328760196422	3.47184068763358
Gymnobelideus_leadbeateri	2.102434	3.34769853893654	11.2070855075978	1.86328760196422	3.47184068763358
Hypsiprymnodon_moschatus	2.611405	3.74212014161771	14.0034631543009	1.86328760196422	3.47184068763358
Isoodon_macrourus	2.655427	3.58290385753117	12.8372000523117	1.86328760196422	3.47184068763358
Isoodon_obesulus_obesulus	2.661339	3.62554911049539	13.1446063526139	1.86328760196422	3.47184068763358
Osphranter_antilopinus	3.209783	4.71459609027679	22.2274162944531	1.86328760196422	3.47184068763358
Macropus_giganteus	3.278067	4.77506983526938	22.8012919316995	1.86328760196422	3.47184068763358
Notamacropus_irma	2.968763	4.36841530467472	19.0830522741163	1.86328760196422	3.47184068763358
Notamacropus_parma	2.795463	4.20117855029655	17.6499012114718	1.86328760196422	3.47184068763358
Notamacropus_parryi	3.09237	4.51970786965636	20.4277592270336	1.86328760196422	3.47184068763358
Osphranter_robustus	3.192846	4.66347772236744	21.7480244670174	1.86328760196422	3.47184068763358
Osphranter_rufus	3.142076	4.6959083965357	22.0515556686545	1.86328760196422	3.47184068763358
Thylamys_pallidior	1.686636	2.76345797589405	7.63669998453245	1.86328760196422	3.47184068763358
Marmosops_impavidus	2.044932	3.05568408388292	9.33720522049542	1.86328760196422	3.47184068763358
Monodelphis_brevicaudata	1.980912	2.94537022663038	8.67520577192069	1.86328760196422	3.47184068763358
Notoryctes_typhlops	2.077368	2.91376083971985	8.49000223108495	1.86328760196422	3.47184068763358
Petauroides_volans	2.204391	3.62032345471659	13.106741916771	1.86328760196422	3.47184068763358
Petaurus_australis	2.509471	3.77024778429207	14.2147683549593	1.86328760196422	3.47184068763358
Petaurus_breviceps	2.104828	3.32467344517594	11.053453517058	1.86328760196422	3.47184068763358
Petaurus_norfolcensis	2.19173	3.45766979672993	11.9554804232184	1.86328760196422	3.47184068763358
Petrogale_inornata	2.817036	4.23497248958282	17.9349919875233	1.86328760196422	3.47184068763358
Petrogale_lateralis	2.71592	4.16786355239828	17.3710865914101	1.86328760196422	3.47184068763358
Petrogale_penicillata	2.847388	4.31879823891567	18.6520182284611	1.86328760196422	3.47184068763358
Petrogale_purpureicollis	2.783832	4.24652097310723	18.0329403750396	1.86328760196422	3.47184068763358
Petropseudes_dahli	2.341632	3.69722055952986	13.6694398658103	1.86328760196422	3.47184068763358
Phascolarctos_cinereus	2.733358	4.22355030391757	17.8383771697222	1.86328760196422	3.47184068763358
Planigale_ingrami	0.877371	1.97840863192174	3.91410071486245	1.86328760196422	3.47184068763358
Planigale_maculata	1.287802	2.30272041723985	5.30252131997327	1.86328760196422	3.47184068763358
Potorous_tridactylus_tridactylus	2.860038	3.99808497676137	15.984683481405	1.86328760196422	3.47184068763358
Pseudochirulus_canescens	2.061829	3.33597913853393	11.1287568127336	1.86328760196422	3.47184068763358
Pseudochirulus_forbesi	2.177825	3.47922966682932	12.1050390745452	1.86328760196422	3.47184068763358
Sarcophilus_harrisii	3.134177	4.14834965764349	17.2088048820708	1.86328760196422	3.47184068763358
Sminthopsis_crassicaudata	1.535294	2.53750425778387	6.43892785827126	1.86328760196422	3.47184068763358
Sminthopsis_leucopus	1.658965	2.66164229549523	7.08433970916911	1.86328760196422	3.47184068763358
Phalanger_gymnotis	2.844912	4.06032757480693	16.4862600147375	1.86328760196422	3.47184068763358
Thylacinus_cynocephalus	3.328176	4.70915133299125	22.1761062770133	1.86328760196422	3.47184068763358
Thylogale_billardierii	2.904986	4.34805949126278	18.9056213395604	1.86328760196422	3.47184068763358
Thylogale_stigmatica	2.889358	4.25065668458073	18.0680822501708	1.86328760196422	3.47184068763358
Trichosurus_vulpecula	2.674677	4.00237325530746	16.0189916748004	1.86328760196422	3.47184068763358
Vombatus_ursinus	3.248439	4.68410274637518	21.9408185385995	1.86328760196422	3.47184068763358
Wallabia_bicolor	3.08636	4.55349934894676	20.7343563208586	1.86328760196422	3.47184068763358
Balionycteris_maculata	1.465	2.68604357258994	7.21483007385172	1.86328760196422	3.47184068763358
Casinycteris_argynnis	1.639	2.89835140151989	8.40044084669229	1.86328760196422	3.47184068763358
Chironax_melanocephalus	1.553	2.75718362381577	7.60206153543787	1.86328760196422	3.47184068763358
Cynopterus_brachyotis	1.698	2.966833649282	8.80210190251193	1.86328760196422	3.47184068763358
Cynopterus_horsfieldii	1.81	3.11468350641045	9.70125334510528	1.86328760196422	3.47184068763358
Cynopterus_sphinx	1.786	3.05354966776212	9.32416557349017	1.86328760196422	3.47184068763358
Dobsonia_inermis	2.226	3.40766797562694	11.6122010321134	1.86328760196422	3.47184068763358
Dobsonia_moluccensis	2.454	3.63531672034154	13.2155276571947	1.86328760196422	3.47184068763358
Dobsonia_praedatrix	2.279	3.45265177566025	11.9208042839698	1.86328760196422	3.47184068763358
Eidolon_helvum	2.386	3.60406636908379	12.9892943927608	1.86328760196422	3.47184068763358
Eonycteris_spelaea	1.836	3.09326062869164	9.56826131701383	1.86328760196422	3.47184068763358
Epomophorus_labiatus	1.918	3.17341455082117	10.0705599113635	1.86328760196422	3.47184068763358
Epomops_franqueti	2.061	3.3178958890353	11.0084331304774	1.86328760196422	3.47184068763358
Hypsignathus_monstrosus	2.208	3.51177917774895	12.3325929932711	1.86328760196422	3.47184068763358
Macroglossus_minimus	1.455	2.72492739657078	7.42522931658202	1.86328760196422	3.47184068763358
Megaerops_ecaudatus	1.593	2.87855040696948	8.28605244546414	1.86328760196422	3.47184068763358
Megaloglossus_woermanni	1.489	2.80962194180342	7.89397545586321	1.86328760196422	3.47184068763358
Melonycteris_melanops	1.882	3.08827988670424	9.53747265862198	1.86328760196422	3.47184068763358
Melonycteris_woodfordi	1.736	2.98478330621441	8.90893138505621	1.86328760196422	3.47184068763358
Epomophorus_pusillus	1.68	2.8916991691473	8.36192408484716	1.86328760196422	3.47184068763358
Myonycteris_torquata	1.827	3.04038415947288	9.24393583717363	1.86328760196422	3.47184068763358
Notopteris_macdonaldi	1.973	3.14143861060649	9.86863654420925	1.86328760196422	3.47184068763358
Nyctimene_albiventer	1.723	2.89166094946112	8.36170304663836	1.86328760196422	3.47184068763358
Nyctimene_robinsoni	1.888	3.06521908417013	9.39556803396076	1.86328760196422	3.47184068763358
Nyctimene_vizcaccia	1.851	2.97019608506253	8.82206478372075	1.86328760196422	3.47184068763358
Paranyctimene_raptor	1.661	2.83904237199348	8.06016158997434	1.86328760196422	3.47184068763358
Pteropus_alecto	2.495	3.82069860124938	14.597737801589	1.86328760196422	3.47184068763358
Pteropus_conspicillatus	2.576	3.89493121910952	15.170489201594	1.86328760196422	3.47184068763358
Pteropus_hypomelanus	2.444	3.69716131393364	13.6690017812475	1.86328760196422	3.47184068763358
Pteropus_lylei	2.439	3.75598421253182	14.1074174047883	1.86328760196422	3.47184068763358
Pteropus_neohibernicus	2.598	3.92848620624869	15.4330038726862	1.86328760196422	3.47184068763358
