Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  NEO_d1_m9-glob-005.txt
Log File Name:                   NEO_d1_m9-glob-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            472249729
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   NEO_d1_m9-glob-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.036913
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.86 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	Global Trend	
2000000	680.007514	1	-1.439901990601	1.514739621146	-0.041784295011	-0.168322893952	0.018533751067	0.000100940977	0.994085578112	N\A	0.049311152456	0.005305702739	0.025427709251	0.003574077167	44	7	0.003029222820	Global Trend	
2050000	674.491955	1	-1.295593195290	1.394927098301	-0.028968338682	-0.120376910109	0.011562293085	0.000061052643	0.994818607230	N\A	0.045025438670	0.004275248930	0.024795056539	0.003100675743	37	6	0.002532754198	Global Trend	
2100000	664.477229	1	-1.293515760227	1.362517923859	-0.025467311277	-0.105503801749	0.008840932378	0.000033751239	0.994492176177	N\A	0.049593822972	0.004888145341	0.024913953759	0.003174684755	47	6	0.000192485646	Global Trend	
2150000	655.923892	1	-1.384124535164	1.474076560872	-0.038567854384	-0.139560321813	0.013878618214	0.000040546162	0.992657786272	N\A	0.048959001215	0.005019220015	0.026697077876	0.003626083754	41	6	0.001649984893	Global Trend	
2200000	646.471608	1	-1.373175114843	1.439987896183	-0.035284671913	-0.158122142568	0.019337875800	0.000058529883	0.991778454275	N\A	0.051407225921	0.005654703529	0.026576581129	0.003956211273	41	7	0.000301712212	Global Trend	
2250000	647.448116	1	-1.113104875386	1.262092604035	-0.019293352601	-0.047303592906	0.003555542354	0.000070566576	0.993115608181	N\A	0.047982383787	0.004753156972	0.025960708001	0.003384126480	38	4	0.002446921129	Global Trend	
2300000	658.111591	1	-1.523239913942	1.501597459063	-0.037905547086	-0.176800697065	0.018417473016	0.000046748830	0.993624202426	N\A	0.051930553473	0.005248730944	0.027271027450	0.003636090617	45	4	0.000944683538	Global Trend	
2350000	647.494991	1	-1.368373258035	1.445801669034	-0.033071995055	-0.188014331224	0.022120686083	0.000030431933	0.990989876278	N\A	0.049943167387	0.005460511018	0.026612041589	0.003857138200	43	4	0.001186377107	Global Trend	
2400000	668.383700	1	-1.301662545862	1.457899166953	-0.037978418333	-0.152802022705	0.017966326808	0.000062338667	0.993634297246	N\A	0.046258609170	0.005107722796	0.025223312764	0.003635543149	35	5	0.003914394756	Global Trend	
2450000	658.587101	1	-1.254079533209	1.382851189441	-0.027293202442	-0.124473442118	0.012627866230	0.000073995431	0.994236273151	N\A	0.042614760841	0.004187132280	0.023406186498	0.003056757600	36	4	0.003465739674	Global Trend	
2500000	667.242768	1	-1.130956385183	1.286833776275	-0.017912805928	-0.055868809329	0.003149124708	0.000050850252	0.992693165707	N\A	0.042251407314	0.004382508620	0.023899188811	0.003260625453	38	6	0.003405899187	Global Trend	
2550000	660.123428	1	-1.279750318866	1.362581145141	-0.027151678404	-0.108083380805	0.011176831637	0.000104071957	0.992732957490	N\A	0.050427169342	0.005162028434	0.026216224754	0.003563787501	33	4	0.003004232856	Global Trend	
2600000	661.845926	1	-1.441788173692	1.472748139689	-0.035037229485	-0.178092280016	0.017423119932	0.000050879791	0.993906074486	N\A	0.052282506782	0.005574304465	0.027108087513	0.003782024681	37	5	0.001541047328	Global Trend	
2650000	664.091584	1	-1.434848885568	1.433552599167	-0.030658861705	-0.135191206812	0.011858820192	0.000028528073	0.993545989864	N\A	0.048258074910	0.004892634218	0.024990151584	0.003393269113	44	4	0.000706169343	Global Trend	
2700000	668.617297	1	-1.368176571084	1.377653900336	-0.027806056595	-0.121576426289	0.012234990187	0.000034979650	0.995307383551	N\A	0.049756439163	0.004676580590	0.026383417813	0.003212509823	41	8	0.000476447807	Global Trend	
2750000	670.472141	1	-1.446721825084	1.446080264974	-0.036667074017	-0.149120798017	0.018322678670	0.000040707030	0.993262973391	N\A	0.053517794418	0.005542842085	0.027613835777	0.003782617998	33	5	0.000710489536	Global Trend	
2800000	658.269660	1	-1.555824999907	1.520614056359	-0.038165529832	-0.198529245539	0.020405912421	0.000047304219	0.992300496869	N\A	0.061962548189	0.007720126922	0.029444215133	0.004877500507	46	5	0.000898836831	Global Trend	
2850000	662.433786	1	-1.628252826665	1.591898614432	-0.047496807007	-0.235473599585	0.026521728275	0.000030482125	0.992872169420	N\A	0.060261077607	0.006651240502	0.029403645298	0.004264841855	40	4	0.000592492737	Global Trend	
2900000	663.478921	1	-1.383106824305	1.422995939462	-0.033264436309	-0.127102936078	0.012916489289	0.000077260265	0.994511770748	N\A	0.047709727400	0.006200627397	0.022118699314	0.004009638228	45	5	0.001764590954	Global Trend	
2950000	680.192237	1	-1.350750244331	1.430461335363	-0.033279539591	-0.125928922382	0.011627338903	0.000021818984	0.994717915697	N\A	0.044621278008	0.004355208601	0.024361625144	0.003166557249	32	5	0.000911761241	Global Trend	
3000000	662.007140	1	-1.147846908684	1.288107320511	-0.019692181555	-0.059413235347	0.004318394443	0.000086398923	0.994071240580	N\A	0.046735164599	0.004445916694	0.024997548723	0.003116706960	43	6	0.002371923554	Global Trend	
3050000	666.220850	1	-1.188654158164	1.345510640284	-0.024816272190	-0.096043012289	0.007982814014	0.000160085156	0.993433085570	N\A	0.057324345285	0.006607002839	0.027200912994	0.003991332579	42	6	0.004068846874	Global Trend	
3100000	657.681501	1	-1.258775200121	1.346972337072	-0.024026618029	-0.106798106271	0.009402441457	0.000050932757	0.992866506810	N\A	0.052528682224	0.005421489153	0.027570838797	0.003797964768	36	6	0.001082475448	Global Trend	
3150000	669.140080	1	-1.342096513209	1.420488196919	-0.034450424290	-0.117487998697	0.013421137701	0.000351175587	0.992574377977	N\A	0.052820077253	0.005567961017	0.027022684790	0.003713334690	41	7	0.004542903833	Global Trend	
3200000	666.171875	1	-1.216032379797	1.350623273009	-0.026139114483	-0.116651838911	0.013855429201	0.000161114894	0.994218417909	N\A	0.040656713242	0.004422492833	0.023131681820	0.003366364630	45	5	0.011475557293	Global Trend	
3250000	648.057452	1	-1.214882929118	1.282472206801	-0.016726111867	-0.074625596098	0.006156361731	0.000038488495	0.992164468364	N\A	0.055117262075	0.006226826915	0.027427271983	0.004027328848	44	6	0.000663472496	Global Trend	
3300000	675.233822	1	-1.696311133153	1.631133480052	-0.051980600195	-0.214645535176	0.022873157813	0.000024902267	0.993201828481	N\A	0.051415133943	0.005726845577	0.026090000087	0.003896727157	39	6	0.001019189440	Global Trend	
3350000	664.869939	1	-1.339324409698	1.440948018818	-0.035223619306	-0.145320582730	0.017286797112	0.000023230336	0.991726627496	N\A	0.046574295758	0.005013715125	0.025309292578	0.003545959010	39	4	0.001479022709	Global Trend	
3400000	679.041819	1	-1.385617172451	1.468454121891	-0.040377734181	-0.149695541563	0.017653569382	0.000018945727	0.993366254892	N\A	0.049918360376	0.006041933646	0.025113588227	0.004057183315	43	5	0.000914489657	Global Trend	
3450000	664.629101	1	-1.555606213486	1.541841947413	-0.041535687121	-0.187386301815	0.018528993452	0.000023626821	0.993182938547	N\A	0.051425201997	0.005421923463	0.027212649897	0.003693116732	36	5	0.000711003035	Global Trend	
3500000	652.039171	1	-1.304255468732	1.390998057664	-0.029991309967	-0.152102535820	0.017126489363	0.000048325121	0.992633670402	N\A	0.050658795138	0.005082532156	0.026889981478	0.003521756117	34	6	0.001889127912	Global Trend	
3550000	653.570534	1	-1.221376827878	1.357311293396	-0.028113137719	-0.106732506655	0.012694218849	0.000056066300	0.991965443528	N\A	0.052443006462	0.006270626043	0.027447537268	0.004190200420	45	4	0.002511900851	Global Trend	
3600000	670.121367	1	-1.247253012048	1.386141636287	-0.027623144895	-0.124947140397	0.012493059204	0.000060877961	0.993533235222	N\A	0.043990214839	0.004447176474	0.024081606348	0.003207607454	36	5	0.003420760053	Global Trend	
3650000	659.928142	1	-1.288466457519	1.364601702126	-0.028289337279	-0.097326181768	0.010634879447	0.000051824287	0.994232831375	N\A	0.047433376905	0.005156619140	0.024734562635	0.003564334729	47	6	0.002352682728	Global Trend	
3700000	673.088367	1	-1.426171623557	1.483613137501	-0.035167130505	-0.174315122071	0.016394597095	0.000037618941	0.992729065515	N\A	0.049504792989	0.005320664778	0.025785454434	0.003694190431	31	5	0.001462333604	Global Trend	
3750000	675.386317	1	-1.311843062656	1.381404145568	-0.028535398673	-0.096049524631	0.009659865342	0.000010134081	0.993240276818	N\A	0.050396139183	0.005834821593	0.026327823715	0.003989242123	37	5	0.000495948353	Global Trend	
3800000	669.892061	1	-1.642736603174	1.602161275077	-0.050703102560	-0.226632940446	0.025990479907	0.000024096459	0.994405710182	N\A	0.049262272191	0.005459065505	0.024915527798	0.003754340428	41	7	0.000840981332	Global Trend	
3850000	677.958970	1	-1.481017769205	1.533417141770	-0.042223319039	-0.204861701932	0.023546307453	0.000017917495	0.992718580947	N\A	0.048961535339	0.005227895869	0.025954951050	0.003551272827	41	5	0.000864147342	Global Trend	
3900000	678.684015	1	-1.365348181727	1.450888111838	-0.035110949214	-0.147599589271	0.015992795756	0.000017564090	0.994434539792	N\A	0.042438258159	0.004424165265	0.022511319067	0.003075967561	41	4	0.000851968406	Global Trend	
3950000	665.849956	1	-1.296828333294	1.405837997905	-0.032380183840	-0.138372914764	0.018440216334	0.000016058322	0.993352130577	N\A	0.044346471912	0.004971358679	0.021830427671	0.003234769806	41	5	0.000641422785	Global Trend	
4000000	656.202669	1	-1.482576171721	1.542475215270	-0.043314729550	-0.190668945279	0.019820564020	0.000024528481	0.991630378090	N\A	0.048680277373	0.005293157198	0.026257689528	0.003760019091	42	6	0.001336512402	Global Trend	
4050000	678.160518	1	-1.232619199677	1.369199505374	-0.025448427867	-0.129805172946	0.011959891918	0.000031940711	0.993822047031	N\A	0.045979338124	0.004707857509	0.024684453639	0.003350282782	40	7	0.001379520450	Global Trend	
4100000	669.923076	1	-1.361396700778	1.406898126459	-0.030119472059	-0.105689796854	0.009710354648	0.000054554386	0.993526825090	N\A	0.045019558065	0.004881098160	0.023828803712	0.003492346272	53	5	0.002126068925	Global Trend	
4150000	657.951700	1	-1.234716667808	1.360539880527	-0.028485296600	-0.108055221941	0.013092412880	0.000188084536	0.994601406119	N\A	0.049224093507	0.005538375492	0.024983351581	0.003610407730	32	4	0.009705083154	Global Trend	
4200000	673.764080	1	-1.402096405600	1.452578923527	-0.035821209750	-0.149044358858	0.016576219926	0.000022213003	0.993631654489	N\A	0.048381782841	0.005282636611	0.025332645633	0.003749957330	42	4	0.000812099995	Global Trend	
4250000	676.760955	1	-1.479275067878	1.513916971186	-0.040918037956	-0.171783979226	0.018265241928	0.000015150600	0.994660179281	N\A	0.041232417916	0.004475017536	0.020912529018	0.002999858301	55	5	0.000808802239	Global Trend	
4300000	671.715631	1	-1.287877594910	1.389010220036	-0.026401393638	-0.128689310775	0.012175778325	0.000013963673	0.994108584701	N\A	0.046197081870	0.005159368224	0.024523181108	0.003567417557	44	6	0.000691814549	Global Trend	
4350000	657.737262	1	-1.587331661781	1.478621176894	-0.036071686099	-0.164724472065	0.016145209741	0.000064330436	0.992684897635	N\A	0.055297572332	0.005636079844	0.028944334797	0.003889072060	39	7	0.000539983146	Global Trend	
4400000	655.932565	1	-1.463530515203	1.485192949430	-0.039249622310	-0.162784151854	0.018030443978	0.000087526895	0.995483712629	N\A	0.049294308523	0.004714959519	0.025848584302	0.003225434467	44	5	0.001565209394	Global Trend	
4450000	658.883292	1	-1.950824627452	1.712999548805	-0.064840064347	-0.263830217463	0.032218171071	0.000106172193	0.994356929924	N\A	0.063651897659	0.007000226223	0.030250153830	0.004365560213	37	5	-0.001598953908	Global Trend	
4500000	659.052087	1	-1.343283342500	1.421434304580	-0.030139108185	-0.141961164516	0.013249339558	0.000072410505	0.992890218675	N\A	0.051316447168	0.005261736854	0.026896829454	0.003620292281	30	7	0.002715167002	Global Trend	
4550000	660.902266	1	-1.370276506271	1.424080881135	-0.033036841381	-0.135694869384	0.013943663364	0.000034084938	0.994273098034	N\A	0.050339754452	0.005127642958	0.026343643248	0.003563553457	38	4	0.000870496281	Global Trend	
4600000	651.204219	1	-1.492705448175	1.454260865966	-0.031474914697	-0.165642000668	0.015549128111	0.000058908080	0.991993956429	N\A	0.056426045192	0.005974128936	0.029353673491	0.004167622207	45	5	0.000854933179	Global Trend	
4650000	670.154793	1	-1.305993076688	1.433849723475	-0.033047084916	-0.149344080984	0.015494590682	0.000026594791	0.994412547397	N\A	0.045939112532	0.004599011857	0.023900163978	0.003175235582	50	4	0.001124580213	Global Trend	
4700000	670.123564	1	-1.572457989905	1.541288630936	-0.043853886422	-0.183641357420	0.020034223521	0.000019577552	0.993191739879	N\A	0.053165709849	0.005686719980	0.027154052070	0.003824358120	38	5	0.000413176463	Global Trend	
4750000	668.711379	1	-1.494635201770	1.468653109819	-0.039222425182	-0.129023419469	0.014819760032	0.000025795525	0.992076612721	N\A	0.056770744994	0.006239581811	0.028682708786	0.004133141017	40	5	0.000319004857	Global Trend	
4800000	655.498424	1	-1.285573166866	1.400510772163	-0.028749921241	-0.152565893339	0.016469788853	0.000014956989	0.994691761231	N\A	0.040016556091	0.003906679709	0.023276364953	0.003018719344	44	5	0.000931369547	Global Trend	
4850000	677.831741	1	-1.275226932509	1.369225098725	-0.027984193496	-0.104994272148	0.012152576511	0.000022627041	0.992963624878	N\A	0.048327463784	0.005328905945	0.025052003131	0.003598181968	41	4	0.000914956424	Global Trend	
4900000	672.106649	1	-1.370374491761	1.469061802260	-0.038354103984	-0.162239348159	0.017991265732	0.000020249608	0.993973078447	N\A	0.049911212420	0.005332814161	0.025967850943	0.003721317835	39	5	0.000949867413	Global Trend	
4950000	669.829886	1	-1.452654028486	1.473287169121	-0.037250554044	-0.138895361122	0.014387605140	0.000018308751	0.994390019270	N\A	0.049351162548	0.005286449916	0.024967106441	0.003391849358	46	6	0.000752211017	Global Trend	
5000000	658.996315	1	-1.672841002590	1.591769469051	-0.048505609379	-0.210705542357	0.022455961785	0.000111559562	0.993194256386	N\A	0.055934136129	0.006081467220	0.028134741447	0.003870627879	44	5	0.000616262286	Global Trend	
5050000	667.825970	1	-1.475862562505	1.477333552967	-0.037883981207	-0.154063506782	0.018309673104	0.000148480663	0.992925512724	N\A	0.053036639175	0.005678923324	0.027492420881	0.003902672682	33	4	0.003302195061	Global Trend	
5100000	665.908990	1	-1.532243152845	1.489221840247	-0.039554364175	-0.162775199473	0.018384601767	0.000050744136	0.993194520348	N\A	0.049344012576	0.005230133140	0.025924333760	0.003649150310	45	6	0.001103425321	Global Trend	
5150000	656.769445	1	-1.411046060375	1.466770427558	-0.036018367699	-0.172528365394	0.020441203697	0.000031622731	0.991239150677	N\A	0.049443437151	0.005592331165	0.026157665937	0.003794670891	43	5	0.001525784710	Global Trend	
5200000	672.344785	1	-1.460323124682	1.496491981913	-0.038804153572	-0.162676889424	0.016958728853	0.000090837840	0.996341979296	N\A	0.048027948879	0.005243094474	0.022088686812	0.003371536307	38	4	0.002051118660	Global Trend	
5250000	654.391491	1	-1.445983237890	1.474746143073	-0.038861850262	-0.166676361229	0.021726847743	0.000019990793	0.992274199019	N\A	0.052176550716	0.005848261440	0.026270502483	0.003942115692	43	5	0.000427116315	Global Trend	
5300000	664.895368	1	-1.353654542337	1.440359844337	-0.034468306975	-0.144270579857	0.014210770022	0.000018912985	0.994880334045	N\A	0.047610559468	0.004714909997	0.025244452464	0.003331116700	50	4	0.000762818251	Global Trend	
5350000	660.095065	1	-1.317931469395	1.366186119552	-0.024840954854	-0.103376169901	0.008926247091	0.000024291013	0.992784226379	N\A	0.054551631215	0.005610085051	0.027377179847	0.003702473239	47	5	0.000357389242	Global Trend	
5400000	677.554186	1	-1.479628708776	1.518518359339	-0.042774234851	-0.173038428787	0.019967803269	0.000026211152	0.993774657228	N\A	0.051129668257	0.005968698627	0.025202640527	0.003793520449	41	5	0.000943153623	Global Trend	
5450000	658.727182	1	-1.363846934020	1.425877723834	-0.031234828137	-0.135267131063	0.013028192311	0.000069391312	0.994827864486	N\A	0.052608844864	0.005618544512	0.026044456612	0.003604813920	49	4	0.001591390550	Global Trend	
5500000	656.973379	1	-1.377361584275	1.493048648518	-0.037811090641	-0.198387410500	0.022667766719	0.000199180460	0.992113218023	N\A	0.059075365393	0.006865038129	0.028808969895	0.004406577948	37	5	0.005332744719	Global Trend	
5550000	672.034617	1	-1.561631937846	1.533158251742	-0.042229544011	-0.176781822915	0.018239538001	0.000118753144	0.994121206132	N\A	0.046779383635	0.004947836028	0.024432239090	0.003418136725	42	8	0.002477930778	Global Trend	
5600000	680.200149	1	-1.334953540421	1.515388693556	-0.039678032886	-0.188117495315	0.018319652789	0.000121428915	0.995324131002	N\A	0.043718585072	0.004324584360	0.023462196788	0.003048187904	46	4	0.005512424468	Global Trend	
5650000	652.711016	1	-1.253615451557	1.337442841268	-0.024846660046	-0.099246179927	0.009879320021	0.000192650591	0.994793704500	N\A	0.053634756075	0.005567973565	0.026865371046	0.003608727156	46	5	0.000262507068	Global Trend	
5700000	675.538260	1	-1.523529870182	1.558909564297	-0.045345934672	-0.203769310311	0.022914388054	0.000043105348	0.994530227123	N\A	0.051383915300	0.005593505787	0.027373221725	0.003891471599	39	5	0.001807609695	Global Trend	
5750000	674.004173	1	-1.465278369718	1.490581181386	-0.037284114065	-0.169568774496	0.016144195501	0.000024402138	0.995422608928	N\A	0.050737382509	0.005344200605	0.024842878448	0.003398663279	42	5	0.000714659827	Global Trend	
