Species_TTOL	SEP	rest_of_brain	BOD	BOD2
Anourosorex_squamipes	0.786	2.5613393948666	1.307	1.708249
Atelerix_algirus	1.641	3.45937494595256	2.867	8.219689
Blarina_brevicauda	0.832	2.56526016953364	1.267	1.605289
Chrysochloris_asiatica	1.084	2.8124927980164	1.69	2.8561
Chrysochloris_stuhlmanni	1.053	2.83356529108882	1.626	2.643876
Crocidura_attenuata	0.486	2.29369840905507	0.968	0.937024
Crocidura_flavescens	0.779	2.58207746336137	1.467	2.152089
Crocidura_hildegardeae	0.52	2.30064063157812	0.996	0.992016
Crocidura_denti	0.534	2.36479451634544	1.079	1.164241
Crocidura_russula	0.508	2.26471093422473	1.049	1.100401
Crocidura_suaveolens	0.461	2.25063238800831	1.013	1.026169
Cryptotis_parvus	0.614	2.36248471949945	0.991226075692495	0.982529133132744
Desmana_moschata	1.63	3.55635615102067	2.646	7.001316
Echinops_telfairi	1.062	2.74834886210844	1.942	3.771364
Echinosorex_gymnura	1.885	3.7443098228403	2.921	8.532241
Erinaceus_europaeus	1.716	3.47896517613914	2.929	8.579041
Euroscaptor_micrura	1.124	2.88161190363473	1.617	2.614689
Galemys_pyrenaicus	1.303	3.0873915761491	1.778	3.161284
Geogale_aurita	0.31	2.08153227068238	1	1
Hemicentetes_semispinosus	1.125	2.87971667978679	2.062	4.251844
Hemiechinus_auritus	1.448	3.22302557506589	2.371	5.621641
Hylomys_suillus	1.243	3.04265473490601	1.756	3.083536
Limnogale_mergulus	1.291	3.01708868959485	1.964	3.857296
Microgale_dobsoni	0.979	2.70344201843958	1.504	2.262016
Microgale_talazaci	1.056	2.85130596152045	1.683	2.832489
Micropotamogale_lamottei	1.178	2.86835860528116	1.808	3.268864
Micropotamogale_ruwenzorii	1.237	3.0239960099372	1.986	3.944196
Myosorex_sclateri	0.747	2.52863027572128	1.23	1.5129
Neomys_anomalus	0.632	2.4253493121911	1.037	1.075369
Neomys_fodiens	0.757	2.4844525337294	1.182	1.397124
Oryzorictes_hova	1.002	2.72555444984195	1.645	2.706025
Parascalops_breweri	1.128	2.9176407015745	1.731	2.996361
Potamogale_velox	1.693	3.58573403914356	2.791	7.789681
Ruwenzorisorex_suncoides	0.78	2.54319142403048	1.262	1.592644
Scalopus_aquaticus	1.239	3.09133564705225	2.061	4.247721
Scutisorex_somereni	1.036	2.77648055519446	1.792	3.211264
Setifer_setosus	1.394	3.13780347988815	2.373	5.631129
Solenodon_paradoxus	1.821	3.63091110993978	2.826	7.986276
Sorex_alpinus	0.604	2.39429748323639	1.033	1.067089
Sorex_araneus	0.53	2.30376222600923	0.987	0.974169
Sorex_cinereus	0.42	2.19894571979351	0.633	0.400689
Sorex_fumeus	0.573	2.35557876339451	0.924	0.853776
Sorex_hoyi	0.228	1.95473569737117	0.42	0.1764
Sorex_minutus	0.26	2.03191366086741	0.633	0.400689
Suncus_etruscus	0.017	1.76381793243763	0.762	0.580644
Suncus_murinus	0.777	2.54992986543294	1.529	2.337841
Sylvisorex_granti	0.428	2.19026550669	0.591	0.349281
