Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  PAL_d1_m3-glob-005.txt
Log File Name:                   PAL_d1_m3-glob-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1181547843
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   PAL_d1_m3-glob-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.207006
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.72 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	371.655085	1	0.738275817504	0.767057846946	-0.046562189719	0.000356874779	0.916089989096	N\A	0.022457907649	0.004781313412	46	17	-0.000053629002	Global Trend	
1050000	365.381190	1	0.933374200491	0.749941991791	-0.041354394787	0.000672757250	0.918114824133	N\A	0.023096651655	0.005485201598	45	17	-0.004868410355	Global Trend	
1100000	352.693301	1	0.768331712133	0.779951711633	-0.046396772542	0.000369469372	0.909406702541	N\A	0.025285756636	0.005663872091	34	15	-0.002599444263	Global Trend	
1150000	370.682159	1	0.966257630096	0.716711290966	-0.031841156234	0.000422953909	0.915333832757	N\A	0.024726152735	0.005505998156	37	19	-0.005392447523	Global Trend	
1200000	363.171520	1	1.128709816660	0.745898605659	-0.040483516323	0.000338296203	0.917427428362	N\A	0.023550576036	0.005451062272	37	18	-0.003706724503	Global Trend	
1250000	357.241364	1	0.897554944453	0.770934662983	-0.050634055246	0.000368592888	0.910575472386	N\A	0.024217844005	0.005367061710	42	16	-0.003713374387	Global Trend	
1300000	337.516264	1	0.568199375013	0.791032273294	-0.048894947505	0.000496209289	0.917789953383	N\A	0.022358768873	0.005332147478	41	14	0.002665619891	Global Trend	
1350000	357.560112	1	0.756745401104	0.782409673013	-0.045089009631	0.000365117509	0.920543761652	N\A	0.024388963825	0.005517582792	38	13	-0.001795069558	Global Trend	
1400000	347.122403	1	0.679856512030	0.825405918709	-0.051851306942	0.000498713129	0.914662702923	N\A	0.026281192930	0.006063877376	39	15	-0.001979027690	Global Trend	
1450000	341.300524	1	0.804906901429	0.764555005250	-0.046588641449	0.000463662406	0.906657191678	N\A	0.024548225586	0.005415279357	38	14	-0.002368764038	Global Trend	
1500000	354.622242	1	0.749763205509	0.785805305727	-0.048126960171	0.000178715541	0.947033674168	N\A	0.024261489170	0.005303027433	43	12	-0.001313071798	Global Trend	
1550000	339.685472	1	0.806031404453	0.772104087734	-0.041688641411	0.000216738019	0.918422527601	N\A	0.025605696066	0.005669488274	28	14	-0.001375340802	Global Trend	
1600000	363.059053	1	0.930693378000	0.765580170477	-0.043218523694	0.000435407259	0.915396837615	N\A	0.023802035101	0.005232175881	35	11	-0.004377224846	Global Trend	
1650000	349.409369	1	0.705708917431	0.794352488160	-0.047131851908	0.000327849264	0.913443049676	N\A	0.024797524112	0.005379680148	35	18	-0.001786616459	Global Trend	
1700000	334.434073	1	0.687906746704	0.816412571285	-0.051391175189	0.000379049427	0.909715619274	N\A	0.025781718194	0.005803536261	38	8	-0.002051654174	Global Trend	
1750000	326.764114	1	0.752993405456	0.790592645929	-0.049354674566	0.000572761395	0.901202062156	N\A	0.026992008455	0.006370797386	38	5	-0.002355478790	Global Trend	
1800000	342.729808	1	0.687699887189	0.777449229475	-0.048984310753	0.000489999335	0.904102164466	N\A	0.027154327617	0.006310543050	29	13	-0.000598008854	Global Trend	
1850000	353.078428	1	0.502661776529	0.800502407978	-0.049078908073	0.000594928482	0.952159627122	N\A	0.024889790355	0.005563337371	40	15	0.000286317505	Global Trend	
1900000	337.291331	1	0.780449752580	0.798311706140	-0.050602512650	0.000606463798	0.908251172920	N\A	0.025567299096	0.006044197000	41	16	-0.003005154632	Global Trend	
1950000	355.995215	1	0.817493789354	0.815789573062	-0.052219507429	0.000676731848	0.918747688532	N\A	0.024565985307	0.005576887713	39	14	-0.005440366174	Global Trend	
2000000	365.472591	1	0.709503345277	0.765235402600	-0.047232783844	0.000377103720	0.928894805363	N\A	0.024507727804	0.005564839730	42	21	-0.002047320686	Global Trend	
2050000	350.315709	1	0.664757082062	0.781201870225	-0.042635281943	0.000339268540	0.902446946660	N\A	0.026932360522	0.005826285120	42	10	-0.000498109063	Global Trend	
2100000	374.439237	1	0.746166330041	0.798162860486	-0.050281395023	0.000472662197	0.924260121139	N\A	0.024694205277	0.005485422077	28	21	-0.000863542530	Global Trend	
2150000	358.511838	1	0.768273736594	0.778554631248	-0.041539186516	0.000411566359	0.915634754894	N\A	0.022415621184	0.004813220107	39	15	-0.003183836356	Global Trend	
2200000	367.232832	1	0.655786085537	0.797002163805	-0.047019987286	0.000643952414	0.923110883827	N\A	0.023474964085	0.005562398990	35	18	0.000703715774	Global Trend	
2250000	359.698632	1	0.796845707547	0.752654357410	-0.039796274096	0.000349311764	0.921903479970	N\A	0.023467118081	0.004942818671	49	13	-0.002743020224	Global Trend	
2300000	357.478927	1	0.890041375410	0.788867038524	-0.040494507744	0.000382078243	0.915718290714	N\A	0.025508295395	0.005791072512	38	19	-0.004665999416	Global Trend	
2350000	359.038733	1	0.986518433496	0.711752472293	-0.033881313724	0.000179525097	0.910813760752	N\A	0.024260931974	0.005541336597	37	15	-0.003321810117	Global Trend	
2400000	369.296310	1	0.764271625779	0.773651454464	-0.041187455554	0.000534384822	0.921677544340	N\A	0.024125560649	0.005014377935	39	15	-0.003079205232	Global Trend	
2450000	350.813180	1	0.729172830962	0.822244080176	-0.055305009884	0.000409376128	0.913755573406	N\A	0.026476199906	0.005983652916	43	16	-0.001864427067	Global Trend	
2500000	330.174164	1	0.827352006039	0.726753764800	-0.035656733251	0.000745019455	0.900516237860	N\A	0.027155640088	0.006679619407	43	10	-0.001109106387	Global Trend	
2550000	367.218103	1	0.939189199129	0.772790989033	-0.044487730898	0.000442010688	0.924453462854	N\A	0.021673617558	0.005080221386	38	13	-0.006734273459	Global Trend	
2600000	389.420236	1	0.733285274953	0.774069935847	-0.041867054623	0.000399740490	0.935241967880	N\A	0.022112401855	0.005127187633	31	25	-0.003230338937	Global Trend	
2650000	356.282218	1	1.061519993026	0.745020943789	-0.042978519843	0.000594342126	0.915135267331	N\A	0.025340236856	0.006350424868	35	16	-0.007818369281	Global Trend	
2700000	346.576243	1	0.787521606987	0.752745667287	-0.041497741235	0.000501122840	0.906384370967	N\A	0.024736639157	0.005409053399	35	11	-0.001735770400	Global Trend	
2750000	360.237398	1	1.052298276034	0.755597005020	-0.039650790303	0.000435625324	0.924253114562	N\A	0.020994909121	0.004619031672	35	13	-0.009411246934	Global Trend	
2800000	376.040625	1	1.222276909036	0.746125356192	-0.037361268291	0.000558001415	0.920963619358	N\A	0.021485154271	0.004747339302	38	18	-0.011458121022	Global Trend	
2850000	366.811231	1	0.504462734620	0.771727001174	-0.042231281209	0.000452025357	0.917141839224	N\A	0.023446384640	0.005146721656	34	16	-0.000230595607	Global Trend	
2900000	361.482745	1	0.231685151551	0.693275277945	-0.029356369028	0.000580174465	0.913187289123	N\A	0.024116567012	0.005900147453	37	16	0.007422366886	Global Trend	
2950000	365.185041	1	0.487774622475	0.740530870034	-0.037076291676	0.000568679715	0.937427780611	N\A	0.021088243506	0.005254142363	47	13	0.000902216432	Global Trend	
3000000	327.311376	1	0.609556117939	0.750608819366	-0.033361010631	0.000512138119	0.910277384491	N\A	0.026573403897	0.005922444757	34	10	-0.000259280983	Global Trend	
3050000	347.758158	1	0.803953106626	0.766719999933	-0.038438043836	0.000625516621	0.922858487065	N\A	0.025390639563	0.005539302416	40	13	-0.002147798523	Global Trend	
3100000	357.151477	1	0.875905849418	0.753954645696	-0.044500604597	0.000465341416	0.906872872480	N\A	0.026001250925	0.005879136813	32	13	-0.005320925377	Global Trend	
3150000	345.076573	1	0.861556760047	0.719705184360	-0.028322260713	0.000346054589	0.906384666667	N\A	0.025265569468	0.005304996204	32	17	-0.003317072506	Global Trend	
3200000	333.617885	1	0.963661524428	0.727325003291	-0.037418026517	0.000578690741	0.901343237837	N\A	0.027048936190	0.006328541852	32	11	-0.005613680784	Global Trend	
3250000	366.533208	1	1.057271181108	0.784513339959	-0.043055429274	0.000493359216	0.934078336014	N\A	0.025864986995	0.005652483286	39	17	-0.005701124768	Global Trend	
3300000	359.562654	1	0.707149970218	0.791587762400	-0.048371958986	0.000585251901	0.912144142426	N\A	0.025598340573	0.005985183313	38	13	-0.000559998470	Global Trend	
3350000	364.455831	1	0.720307444396	0.754692295314	-0.038088692267	0.000213430282	0.922878451756	N\A	0.023762156872	0.005096939787	28	17	-0.000147451679	Global Trend	
3400000	378.991547	1	0.694063786385	0.768977075400	-0.040894558435	0.000369720272	0.929775831029	N\A	0.022034214499	0.004707098235	32	20	0.000382341877	Global Trend	
3450000	368.712437	1	0.744413002149	0.754070553063	-0.039012969753	0.000198562489	0.919105792690	N\A	0.025884108819	0.005702493564	35	17	-0.000681492098	Global Trend	
3500000	352.742446	1	0.669828909010	0.829028313267	-0.049167697028	0.000348277404	0.910350569271	N\A	0.026322978108	0.005371601879	41	15	-0.002350080120	Global Trend	
3550000	357.535826	1	0.703440976448	0.754227580866	-0.043304974066	0.000386859057	0.916268541753	N\A	0.025435935141	0.005818648086	47	16	-0.000344239653	Global Trend	
3600000	365.686933	1	0.735689533719	0.789094463966	-0.047430106222	0.000307853041	0.919380337289	N\A	0.022690502845	0.004892910171	42	14	-0.001442795567	Global Trend	
3650000	347.460990	1	0.834953959822	0.782737315432	-0.044929375766	0.000691211702	0.920134890960	N\A	0.025920747287	0.005763428399	40	13	-0.005302272076	Global Trend	
3700000	341.842989	1	0.561392362524	0.796671958460	-0.043978912649	0.000508053428	0.921290132624	N\A	0.023216884970	0.004770988356	37	16	0.004842338314	Global Trend	
3750000	350.338416	1	0.290875004686	0.811287863952	-0.053319818102	0.000512605888	0.912855327846	N\A	0.024840916355	0.005718224346	25	12	0.007468212315	Global Trend	
