Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MES_d1_m2-fab-004.txt
Log File Name:                   MES_d1_m2-fab-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2473828786
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MES_d1_m2-fab-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.297316
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.66 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	
1500000	445.126309	1	0.033164008502	0.604490250019	0.722940798956	0.764096226628	1.242003747176	0.521402375072	0.954191643987	0.026323620283	0.031020607639	-0.151940803357	-0.044516035109	-0.067082572602	0.000101530653	0.952772213028	N\A	0.030850258529	0.131430658387	0.119221126891	0.132293434231	0.125474989822	0.171014481050	0.033825922361	0.033499179106	0.037493482878	0.038964680854	0.037259910875	27	5	
1550000	460.811897	1	0.622229199040	0.642772534750	0.130528734746	0.143510999942	0.545783133917	0.221080203860	0.283517024262	-0.029532449250	-0.016517858913	-0.166159429939	-0.140273966365	-0.107742116672	0.000278235157	0.949317552008	N\A	0.030647746328	0.130733379574	0.118707316437	0.130615791603	0.151277927824	0.195947345483	0.034041431580	0.033424173579	0.035892897905	0.045212581539	0.036586676045	35	7	
1600000	449.734954	1	0.942901497542	0.497982120626	-0.204982591654	-0.118027014325	0.187168470325	-0.049982165340	0.203232212969	0.121045394513	0.132913903384	0.015446868206	-0.022846778800	0.036549543365	0.000092947003	0.939058543703	N\A	0.037118642878	0.126841438695	0.122602647631	0.153053506715	0.136399619491	0.210611544652	0.042611761168	0.038996429998	0.045043697122	0.045287623800	0.043545892370	36	7	
1650000	453.927815	1	0.657473368183	0.545560204917	0.390532931895	0.206597839440	0.696584051921	-0.024864119264	0.309123778552	0.072692139196	0.086177348769	-0.126422422551	0.025046261355	0.003243068914	0.000124767877	0.959709358102	N\A	0.034198858519	0.139714713655	0.131319199015	0.146389311920	0.140258541225	0.192757359283	0.037278765127	0.035424302203	0.041154991348	0.044803129833	0.042441424500	46	5	
1700000	438.232935	1	0.643668227278	0.622577989028	0.121831791250	0.091648325377	0.680684855317	-0.016639969408	0.320164703360	-0.053850416760	0.013068208392	-0.148990938145	-0.022373721189	-0.117868897614	0.000113442724	0.952791956705	N\A	0.032843169101	0.140632893245	0.125898891606	0.144827928127	0.138686464677	0.177767250964	0.037676168877	0.034462714737	0.040656197728	0.047180756533	0.037304102928	44	4	
1750000	457.941276	1	0.445211494264	0.731792233442	0.197499769401	0.260643660699	0.669779059257	0.153700461849	0.708361036815	-0.137815318501	-0.118741255183	-0.244340431215	-0.187767821987	-0.230795539621	0.000162974387	0.945061284139	N\A	0.039085880262	0.150960628259	0.139738178544	0.153869691343	0.154227893374	0.217378760118	0.042694116536	0.040890909084	0.044603732642	0.048897593997	0.046020776490	30	7	
1800000	450.725652	1	0.789378329732	0.448626264195	-0.186257570403	-0.180302994040	0.385372684969	-0.189615429349	0.397839558749	0.202665992876	0.182686834034	-0.034361938565	0.102769245614	0.082379642568	0.000298735305	0.948831938144	N\A	0.073393971695	0.236771063836	0.231435019121	0.248337449685	0.267265374126	0.319635023312	0.075046662874	0.074331263737	0.074992012772	0.083859272042	0.077450703546	29	5	
1850000	453.606942	1	0.802777552509	0.572779444205	0.042688556676	-0.050917621238	0.575446866574	0.192328267535	0.110532718430	0.049500756553	0.084574422743	-0.122040079116	-0.121821706948	-0.079476833774	0.000211246251	0.945918772662	N\A	0.037047197155	0.155877494601	0.145133712632	0.173309033378	0.164766961720	0.270018163737	0.041691457054	0.038550489420	0.044094960407	0.046032109049	0.045428793400	43	8	
1900000	456.629644	1	0.602676648365	0.550751802026	0.061605450025	0.118663750595	0.586574886311	-0.013488631326	0.643716942273	0.072352431982	0.096403815093	-0.059424039020	0.022348714651	-0.097180463077	0.000215917002	0.949179918444	N\A	0.066496553474	0.199092732736	0.190516767104	0.206760825692	0.203156367591	0.262988561331	0.068293973154	0.067482266826	0.070130113213	0.071762039223	0.069741780244	33	10	
1950000	464.341213	1	0.655547884031	0.567290954763	0.240344580974	0.221201780028	0.600202673948	0.109247053267	0.267095801151	0.052011924031	0.049134279894	-0.125898243867	-0.034122283707	-0.027530119170	0.000109363334	0.948309335248	N\A	0.036391600238	0.140130110442	0.127230120375	0.154400970088	0.138590992000	0.176943670513	0.039689270560	0.038321554102	0.043891044870	0.045214967537	0.040986781810	30	7	
2000000	456.656441	1	0.691448537934	0.628108483336	0.174195383625	0.122727096210	0.660166181281	0.113344004966	0.205766423108	-0.017328161577	0.010535354423	-0.175145071612	-0.057872200131	-0.115666300504	0.000307731462	0.958071092506	N\A	0.062410179592	0.200585066150	0.189676707732	0.201889921763	0.196930392172	0.293688715330	0.064617042276	0.063099940127	0.066489648875	0.067232358348	0.066838583387	35	5	
2050000	472.223699	1	0.668658836070	0.607575949952	0.157042613604	0.204637743523	0.801081491945	0.008466944017	0.205453412715	-0.000094502212	0.009853175970	-0.139500283386	-0.046563337270	-0.102376783932	0.000235246805	0.953624791769	N\A	0.046959350975	0.170609107465	0.163142699100	0.189306110750	0.186474964385	0.248914450134	0.050292649561	0.048042881001	0.052198845519	0.056019203515	0.050792653160	36	10	
2100000	459.705660	1	0.411503719766	0.657136155354	0.306687370820	0.346569353291	0.791458401504	0.222307410363	1.025459252303	-0.037381649878	-0.014297520073	-0.196707700386	-0.110995857487	-0.186667423324	0.000607148432	0.945980798002	N\A	0.034902558471	0.149240661080	0.140264652450	0.164355064063	0.159334977927	0.304230451913	0.038790887470	0.037004469271	0.041126334467	0.044288813729	0.041538069229	41	6	
2150000	462.917513	1	0.925019194083	0.555749069211	-0.045193837571	-0.142319694715	0.099559144258	-0.495235978880	0.038616559069	0.055346948285	0.098384813307	-0.038433256171	0.064878218783	-0.040702648884	0.000249056889	0.946533016450	N\A	0.048318061035	0.178146974350	0.169879983674	0.195313907602	0.192341813728	0.259490512463	0.051542136084	0.049573946649	0.053828068491	0.058232130407	0.053017119648	31	9	
2200000	444.809710	1	0.565728354174	0.652469243299	0.229515892718	0.217196063024	0.791796786896	0.053887360654	0.551889436084	-0.003205204049	-0.006249037954	-0.241479045699	-0.103688500815	-0.120611349847	0.000121686545	0.946117319433	N\A	0.039214897766	0.143389183036	0.130891668003	0.144225339034	0.146511240277	0.249363707858	0.042662235565	0.041068913171	0.044357186346	0.049291969507	0.044966903674	34	8	
2250000	461.570055	1	0.488150318227	0.576640399897	0.071642627502	0.186562017222	0.764356528389	0.239108830857	0.543812098030	0.088491449252	0.060618607496	-0.070768961695	-0.049374209200	-0.048345407893	0.000250057386	0.950938856649	N\A	0.022736211849	0.161088874710	0.152316215636	0.180444833667	0.173202763183	0.249055431993	0.027054671270	0.025866986840	0.033934921773	0.036317023604	0.031808669078	41	10	
2300000	453.759792	1	0.696847111139	0.623930483150	-0.104661772571	-0.017739965085	0.715421973658	-0.086374220267	0.337655439364	0.010750119192	0.005486896518	-0.244220859217	-0.075684632115	-0.119715529300	0.000200956985	0.941643453345	N\A	0.042915310658	0.166467764323	0.155994593686	0.177948713080	0.170692249966	0.236586424575	0.046895732742	0.044656972320	0.049485537654	0.050862535997	0.047085198700	34	6	
2350000	454.356356	1	0.627186578797	0.575858794606	0.056992839745	0.149865343335	0.612179720928	0.248376591353	0.337863128867	0.071996403997	0.053503083955	-0.148753985930	-0.048195923307	-0.061823730420	0.000096917257	0.946177025210	N\A	0.039073037420	0.136302395256	0.123640032657	0.151819823351	0.145063784136	0.175024208178	0.042705343049	0.041087900315	0.042243252174	0.050613149919	0.043701381465	33	5	
