Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  PAL_d1_m2-fab-002.txt
Log File Name:                   PAL_d1_m2-fab-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2833644137
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   PAL_d1_m2-fab-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.207006
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.72 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	
1500000	340.052915	1	0.845687416723	0.609954492068	-0.249046054621	-0.646145142771	-0.315228519065	0.544426951944	0.385098798008	0.030837153900	0.028278425181	-0.102786956188	-0.056555438874	-0.125490516136	0.000710913099	0.909363123122	N\A	0.081633511229	0.287819574856	0.277388206169	0.313952529765	0.279679597284	0.433178678332	0.084610955384	0.083799105217	0.087015051626	0.086095601768	0.085990209009	39	10	
1550000	351.910778	1	0.523281921586	0.643896346309	0.224792601561	-0.226895028058	0.191643923194	0.594841005991	0.210018994911	-0.014101149943	0.028213309474	-0.098343882341	-0.123279234673	-0.109787086430	0.000247448357	0.920499717503	N\A	0.077506114350	0.231207513169	0.220654646073	0.254778885536	0.243733740369	0.479645858026	0.081151027627	0.078894270846	0.083181102657	0.082508886434	0.081545525272	49	9	
1600000	341.692720	1	1.159417888912	0.601516005659	-0.451178233600	-0.874338068679	-0.057611442233	-1.396327172455	-0.016000916634	0.012685807136	0.043515757071	-0.185760573801	0.000301047360	-0.134365959691	0.000415581293	0.913946924001	N\A	0.114069054938	0.378248186053	0.371236953677	0.395339648224	0.394031685406	0.448429787320	0.115786440662	0.115116262817	0.119445684198	0.126449671117	0.116972900332	31	17	
1650000	331.730660	1	0.687027202299	0.602592547674	0.726112329091	0.140824323075	0.344917544699	0.543992768552	0.364276307979	-0.040879146248	0.062487722805	-0.095577486579	-0.128088537660	-0.152510478686	0.000352888981	0.880011837886	N\A	0.057514754093	0.224380567519	0.210155383119	0.232466707178	0.227657241264	0.309001051700	0.064044030046	0.061397510883	0.064104266181	0.068273636686	0.063225152333	27	17	
1700000	335.787044	1	0.760043729049	0.647384299863	-0.209901674465	-0.661178097551	-0.203395922555	0.177467302147	0.588854824381	-0.020369499487	-0.018139822369	-0.145957231547	-0.029211291673	-0.162983111091	0.000550903470	0.906778570256	N\A	0.072606090673	0.259819924239	0.249135051309	0.292522607715	0.254133500567	0.392387148902	0.075043391212	0.075223739547	0.081374741764	0.079434602468	0.078857420019	28	10	
1750000	340.438613	1	1.215568590651	0.546968836781	-0.485489567299	-1.039899721232	-0.620912893392	-0.172932567980	0.055734508313	0.071782676095	0.127825409075	-0.007266106445	-0.033180675170	-0.093669333003	0.000382151927	0.897308447942	N\A	0.098173296144	0.280820197104	0.268036364069	0.290800723926	0.279432325615	0.358910157646	0.101401352887	0.099940752186	0.102564848172	0.105047830827	0.101390826805	25	12	
1800000	351.121526	1	2.246744797531	0.518417520011	-1.297107379291	-1.840417213692	-1.170088092817	-1.092579985138	-1.624286971200	0.112712803408	0.135155492775	0.001958168448	0.040355744571	0.058596204861	0.000457438709	0.914596313081	N\A	0.067467117594	0.236717596996	0.226663063707	0.267555439026	0.233909470384	0.350805908889	0.071356698290	0.069692794947	0.074974206807	0.074426423241	0.072100215594	33	11	
1850000	357.677694	1	0.807720141711	0.490221166379	-0.166537714612	-0.624172249789	-0.474907375844	-0.115827882831	0.464395043542	0.166942325736	0.138484825126	0.022273671808	0.120932148077	0.020414442835	0.000496685976	0.916659627386	N\A	0.073447050712	0.244819549045	0.237108822060	0.279191695781	0.253571351328	0.366422874592	0.076448834097	0.075561215049	0.079892360014	0.080680184960	0.076496204092	36	12	
1900000	344.101306	1	0.495054237799	0.720887636574	0.345116140263	-0.144944537435	0.194333296870	0.659577671684	0.400947979611	-0.092240385753	-0.040261117578	-0.174111048351	-0.171341437698	-0.205270949148	0.000580879132	0.919069173278	N\A	0.096303599691	0.322069063948	0.314801704316	0.355587783711	0.325510567231	0.437364647713	0.098995542739	0.097487571172	0.103026022362	0.103502936680	0.099832693036	27	12	
1950000	347.243596	1	0.804730035857	0.683912037505	0.025265583216	-0.453237401861	0.206804743879	0.287751632401	0.111897327784	-0.041438798853	-0.082065919928	-0.148498365709	-0.172041152909	-0.158557880326	0.000507531793	0.929542306871	N\A	0.077691515774	0.254393497531	0.247130850566	0.274415554086	0.254027199764	0.375076899807	0.081085012853	0.079370813952	0.079775105035	0.083750904033	0.081701571668	45	11	
2000000	336.712207	1	0.950679340266	0.537372042013	-0.009519291353	-0.580569260354	-0.172340854300	0.248886877306	0.182742287532	0.074428164845	0.124116136858	0.048917807021	-0.088002545150	-0.060719098416	0.000412021144	0.929347596526	N\A	0.068680027569	0.251588428509	0.238399767720	0.260483049796	0.246297559101	0.347754055052	0.074948945112	0.070197975345	0.071028398735	0.075271758355	0.072453441851	47	20	
