Species_TTOL	HIP	rest_of_brain	BOD	BOD2
Marmosops_impavidus	2.021189	3.0789623596587	1.845098	3.404386629604
Monodelphis_brevicaudata	1.91803	3.0789623596587	1.924279	3.702849669841
Notoryctes_typhlops	1.888179	3.0789623596587	1.531479	2.345427927441
Petauroides_volans	2.432328	3.0789623596587	3.09691	9.5908515481
Petaurus_australis	2.566437	3.0789623596587	2.748188	7.552537283344
Petaurus_breviceps	2.118265	3.0789623596587	2.113943	4.468755007249
Petaurus_norfolcensis	2.229426	3.0789623596587	2.374748	5.639428063504
Petrogale_inornata	3.176091	3.0789623596587	3.628389	13.165206735321
Petrogale_lateralis	3.092721	3.0789623596587	3.556303	12.647291027809
Petrogale_penicillata	3.187803	3.0789623596587	3.690196	13.617546518416
Petrogale_purpureicollis	3.185542	3.0789623596587	3.740363	13.990315371769
Petropseudes_dahli	2.507721	3.0789623596587	3.127105	9.778785681025
Phascolarctos_cinereus	2.884455	3.0789623596587	3.968483	15.748857321289
Planigale_ingrami	0.926342	3.0789623596587	0.826075	0.682399905625
Planigale_maculata	1.155336	3.0789623596587	1.041393	1.084499380449
Potorous_tridactylus_tridactylus	2.994669	3.0789623596587	3.089905	9.547512909025
Pseudochirulus_canescens	2.284205	3.0789623596587	2.447158	5.988582276964
Pseudochirulus_forbesi	2.423901	3.0789623596587	2.70757	7.3309353049
Sarcophilus_harrisii	2.875351	3.0789623596587	3.732394	13.930764971236
Sminthopsis_crassicaudata	1.485721	3.0789623596587	1.146128	1.313609392384
Sminthopsis_leucopus	1.62634	3.0789623596587	1.361728	1.854303145984
Phalanger_gymnotis	2.940018	3.0789623596587	3.451786	11.914826589796
Thylacinus_cynocephalus	3.281942	3.0789623596587	4.342423	18.856637510929
Thylogale_billardierii	3.256237	3.0789623596587	3.845098	14.784778629604
Thylogale_stigmatica	3.130977	3.0789623596587	3.653213	13.345965223369
Trichosurus_vulpecula	2.81644	3.0789623596587	3.30103	10.8967990609
Vombatus_ursinus	3.428021	3.0789623596587	4.357935	18.991597464225
Wallabia_bicolor	3.412629	3.0789623596587	4.198657	17.628720603649
Balionycteris_maculata	1.738	3.0789623596587	1.158	1.340964
Casinycteris_argynnis	1.857	3.0789623596587	1.428	2.039184
Chironax_melanocephalus	1.755	3.0789623596587	1.248	1.557504
Cynopterus_brachyotis	1.908	3.0789623596587	1.53	2.3409
Cynopterus_horsfieldii	2.043	3.0789623596587	1.773	3.143529
Cynopterus_sphinx	1.978	3.0789623596587	1.713	2.934369
Dobsonia_inermis	2.271	3.0789623596587	2.173	4.721929
Dobsonia_moluccensis	2.451	3.0789623596587	2.543	6.466849
Dobsonia_praedatrix	2.258	3.0789623596587	2.25	5.0625
Eidolon_helvum	2.412	3.0789623596587	2.418	5.846724
Eonycteris_spelaea	1.99	3.0789623596587	1.769	3.129361
Epomophorus_labiatus	2.058	3.0789623596587	1.806	3.261636
Epomops_franqueti	2.204	3.0789623596587	2.072	4.293184
Hypsignathus_monstrosus	2.348	3.0789623596587	2.491	6.205081
Macroglossus_minimus	1.672	3.0789623596587	1.164	1.354896
Megaerops_ecaudatus	1.854	3.0789623596587	1.38	1.9044
Megaloglossus_woermanni	1.809	3.0789623596587	1.253	1.570009
Melonycteris_melanops	1.9	3.0789623596587	1.675	2.805625
Melonycteris_woodfordi	1.825	3.0789623596587	1.549	2.399401
Epomophorus_pusillus	1.755	3.0789623596587	1.4	1.96
Myonycteris_torquata	1.933	3.0789623596587	1.561	2.436721
Notopteris_macdonaldi	1.985	3.0789623596587	1.841	3.389281
Nyctimene_albiventer	1.836	3.0789623596587	1.473	2.169729
Nyctimene_robinsoni	2.012	3.0789623596587	1.673	2.798929
Nyctimene_vizcaccia	1.863	3.0789623596587	1.549	2.399401
Paranyctimene_raptor	1.795	3.0789623596587	1.417	2.007889
Pteropus_alecto	2.553	3.0789623596587	2.775	7.700625
Pteropus_conspicillatus	2.596	3.0789623596587	2.875	8.265625
Pteropus_hypomelanus	2.453	3.0789623596587	2.591	6.713281
Pteropus_lylei	2.46	3.0789623596587	2.497	6.235009
Pteropus_neohibernicus	2.602	3.0789623596587	2.924	8.549776
Pteropus_poliocephalus	2.554	3.0789623596587	2.842	8.076964
Pteropus_samoensis	2.51	3.0789623596587	2.491	6.205081
Pteropus_scapulatus	2.428	3.0789623596587	2.574	6.625476
Pteropus_temminckii	2.443	3.0789623596587	2.398	5.750404
Pteropus_tonganus	2.485	3.0789623596587	2.652	7.033104
Pteropus_vampyrus	2.647	3.0789623596587	3.027	9.162729
Rousettus_aegyptiacus	2.163	3.0789623596587	2.111	4.456321
Rousettus_amplexicaudatus	2.066	3.0789623596587	1.856	3.444736
Scotonycteris_zenkeri	1.868	3.0789623596587	1.328	1.763584
Sphaerias_blanfordi	1.836	3.0789623596587	1.47	2.1609
Syconycteris_australis	1.725	3.0789623596587	1.207	1.456849
Anoura_caudifer	1.529	3.0789623596587	1.025	1.050625
Anoura_geoffroyi	1.69	3.0789623596587	1.204	1.449616
Ardops_nichollsi	1.558	3.0789623596587	1.352	1.827904
Artibeus_cinereus	1.517	3.0789623596587	1.1	1.21
Artibeus_concolor	1.638	3.0789623596587	1.288	1.658944
Artibeus_jamaicensis	1.805	3.0789623596587	1.613	2.601769
Artibeus_lituratus	1.9	3.0789623596587	1.748	3.055504
Aselliscus_stoliczkanus	1.104	3.0789623596587	0.69	0.4761
Aselliscus_tricuspidatus	1.021	3.0789623596587	0.643	0.413449
Brachyphylla_cavernarum	1.897	3.0789623596587	1.648	2.715904
Cardioderma_cor	1.509	3.0789623596587	1.415	2.002225
Carollia_perspicillata	1.632	3.0789623596587	1.25	1.5625
Chalinolobus_gouldii	1.246	3.0789623596587	1.068	1.140624
Chalinolobus_morio	1.253	3.0789623596587	0.919	0.844561
Chiroderma_salvini	1.75	3.0789623596587	1.417	2.007889
Chiroderma_trinitatum	1.526	3.0789623596587	1.137	1.292769
Chiroderma_villosum	1.646	3.0789623596587	1.394	1.943236
Choeroniscus_minor	1.538	3.0789623596587	0.982	0.964324
Coleura_afra	1.093	3.0789623596587	1.061	1.125721
Cormura_brevirostris	1.049	3.0789623596587	0.914	0.835396
Craseonycteris_thonglongyai	0.681	3.0789623596587	0.408	0.166464
Desmodus_rotundus	1.627	3.0789623596587	1.56	2.4336
Diphylla_ecaudata	1.613	3.0789623596587	1.49	2.2201
Emballonura_monticola	0.881	3.0789623596587	0.724	0.524176
Emballonura_raffrayana	0.958	3.0789623596587	0.771	0.594441
Eptesicus_brasiliensis	1.076	3.0789623596587	0.964	0.929296
Eptesicus_fuscus_bahamensis	1.294	3.0789623596587	1.134	1.285956
Eumops_auripendulus	1.398	3.0789623596587	1.529	2.337841
Eumops_glaucinus	1.461	3.0789623596587	1.562	2.439844
Furipterus_horrens	0.976	3.0789623596587	0.535	0.286225
Glischropus_tylopus	0.809	3.0789623596587	0.69	0.4761
Glossophaga_longirostris	1.587	3.0789623596587	1.053	1.108809
Glossophaga_soricina	1.497	3.0789623596587	0.996	0.992016
Harpiocephalus_harpia	1.554	3.0789623596587	1.13	1.2769
Hesperoptenus_blanfordi	0.97	3.0789623596587	0.863	0.744769
Hipposideros_armiger	1.759	3.0789623596587	1.748	3.055504
Hipposideros_ater	1.204	3.0789623596587	0.839	0.703921
Hipposideros_caffer	1.303	3.0789623596587	1.041	1.083681
Macronycteris_commersoni	1.679	3.0789623596587	1.997	3.988009
Hipposideros_diadema	1.68	3.0789623596587	1.622	2.630884
Hipposideros_fulvus	1.179	3.0789623596587	0.845	0.714025
Hipposideros_lankadiva	1.688	3.0789623596587	1.686	2.842596
Hipposideros_larvatus	1.447	3.0789623596587	1.312	1.721344
Hipposideros_ridleyi	1.272	3.0789623596587	0.982	0.964324
Hipposideros_speoris	1.225	3.0789623596587	1.061	1.125721
Hipposideros_turpis	1.615	3.0789623596587	1.542	2.377764
Ia_io	1.673	3.0789623596587	1.727	2.982529
Kerivoula_papillosa	1.56	3.0789623596587	1.004	1.008016
Lasiurus_borealis	0.954	3.0789623596587	0.892	0.795664
Leptonycteris_curasoae	1.679	3.0789623596587	1.389	1.929321
Leptonycteris_nivalis	1.625	3.0789623596587	1.358	1.844164
Lonchophylla_mordax	1.584	3.0789623596587	1.029	1.058841
Hsunycteris_thomasi	1.52	3.0789623596587	0.839	0.703921
Lophostoma_silvicolum	1.433	3.0789623596587	1.509	2.277081
Macroderma_gigas	1.838	3.0789623596587	2.078	4.318084
Macrophyllum_macrophyllum	1.292	3.0789623596587	0.934	0.872356
Megaderma_lyra	1.609	3.0789623596587	1.587	2.518569
Megaderma_spasma	1.493	3.0789623596587	1.354	1.833316
Mesophylla_macconnelli	1.42	3.0789623596587	0.875	0.765625
Micronycteris_brachyotis	1.354	3.0789623596587	1.167	1.361889
Micronycteris_megalotis	1.149	3.0789623596587	0.813	0.660969
Micronycteris_minuta	1.238	3.0789623596587	0.839	0.703921
Micronycteris_schmidtorum	1.158	3.0789623596587	0.892	0.795664
Gardnerycteris_crenulatum	1.26	3.0789623596587	1.072	1.149184
Miniopterus_australis	1.176	3.0789623596587	0.851	0.724201
Miniopterus_inflatus	1.279	3.0789623596587	1.173	1.375929
Miniopterus_magnater	1.305	3.0789623596587	1.176	1.382976
Miniopterus_pusillus	1.176	3.0789623596587	0.934	0.872356
Miniopterus_tristis	1.265	3.0789623596587	1.193	1.423249
Molossus_molossus	1.182	3.0789623596587	1.137	1.292769
Molossus_rufus	1.387	3.0789623596587	1.526	2.328676
Monophyllus_plethodon	1.535	3.0789623596587	1.176	1.382976
Mormoops_megalophylla	1.439	3.0789623596587	1.196	1.430416
Murina_cyclotis	1.201	3.0789623596587	0.851	0.724201
Murina_huttoni	1.233	3.0789623596587	0.944	0.891136
Myotis_adversus	1.121	3.0789623596587	1.049	1.100401
Myotis_albescens	0.88	3.0789623596587	0.602	0.362404
Myotis_annectans	1.248	3.0789623596587	0.991	0.982081
Myotis_bechsteinii	1.407	3.0789623596587	0.978	0.956484
Myotis_bocagii	0.989	3.0789623596587	0.845	0.714025
Myotis_dasycneme	1.401	3.0789623596587	1.176	1.382976
Myotis_myotis	1.551	3.0789623596587	1.408	1.982464
Myotis_nigricans	0.956	3.0789623596587	0.663	0.439569
Myotis_siligorensis	0.854	3.0789623596587	0.539	0.290521
Natalus_tumidirostris	1.433	3.0789623596587	0.839	0.703921
Noctilio_albiventris	1.332	3.0789623596587	1.515	2.295225
Noctilio_leporinus	1.703	3.0789623596587	1.763	3.108169
Nyctalus_noctula	1.283	3.0789623596587	1.431	2.047761
Nycteris_arge	1.253	3.0789623596587	1.025	1.050625
Nycteris_grandis	1.559	3.0789623596587	1.474	2.172676
Nycteris_hispida	1.238	3.0789623596587	0.892	0.795664
Nycteris_javanica	1.436	3.0789623596587	1.265	1.600225
Nycteris_macrotis	1.267	3.0789623596587	1.161	1.347921
Nycteris_thebaica	1.241	3.0789623596587	0.949	0.900601
Nyctophilus_geoffroyi	1.09	3.0789623596587	0.857	0.734449
Otomops_martiensseni	1.486	3.0789623596587	1.618	2.617924
Peropteryx_macrotis	0.91	3.0789623596587	0.748	0.559504
Phylloderma_stenops	1.962	3.0789623596587	1.664	2.768896
Phyllostomus_discolor	1.832	3.0789623596587	1.563	2.442969
Phyllostomus_elongatus	1.691	3.0789623596587	1.652	2.729104
Phyllostomus_hastatus	1.902	3.0789623596587	1.963	3.853369
Pipistrellus_javanicus	0.918	3.0789623596587	0.653	0.426409
Pipistrellus_tenuis	0.797	3.0789623596587	0.591	0.349281
Afronycteris_nana	0.797	3.0789623596587	0.591	0.349281
Hypsugo_pulveratus	0.999	3.0789623596587	0.724	0.524176
Perimyotis_subflavus	1.037	3.0789623596587	0.724	0.524176
Pteronotus_gymnonotus	1.283	3.0789623596587	1.134	1.285956
Pteronotus_parnellii_mesoamericanus	1.539	3.0789623596587	1.305	1.703025
Pteronotus_personatus	1.111	3.0789623596587	0.908	0.824464
Rhinolophus_cornutus	1.161	3.0789623596587	0.82	0.6724
Rhinolophus_eloquens	1.459	3.0789623596587	1.281	1.640961
Rhinolophus_hipposideros	1.134	3.0789623596587	0.663	0.439569
Rhinolophus_landeri	1.281	3.0789623596587	0.987	0.974169
Rhinolophus_lepidus	1.104	3.0789623596587	0.778	0.605284
Rhinolophus_luctus	1.534	3.0789623596587	1.516	2.298256
Rhinolophus_macrotis	1.286	3.0789623596587	0.799	0.638401
Rhinolophus_malayanus	1.155	3.0789623596587	0.806	0.649636
Rhinolophus_megaphyllus	1.322	3.0789623596587	0.991	0.982081
Rhinolophus_pearsonii	1.405	3.0789623596587	1.143	1.306449
Rhinolophus_pusillus	1.097	3.0789623596587	0.672	0.451584
Rhinolophus_trifoliatus	1.362	3.0789623596587	1.164	1.354896
Rhinolophus_yunnanensis	1.515	3.0789623596587	1.371	1.879641
Rhinonicteris_aurantia	1.283	3.0789623596587	0.934	0.872356
Rhinophylla_pumilio	1.481	3.0789623596587	0.949	0.900601
Rhinopoma_hardwickii	1.207	3.0789623596587	1.111	1.234321
Rhinopoma_microphyllum	1.412	3.0789623596587	1.468	2.155024
Rhogeessa_parvula	0.812	3.0789623596587	0.653	0.426409
Rhynchonycteris_naso	0.739	3.0789623596587	0.58	0.3364
Saccopteryx_bilineata	1.086	3.0789623596587	0.924	0.853776
Saccopteryx_canescens	0.832	3.0789623596587	0.531	0.281961
Saccopteryx_leptura	0.937	3.0789623596587	0.708	0.501264
Scotomanes_ornatus	1.438	3.0789623596587	1.338	1.790244
Scotophilus_dinganii	1.356	3.0789623596587	1.386	1.920996
Scotophilus_kuhlii	1.27	3.0789623596587	1.31	1.7161
Sphaeronycteris_toxophyllum	1.509	3.0789623596587	1.265	1.600225
Sturnira_lilium	1.66	3.0789623596587	1.305	1.703025
Sturnira_ludovici	1.694	3.0789623596587	1.413	1.996569
Sturnira_tildae	1.733	3.0789623596587	1.387	1.923769
Tadarida_aegyptiaca	1.36	3.0789623596587	1.248	1.557504
Taphozous_australis	1.407	3.0789623596587	1.38	1.9044
Taphozous_hildegardeae	1.405	3.0789623596587	1.438	2.067844
Taphozous_mauritianus	1.405	3.0789623596587	1.462	2.137444
Taphozous_melanopogon	1.375	3.0789623596587	1.356	1.838736
Tonatia_bidens	1.62	3.0789623596587	1.468	2.155024
Lophostoma_schulzi	1.207	3.0789623596587	1.328	1.763584
Trachops_cirrhosus	1.704	3.0789623596587	1.567	2.455489
Triaenops_persicus	1.241	3.0789623596587	1.137	1.292769
Tylonycteris_pachypus	0.643	3.0789623596587	0.681	0.463761
Tylonycteris_robustula	0.793	3.0789623596587	0.857	0.734449
Uroderma_bilobatum	1.63	3.0789623596587	1.21	1.4641
Vampyressa_pusilla	1.438	3.0789623596587	0.934	0.872356
Vampyrum_spectrum	2.043	3.0789623596587	2.238	5.008644
Alouatta_seniculus	3.121	3.0789623596587	3.806	14.485636
Aotus_trivirgatus	2.732	3.0789623596587	2.919	8.520561
Ateles_geoffroyi	3.135	3.0789623596587	3.903	15.233409
Avahi_laniger	2.721	3.0789623596587	3.109	9.665881
Plecturocebus_moloch	2.769	3.0789623596587	2.954	8.726116
Callimico_goeldii	2.449	3.0789623596587	2.681	7.187761
Callithrix_jacchus	2.344	3.0789623596587	2.447	5.987809
Cebuella_pygmaea	2.124	3.0789623596587	2.146	4.605316
Cebus_albifrons	2.949	3.0789623596587	3.491	12.187081
Cercopithecus_ascanius	3.075	3.0789623596587	3.531	12.467961
Cercopithecus_mitis_mitis	3.135	3.0789623596587	3.799	14.432401
Cheirogaleus_major	2.54	3.0789623596587	2.653	7.038409
Cheirogaleus_medius	2.241	3.0789623596587	2.248	5.053504
Daubentonia_madagascariensis	3.249	3.0789623596587	3.447	11.881809
Erythrocebus_patas	3.202	3.0789623596587	3.892	15.147664
Eulemur_fulvus_fulvus	2.876	3.0789623596587	3.146	9.897316
Galago_senegalensis	2.417	3.0789623596587	2.27	5.1529
Galagoides_demidoff	2.182	3.0789623596587	1.908	3.640464
Gorilla_gorilla	3.68	3.0789623596587	5.021	25.210441
Homo_sapiens	4.012	3.0789623596587	4.813	23.164969
Hylobates_lar	3.427	3.0789623596587	3.756	14.107536
Indri_indri	3.182	3.0789623596587	3.796	14.409616
Lagothrix_lagotricha	3.2	3.0789623596587	3.716	13.808656
Lepilemur_mustelinus	2.593	3.0789623596587	2.961	8.767521
Lophocebus_albigena	3.172	3.0789623596587	3.898	15.194404
Loris_tardigradus_tardigradus	2.281	3.0789623596587	2.508	6.290064
Macaca_mulatta	3.131	3.0789623596587	3.892	15.147664
Microcebus_murinus	2	3.0789623596587	1.732	2.999824
Miopithecus_talapoin	2.848	3.0789623596587	3.079	9.480241
Nasalis_larvatus	3.294	3.0789623596587	4.146	17.189316
Nycticebus_coucang	2.753	3.0789623596587	2.903	8.427409
Otolemur_crassicaudatus	2.664	3.0789623596587	2.929	8.579041
Pan_troglodytes	3.577	3.0789623596587	4.663	21.743569
Papio_cynocephalus	3.531	3.0789623596587	4.398	19.342404
Perodicticus_potto	2.783	3.0789623596587	3.061	9.369721
Pithecia_monachus	2.921	3.0789623596587	3.176	10.086976
Piliocolobus_badius	3.223	3.0789623596587	3.845	14.784025
Propithecus_verreauxi	3.018	3.0789623596587	3.542	12.545764
Pygathrix_nemaeus	3.361	3.0789623596587	3.875	15.015625
Saguinus_midas	2.447	3.0789623596587	2.531	6.405961
Saguinus_oedipus	2.418	3.0789623596587	2.58	6.6564
Saimiri_sciureus_sciureus	2.547	3.0789623596587	2.82	7.9524
Tarsius_tarsier	2.185	3.0789623596587	2.097	4.397409
Varecia_variegata	3.147	3.0789623596587	3.477	12.089529
