Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  CEREB_d1_m2-VR-003.txt
Log File Name:                   CEREB_d1_m2-VR-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3280679502
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   CEREB_d1_m2-VR-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Branch	No RJ Local Node	
1500000	359.332868	1	0.455765664906	0.836632523605	0.620983558979	0.504184679004	0.622851158180	0.529524663106	0.565598014872	-0.216513770622	-0.118285372722	-0.070780779037	-0.219902184903	-0.211572724912	0.000209728762	0.941022760324	N\A	0.066634234969	0.512875648444	0.507291250301	0.515767582129	0.509782955669	0.524944884481	0.068559028402	0.069067165385	0.072996102057	0.073631105864	0.069403075299	40	23	
1550000	359.855961	1	0.570673351602	0.777693981965	0.855881406546	0.527464363527	0.769003803971	0.672583818223	0.156460352394	-0.117697069458	-0.014934359968	-0.059465714553	-0.170660208355	-0.149698215840	0.000208110385	0.938299459180	N\A	0.087506740557	0.289476601007	0.278398303768	0.295618496985	0.284314265708	0.326382786239	0.089998995155	0.088866081640	0.094783935000	0.093487328177	0.089887619904	46	28	
1600000	382.456469	1	0.915305565622	0.695463466226	0.204370320462	0.143166631564	0.712456912700	0.039938631528	-0.032594935746	0.000116304167	0.011753774108	-0.004083190284	-0.072277298243	-0.057132775426	0.000233499518	0.943996562223	N\A	0.069196058240	0.226914233138	0.224167433044	0.300692551862	0.243220352831	0.283958754701	0.070925582256	0.071267889462	0.075538679057	0.080616387843	0.071977283721	40	26	
1650000	360.106650	1	0.488540421276	0.844552327858	0.310547945299	0.288315891742	0.770992881450	0.363147617305	0.720286817290	-0.195638105497	-0.130465308935	-0.187085307942	-0.204386632876	-0.251921175749	0.000384584091	0.937550861404	N\A	0.075991583750	0.296141165276	0.282778484972	0.305552784973	0.287161077879	0.367751834381	0.079474232770	0.077394767459	0.082504491106	0.082132935299	0.079339128563	47	23	
1700000	355.279254	1	0.983519530794	0.689552593309	0.119381915733	-0.027118245218	0.482623433098	-0.061690099758	0.085403105063	-0.040655947847	0.011044029176	-0.068830177408	-0.046262774024	-0.096834941109	0.000392809952	0.945148946740	N\A	0.061462916831	0.489049451554	0.486659588525	0.497609120338	0.491164166014	0.544872978519	0.063203930285	0.063294319041	0.071030311391	0.068824234250	0.067100973884	38	33	
1750000	366.142536	1	0.810050618447	0.813254943239	0.299273189251	0.214504569002	0.456689678408	0.161927167753	-0.040012125847	-0.113244383392	-0.108579960287	-0.088390401775	-0.175381439497	-0.159779603400	0.000360439530	0.941299941491	N\A	0.076047668974	0.220010159656	0.216194248527	0.244675489707	0.239014860318	0.313791838798	0.077803919750	0.077535868259	0.083728657749	0.088410521321	0.079876034539	48	29	
1800000	371.785765	1	0.559547626508	0.844661727791	0.572490379280	0.434973480887	0.861184559489	0.305970423696	0.459491589734	-0.178190013621	-0.162810741488	-0.209901954517	-0.157917986267	-0.223911564316	0.000474576540	0.946263561598	N\A	0.066698082906	0.237462998625	0.225555034327	0.240545739321	0.242981399233	0.377574902792	0.069376332112	0.068563208444	0.071686320361	0.069561139808	0.071659856005	42	27	
1850000	369.030821	1	0.993724928885	0.550403825989	0.237367811078	-0.070807175910	0.309588346004	0.051234615177	-0.066048437257	0.059944103769	0.156676921114	0.123513889227	0.077819927414	0.088616096426	0.000397394405	0.941781749920	N\A	0.072393656848	0.311742571874	0.230271301150	0.245309577166	0.230565742850	0.604923646960	0.075049476812	0.073956153480	0.077374711950	0.077574626675	0.076345600151	47	29	
1900000	367.372818	1	0.294678854907	0.943073326937	0.889175850458	0.776863691794	0.885888029442	0.801849082216	0.741191319663	-0.273610667974	-0.223350124258	-0.310230740153	-0.321776219456	-0.333781607625	0.000277336994	0.960738575721	N\A	0.072228774214	0.231952327648	0.213808318950	0.243903471255	0.224882590007	0.286637548249	0.074127953673	0.072955063281	0.080980620246	0.081754902654	0.075628214924	28	31	
1950000	382.383643	1	0.106061151174	1.000992491821	1.085414495297	0.896962008062	1.545505699751	1.006004201968	0.810545052032	-0.355915873690	-0.284655398393	-0.389378301324	-0.353924686065	-0.385691700742	0.000242907718	0.949483533700	N\A	0.082755952847	0.241765268724	0.231025785209	0.243922367024	0.239274011633	0.294788176874	0.083909617369	0.084200437465	0.087613602643	0.090512631496	0.085601382437	45	22	
