Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MOB_d1_m2-glob-003.txt
Log File Name:                   MOB_d1_m2-glob-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            4130095502
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MOB_d1_m2-glob-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.114840
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.79 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	Global Trend	
1500000	207.578135	1	-2.132656069794	3.992879233517	2.768894521083	1.986219846580	3.066376622887	2.787235119836	3.439679822794	-3.386966878370	-3.280974629213	-3.528700129743	-3.428340065560	-3.510783953133	0.000338689651	0.921631293090	N\A	0.781719388005	0.636980797209	0.632159718561	0.662622548847	0.638091166634	0.662960518447	0.782542882974	0.782009942452	0.782266750265	0.782352003117	0.782314082301	30	20	-0.003608201699	Global Trend	
1550000	209.045023	1	-1.977608752886	3.893638091195	2.727564308722	1.959317405696	2.515184052691	2.878454536350	3.550754625408	-3.226595313040	-3.171561334383	-3.313950063352	-3.309587232114	-3.495843622224	0.000542407678	0.998840079861	N\A	0.610393523902	0.504223435981	0.503888378826	0.556280941939	0.504352911962	0.621358885884	0.611066054594	0.610870083283	0.614611033571	0.610814510214	0.611311998852	51	17	0.095414149170	Global Trend	
1600000	206.492509	1	-2.063347946133	3.897239097969	2.914421673831	1.989178309186	2.360865377227	2.942529244690	3.626441544485	-3.298552225676	-3.213763731620	-3.345005410939	-3.400793165630	-3.470297069586	0.000494888552	0.999725110711	N\A	0.575599941079	0.484391191523	0.474434582799	0.492272395118	0.485205457243	0.532344120765	0.576961912001	0.576189224194	0.576252440547	0.576949012160	0.576326587290	48	21	0.193422273322	Global Trend	
1650000	214.939257	1	-1.833520976158	3.929265489557	3.071005124897	2.184646433491	3.364081499065	2.933845109547	2.426668381720	-3.292368510121	-3.270700092463	-3.585008269557	-3.329258218459	-3.434353814989	0.000854474207	0.999620828689	N\A	0.703090797452	0.580140033936	0.574940290800	0.606024186708	0.579725220552	0.647106175312	0.703851665353	0.703448220740	0.704164258599	0.703812258674	0.703437293610	47	27	-0.168500150328	Global Trend	
1700000	218.028341	1	-1.472963636764	3.844969874254	3.350983932800	2.340256005848	2.440975022096	3.160269641325	2.522366723959	-3.209359506259	-3.085996383811	-3.479443994075	-3.264047350211	-3.335239746413	0.000335944909	0.864245733237	N\A	0.542105992598	0.461893418392	0.453662146025	0.514542357593	0.459368025028	0.490936287802	0.543529427623	0.542566485625	0.543726371859	0.542810741755	0.542674110209	47	22	0.000918295350	Global Trend	
1750000	204.610184	1	-2.270739458844	3.836888269763	2.984891234292	2.015218337382	2.035614996214	3.204623214059	3.182591314766	-3.306687336305	-3.079014368522	-3.313220842457	-3.352784203046	-3.240462543877	0.000691731199	0.961245361954	N\A	0.779210718011	0.636605406584	0.631202931756	0.644810420775	0.635309456570	0.683638571575	0.779870638055	0.779566644688	0.780358616263	0.779979921509	0.779150357375	36	18	-0.011849659394	Global Trend	
1800000	206.134662	1	-2.049814945462	3.630301333923	2.969462667180	2.049774414067	1.687068887289	2.807936994558	2.871332585657	-3.055209488247	-2.886019094146	-3.065648946930	-3.003518295443	-3.023226403743	0.000305141509	0.991142378914	N\A	0.486031725164	0.406975401751	0.399100375665	0.422355810099	0.398510428421	0.446026365675	0.487670594838	0.486732487277	0.488096684683	0.486884390616	0.486715358408	37	17	-0.025164300776	Global Trend	
1850000	233.495069	1	-1.841093729308	3.522589210807	2.723984777419	1.832796400506	1.963217473488	2.952332796973	2.556396240405	-2.875304743752	-2.781057593769	-2.991284402278	-2.932556326542	-2.959595316219	0.000309350920	0.994189338180	N\A	0.437530223068	0.370358774166	0.364173696340	0.387896697445	0.370827721709	0.405296841742	0.438744018403	0.438292781407	0.438342070646	0.438392461429	0.438545451938	36	22	0.027803326463	Global Trend	
1900000	219.066225	1	-2.652168559427	3.585186907431	2.817712177872	1.964720555631	2.534712493759	2.952428851194	3.671928813189	-2.937494380256	-2.878323609275	-3.228042315045	-3.002505121649	-3.056129094271	0.000408675190	0.881294102750	N\A	0.580896930711	0.544635698668	0.535124049474	0.562486652471	0.541619881937	0.569493731095	0.582048908278	0.581357166126	0.582272277536	0.582227511187	0.580884369681	43	20	0.000332096014	Global Trend	
1950000	222.669459	1	-1.661771160050	3.305061623555	2.529208122806	1.709395446156	1.336575098492	2.556581760446	3.145917400461	-2.677929712738	-2.611457676161	-2.731708522236	-2.755654963908	-2.789831964951	0.001612174998	0.994673817055	N\A	0.560638707453	0.476252211700	0.468362434111	0.509238332032	0.474664689542	0.631890633879	0.561607906086	0.561168100219	0.561736854884	0.561369689376	0.562583419908	33	19	0.157790222599	Global Trend	
2000000	207.768311	1	-1.486580556671	3.024825578227	2.273107498068	1.605686982864	2.378495950288	2.411588641888	2.630275668093	-2.403741139739	-2.287789663381	-2.624348326542	-2.453828101748	-2.517463600480	0.001175841182	0.847880817911	N\A	0.605658823849	0.559437923566	0.550976144562	0.609316244081	0.558462244049	0.661799298107	0.607086485983	0.605949170149	0.607617839705	0.606462920003	0.606340013910	35	13	0.001340072715	Global Trend	
2050000	215.168229	1	-1.900221268988	3.598808619236	2.958094972661	2.002815551854	2.014220106059	2.906919963583	2.680429866908	-3.051029075581	-2.872150663765	-3.163549580750	-3.015966973598	-3.055346578665	0.001182661121	0.999396979401	N\A	0.611031648587	0.511797787363	0.505737655593	0.557929625253	0.507554194075	0.614971205705	0.612036304057	0.611342572799	0.613233132970	0.611242980621	0.611974820662	32	17	0.236737750557	Global Trend	
2100000	235.220346	1	-1.484995496896	3.084343738111	2.384001703491	1.601630140064	1.041904381440	2.479723043298	2.924353284338	-2.456417675575	-2.391663300248	-2.746310599406	-2.458081883841	-2.586618824085	0.000915124940	0.945382942878	N\A	0.501377306767	0.409668358131	0.406422429980	0.460149005298	0.413829406950	0.521559519891	0.501465823791	0.502417780344	0.501984858307	0.502508897999	0.502171010112	41	21	-0.023057506425	Global Trend	
2150000	226.536897	1	-0.741447885765	2.562891424855	1.584892417218	0.990798942508	1.660586358867	1.922149077249	1.958555279232	-1.930901681775	-1.836736988928	-1.987155405454	-2.033103066074	-2.017420904986	0.001508592582	0.905138429371	N\A	0.334371446120	0.311782809883	0.303922435401	0.345343232580	0.314877467301	0.482634932902	0.335654698036	0.335366014708	0.335327745126	0.336041763197	0.337285091440	42	16	-0.027002548581	Global Trend	
2200000	232.205668	1	-1.333967766753	2.613464426648	2.160032769037	1.171669137064	1.405454564661	1.861714893263	1.902685860181	-1.996017122887	-1.949022030695	-2.178418818382	-2.002721442060	-2.009176424518	0.001448182303	0.982484391640	N\A	0.093068021776	0.186285197762	0.155650080186	0.198772816809	0.185248217605	0.419590993500	0.100918768931	0.095546932980	0.100796301515	0.104411591595	0.101379061109	41	26	-0.071783511696	Global Trend	
2250000	225.911760	1	-1.114442348779	1.875889120173	0.765908048836	0.574431994755	1.163642112284	1.273849525789	1.828670142352	-1.252313448139	-1.150062364310	-1.488512554970	-1.259221655797	-1.332655225982	0.001080247295	0.999916133469	N\A	0.225216896764	0.231779577413	0.219806949786	0.304957219796	0.233911404346	0.398948963323	0.227306462559	0.226216847015	0.232264103083	0.228447278766	0.227826578393	33	19	-0.992526776534	Global Trend	
2300000	254.099390	1	-0.881864034658	1.154412339021	1.688989455225	1.013870234996	1.325851733081	1.746270781270	1.508634779753	-0.521341182120	-0.476399934991	-0.705613940641	-0.513617390514	-0.658104334548	0.000886509655	0.856321117683	N\A	0.157154366789	0.653662772611	0.644909599853	0.654300452498	0.647226583387	0.725309574035	0.161080405556	0.158727249678	0.163618098692	0.163523454537	0.159964508066	35	21	-0.000115805330	Global Trend	
2350000	256.523520	1	0.441609459651	0.932984999707	0.375408983104	-0.450097616903	-0.080000440594	0.353433528155	0.120206064412	-0.308811268198	-0.184349092404	-0.493029273149	-0.322542695750	-0.421167406787	0.001066281950	0.876315450504	N\A	0.098697460962	0.293884122074	0.284033479195	0.380161610737	0.284328256428	0.502054673040	0.102761883840	0.101949591250	0.111479220940	0.102387100356	0.104539909158	38	22	0.000337810401	Global Trend	
2400000	234.224212	1	0.343809443457	0.819066439943	0.574775342133	-0.407657426802	0.204674707516	0.485427563651	0.484302372454	-0.227008812797	-0.099587840104	-0.336843193830	-0.219923664219	-0.277488888300	0.000979519021	0.970018910163	N\A	0.090685520662	0.174772074652	0.149390384500	0.265033679607	0.166381293382	0.344769577541	0.098906851561	0.094265799652	0.108594467522	0.096667444729	0.096974769800	28	15	0.078573824066	Global Trend	
2450000	272.899240	1	1.120823775953	0.510428527789	0.061302770787	-0.765943791585	0.322219370676	0.353155162361	-0.277853338417	0.127910126978	0.220433493000	0.032157390038	0.043226711443	0.022397045164	0.000530795520	0.912945073079	N\A	0.068051742816	0.230012459909	0.204252949542	0.228690001839	0.210428391720	0.316417911095	0.075609030984	0.070615036748	0.073539762632	0.071559805119	0.072716154751	31	23	-0.000429167434	Global Trend	
2500000	228.542092	1	0.850138877102	0.610845827413	0.378879716575	-0.608014358831	0.219521168161	0.296730766509	0.330415500663	-0.005294912048	0.132394912562	-0.072002107487	-0.081171561142	-0.206382458929	0.001127185212	0.999208829395	N\A	0.095366715244	0.167222961595	0.146854405408	0.182310191908	0.162089025723	0.366741123561	0.101206413834	0.098968019481	0.100142315596	0.100479247899	0.105945937281	28	15	-0.524051607859	Global Trend	
2550000	259.662043	1	0.410770402684	0.566695309514	0.374222789083	-0.404267891500	-0.492132333062	0.107217199181	0.737108307592	0.000888544920	0.114985986710	-0.080682071214	0.103501726705	-0.031925956568	0.001097745343	0.991156607221	N\A	0.073920118885	0.161844482063	0.134953539507	0.177810328067	0.147329187515	0.342378702909	0.082734635312	0.077445918428	0.082970466823	0.080155292537	0.081585157456	32	19	-0.136775938169	Global Trend	
2600000	254.811614	1	0.658223822788	0.694255200445	-0.052349663014	-0.724111950519	-0.233995931138	0.347195611731	1.340295555394	0.052817767352	0.034922232312	-0.135311679513	-0.156367227925	-0.162859688387	0.000377967310	0.998577566104	N\A	0.056578326459	0.143812804578	0.114000624032	0.165779994077	0.139413292456	0.227111137353	0.066226709995	0.061651116449	0.067962794567	0.066958371134	0.064033447695	26	19	0.171325028870	Global Trend	
2650000	228.735378	1	0.613060021598	0.611141873303	0.580827648973	-0.161175280828	-0.372053651117	0.540944728444	0.176705471466	0.035292737439	0.069634175247	-0.097140941082	-0.077616819804	-0.116231916473	0.000497293837	0.843281732144	N\A	0.065360185306	0.216774463058	0.185546681623	0.223773763603	0.202884149884	0.297815015084	0.077101514650	0.070459177034	0.076747715543	0.077721902871	0.073522003962	33	15	-0.000481163899	Global Trend	
2700000	258.987985	1	0.424018874488	0.815149704059	0.499415840442	-0.274358148848	-0.959220895342	0.739399798979	1.417084289882	-0.176635939898	-0.110170231312	-0.290884413031	-0.230634354341	-0.358556427833	0.001343961165	0.962350141243	N\A	0.054128108869	0.147277869496	0.123086945812	0.182653828275	0.142823588975	0.328006415816	0.061897184295	0.057686997625	0.072037671109	0.062944861005	0.066591198882	36	14	0.075619676517	Global Trend	
2750000	240.152669	1	0.581630153272	0.796373384318	0.527390304535	-0.335433222264	0.012963864700	0.686680984698	0.155764850557	-0.179139948717	-0.082916484031	-0.261695875775	-0.223518175763	-0.260115830555	0.001058977905	0.870095871825	N\A	0.084663807897	0.166258661981	0.142771088280	0.181412715880	0.159826637691	0.345238957041	0.091556156845	0.088506635565	0.091873811045	0.090666371866	0.091327644492	34	15	-0.010983709509	Global Trend	
2800000	238.372725	1	0.323051275052	0.702332017477	0.342899601722	-0.528939365996	0.002925804051	0.321017635842	0.773890052599	-0.127262058975	0.001326383257	-0.284012365442	-0.042227571661	-0.163449262916	0.000815874161	0.999557855027	N\A	0.079587609133	0.149567692269	0.134586841841	0.201022096122	0.152643090443	0.308498964888	0.085362597137	0.083868902554	0.092004248445	0.086906111158	0.085154765878	38	14	-0.472457692026	Global Trend	
2850000	232.369095	1	0.524637615520	0.633124753382	0.127788022826	-0.493188563401	-0.293377885720	0.866430372386	0.310365857421	-0.029198913887	0.075947834573	-0.127892773573	-0.031684917708	-0.013754405257	0.000416022736	0.957085026113	N\A	0.060123972907	0.152768434684	0.118075638458	0.169168747095	0.142814865142	0.232531865719	0.071481424196	0.064493419805	0.070434494168	0.069393743117	0.064343852258	42	19	0.021485617813	Global Trend	
2900000	259.226924	1	0.447683045550	0.698807647633	0.227609015528	-0.505544341924	-0.157049083420	0.577884164207	0.565351362447	-0.062023922880	0.039499300550	-0.225690440607	-0.074999310015	-0.088658554941	0.000427560356	0.999417894689	N\A	0.069711083609	0.126972982180	0.121626378865	0.180223136616	0.143942302862	0.238274339101	0.073812829036	0.074052918805	0.080801200921	0.078154785662	0.074745729294	47	16	-0.241715388846	Global Trend	
2950000	249.174931	1	0.616314048236	0.449403811250	0.019776628744	-0.819655249301	-0.395567313879	0.004866233534	0.392815138894	0.187654049120	0.255093994674	0.101768964179	0.241348295773	0.091189698273	0.000447047956	0.869594126978	N\A	0.072416175038	0.169334301559	0.142204096684	0.198817646729	0.164608523330	0.256209161977	0.078502032414	0.075707010615	0.085552959917	0.081665890511	0.079440277820	40	21	-0.001229996288	Global Trend	
3000000	253.249561	1	1.080202186301	0.576017687094	0.406414592589	-0.274968119113	-0.531779977534	0.818598004795	-0.235179240667	0.057294227409	0.131511656449	-0.041120354285	0.014718279574	-0.001101738878	0.000445853038	0.887515325791	N\A	0.104047411315	0.151493002919	0.138177975172	0.182744669500	0.169669910287	0.253109253722	0.107688510304	0.106085998737	0.108870546800	0.111125891579	0.108991975433	42	19	-0.004543412642	Global Trend	
3050000	267.833717	1	-0.011133577566	0.711062217246	0.915938738243	0.222506230619	0.501689488766	0.946674317014	0.224250042863	-0.094709993461	-0.033117815791	-0.204648377122	-0.134686337246	-0.164322930400	0.001053319440	0.878190750722	N\A	0.081292841536	0.260998583521	0.246473438805	0.288357303850	0.256419041742	0.405021710829	0.086627081914	0.083863646979	0.095065565705	0.089305212750	0.089472311151	35	19	-0.000915193016	Global Trend	
3100000	256.627376	1	0.539734933597	0.655050964025	0.225627482026	-0.483739265957	0.429836314162	0.394425125373	-0.072111353478	0.013818668257	0.074152238496	-0.201127516422	-0.033171540746	-0.093002760331	0.000543751022	0.910019150874	N\A	0.023163983007	0.128931218895	0.103459607495	0.193169366442	0.120173580850	0.259541046329	0.041162879830	0.031424752199	0.055903602082	0.038716760352	0.037196843775	37	14	0.003537332409	Global Trend	
