Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  CEREB_d1_m7-glob-006.txt
Log File Name:                   CEREB_d1_m7-glob-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2805774744
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   CEREB_d1_m7-glob-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.111269
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.79 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	Global Trend	
2200000	564.277907	1	-0.879588454789	0.987038792906	0.054231759286	-0.004450443288	0.000097164604	0.985105979612	N\A	0.023650410442	0.021586617584	0.002887289049	29	1	0.004307507814	Global Trend	
2250000	571.588987	1	-0.860416253690	1.021397780324	-0.003676232255	0.000730075099	0.000098105912	0.989061997632	N\A	0.021976725463	0.022414914740	0.002537091142	30	0	0.026209171822	Global Trend	
2300000	577.864460	1	-0.812884504879	0.944062232220	0.056501934527	-0.000178158453	0.000124661831	0.999742574255	N\A	0.021171327922	0.022933363484	0.002196107254	25	0	-0.456436977822	Global Trend	
2350000	565.533418	1	-0.788139480150	0.951025959225	0.043511638399	0.001798041309	0.000078969020	0.982455006491	N\A	0.024885856052	0.023645898488	0.003219508041	46	0	-0.005295616029	Global Trend	
2400000	577.215588	1	-0.777289338472	0.937621388485	0.064001698646	-0.000484765942	0.000071319373	0.995102621445	N\A	0.016985238181	0.016255730611	0.002410735765	35	1	0.009294503022	Global Trend	
2450000	567.260459	1	-0.817013394034	0.987698512114	0.008833751892	0.003831455854	0.000070374476	0.999943776916	N\A	0.017698052151	0.019072193449	0.001687785174	45	1	0.352556553074	Global Trend	
2500000	566.335892	1	-0.812778403494	0.951756189844	0.046700653433	0.000335654536	0.000077439499	0.999431895510	N\A	0.020738694571	0.022481014145	0.002169460525	29	2	0.140742716129	Global Trend	
2550000	560.564564	1	-0.771485260745	0.943935680202	0.056120397846	-0.000194410041	0.000075747377	0.999976265205	N\A	0.020523346983	0.021760933536	0.001539886488	37	1	-0.587916988963	Global Trend	
2600000	572.515748	1	-0.699316275268	0.943726309839	0.057193990115	-0.000569451120	0.000087045463	0.999988856710	N\A	0.021689647820	0.023543577876	0.002257640826	44	0	1.587159376193	Global Trend	
2650000	570.363751	1	-0.756180582327	0.961893288044	0.035709020484	0.000267500897	0.000078821178	0.998959317215	N\A	0.022128485141	0.023781675262	0.002146971074	42	0	-0.096314053881	Global Trend	
2700000	568.665444	1	-0.818656379672	0.993446674631	0.004728418671	0.002216088159	0.000061369201	0.999952200270	N\A	0.020944312816	0.022733356200	0.002245376941	29	1	0.405718744445	Global Trend	
2750000	565.370200	1	-0.821070487988	0.979648370059	0.016334350475	0.004303297326	0.000083104613	0.999896799997	N\A	0.019301029896	0.020857660746	0.001958359439	28	1	0.386719721739	Global Trend	
2800000	564.730001	1	-0.692841204823	0.946665905929	0.053351834564	0.001525762845	0.000096384372	0.999867071075	N\A	0.019074179589	0.020517455919	0.001878841749	29	0	0.437387940505	Global Trend	
2850000	561.045053	1	-0.870492102403	0.993850703462	0.006489200954	0.002638096966	0.000090514021	0.995224746696	N\A	0.018594442410	0.019963463643	0.002089011672	37	0	-0.031577692484	Global Trend	
2900000	573.611593	1	-0.780659215203	0.961255982193	0.044091886852	0.000650977690	0.000066162180	0.994040681934	N\A	0.020068094500	0.020711453455	0.002098740396	38	0	0.030050826561	Global Trend	
2950000	570.316688	1	-0.856261287549	0.999432976148	-0.003670000706	0.004179025793	0.000092221548	0.999928572931	N\A	0.019120021288	0.020594920958	0.001916487316	27	0	-0.581869139363	Global Trend	
3000000	557.703291	1	-0.778399501647	0.983528398260	0.021694479604	-0.004078345771	0.000084019373	0.999653006638	N\A	0.023913869611	0.026204478136	0.002752839678	24	0	0.221367569392	Global Trend	
3050000	582.617097	1	-0.800330443298	0.961346100102	0.038657758894	0.001526330371	0.000070583774	0.995251149938	N\A	0.019744718978	0.021355648039	0.002222071309	36	3	0.045452554826	Global Trend	
