Species_TTOL	MED	rest_of_brain	BOD
Anourosorex_squamipes	1.644	3.0789623596587	1.307
Atelerix_algirus	2.535	3.0789623596587	2.867
Blarina_brevicauda	1.633	3.0789623596587	1.267
Chrysochloris_asiatica	1.767	3.0789623596587	1.69
Chrysochloris_stuhlmanni	1.833	3.0789623596587	1.626
Crocidura_attenuata	1.511	3.0789623596587	0.968
Crocidura_flavescens	1.777	3.0789623596587	1.467
Crocidura_hildegardeae	1.497	3.0789623596587	0.996
Crocidura_denti	1.626	3.0789623596587	1.079
Crocidura_russula	1.458	3.0789623596587	1.049
Crocidura_suaveolens	1.431	3.0789623596587	1.013
Cryptotis_parvus	1.479	3.0789623596587	0.991226075692495
Desmana_moschata	2.605	3.0789623596587	2.646
Echinops_telfairi	1.956	3.0789623596587	1.942
Echinosorex_gymnura	2.794	3.0789623596587	2.921
Erinaceus_europaeus	2.525	3.0789623596587	2.929
Euroscaptor_micrura	1.887	3.0789623596587	1.617
Galemys_pyrenaicus	2.168	3.0789623596587	1.778
Geogale_aurita	1.531	3.0789623596587	1
Hemicentetes_semispinosus	2.068	3.0789623596587	2.062
Hemiechinus_auritus	2.268	3.0789623596587	2.371
Hylomys_suillus	2.098	3.0789623596587	1.756
Limnogale_mergulus	2.309	3.0789623596587	1.964
Microgale_dobsoni	1.769	3.0789623596587	1.504
Microgale_talazaci	1.924	3.0789623596587	1.683
Micropotamogale_lamottei	2.13	3.0789623596587	1.808
Micropotamogale_ruwenzorii	2.297	3.0789623596587	1.986
Myosorex_sclateri	1.665	3.0789623596587	1.23
Neomys_anomalus	1.534	3.0789623596587	1.037
Neomys_fodiens	1.656	3.0789623596587	1.182
Oryzorictes_hova	1.785	3.0789623596587	1.645
Parascalops_breweri	1.873	3.0789623596587	1.731
Potamogale_velox	2.859	3.0789623596587	2.791
Ruwenzorisorex_suncoides	1.74	3.0789623596587	1.262
Scalopus_aquaticus	2.074	3.0789623596587	2.061
Scutisorex_somereni	1.919	3.0789623596587	1.792
Setifer_setosus	2.257	3.0789623596587	2.373
Solenodon_paradoxus	2.674	3.0789623596587	2.826
Sorex_alpinus	1.496	3.0789623596587	1.033
Sorex_araneus	1.464	3.0789623596587	0.987
Sorex_cinereus	1.236	3.0789623596587	0.633
Sorex_fumeus	1.354	3.0789623596587	0.924
Sorex_hoyi	1.037	3.0789623596587	0.42
Sorex_minutus	1.176	3.0789623596587	0.633
Suncus_etruscus	1.045	3.0789623596587	0.762
Suncus_murinus	1.736	3.0789623596587	1.529
Sylvisorex_granti	1.332	3.0789623596587	0.591
Suncus_megalura	1.428	3.0789623596587	0.74
Talpa_europaea	1.981	3.0789623596587	1.908
Tenrec_ecaudatus	2.499	3.0789623596587	2.935
Aepyprymnus_rufescens	3.004321	3.0789623596587	3.392697
Antechinus_flavipes	1.965672	3.0789623596587	1.568202
Antechinus_minimus	2.0103	3.0789623596587	1.724276
Bettongia_gaimardi	2.963504	3.0789623596587	3.176091
Bettongia_penicillata	2.882126	3.0789623596587	3.079181
Burramys_parvus	2.023664	3.0789623596587	1.770852
Cercartetus_nanus	1.827369	3.0789623596587	1.278754
Dactylopsila_trivirgata	2.634779	3.0789623596587	2.643453
Dasycercus_cristicauda	2.304921	3.0789623596587	2
Dasyuroides_byrnei	2.349278	3.0789623596587	2.146128
Dasyurus_geoffroii	2.81961	3.0789623596587	2.69897
Dasyurus_hallucatus	2.555699	3.0789623596587	3.021189
Dendrolagus_lumholtzi	3.220892	3.0789623596587	3.78533
Distoechurus_pennatus	2.067443	3.0789623596587	1.633468
Dorcopsis	3.129368	3.0789623596587	3.462398
Echymipera_kalubu	2.626853	3.0789623596587	2.819544
Gymnobelideus_leadbeateri	2.300813	3.0789623596587	2.041393
Hypsiprymnodon_moschatus	2.639486	3.0789623596587	2.748188
Isoodon_macrourus	2.656769	3.0789623596587	3.033424
Isoodon_obesulus_obesulus	2.677424	3.0789623596587	3.004321
Osphranter_antilopinus	3.603469	3.0789623596587	4.537819
Macropus_giganteus	3.580469	3.0789623596587	4.563481
Notamacropus_irma	3.26529	3.0789623596587	3.819544
Notamacropus_parma	3.11059	3.0789623596587	3.536558
Notamacropus_parryi	3.404834	3.0789623596587	4.170262
Osphranter_robustus	3.515344	3.0789623596587	4.409933
Osphranter_rufus	3.362963	3.0789623596587	4.494155
Thylamys_pallidior	1.853698	3.0789623596587	1.477121
Marmosops_impavidus	2.073718	3.0789623596587	1.845098
Monodelphis_brevicaudata	2.05038	3.0789623596587	1.924279
Notoryctes_typhlops	1.818226	3.0789623596587	1.531479
Petauroides_volans	2.697752	3.0789623596587	3.09691
Petaurus_australis	2.634578	3.0789623596587	2.748188
Petaurus_breviceps	2.334856	3.0789623596587	2.113943
Petaurus_norfolcensis	2.429752	3.0789623596587	2.374748
Petrogale_inornata	3.138934	3.0789623596587	3.628389
Petrogale_lateralis	3.045714	3.0789623596587	3.556303
Petrogale_penicillata	3.242044	3.0789623596587	3.690196
Petrogale_purpureicollis	3.137987	3.0789623596587	3.740363
Petropseudes_dahli	2.800098	3.0789623596587	3.127105
Phascolarctos_cinereus	3.219323	3.0789623596587	3.968483
Planigale_ingrami	1.332438	3.0789623596587	0.826075
Planigale_maculata	1.60206	3.0789623596587	1.041393
Potorous_tridactylus_tridactylus	2.89304	3.0789623596587	3.089905
Pseudochirulus_canescens	2.424718	3.0789623596587	2.447158
Pseudochirulus_forbesi	2.542825	3.0789623596587	2.70757
Sarcophilus_harrisii	3.161667	3.0789623596587	3.732394
Sminthopsis_crassicaudata	1.700704	3.0789623596587	1.146128
Sminthopsis_leucopus	1.866287	3.0789623596587	1.361728
Phalanger_gymnotis	3.028164	3.0789623596587	3.451786
Thylacinus_cynocephalus	3.716087	3.0789623596587	4.342423
Thylogale_billardierii	3.266702	3.0789623596587	3.845098
Thylogale_stigmatica	3.216166	3.0789623596587	3.653213
Trichosurus_vulpecula	2.984752	3.0789623596587	3.30103
Vombatus_ursinus	3.62995	3.0789623596587	4.357935
Wallabia_bicolor	3.475235	3.0789623596587	4.198657
Balionycteris_maculata	1.591	3.0789623596587	1.158
Casinycteris_argynnis	1.839	3.0789623596587	1.428
Chironax_melanocephalus	1.643	3.0789623596587	1.248
Cynopterus_brachyotis	1.833	3.0789623596587	1.53
Cynopterus_horsfieldii	1.968	3.0789623596587	1.773
Cynopterus_sphinx	1.924	3.0789623596587	1.713
Dobsonia_inermis	2.238	3.0789623596587	2.173
Dobsonia_moluccensis	2.431	3.0789623596587	2.543
Dobsonia_praedatrix	2.286	3.0789623596587	2.25
Eidolon_helvum	2.437	3.0789623596587	2.418
Eonycteris_spelaea	1.981	3.0789623596587	1.769
Epomophorus_labiatus	2.061	3.0789623596587	1.806
Epomops_franqueti	2.241	3.0789623596587	2.072
Hypsignathus_monstrosus	2.451	3.0789623596587	2.491
Macroglossus_minimus	1.616	3.0789623596587	1.164
Megaerops_ecaudatus	1.732	3.0789623596587	1.38
Megaloglossus_woermanni	1.709	3.0789623596587	1.253
Melonycteris_melanops	1.92	3.0789623596587	1.675
Melonycteris_woodfordi	1.853	3.0789623596587	1.549
Epomophorus_pusillus	1.803	3.0789623596587	1.4
Myonycteris_torquata	1.915	3.0789623596587	1.561
Notopteris_macdonaldi	2.027	3.0789623596587	1.841
Nyctimene_albiventer	1.787	3.0789623596587	1.473
Nyctimene_robinsoni	1.923	3.0789623596587	1.673
Nyctimene_vizcaccia	1.851	3.0789623596587	1.549
Paranyctimene_raptor	1.713	3.0789623596587	1.417
Pteropus_alecto	2.593	3.0789623596587	2.775
Pteropus_conspicillatus	2.616	3.0789623596587	2.875
Pteropus_hypomelanus	2.502	3.0789623596587	2.591
Pteropus_lylei	2.513	3.0789623596587	2.497
Pteropus_neohibernicus	2.679	3.0789623596587	2.924
Pteropus_poliocephalus	2.635	3.0789623596587	2.842
Pteropus_samoensis	2.513	3.0789623596587	2.491
Pteropus_scapulatus	2.454	3.0789623596587	2.574
Pteropus_temminckii	2.436	3.0789623596587	2.398
Pteropus_tonganus	2.56	3.0789623596587	2.652
Pteropus_vampyrus	2.652	3.0789623596587	3.027
Rousettus_aegyptiacus	2.182	3.0789623596587	2.111
