Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  AMY_d1_m2-bm-001.txt
Log File Name:                   AMY_d1_m2-bm-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3614282964
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   AMY_d1_m2-bm-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	
1550000	259.705838	1	-0.012354774964	0.602871609770	0.741390578625	0.421228533151	0.796190058700	0.381356734850	0.858793816612	-0.109630340505	0.075298579918	-0.086166848153	-0.003251307780	-0.177805567809	0.000554089356	0.824944486003	N\A	0.072069269843	0.307568487170	0.278203312143	0.291612202180	0.282626465608	0.383210749860	0.080190711406	0.077389317917	0.080449727741	0.083603925537	0.076414050479	
1600000	253.775061	1	0.294546517605	0.637581662664	0.018633453430	0.138047274985	0.328374022514	-0.339070642432	0.422832142611	-0.135824010436	-0.017376649647	-0.075925936510	0.003920682208	-0.148449870438	0.000573528267	0.818803078255	N\A	0.073322562147	0.312917136030	0.283041297471	0.296683369539	0.287541370048	0.389874825752	0.081585236447	0.078735126426	0.081848757104	0.085057806737	0.077742898983	
1650000	258.219428	1	0.280508975494	0.613021692351	0.456747948272	0.369333897175	0.420398752207	0.127799993373	0.349956014368	-0.035857810122	0.047314748153	-0.078228427777	0.037923320805	-0.182016860593	0.000558898499	0.823425115295	N\A	0.072381351888	0.308900353062	0.279408017820	0.292874972464	0.283850324897	0.384870169953	0.080537961784	0.077724437402	0.080798099739	0.083965956179	0.076744946757	
1700000	255.954355	1	0.016081222166	0.641406539448	0.913662772805	0.490180368373	0.759983154734	0.300347634761	0.588352386281	-0.142860845833	-0.011768433343	-0.061198300662	-0.021052861179	-0.165554028793	0.000566307325	0.821084417478	N\A	0.072859520374	0.310941022524	0.281253853876	0.294809774436	0.285725507893	0.387412714157	0.081070014782	0.078237903587	0.081331871271	0.084520655327	0.077251942193	
1750000	257.676871	1	0.133470519892	0.753696058812	0.822407763906	0.408701306333	0.633077103895	0.471180614818	0.555077793279	-0.221080377573	-0.126861617712	-0.286049021113	-0.190628161637	-0.332525593263	0.000560664272	0.822867248263	N\A	0.072495601791	0.309387934940	0.279849047701	0.293337259177	0.284298366710	0.385477665924	0.080665086438	0.077847121066	0.080925635007	0.084098491730	0.076866084350	
1800000	260.497936	1	-0.201116163870	0.678515655202	0.651928872804	0.438006900594	1.016542638211	0.332591683136	1.196943052424	-0.159250342705	-0.013536560387	-0.241248274452	-0.106622780178	-0.211727095792	0.000551543516	0.825748802407	N\A	0.071903513187	0.306861091022	0.277563454812	0.290941504898	0.281976435188	0.382329379306	0.080006275735	0.077211325347	0.080264696342	0.083411639600	0.076238300989	
1850000	259.908157	1	0.056607545483	0.650805202349	0.305496528689	0.405836552200	0.809947226203	0.094036174450	0.691410257073	-0.105592960423	0.013692153462	-0.188529565145	-0.016591692785	-0.171838556419	0.000553437976	0.825150278682	N\A	0.072026895600	0.307387647519	0.278039738201	0.291440744273	0.282460291005	0.382985435170	0.080143562036	0.077343815670	0.080402426079	0.083554769315	0.076369121656	
1900000	253.940263	1	0.033961680244	0.735334153522	0.821241325748	0.576949695384	0.792029843155	0.544082274752	0.699196789678	-0.219499872337	-0.180364727770	-0.231820263324	-0.202823342098	-0.324084640020	0.000572977670	0.818977030559	N\A	0.073287358207	0.312766896924	0.282905402480	0.296540924658	0.287403314463	0.389687637393	0.081546065396	0.078697323782	0.081809459530	0.085016968421	0.077705572732	
1950000	255.587983	1	-0.217877319756	0.788208094519	0.710442528115	0.436993013605	1.289173796735	0.747309941952	0.793423256189	-0.320400057670	-0.109424544458	-0.334353144018	-0.226737041169	-0.275203994395	0.000567514887	0.820702907772	N\A	0.072937159816	0.311272362716	0.281553559283	0.295123925096	0.286029978316	0.387825542938	0.081156403365	0.078321274259	0.081418538889	0.084610720928	0.077334262220	
2000000	258.424544	1	-0.103557335001	0.626512210854	0.455241738039	0.444485128847	0.591435731069	0.170104686880	1.117442964025	-0.115447036051	-0.008635580202	-0.102856720577	-0.050090681301	-0.151032836798	0.000558232392	0.823635561053	N\A	0.072338206200	0.308716221130	0.279241465928	0.292700393076	0.283681124997	0.384640753290	0.080489954035	0.077678106763	0.080749936925	0.083915905043	0.076699199981	
