Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MOB_d1_m3-glob-006.txt
Log File Name:                   MOB_d1_m3-glob-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            985351526
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MOB_d1_m3-glob-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.114840
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.79 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	256.447422	1	0.513131034103	0.886343854235	-0.074433204522	0.000268169851	0.878894867958	N\A	0.027579649256	0.004972719035	38	16	-0.000845653478	Global Trend	
1050000	238.435478	1	0.804044013016	0.918659568395	-0.069238256984	0.000372273888	0.890527122343	N\A	0.035152078755	0.008114649902	45	15	-0.002719460467	Global Trend	
1100000	237.790817	1	0.678510567203	0.881058828781	-0.058928545808	0.001016642345	0.861075714423	N\A	0.035574087821	0.008631174473	22	16	-0.010822296605	Global Trend	
1150000	250.720823	1	0.465035519167	0.931330956216	-0.070721246630	0.000140463109	0.902855068826	N\A	0.029889521057	0.007651453770	40	17	-0.001877545685	Global Trend	
1200000	254.514661	1	0.191365833901	0.863638924165	-0.058658236879	0.000230687325	0.871401904784	N\A	0.036279158125	0.008920862623	41	19	-0.000594387658	Global Trend	
1250000	243.284036	1	0.495484361682	0.956115733879	-0.070905886434	0.001145680440	0.857379405693	N\A	0.034584642593	0.007877265427	29	15	-0.011804043646	Global Trend	
1300000	257.201524	1	0.259961647813	1.026933059645	-0.099474454727	0.001030274972	0.895422935933	N\A	0.026460478738	0.005440763873	49	20	0.009387237713	Global Trend	
1350000	259.814286	1	0.542327062848	0.878095381153	-0.063344081051	0.000918240228	0.875967377710	N\A	0.036591531796	0.008497836477	36	14	-0.004503573194	Global Trend	
1400000	270.200963	1	0.456310474674	0.989207956983	-0.081140305894	0.000552158486	0.932484609524	N\A	0.025163060910	0.005296859213	45	24	-0.014363207452	Global Trend	
1450000	255.663740	1	0.769688995580	1.034796532980	-0.103082446650	0.000991465848	0.926717172239	N\A	0.022611213609	0.006058320887	34	27	-0.035315940423	Global Trend	
