Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  NEO_d1_m7-glob-004.txt
Log File Name:                   NEO_d1_m7-glob-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            4177588168
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   NEO_d1_m7-glob-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.036913
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.86 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	Global Trend	
2150000	657.277565	1	-0.403607762966	1.112969532559	0.005553615639	-0.003728946251	0.000221480962	0.993163029569	N\A	0.014383313620	0.014198914187	0.001578096471	35	4	0.025709183723	Global Trend	
2200000	652.638541	1	-0.088317815976	1.114260241330	0.033727219130	-0.009448824209	0.000617814305	0.993015864849	N\A	0.014263414878	0.014102161611	0.001698944429	39	4	0.031248855789	Global Trend	
2250000	650.796240	1	-0.086074451449	1.109883336564	-0.010623966804	-0.002724974952	0.000725582226	0.998323727967	N\A	0.013706653906	0.009330837705	0.001038080928	42	4	0.041835876255	Global Trend	
2300000	658.404945	1	-0.099974347402	1.134762704928	-0.008949240532	-0.004851744872	0.000319431644	0.993655733431	N\A	0.012820375583	0.013312438789	0.001605769623	30	4	0.038260112921	Global Trend	
2350000	650.578283	1	-0.103900300996	1.132594580917	-0.003962528400	-0.004319358565	0.000358001826	0.993753609373	N\A	0.014118949007	0.014928931741	0.001800883325	36	3	0.054518454023	Global Trend	
2400000	640.999844	1	-0.050080379801	1.107977499149	0.016627050715	-0.005410556016	0.000329946915	0.992197477100	N\A	0.016438739200	0.016250212233	0.001943826797	46	4	0.040049588091	Global Trend	
2450000	653.455112	1	-0.501065330916	1.112261064504	-0.019702012536	-0.001313146257	0.000177256953	0.992062434916	N\A	0.016483402251	0.016002161242	0.001912477728	35	4	0.028304040784	Global Trend	
2500000	658.852424	1	-0.051416130688	1.122071051818	-0.007840593827	-0.002313019468	0.000376202048	0.992430182035	N\A	0.017340273993	0.015928552020	0.001906363625	45	4	0.039110647562	Global Trend	
2550000	651.781918	1	0.034999607382	1.097607662593	0.007802348847	-0.004284307689	0.000365744467	0.994631088154	N\A	0.011397409135	0.011936870300	0.001428979820	45	3	0.050730752744	Global Trend	
2600000	653.005669	1	0.002574143452	1.155569553775	-0.039682826334	-0.002354255104	0.000269174417	0.993255375833	N\A	0.016458054222	0.016110883795	0.001696748222	26	4	0.039930811612	Global Trend	
2650000	656.127167	1	0.243626225653	1.079254086309	0.027458641248	-0.005865431315	0.000224876858	0.994440544062	N\A	0.010852870266	0.011701527971	0.001481401667	40	6	0.009263534360	Global Trend	
2700000	655.466260	1	-1.061430652135	1.113099404782	0.016308783757	-0.006309163461	0.000171804236	0.993134175369	N\A	0.013395831177	0.013734912316	0.001817110371	38	5	0.014743847910	Global Trend	
2750000	651.147239	1	-0.910713438435	1.119418065333	-0.001778190369	-0.004864978094	0.000093870408	0.993029325093	N\A	0.013390068835	0.014025372817	0.001734031821	39	5	0.004141914474	Global Trend	
2800000	643.547353	1	-1.038446865585	1.141687658596	0.002522884813	-0.007463884646	0.000079448532	0.991823058372	N\A	0.012731288528	0.014198748576	0.001996222749	40	7	-0.001752930170	Global Trend	
2850000	674.166207	1	-1.275837405775	1.131288914468	0.001324532099	-0.006136026043	0.000054810016	0.992455094746	N\A	0.015408941276	0.014778256908	0.001841092121	35	8	-0.003579888641	Global Trend	
2900000	662.502997	1	-1.196471035468	1.137217369621	-0.032517877664	-0.001941450560	0.000037901311	0.991681430019	N\A	0.017662307932	0.016042029527	0.001742184617	39	8	-0.001867924229	Global Trend	
2950000	659.885496	1	-0.942468021021	1.135915256587	-0.024536275100	-0.001226137680	0.000017908561	0.992608049643	N\A	0.015258633809	0.014569702754	0.001820760978	39	7	0.001485845245	Global Trend	
3000000	655.061558	1	-0.890551452775	1.139528654497	-0.000978295873	-0.005537852516	0.000035542806	0.991735962296	N\A	0.017694015887	0.016819414855	0.001923926974	45	6	0.000347577136	Global Trend	
3050000	662.679208	1	-1.117477411954	1.137792738864	-0.024293233478	-0.003255833895	0.000050233055	0.993195634626	N\A	0.015324978279	0.014426695455	0.001588503653	43	6	0.003362237838	Global Trend	
3100000	640.458962	1	-1.073381313430	1.109867627236	-0.024656433827	-0.000355587764	0.000064412145	0.992361837178	N\A	0.014931449175	0.014356360235	0.001801004066	47	6	0.002009515724	Global Trend	
3150000	658.523585	1	-1.118527846836	1.172464994531	-0.056520676239	-0.000484802084	0.000020898175	0.991327993781	N\A	0.018665952907	0.017221011500	0.002010870116	41	6	0.000634535396	Global Trend	
3200000	643.303355	1	-0.743200226166	1.081156172050	0.036594832291	-0.008284706665	0.000047076466	0.992561867923	N\A	0.014327506795	0.013228790908	0.001649342019	39	8	0.001598793005	Global Trend	
3250000	654.908675	1	-0.761718970694	1.063965846026	0.044084829140	-0.006474996121	0.000011836590	0.994188122010	N\A	0.011363543391	0.011722452721	0.001484173466	53	8	-0.000324152508	Global Trend	
3300000	638.952127	1	-0.791902759687	1.115321882666	-0.027159805875	-0.000348458209	0.000021296315	0.991702944190	N\A	0.015092653679	0.014170720816	0.001779571326	38	7	-0.000111339137	Global Trend	
3350000	664.088294	1	-0.814961268609	1.121209753211	-0.004611661902	-0.003292953949	0.000054858361	0.992449204053	N\A	0.015960656610	0.015044855907	0.001789052688	50	5	0.005014084912	Global Trend	
