Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SCH_d1_m9-VR-005.txt
Log File Name:                   SCH_d1_m9-VR-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            4147456392
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SCH_d1_m9-VR-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Branch	No RJ Local Node	
2150000	470.005417	1	-1.916978337366	1.351997268155	-0.059262335463	-0.076781455096	0.017376791365	0.000132149675	0.961129813120	N\A	0.121780173697	0.018260721347	0.048115450486	0.009012238669	43	22	
2200000	472.028392	1	-1.991991838408	1.402550887127	-0.071234366241	-0.073900014252	0.016990938617	0.000117517589	0.965474980567	N\A	0.101047312483	0.014431102055	0.044209366013	0.007499548558	57	23	
2250000	455.766044	1	-1.988338430141	1.423082978953	-0.067663294058	-0.087652715819	0.010837481531	0.000118387619	0.964059075880	N\A	0.116271121557	0.016307741433	0.047818630358	0.007854378996	56	30	
2300000	459.845373	1	-2.197198838344	1.531544296164	-0.081759495552	-0.143292588569	0.024509881057	0.000137753055	0.958196015479	N\A	0.129117525737	0.018596313752	0.052314026073	0.009548233742	44	22	
2350000	446.660618	1	-1.987263141045	1.415572961555	-0.076646223434	-0.030605155037	0.011330595658	0.000168290798	0.961952141483	N\A	0.128258961370	0.019916096328	0.050708658804	0.009854834121	51	20	
2400000	452.541746	1	-1.971440904183	1.352601457850	-0.055240766473	-0.061836119240	0.009807912703	0.000116446426	0.958500095047	N\A	0.117156191552	0.015817299396	0.051048253605	0.008231477199	44	20	
2450000	469.297948	1	-1.995935685420	1.394690349754	-0.060736928783	-0.098462461067	0.016850742372	0.000139086455	0.967483893690	N\A	0.122958470771	0.017851700658	0.049076126885	0.009108125275	52	29	
2500000	467.093343	1	-1.873338262775	1.341196890888	-0.067741142457	-0.026861818830	0.012523117624	0.000109357184	0.963721148123	N\A	0.112957679507	0.016055410823	0.048454063864	0.008174769857	52	31	
2550000	453.079410	1	-2.074029496260	1.484410562275	-0.072619609124	-0.131745305668	0.016664384904	0.000113268953	0.960926416406	N\A	0.118574530570	0.016430438840	0.050778201982	0.008529406865	47	23	
2600000	449.404685	1	-1.846841169233	1.276087395414	-0.036181645045	-0.097494086150	0.009472725642	0.000119223918	0.961189132761	N\A	0.124365430880	0.017749469635	0.051095097662	0.009063294016	49	22	
2650000	469.106322	1	-1.789691358291	1.295052635406	-0.058613650607	-0.046457339677	0.014546837003	0.000121974040	0.962417820891	N\A	0.105145722406	0.015625008927	0.044504951823	0.008059226762	43	25	
2700000	463.914503	1	-2.157255229055	1.523911472509	-0.082015255606	-0.099685101737	0.013016670520	0.000135168577	0.959621650830	N\A	0.110603710523	0.015734330055	0.047161142632	0.008038717597	46	19	
2750000	472.045699	1	-2.043557168976	1.438702872767	-0.070122522346	-0.084876704259	0.013690689738	0.000126734369	0.966720619815	N\A	0.113920677021	0.015997129499	0.048363709717	0.008756401966	43	28	
2800000	454.745598	1	-2.177611014481	1.521055225873	-0.075939443558	-0.139933135924	0.020442519829	0.000197380687	0.961183689875	N\A	0.109918735057	0.015431912926	0.048443912161	0.008419638093	42	21	
2850000	471.245842	1	-2.375301358139	1.666223439620	-0.086217664835	-0.233250056339	0.032504437872	0.000111858505	0.961355301414	N\A	0.123164063650	0.017051847120	0.052898197540	0.008947613269	40	19	
2900000	469.136601	1	-1.707538914452	1.226418921711	-0.049771272029	-0.011138001129	0.008290830919	0.000131023492	0.964934907258	N\A	0.109325965346	0.016030305469	0.044552528259	0.008065519065	44	20	
2950000	455.760541	1	-2.097960421786	1.452432692573	-0.064041423209	-0.112632321766	0.013043638052	0.000109083490	0.965404282149	N\A	0.115206001165	0.016294317409	0.048265026605	0.008087524570	51	24	
3000000	461.706481	1	-1.847978047358	1.270367893914	-0.042711955941	-0.036221998685	0.003508785968	0.000255922988	0.964583381911	N\A	0.102485719493	0.013878953111	0.046796997347	0.007988680644	43	35	
3050000	467.871937	1	-2.140002020408	1.528400973763	-0.090824257095	-0.105361436625	0.024996503350	0.000113103995	0.963182253690	N\A	0.124003989047	0.017586385180	0.049757804420	0.008653786523	38	24	
3100000	464.818839	1	-2.291150829371	1.605154647077	-0.077263895285	-0.235116077804	0.033413517332	0.000120857433	0.965907635335	N\A	0.122173333079	0.017835031327	0.050560897270	0.009046662130	48	18	
3150000	451.712225	1	-2.412082935246	1.718768855042	-0.110487961244	-0.161973997145	0.031533692469	0.000096774206	0.967327006806	N\A	0.105098295267	0.015192754144	0.045619607457	0.007899183684	52	23	
3200000	463.942044	1	-2.115257396126	1.475924813766	-0.067604656356	-0.141751531749	0.022079577568	0.000122341456	0.962730606058	N\A	0.125704211033	0.018112714882	0.051834312786	0.009410263121	46	21	
3250000	467.563881	1	-2.334256980985	1.634870690710	-0.085952300957	-0.201330758909	0.023685029864	0.000095568671	0.964991392405	N\A	0.110116966922	0.016017078570	0.046007906094	0.007929407131	43	30	
3300000	456.521593	1	-2.513481550556	1.785648780870	-0.111380913860	-0.224090456048	0.033875322965	0.000114605292	0.962335618273	N\A	0.128205968169	0.018020931264	0.052325835470	0.009168925093	48	31	
3350000	463.624376	1	-2.192295089982	1.541417180345	-0.082759876709	-0.115127280951	0.016544836775	0.000161746388	0.960082541125	N\A	0.107808851107	0.015337499833	0.047528159031	0.008197162427	45	24	
3400000	469.447597	1	-1.864751408417	1.309128375830	-0.049336658498	-0.056005722176	0.005224820189	0.000086687710	0.963985467704	N\A	0.116956392306	0.016526760047	0.049563594923	0.008658680120	46	21	
3450000	459.333544	1	-2.135877282453	1.476935192069	-0.059996209736	-0.147904003266	0.011643324034	0.000123967940	0.958917690155	N\A	0.126048014550	0.017988497570	0.052455353874	0.009147803649	45	19	
3500000	478.131982	1	-2.164991470017	1.531673325793	-0.087218029278	-0.107303522724	0.021453288341	0.000107368396	0.967824934588	N\A	0.116057701728	0.016070441170	0.047298466833	0.007973604567	53	30	
3550000	468.435580	1	-1.674987100097	1.171912378492	-0.039283497503	0.035176408743	-0.005138564149	0.000111215115	0.962376603982	N\A	0.104650193281	0.015595859544	0.043812915425	0.007955833554	45	22	
3600000	452.193157	1	-2.183615363385	1.531348127565	-0.083953486524	-0.090687955202	0.015595256921	0.000118315533	0.957252132150	N\A	0.127300855546	0.019108832951	0.052062803709	0.009460022960	47	20	
3650000	461.587262	1	-1.679855231800	1.186294252050	-0.031635473678	-0.051131209946	0.003939174453	0.000098704316	0.964436017475	N\A	0.110899744938	0.016816500837	0.045884518214	0.008776813886	47	34	
3700000	460.329127	1	-2.069369224410	1.447704779951	-0.071576092759	-0.084872420113	0.014787860236	0.000106905532	0.962698616143	N\A	0.113373754136	0.015773127570	0.048811300264	0.008042742030	49	21	
3750000	470.905453	1	-2.168574203120	1.520227377213	-0.075786619714	-0.157067572253	0.024899143871	0.000159609805	0.963268081770	N\A	0.109386612482	0.014435551157	0.049026763711	0.008019855066	43	28	
3800000	460.685456	1	-1.748868363118	1.196901325243	-0.038181963738	-0.010278530824	0.003916654415	0.000092015898	0.960721207330	N\A	0.106622738756	0.014811693902	0.046869827822	0.007886908956	49	32	
3850000	464.640583	1	-2.142304374669	1.519365938510	-0.082462254971	-0.142134150430	0.028446032500	0.000117644650	0.960830558331	N\A	0.110279177138	0.015445351093	0.046668050345	0.008025870733	45	25	
3900000	464.117926	1	-1.924931862541	1.375286410194	-0.056765417898	-0.106394675719	0.012771464222	0.000108825357	0.962565388731	N\A	0.111356687751	0.015172239642	0.047864471508	0.008042617961	44	20	
