Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  DIE_d1_m9-fab-005.txt
Log File Name:                   DIE_d1_m9-fab-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            257253371
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   DIE_d1_m9-fab-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.175894
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.74 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	
2150000	736.876852	1	-0.956628434776	0.902722853471	0.008379390890	0.064722789209	-0.010019717619	0.000026150435	0.992419517470	N\A	0.051069257937	0.007390980148	0.020353577290	0.003913856585	25	4	
2200000	732.298129	1	-0.809047423845	0.773884656432	0.025817368718	0.137273472360	-0.024102396307	0.000036672266	0.992415649663	N\A	0.051816173689	0.007379268791	0.022156567337	0.004171265702	35	4	
2250000	732.248578	1	-0.844082359988	0.841315008707	0.009428185301	0.096021579615	-0.007715750774	0.000020103496	0.992406787649	N\A	0.045494814127	0.006709019049	0.020495546647	0.003945675061	29	4	
2300000	732.935137	1	-0.982491218456	0.911390755109	0.007166144247	0.074179689580	-0.012029399675	0.000024623392	0.992333694577	N\A	0.049885420260	0.006590975160	0.022865516154	0.003830907003	38	4	
2350000	747.331131	1	-1.120934281826	1.010464912023	-0.002511729318	0.014095971966	-0.004034843670	0.000006050543	0.992777283223	N\A	0.051809724117	0.007265645767	0.022014351965	0.004065381134	42	4	
2400000	724.411426	1	-1.089610490716	0.988500766735	-0.005124048780	0.058839114440	-0.007771352683	0.000003604258	0.992113137262	N\A	0.058370767229	0.008780773257	0.024329599214	0.004910303857	34	4	
2450000	722.411366	1	-0.796786847472	0.770761842251	0.023553332731	0.132835744105	-0.018792025396	0.000019869255	0.992912609053	N\A	0.053549008053	0.008785008042	0.021140988140	0.004816565725	38	3	
2500000	733.920072	1	-0.881635945085	0.843354483426	0.014033631059	0.104020630349	-0.015738055432	0.000022522737	0.992251891115	N\A	0.057559743680	0.009053151296	0.022622347720	0.004848077046	29	4	
2550000	733.465365	1	-0.892995392391	0.853277200520	0.012502585774	0.093323026509	-0.011648641055	0.000027229768	0.992301048547	N\A	0.055172757273	0.008715771668	0.021502058968	0.004513283835	34	3	
2600000	733.257466	1	-0.893288903057	0.848858277815	0.015848291532	0.088769198983	-0.014530991834	0.000021629333	0.993385451838	N\A	0.047849630150	0.006948520707	0.020745096190	0.003810701722	33	5	
2650000	725.393076	1	-0.886115315887	0.828792907050	0.021443966438	0.102976003394	-0.020891751950	0.000023576856	0.991915846875	N\A	0.056831947649	0.008561401426	0.022925240837	0.004609110790	25	4	
2700000	734.579651	1	-0.898891864685	0.861214595804	0.012852313494	0.085271731632	-0.012352449605	0.000024720031	0.992601145788	N\A	0.054749665478	0.008528443807	0.021653058806	0.004570111174	39	3	
2750000	716.828462	1	-1.231911823039	1.114811274120	-0.028683900597	0.020414343949	0.005320526339	0.000020764373	0.991393504062	N\A	0.051192379522	0.007216678786	0.023153649787	0.004338794589	49	4	
2800000	735.535386	1	-0.840606964401	0.797190088446	0.024382682620	0.113946066224	-0.019720322576	0.000030801927	0.992468832855	N\A	0.056405793225	0.008281269994	0.024049688294	0.004725413194	28	4	
2850000	732.126101	1	-0.814471746521	0.807291353887	0.013518811258	0.127178023253	-0.014355520897	0.000028313038	0.992409468299	N\A	0.053207571468	0.008176940365	0.020912864942	0.004034712565	36	3	
2900000	735.271050	1	-0.986818013319	0.912315295983	0.009950879521	0.059699555977	-0.011069376632	0.000026216041	0.992179884925	N\A	0.051281996517	0.007762053036	0.021385835797	0.004470503672	30	5	
2950000	736.184132	1	-1.063140675390	0.976843882981	-0.005671137669	0.065228853034	-0.006290631318	0.000024512675	0.991862344895	N\A	0.061091593573	0.009305736920	0.024059949142	0.004962810180	35	4	
3000000	719.600718	1	-0.730729894649	0.768172481996	0.019933080225	0.117689904644	-0.014912283831	0.000027125171	0.990922719899	N\A	0.059210334096	0.009100656186	0.023779971683	0.004879988913	28	3	
3050000	721.572905	1	-0.869151320567	0.820483091700	0.025549297133	0.079920164255	-0.017499814154	0.000018771027	0.994664402634	N\A	0.059559057754	0.009287613771	0.022943183677	0.004840003065	44	3	
