Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MED_d1_m2-VR-005.txt
Log File Name:                   MED_d1_m2-VR-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2962425218
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MED_d1_m2-VR-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Branch	No RJ Local Node	
1500000	496.344496	1	1.159300309113	0.564393064369	-0.129808575835	-0.207060537137	0.083905032422	-0.109012150018	-0.172142748420	0.046815024515	0.076374583563	-0.024303614342	-0.023371547038	-0.027846504936	0.000189446420	0.969924497019	N\A	0.046393649196	0.156877401416	0.151119072357	0.167595778168	0.168962479958	0.227728395648	0.047245282381	0.047608663742	0.050117912215	0.053989791892	0.050044507079	33	29	
1550000	489.741963	1	1.316739971553	0.493804076180	-0.519809784707	-0.529498252122	-0.335456251938	-0.340248031357	-0.008351223745	0.117640635734	0.127314861399	0.067234410470	0.041494982800	0.013416669709	0.000171719982	0.966292955410	N\A	0.072139742170	0.236101288689	0.232115294644	0.248250262483	0.240809195461	0.283860470506	0.072941380430	0.072869010102	0.076164431833	0.075224131963	0.074189386986	47	29	
1600000	457.228085	1	2.236167246076	0.544924829526	-1.312519725527	-1.363680133887	-0.850598224478	-1.299219493408	-1.297630589739	0.070234669033	0.069019882737	-0.035189410709	0.064553119985	-0.020967984663	0.000256740525	0.962805046211	N\A	0.043780564636	0.556473669765	0.555356628039	0.561989105776	0.564575823967	0.651934668539	0.045133773411	0.045271399735	0.047969988070	0.059152840665	0.046083461998	45	23	
1650000	470.076159	1	1.421594198994	0.596239713080	-0.581349336971	-0.502026946176	-0.222902869847	-0.575287172064	-0.424604276798	0.033063523185	0.034075985026	-0.055473966267	0.038762334217	-0.072728184305	0.000311528511	0.964752786450	N\A	0.054059638735	0.190583422347	0.186193437766	0.214139351854	0.205926569956	0.287998954968	0.054857754003	0.055398013618	0.059725344420	0.061523393169	0.057631917236	35	33	
1700000	471.121273	1	0.710249827511	0.732824112850	0.172415303397	0.098366312591	0.451876287114	0.323509737274	0.486005325178	-0.139755242901	-0.087163534031	-0.170562158263	-0.174524725274	-0.240821777438	0.000299806541	0.952423985812	N\A	0.056584221953	0.235622757019	0.230584142787	0.250384979726	0.250412498203	0.280244419049	0.058225876891	0.057907977250	0.061358635589	0.065125258194	0.059184628327	45	14	
1750000	465.699866	1	0.715704262246	0.705491516847	0.015599591064	-0.008979651749	0.447471626123	0.257071195184	0.659981805959	-0.081413741874	-0.081496178096	-0.167793652701	-0.174661767943	-0.217147579164	0.000224387114	0.955452287699	N\A	0.042107803457	0.165141768203	0.159874644809	0.183453602771	0.201151438585	0.243379396820	0.043945860573	0.043770755341	0.048385622239	0.052780815269	0.046206996918	57	25	
1800000	482.852075	1	1.007685593387	0.482970508816	-0.132430840177	-0.197517979493	0.302486246299	-0.075255913887	0.192707522276	0.127489134209	0.141014969192	0.104377163239	0.095680654327	0.025353139576	0.000088345959	0.960379351577	N\A	0.097796649618	0.205883612353	0.199470833031	0.274189718839	0.204978028667	0.229419641935	0.098482638343	0.098490202914	0.100841793300	0.100614505758	0.099161704923	46	30	
1850000	483.876996	1	0.611566898247	0.672645440446	0.178302477401	0.251482246539	0.713826754253	0.191476763727	0.606398762491	-0.056642244473	-0.013965205293	-0.165362403053	-0.039873135616	-0.141199929781	0.000157112998	0.969180043169	N\A	0.089587494564	0.280647306261	0.264524395572	0.284426330053	0.268602614534	0.287226317947	0.090141464218	0.090124045852	0.093891088868	0.092948485751	0.091163373915	48	31	
1900000	464.434889	1	0.497847527757	0.662129985751	0.279273831293	0.322433247434	0.690702011094	0.341520632210	0.821065179968	-0.037158549341	-0.037406902241	-0.097972141060	-0.027990251840	-0.149111014324	0.000116146658	0.966413768449	N\A	0.069561027431	0.170950703747	0.164734567167	0.205415500137	0.185920729312	0.211045088860	0.070372998948	0.070297519242	0.076125030047	0.075070547214	0.071294909253	50	32	
1950000	497.540830	1	0.822070185027	0.684961233602	0.016706556124	0.045727864275	0.458827557428	0.306921023265	0.314784908009	-0.055613312431	-0.023606591294	-0.126857556276	-0.165136375984	-0.184506451599	0.000136296706	0.966656381767	N\A	0.069047408381	0.222670945778	0.221420363209	0.248752353839	0.246885892400	0.256101624109	0.069755145308	0.069868037056	0.073345980641	0.076184614072	0.071756413082	51	37	
