Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MOB_d1_m7-glob-001.txt
Log File Name:                   MOB_d1_m7-glob-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2252034554
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MOB_d1_m7-glob-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.114840
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.79 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	Global Trend	
2150000	306.021640	1	-0.913291008431	0.850561738022	0.236534529321	-0.040770429277	0.000338195973	0.923888230797	N\A	0.049957402105	0.045350193156	0.006319645947	40	23	0.005446470689	Global Trend	
2200000	332.957059	1	-0.639860161794	0.801615884663	0.224307846909	-0.027238522385	0.000197032405	0.999950279346	N\A	0.039714211048	0.043303783283	0.004390464303	47	23	-0.430928899147	Global Trend	
2250000	305.570938	1	-0.569111608848	0.716066157693	0.331167152738	-0.046389952331	0.000334810770	0.999983647515	N\A	0.036784861764	0.040615025501	0.004987059695	36	21	1.145818288248	Global Trend	
2300000	311.214993	1	-1.104425085182	0.719264037381	0.303850574725	-0.031056478565	0.000237332268	0.998949496622	N\A	0.041201318081	0.045278739049	0.004931409892	37	24	-0.147253652375	Global Trend	
2350000	297.522140	1	-1.262863111429	0.839334737245	0.180200398284	-0.019843044493	0.000383477215	0.999918961003	N\A	0.029755647362	0.033516277473	0.005110230159	48	16	-0.579563757075	Global Trend	
2400000	314.357247	1	-1.240152244988	0.892756027382	0.129576684647	-0.012228223624	0.000430859635	0.992838138058	N\A	0.038681932179	0.042238311575	0.005225180863	46	19	0.080244719984	Global Trend	
2450000	301.369863	1	-1.063440503454	0.758056952828	0.278409657989	-0.025105010478	0.000289645920	0.995117796173	N\A	0.046595493613	0.050898010964	0.005831936339	34	21	0.065494489427	Global Trend	
2500000	314.172141	1	-0.873510839558	0.865723998493	0.143273150898	-0.018298872367	0.000346986310	0.998243505021	N\A	0.040841482743	0.045015440820	0.005331556234	52	24	-0.133438206580	Global Trend	
2550000	289.152494	1	-1.205622592036	0.840013444271	0.190450829834	-0.029656034240	0.000296846056	0.999945825844	N\A	0.046426463768	0.050716290197	0.005292792649	37	21	0.453467573383	Global Trend	
2600000	299.374921	1	-0.654004839244	0.769876898348	0.275104169386	-0.036647477171	0.000339551203	0.998798412313	N\A	0.047712559804	0.052095484808	0.005524239226	42	19	0.171303901647	Global Trend	
2650000	291.052315	1	-0.361440122297	0.679808277636	0.383920270908	-0.040063700448	0.000999200273	0.986381132506	N\A	0.052702037853	0.056998387604	0.006517192045	32	24	0.148834310217	Global Trend	
2700000	303.985039	1	-0.634636512085	0.720432484575	0.320287891065	-0.041413562835	0.000386036934	0.999905012656	N\A	0.044487941414	0.049033029414	0.005570283220	38	20	-0.670441110571	Global Trend	
2750000	324.868139	1	-0.641191940608	0.776667316167	0.258906209166	-0.034288241700	0.000280657594	0.999943390027	N\A	0.044151821549	0.048260797616	0.005090688851	40	23	0.658523776914	Global Trend	
2800000	310.448485	1	-1.221224040950	0.766577823146	0.268714326146	-0.037647260001	0.000496458869	0.999480593248	N\A	0.037722200534	0.041501702785	0.004855660435	41	22	0.314367895216	Global Trend	
2850000	305.422816	1	-0.438512972842	0.767587724063	0.267772922356	-0.033808583456	0.000258496765	0.999972706076	N\A	0.043050545190	0.047126550200	0.005115884331	48	20	0.805082541574	Global Trend	
2900000	295.649009	1	-0.940980861860	0.788626791267	0.233957137975	-0.022632485985	0.000300485362	0.999990169094	N\A	0.045863994240	0.050452806174	0.005571157359	41	21	-1.460966506539	Global Trend	
2950000	284.054941	1	-0.833378386402	0.766526834381	0.280523129333	-0.031763165246	0.000574633171	0.959360970811	N\A	0.048850262763	0.050794736479	0.005933619632	33	22	0.027155836508	Global Trend	
3000000	308.851363	1	-1.627117836779	0.766265180662	0.265024938533	-0.030228233904	0.000492607703	0.999253383143	N\A	0.022292975236	0.025518320754	0.004123328698	34	20	-0.263423876704	Global Trend	
3050000	321.516903	1	-0.951261401976	0.799168649453	0.214552352960	-0.017083557874	0.000748794603	0.999716721128	N\A	0.038187550751	0.042120187368	0.004971480023	45	25	-0.659550020440	Global Trend	
3100000	312.983928	1	-0.725820073661	0.655272859140	0.284499492391	-0.021618927192	0.000755355064	0.932787867037	N\A	0.047442500256	0.044682851021	0.006176485243	33	24	0.008052048888	Global Trend	
3150000	328.807873	1	-1.167685986571	0.851581228058	0.171160753774	-0.023166811680	0.000326608285	0.999983731061	N\A	0.036228531458	0.039703807869	0.004663010069	43	23	-1.185271748463	Global Trend	
3200000	321.617810	1	-1.127508822214	0.807080948813	0.221516037148	-0.028143823807	0.000351671826	0.999710036589	N\A	0.029074333739	0.032509454152	0.004492307598	48	21	0.330205734811	Global Trend	
3250000	324.978817	1	-1.420768643639	0.826062677836	0.189925801623	-0.016093691548	0.000203543927	0.999973824617	N\A	0.038755589493	0.042529886886	0.004661934419	37	28	-0.787109554764	Global Trend	
3300000	317.939072	1	-1.317040364384	0.771907946986	0.269883877959	-0.034340793393	0.000280838298	0.927912820021	N\A	0.048617034161	0.039158453977	0.006038892940	39	25	0.002507865524	Global Trend	
