Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  CEREB_d1_m5-glob-005.txt
Log File Name:                   CEREB_d1_m5-glob-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1616524762
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   CEREB_d1_m5-glob-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.111269
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.79 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	566.827773	1	-0.964927535105	1.045121666647	-0.004343482336	0.000018010952	0.993487845798	N\A	0.025430623386	0.004235821159	34	2	0.000044910400	Global Trend	
1050000	578.923023	1	-0.859898406705	0.999929714821	0.001857319446	0.000078067592	0.983708222242	N\A	0.026087539512	0.003897489882	34	2	0.007214666931	Global Trend	
1100000	568.098389	1	-1.111683064836	1.122142630304	-0.013632143342	0.000055434086	0.988294344856	N\A	0.027672408476	0.003945689440	41	0	0.001723857327	Global Trend	
1150000	567.062298	1	-1.089028277782	1.127746711443	-0.016895386635	0.000092437376	0.987764046932	N\A	0.031626374366	0.004818378630	40	0	-0.001002556218	Global Trend	
1200000	571.506213	1	-0.856167167152	0.998946869355	0.000913249814	0.000079527560	0.998954987335	N\A	0.002324756880	0.001170665583	42	2	0.116991034734	Global Trend	
1250000	578.299892	1	-0.949864275280	1.026868905095	-0.001107174420	0.000066130429	0.981248436039	N\A	0.028363220121	0.004340161961	24	0	-0.005706204280	Global Trend	
1300000	576.432765	1	-1.114232870731	1.106787384648	-0.012217020889	0.000080768404	0.983350445886	N\A	0.032035817256	0.004648147913	46	2	-0.003495300717	Global Trend	
1350000	573.292957	1	-0.943005999302	1.043588786637	-0.004120877778	0.000095006931	0.984639372016	N\A	0.027841807598	0.004290475701	38	1	-0.000113770360	Global Trend	
1400000	571.888461	1	-1.064894023259	1.128701514581	-0.013214602097	0.000088887442	0.985253305856	N\A	0.029137828451	0.004373620174	32	2	0.003376579239	Global Trend	
1450000	563.599445	1	-0.985167654701	1.070277115476	-0.007277108746	0.000073627532	0.986609087209	N\A	0.032037180184	0.004528882980	43	0	0.000539844623	Global Trend	
1500000	558.295210	1	-1.152868119688	1.141845505527	-0.015762503485	0.000087079766	0.984508317635	N\A	0.031314257631	0.004506154523	31	0	-0.001175905675	Global Trend	
1550000	576.878408	1	-0.880321714213	1.033474254460	-0.002079138069	0.000065004039	0.990983312952	N\A	0.019522217929	0.002926443386	42	0	0.007390155181	Global Trend	
1600000	576.529117	1	-1.022820578270	1.057706164163	-0.004121892599	0.000097413078	0.984614882330	N\A	0.026986631847	0.004233592043	40	1	-0.004510455906	Global Trend	
1650000	569.842477	1	-0.988000328031	1.043814973337	-0.003612114051	0.000080466860	0.981650809185	N\A	0.030349828335	0.004598938873	35	1	-0.005595231996	Global Trend	
1700000	575.450973	1	-1.088338114806	1.087322923785	-0.009268719495	0.000062331163	0.984091604232	N\A	0.026860948404	0.004198765566	30	1	-0.004417682537	Global Trend	
1750000	564.926128	1	-1.060666693089	1.133790901974	-0.014824658034	0.000073985103	0.982878279978	N\A	0.031659860900	0.004754606569	27	0	0.003288236691	Global Trend	
1800000	565.827982	1	-0.860933136550	1.022726480911	-0.000265959948	0.000110027989	0.982980344074	N\A	0.017451434938	0.002865503941	33	0	0.016954786400	Global Trend	
1850000	565.447449	1	-1.025131216050	1.113365204088	-0.013767452330	0.000077790839	0.983259942410	N\A	0.031127544002	0.004718561304	40	2	0.002103980866	Global Trend	
1900000	579.101837	1	-1.066439342104	1.120175004837	-0.014112690405	0.000101583475	0.985159528701	N\A	0.029921347625	0.004612241422	42	1	0.000738546072	Global Trend	
1950000	575.931155	1	-0.971271744890	1.058603881816	-0.004318746885	0.000082995476	0.982210081076	N\A	0.031958616936	0.004644559279	28	1	0.002261605890	Global Trend	
2000000	580.618054	1	-1.055067868314	1.117295109439	-0.014394386287	0.000093649325	0.985611311681	N\A	0.034414568559	0.005059486177	29	3	0.001248529147	Global Trend	
2050000	554.337751	1	-0.914199972031	1.086417492514	-0.010718832921	0.000083916374	0.982270381865	N\A	0.022010634098	0.003279253351	29	0	0.007688947015	Global Trend	
2100000	581.124966	1	-0.870284461754	0.996880650553	0.003607429767	0.000091886252	0.997976190827	N\A	0.003122321815	0.001383944862	41	1	0.089393058957	Global Trend	
2150000	575.454224	1	-1.061218419621	1.050550193838	-0.003936594998	0.000112952886	0.985639745941	N\A	0.023589278278	0.003501096773	29	0	-0.014192147149	Global Trend	
2200000	563.642958	1	-0.896233340468	1.002820676579	0.001954569659	0.000119964092	0.991473469477	N\A	0.008086885210	0.001736093455	41	0	-0.043260968847	Global Trend	
2250000	569.195255	1	-1.004860643207	1.083086280575	-0.009024239327	0.000087878441	0.984388506969	N\A	0.030710472842	0.004631738504	40	2	0.001660086907	Global Trend	
2300000	573.940983	1	-0.975664519495	1.046422908599	-0.001411227024	0.000108918949	0.986633170890	N\A	0.030808580790	0.004627191384	38	2	0.004198163576	Global Trend	
2350000	563.082137	1	-1.038170995475	1.082686943214	-0.006754950924	0.000086270523	0.979193650006	N\A	0.036866776903	0.005628237430	38	0	0.001326376438	Global Trend	
2400000	578.087587	1	-1.035006392244	1.047886303494	-0.004373741518	0.000084987779	0.985354568086	N\A	0.022539490921	0.003364717943	37	3	-0.009805502624	Global Trend	
2450000	559.851712	1	-1.037500167312	1.102237118346	-0.012900246359	0.000082622600	0.981055487667	N\A	0.035451808433	0.005420582317	34	1	-0.000251422455	Global Trend	
2500000	567.530220	1	-0.822306237497	1.000040940572	0.002393732415	0.000093659350	0.998836855945	N\A	0.002615650712	0.001351284927	34	1	0.143479767729	Global Trend	
2550000	574.485291	1	-0.990474934907	1.059622491768	-0.007786812273	0.000058795971	0.985238512541	N\A	0.029070161133	0.004246056331	38	2	-0.002920245163	Global Trend	
2600000	574.952706	1	-1.057460260640	1.119466131505	-0.012396884018	0.000081216008	0.985277423734	N\A	0.028501769793	0.004138491884	38	3	0.002620045051	Global Trend	
2650000	571.558675	1	-0.851282946074	0.996628261957	0.002659570744	0.000076256769	0.999153083543	N\A	0.002130866773	0.001135765929	43	1	-0.109849422295	Global Trend	
