Species_TTOL	MED	BOD	GroupChiroptera_mega	GroupChiroptera_micro	GroupEuarchontoglires	GroupEulipotyphla	GroupMarsupials	BOD_GroupChiroptera_mega	BOD_GroupChiroptera_micro	BOD_GroupEuarchontoglires	BOD_GroupEulipotyphla	BOD_GroupMarsupials
Dasycercus_cristicauda	2.304921	2	0	0	0	0	1	0	0	0	0	2
Dasyuroides_byrnei	2.349278	2.146128	0	0	0	0	1	0	0	0	0	2.146128
Dasyurus_geoffroii	2.81961	2.69897	0	0	0	0	1	0	0	0	0	2.69897
Dasyurus_hallucatus	2.555699	3.021189	0	0	0	0	1	0	0	0	0	3.021189
Dendrolagus_lumholtzi	3.220892	3.78533	0	0	0	0	1	0	0	0	0	3.78533
Distoechurus_pennatus	2.067443	1.633468	0	0	0	0	1	0	0	0	0	1.633468
Dorcopsis	3.129368	3.462398	0	0	0	0	1	0	0	0	0	3.462398
Echymipera_kalubu	2.626853	2.819544	0	0	0	0	1	0	0	0	0	2.819544
Gymnobelideus_leadbeateri	2.300813	2.041393	0	0	0	0	1	0	0	0	0	2.041393
Hypsiprymnodon_moschatus	2.639486	2.748188	0	0	0	0	1	0	0	0	0	2.748188
Isoodon_macrourus	2.656769	3.033424	0	0	0	0	1	0	0	0	0	3.033424
Isoodon_obesulus_obesulus	2.677424	3.004321	0	0	0	0	1	0	0	0	0	3.004321
Osphranter_antilopinus	3.603469	4.537819	0	0	0	0	1	0	0	0	0	4.537819
Macropus_giganteus	3.580469	4.563481	0	0	0	0	1	0	0	0	0	4.563481
Notamacropus_irma	3.26529	3.819544	0	0	0	0	1	0	0	0	0	3.819544
Notamacropus_parma	3.11059	3.536558	0	0	0	0	1	0	0	0	0	3.536558
Notamacropus_parryi	3.404834	4.170262	0	0	0	0	1	0	0	0	0	4.170262
Osphranter_robustus	3.515344	4.409933	0	0	0	0	1	0	0	0	0	4.409933
Osphranter_rufus	3.362963	4.494155	0	0	0	0	1	0	0	0	0	4.494155
Thylamys_pallidior	1.853698	1.477121	0	0	0	0	1	0	0	0	0	1.477121
Marmosops_impavidus	2.073718	1.845098	0	0	0	0	1	0	0	0	0	1.845098
Monodelphis_brevicaudata	2.05038	1.924279	0	0	0	0	1	0	0	0	0	1.924279
Notoryctes_typhlops	1.818226	1.531479	0	0	0	0	1	0	0	0	0	1.531479
Petauroides_volans	2.697752	3.09691	0	0	0	0	1	0	0	0	0	3.09691
Petaurus_australis	2.634578	2.748188	0	0	0	0	1	0	0	0	0	2.748188
Petaurus_breviceps	2.334856	2.113943	0	0	0	0	1	0	0	0	0	2.113943
Petaurus_norfolcensis	2.429752	2.374748	0	0	0	0	1	0	0	0	0	2.374748
Petrogale_inornata	3.138934	3.628389	0	0	0	0	1	0	0	0	0	3.628389
Petrogale_lateralis	3.045714	3.556303	0	0	0	0	1	0	0	0	0	3.556303
Petrogale_penicillata	3.242044	3.690196	0	0	0	0	1	0	0	0	0	3.690196
Petrogale_purpureicollis	3.137987	3.740363	0	0	0	0	1	0	0	0	0	3.740363
Petropseudes_dahli	2.800098	3.127105	0	0	0	0	1	0	0	0	0	3.127105
Phascolarctos_cinereus	3.219323	3.968483	0	0	0	0	1	0	0	0	0	3.968483
Planigale_ingrami	1.332438	0.826075	0	0	0	0	1	0	0	0	0	0.826075
Planigale_maculata	1.60206	1.041393	0	0	0	0	1	0	0	0	0	1.041393
Potorous_tridactylus_tridactylus	2.89304	3.089905	0	0	0	0	1	0	0	0	0	3.089905
Pseudochirulus_canescens	2.424718	2.447158	0	0	0	0	1	0	0	0	0	2.447158
Pseudochirulus_forbesi	2.542825	2.70757	0	0	0	0	1	0	0	0	0	2.70757
Sarcophilus_harrisii	3.161667	3.732394	0	0	0	0	1	0	0	0	0	3.732394
Sminthopsis_crassicaudata	1.700704	1.146128	0	0	0	0	1	0	0	0	0	1.146128
Sminthopsis_leucopus	1.866287	1.361728	0	0	0	0	1	0	0	0	0	1.361728
Phalanger_gymnotis	3.028164	3.451786	0	0	0	0	1	0	0	0	0	3.451786
Thylacinus_cynocephalus	3.716087	4.342423	0	0	0	0	1	0	0	0	0	4.342423
Thylogale_billardierii	3.266702	3.845098	0	0	0	0	1	0	0	0	0	3.845098
Thylogale_stigmatica	3.216166	3.653213	0	0	0	0	1	0	0	0	0	3.653213
Trichosurus_vulpecula	2.984752	3.30103	0	0	0	0	1	0	0	0	0	3.30103
Vombatus_ursinus	3.62995	4.357935	0	0	0	0	1	0	0	0	0	4.357935
Wallabia_bicolor	3.475235	4.198657	0	0	0	0	1	0	0	0	0	4.198657
Balionycteris_maculata	1.591	1.158	1	0	0	0	0	1.158	0	0	0	0
Casinycteris_argynnis	1.839	1.428	1	0	0	0	0	1.428	0	0	0	0
Chironax_melanocephalus	1.643	1.248	1	0	0	0	0	1.248	0	0	0	0
Cynopterus_brachyotis	1.833	1.53	1	0	0	0	0	1.53	0	0	0	0
Cynopterus_horsfieldii	1.968	1.773	1	0	0	0	0	1.773	0	0	0	0
Cynopterus_sphinx	1.924	1.713	1	0	0	0	0	1.713	0	0	0	0
Dobsonia_inermis	2.238	2.173	1	0	0	0	0	2.173	0	0	0	0
Dobsonia_moluccensis	2.431	2.543	1	0	0	0	0	2.543	0	0	0	0
Dobsonia_praedatrix	2.286	2.25	1	0	0	0	0	2.25	0	0	0	0
Eidolon_helvum	2.437	2.418	1	0	0	0	0	2.418	0	0	0	0
Eonycteris_spelaea	1.981	1.769	1	0	0	0	0	1.769	0	0	0	0
Epomophorus_labiatus	2.061	1.806	1	0	0	0	0	1.806	0	0	0	0
Epomops_franqueti	2.241	2.072	1	0	0	0	0	2.072	0	0	0	0
Hypsignathus_monstrosus	2.451	2.491	1	0	0	0	0	2.491	0	0	0	0
Macroglossus_minimus	1.616	1.164	1	0	0	0	0	1.164	0	0	0	0
Megaerops_ecaudatus	1.732	1.38	1	0	0	0	0	1.38	0	0	0	0
Megaloglossus_woermanni	1.709	1.253	1	0	0	0	0	1.253	0	0	0	0
Melonycteris_melanops	1.92	1.675	1	0	0	0	0	1.675	0	0	0	0
Melonycteris_woodfordi	1.853	1.549	1	0	0	0	0	1.549	0	0	0	0
Epomophorus_pusillus	1.803	1.4	1	0	0	0	0	1.4	0	0	0	0
Myonycteris_torquata	1.915	1.561	1	0	0	0	0	1.561	0	0	0	0
Notopteris_macdonaldi	2.027	1.841	1	0	0	0	0	1.841	0	0	0	0
Nyctimene_albiventer	1.787	1.473	1	0	0	0	0	1.473	0	0	0	0
Nyctimene_robinsoni	1.923	1.673	1	0	0	0	0	1.673	0	0	0	0
Nyctimene_vizcaccia	1.851	1.549	1	0	0	0	0	1.549	0	0	0	0
Paranyctimene_raptor	1.713	1.417	1	0	0	0	0	1.417	0	0	0	0
Pteropus_alecto	2.593	2.775	1	0	0	0	0	2.775	0	0	0	0
Pteropus_conspicillatus	2.616	2.875	1	0	0	0	0	2.875	0	0	0	0
Pteropus_hypomelanus	2.502	2.591	1	0	0	0	0	2.591	0	0	0	0
Pteropus_lylei	2.513	2.497	1	0	0	0	0	2.497	0	0	0	0
Pteropus_neohibernicus	2.679	2.924	1	0	0	0	0	2.924	0	0	0	0
Pteropus_poliocephalus	2.635	2.842	1	0	0	0	0	2.842	0	0	0	0
Pteropus_samoensis	2.513	2.491	1	0	0	0	0	2.491	0	0	0	0
Pteropus_scapulatus	2.454	2.574	1	0	0	0	0	2.574	0	0	0	0
Pteropus_temminckii	2.436	2.398	1	0	0	0	0	2.398	0	0	0	0
Pteropus_tonganus	2.56	2.652	1	0	0	0	0	2.652	0	0	0	0
Pteropus_vampyrus	2.652	3.027	1	0	0	0	0	3.027	0	0	0	0
Rousettus_aegyptiacus	2.182	2.111	1	0	0	0	0	2.111	0	0	0	0
Rousettus_amplexicaudatus	2.042	1.856	1	0	0	0	0	1.856	0	0	0	0
Scotonycteris_zenkeri	1.748	1.328	1	0	0	0	0	1.328	0	0	0	0
Sphaerias_blanfordi	1.839	1.47	1	0	0	0	0	1.47	0	0	0	0
Syconycteris_australis	1.623	1.207	1	0	0	0	0	1.207	0	0	0	0
Anoura_caudifer	1.591	1.025	0	1	0	0	0	0	1.025	0	0	0
Anoura_geoffroyi	1.716	1.204	0	1	0	0	0	0	1.204	0	0	0
Ardops_nichollsi	1.696	1.352	0	1	0	0	0	0	1.352	0	0	0
Artibeus_cinereus	1.618	1.1	0	1	0	0	0	0	1.1	0	0	0
Artibeus_concolor	1.742	1.288	0	1	0	0	0	0	1.288	0	0	0
Artibeus_jamaicensis	1.923	1.613	0	1	0	0	0	0	1.613	0	0	0
Artibeus_lituratus	1.976	1.748	0	1	0	0	0	0	1.748	0	0	0
Aselliscus_stoliczkanus	1.356	0.69	0	1	0	0	0	0	0.69	0	0	0
Aselliscus_tricuspidatus	1.294	0.643	0	1	0	0	0	0	0.643	0	0	0
Brachyphylla_cavernarum	2.026	1.648	0	1	0	0	0	0	1.648	0	0	0
Cardioderma_cor	1.854	1.415	0	1	0	0	0	0	1.415	0	0	0
Carollia_perspicillata	1.691	1.25	0	1	0	0	0	0	1.25	0	0	0
Chalinolobus_gouldii	1.528	1.068	0	1	0	0	0	0	1.068	0	0	0
Chalinolobus_morio	1.447	0.919	0	1	0	0	0	0	0.919	0	0	0
Chiroderma_salvini	1.851	1.417	0	1	0	0	0	0	1.417	0	0	0
Chiroderma_trinitatum	1.66	1.137	0	1	0	0	0	0	1.137	0	0	0
Chiroderma_villosum	1.794	1.394	0	1	0	0	0	0	1.394	0	0	0
Choeroniscus_minor	1.547	0.982	0	1	0	0	0	0	0.982	0	0	0
Coleura_afra	1.52	1.061	0	1	0	0	0	0	1.061	0	0	0
Cormura_brevirostris	1.438	0.914	0	1	0	0	0	0	0.914	0	0	0
Craseonycteris_thonglongyai	1.127	0.408	0	1	0	0	0	0	0.408	0	0	0
Desmodus_rotundus	1.903	1.56	0	1	0	0	0	0	1.56	0	0	0
Diphylla_ecaudata	1.8	1.49	0	1	0	0	0	0	1.49	0	0	0
Emballonura_monticola	1.322	0.724	0	1	0	0	0	0	0.724	0	0	0
Emballonura_raffrayana	1.364	0.771	0	1	0	0	0	0	0.771	0	0	0
Eptesicus_brasiliensis	1.417	0.964	0	1	0	0	0	0	0.964	0	0	0
Eptesicus_fuscus_bahamensis	1.493	1.134	0	1	0	0	0	0	1.134	0	0	0
Eumops_auripendulus	1.904	1.529	0	1	0	0	0	0	1.529	0	0	0
Eumops_glaucinus	1.915	1.562	0	1	0	0	0	0	1.562	0	0	0
Furipterus_horrens	1.212	0.535	0	1	0	0	0	0	0.535	0	0	0
Glischropus_tylopus	1.212	0.69	0	1	0	0	0	0	0.69	0	0	0
Glossophaga_longirostris	1.624	1.053	0	1	0	0	0	0	1.053	0	0	0
Glossophaga_soricina	1.579	0.996	0	1	0	0	0	0	0.996	0	0	0
Harpiocephalus_harpia	1.634	1.13	0	1	0	0	0	0	1.13	0	0	0
Hesperoptenus_blanfordi	1.394	0.863	0	1	0	0	0	0	0.863	0	0	0
Hipposideros_armiger	2.024	1.748	0	1	0	0	0	0	1.748	0	0	0
Hipposideros_ater	1.455	0.839	0	1	0	0	0	0	0.839	0	0	0
Hipposideros_caffer	1.592	1.041	0	1	0	0	0	0	1.041	0	0	0
Macronycteris_commersoni	1.937	1.997	0	1	0	0	0	0	1.997	0	0	0
Hipposideros_diadema	1.943	1.622	0	1	0	0	0	0	1.622	0	0	0
Hipposideros_fulvus	1.529	0.845	0	1	0	0	0	0	0.845	0	0	0
Hipposideros_lankadiva	1.968	1.686	0	1	0	0	0	0	1.686	0	0	0
Hipposideros_larvatus	1.703	1.312	0	1	0	0	0	0	1.312	0	0	0
Hipposideros_ridleyi	1.559	0.982	0	1	0	0	0	0	0.982	0	0	0
Hipposideros_speoris	1.62	1.061	0	1	0	0	0	0	1.061	0	0	0
Hipposideros_turpis	1.865	1.542	0	1	0	0	0	0	1.542	0	0	0
Ia_io	1.979	1.727	0	1	0	0	0	0	1.727	0	0	0
Kerivoula_papillosa	1.534	1.004	0	1	0	0	0	0	1.004	0	0	0
Lasiurus_borealis	1.369	0.892	0	1	0	0	0	0	0.892	0	0	0
Leptonycteris_curasoae	1.794	1.389	0	1	0	0	0	0	1.389	0	0	0
Leptonycteris_nivalis	1.748	1.358	0	1	0	0	0	0	1.358	0	0	0
Lonchophylla_mordax	1.656	1.029	0	1	0	0	0	0	1.029	0	0	0
Hsunycteris_thomasi	1.494	0.839	0	1	0	0	0	0	0.839	0	0	0
Lophostoma_silvicolum	1.935	1.509	0	1	0	0	0	0	1.509	0	0	0
Macroderma_gigas	2.271	2.078	0	1	0	0	0	0	2.078	0	0	0
Macrophyllum_macrophyllum	1.59	0.934	0	1	0	0	0	0	0.934	0	0	0
Megaderma_lyra	2.022	1.587	0	1	0	0	0	0	1.587	0	0	0
Megaderma_spasma	1.824	1.354	0	1	0	0	0	0	1.354	0	0	0
Mesophylla_macconnelli	1.524	0.875	0	1	0	0	0	0	0.875	0	0	0
Micronycteris_brachyotis	1.643	1.167	0	1	0	0	0	0	1.167	0	0	0
Micronycteris_megalotis	1.493	0.813	0	1	0	0	0	0	0.813	0	0	0
Micronycteris_minuta	1.453	0.839	0	1	0	0	0	0	0.839	0	0	0
Micronycteris_schmidtorum	1.479	0.892	0	1	0	0	0	0	0.892	0	0	0
Gardnerycteris_crenulatum	1.549	1.072	0	1	0	0	0	0	1.072	0	0	0
Miniopterus_australis	1.435	0.851	0	1	0	0	0	0	0.851	0	0	0
Miniopterus_inflatus	1.641	1.173	0	1	0	0	0	0	1.173	0	0	0
Miniopterus_magnater	1.619	1.176	0	1	0	0	0	0	1.176	0	0	0
Miniopterus_pusillus	1.456	0.934	0	1	0	0	0	0	0.934	0	0	0
Miniopterus_tristis	1.645	1.193	0	1	0	0	0	0	1.193	0	0	0
Molossus_molossus	1.629	1.137	0	1	0	0	0	0	1.137	0	0	0
Molossus_rufus	1.82	1.526	0	1	0	0	0	0	1.526	0	0	0
Monophyllus_plethodon	1.655	1.176	0	1	0	0	0	0	1.176	0	0	0
Mormoops_megalophylla	1.663	1.196	0	1	0	0	0	0	1.196	0	0	0
Murina_cyclotis	1.459	0.851	0	1	0	0	0	0	0.851	0	0	0
Murina_huttoni	1.431	0.944	0	1	0	0	0	0	0.944	0	0	0
Myotis_adversus	1.548	1.049	0	1	0	0	0	0	1.049	0	0	0
Myotis_albescens	1.258	0.602	0	1	0	0	0	0	0.602	0	0	0
Myotis_annectans	1.489	0.991	0	1	0	0	0	0	0.991	0	0	0
Myotis_bechsteinii	1.595	0.978	0	1	0	0	0	0	0.978	0	0	0
Myotis_bocagii	1.394	0.845	0	1	0	0	0	0	0.845	0	0	0
Myotis_dasycneme	1.693	1.176	0	1	0	0	0	0	1.176	0	0	0
Myotis_myotis	1.847	1.408	0	1	0	0	0	0	1.408	0	0	0
Myotis_nigricans	1.233	0.663	0	1	0	0	0	0	0.663	0	0	0
Myotis_siligorensis	1.185	0.539	0	1	0	0	0	0	0.539	0	0	0
Natalus_tumidirostris	1.425	0.839	0	1	0	0	0	0	0.839	0	0	0
Noctilio_albiventris	1.82	1.515	0	1	0	0	0	0	1.515	0	0	0
Noctilio_leporinus	2.095	1.763	0	1	0	0	0	0	1.763	0	0	0
Nyctalus_noctula	1.76	1.431	0	1	0	0	0	0	1.431	0	0	0
Nycteris_arge	1.612	1.025	0	1	0	0	0	0	1.025	0	0	0
Nycteris_grandis	1.905	1.474	0	1	0	0	0	0	1.474	0	0	0
Nycteris_hispida	1.484	0.892	0	1	0	0	0	0	0.892	0	0	0
Nycteris_javanica	1.744	1.265	0	1	0	0	0	0	1.265	0	0	0
Nycteris_macrotis	1.679	1.161	0	1	0	0	0	0	1.161	0	0	0
Nycteris_thebaica	1.598	0.949	0	1	0	0	0	0	0.949	0	0	0
Nyctophilus_geoffroyi	1.334	0.857	0	1	0	0	0	0	0.857	0	0	0
Otomops_martiensseni	1.952	1.618	0	1	0	0	0	0	1.618	0	0	0
Peropteryx_macrotis	1.307	0.748	0	1	0	0	0	0	0.748	0	0	0
Phylloderma_stenops	1.995	1.664	0	1	0	0	0	0	1.664	0	0	0
Phyllostomus_discolor	1.96	1.563	0	1	0	0	0	0	1.563	0	0	0
Phyllostomus_elongatus	1.963	1.652	0	1	0	0	0	0	1.652	0	0	0
Phyllostomus_hastatus	2.147	1.963	0	1	0	0	0	0	1.963	0	0	0
Pipistrellus_javanicus	1.26	0.653	0	1	0	0	0	0	0.653	0	0	0
Pipistrellus_tenuis	1.179	0.591	0	1	0	0	0	0	0.591	0	0	0
Afronycteris_nana	1.182	0.591	0	1	0	0	0	0	0.591	0	0	0
Hypsugo_pulveratus	1.318	0.724	0	1	0	0	0	0	0.724	0	0	0
Perimyotis_subflavus	1.262	0.724	0	1	0	0	0	0	0.724	0	0	0
Pteronotus_gymnonotus	1.648	1.134	0	1	0	0	0	0	1.134	0	0	0
Pteronotus_parnellii_mesoamericanus	1.797	1.305	0	1	0	0	0	0	1.305	0	0	0
Pteronotus_personatus	1.458	0.908	0	1	0	0	0	0	0.908	0	0	0
Rhinolophus_cornutus	1.377	0.82	0	1	0	0	0	0	0.82	0	0	0
Rhinolophus_eloquens	1.699	1.281	0	1	0	0	0	0	1.281	0	0	0
Rhinolophus_hipposideros	1.362	0.663	0	1	0	0	0	0	0.663	0	0	0
Rhinolophus_landeri	1.548	0.987	0	1	0	0	0	0	0.987	0	0	0
Rhinolophus_lepidus	1.403	0.778	0	1	0	0	0	0	0.778	0	0	0
Rhinolophus_luctus	1.829	1.516	0	1	0	0	0	0	1.516	0	0	0
Rhinolophus_macrotis	1.456	0.799	0	1	0	0	0	0	0.799	0	0	0
Rhinolophus_malayanus	1.436	0.806	0	1	0	0	0	0	0.806	0	0	0
Rhinolophus_megaphyllus	1.505	0.991	0	1	0	0	0	0	0.991	0	0	0
Rhinolophus_pearsonii	1.59	1.143	0	1	0	0	0	0	1.143	0	0	0
Rhinolophus_pusillus	1.336	0.672	0	1	0	0	0	0	0.672	0	0	0
Rhinolophus_trifoliatus	1.631	1.164	0	1	0	0	0	0	1.164	0	0	0
Rhinolophus_yunnanensis	1.712	1.371	0	1	0	0	0	0	1.371	0	0	0
Rhinonicteris_aurantia	1.493	0.934	0	1	0	0	0	0	0.934	0	0	0
Rhinophylla_pumilio	1.502	0.949	0	1	0	0	0	0	0.949	0	0	0
Rhinopoma_hardwickii	1.554	1.111	0	1	0	0	0	0	1.111	0	0	0
Rhinopoma_microphyllum	1.71	1.468	0	1	0	0	0	0	1.468	0	0	0
Rhogeessa_parvula	1.238	0.653	0	1	0	0	0	0	0.653	0	0	0
Rhynchonycteris_naso	1.196	0.58	0	1	0	0	0	0	0.58	0	0	0
Saccopteryx_bilineata	1.435	0.924	0	1	0	0	0	0	0.924	0	0	0
Saccopteryx_canescens	1.238	0.531	0	1	0	0	0	0	0.531	0	0	0
Saccopteryx_leptura	1.324	0.708	0	1	0	0	0	0	0.708	0	0	0
Scotomanes_ornatus	1.74	1.338	0	1	0	0	0	0	1.338	0	0	0
Scotophilus_dinganii	1.765	1.386	0	1	0	0	0	0	1.386	0	0	0
Scotophilus_kuhlii	1.688	1.31	0	1	0	0	0	0	1.31	0	0	0
Sphaeronycteris_toxophyllum	1.823	1.265	0	1	0	0	0	0	1.265	0	0	0
Sturnira_lilium	1.707	1.305	0	1	0	0	0	0	1.305	0	0	0
Sturnira_ludovici	1.802	1.413	0	1	0	0	0	0	1.413	0	0	0
Sturnira_tildae	1.734	1.387	0	1	0	0	0	0	1.387	0	0	0
Tadarida_aegyptiaca	1.732	1.248	0	1	0	0	0	0	1.248	0	0	0
Taphozous_australis	1.818	1.38	0	1	0	0	0	0	1.38	0	0	0
Taphozous_hildegardeae	1.836	1.438	0	1	0	0	0	0	1.438	0	0	0
Taphozous_mauritianus	1.848	1.462	0	1	0	0	0	0	1.462	0	0	0
Taphozous_melanopogon	1.826	1.356	0	1	0	0	0	0	1.356	0	0	0
Tonatia_bidens	1.897	1.468	0	1	0	0	0	0	1.468	0	0	0
Lophostoma_schulzi	1.775	1.328	0	1	0	0	0	0	1.328	0	0	0
Trachops_cirrhosus	1.989	1.567	0	1	0	0	0	0	1.567	0	0	0
Triaenops_persicus	1.588	1.137	0	1	0	0	0	0	1.137	0	0	0
Tylonycteris_pachypus	1.173	0.681	0	1	0	0	0	0	0.681	0	0	0
Tylonycteris_robustula	1.297	0.857	0	1	0	0	0	0	0.857	0	0	0
Uroderma_bilobatum	1.707	1.21	0	1	0	0	0	0	1.21	0	0	0
Vampyressa_pusilla	1.511	0.934	0	1	0	0	0	0	0.934	0	0	0
Vampyrum_spectrum	2.368	2.238	0	1	0	0	0	0	2.238	0	0	0
Alouatta_seniculus	3.202	3.806	0	0	1	0	0	0	0	3.806	0	0
Aotus_trivirgatus	2.836	2.919	0	0	1	0	0	0	0	2.919	0	0
Ateles_geoffroyi	3.263	3.903	0	0	1	0	0	0	0	3.903	0	0
Avahi_laniger	2.743	3.109	0	0	1	0	0	0	0	3.109	0	0
Plecturocebus_moloch	2.896	2.954	0	0	1	0	0	0	0	2.954	0	0
Callimico_goeldii	2.663	2.681	0	0	1	0	0	0	0	2.681	0	0
Callithrix_jacchus	2.502	2.447	0	0	1	0	0	0	0	2.447	0	0
Cebuella_pygmaea	2.303	2.146	0	0	1	0	0	0	0	2.146	0	0
Cebus_albifrons	3.24	3.491	0	0	1	0	0	0	0	3.491	0	0
Cercopithecus_ascanius	3.213	3.531	0	0	1	0	0	0	0	3.531	0	0
Cercopithecus_mitis_mitis	3.301	3.799	0	0	1	0	0	0	0	3.799	0	0
Cheirogaleus_major	2.582	2.653	0	0	1	0	0	0	0	2.653	0	0
Cheirogaleus_medius	2.305	2.248	0	0	1	0	0	0	0	2.248	0	0
Daubentonia_madagascariensis	3.181	3.447	0	0	1	0	0	0	0	3.447	0	0
Erythrocebus_patas	3.418	3.892	0	0	1	0	0	0	0	3.892	0	0
Eulemur_fulvus_fulvus	2.959	3.146	0	0	1	0	0	0	0	3.146	0	0
Galago_senegalensis	2.405	2.27	0	0	1	0	0	0	0	2.27	0	0
Galagoides_demidoff	2.228	1.908	0	0	1	0	0	0	0	1.908	0	0
Gorilla_gorilla	3.876	5.021	0	0	1	0	0	0	0	5.021	0	0
Homo_sapiens	3.983	4.813	0	0	1	0	0	0	0	4.813	0	0
Hylobates_lar	3.352	3.756	0	0	1	0	0	0	0	3.756	0	0
Indri_indri	3.128	3.796	0	0	1	0	0	0	0	3.796	0	0
Lagothrix_lagotricha	3.324	3.716	0	0	1	0	0	0	0	3.716	0	0
Lepilemur_mustelinus	2.652	2.961	0	0	1	0	0	0	0	2.961	0	0
