Species_TTOL	MED	BOD	GroupChiroptera_mega	GroupChiroptera_micro	GroupEuarchontoglires	GroupEulipotyphla	GroupMarsupials	BOD_GroupChiroptera_mega	BOD_GroupChiroptera_micro	BOD_GroupEuarchontoglires	BOD_GroupEulipotyphla	BOD_GroupMarsupials
Anourosorex_squamipes	1.644	1.307	0	0	0	1	0	0	0	0	1.307	0
Atelerix_algirus	2.535	2.867	0	0	0	1	0	0	0	0	2.867	0
Blarina_brevicauda	1.633	1.267	0	0	0	1	0	0	0	0	1.267	0
Chrysochloris_asiatica	1.767	1.69	0	0	0	0	0	0	0	0	0	0
Chrysochloris_stuhlmanni	1.833	1.626	0	0	0	0	0	0	0	0	0	0
Crocidura_attenuata	1.511	0.968	0	0	0	1	0	0	0	0	0.968	0
Crocidura_flavescens	1.777	1.467	0	0	0	1	0	0	0	0	1.467	0
Crocidura_hildegardeae	1.497	0.996	0	0	0	1	0	0	0	0	0.996	0
Crocidura_denti	1.626	1.079	0	0	0	1	0	0	0	0	1.079	0
Crocidura_russula	1.458	1.049	0	0	0	1	0	0	0	0	1.049	0
Crocidura_suaveolens	1.431	1.013	0	0	0	1	0	0	0	0	1.013	0
Cryptotis_parvus	1.479	0.991226075692495	0	0	0	1	0	0	0	0	0.991226075692495	0
Desmana_moschata	2.605	2.646	0	0	0	1	0	0	0	0	2.646	0
Echinops_telfairi	1.956	1.942	0	0	0	0	0	0	0	0	0	0
Echinosorex_gymnura	2.794	2.921	0	0	0	1	0	0	0	0	2.921	0
Erinaceus_europaeus	2.525	2.929	0	0	0	1	0	0	0	0	2.929	0
Euroscaptor_micrura	1.887	1.617	0	0	0	1	0	0	0	0	1.617	0
Galemys_pyrenaicus	2.168	1.778	0	0	0	1	0	0	0	0	1.778	0
Geogale_aurita	1.531	1	0	0	0	0	0	0	0	0	0	0
Hemicentetes_semispinosus	2.068	2.062	0	0	0	0	0	0	0	0	0	0
Hemiechinus_auritus	2.268	2.371	0	0	0	1	0	0	0	0	2.371	0
Hylomys_suillus	2.098	1.756	0	0	0	1	0	0	0	0	1.756	0
Limnogale_mergulus	2.309	1.964	0	0	0	0	0	0	0	0	0	0
Microgale_dobsoni	1.769	1.504	0	0	0	0	0	0	0	0	0	0
Microgale_talazaci	1.924	1.683	0	0	0	0	0	0	0	0	0	0
Micropotamogale_lamottei	2.13	1.808	0	0	0	0	0	0	0	0	0	0
Micropotamogale_ruwenzorii	2.297	1.986	0	0	0	0	0	0	0	0	0	0
Myosorex_sclateri	1.665	1.23	0	0	0	1	0	0	0	0	1.23	0
Neomys_anomalus	1.534	1.037	0	0	0	1	0	0	0	0	1.037	0
Neomys_fodiens	1.656	1.182	0	0	0	1	0	0	0	0	1.182	0
Oryzorictes_hova	1.785	1.645	0	0	0	0	0	0	0	0	0	0
Parascalops_breweri	1.873	1.731	0	0	0	1	0	0	0	0	1.731	0
Potamogale_velox	2.859	2.791	0	0	0	0	0	0	0	0	0	0
Ruwenzorisorex_suncoides	1.74	1.262	0	0	0	1	0	0	0	0	1.262	0
Scalopus_aquaticus	2.074	2.061	0	0	0	1	0	0	0	0	2.061	0
Scutisorex_somereni	1.919	1.792	0	0	0	1	0	0	0	0	1.792	0
Setifer_setosus	2.257	2.373	0	0	0	0	0	0	0	0	0	0
Solenodon_paradoxus	2.674	2.826	0	0	0	1	0	0	0	0	2.826	0
Sorex_alpinus	1.496	1.033	0	0	0	1	0	0	0	0	1.033	0
Sorex_araneus	1.464	0.987	0	0	0	1	0	0	0	0	0.987	0
Sorex_cinereus	1.236	0.633	0	0	0	1	0	0	0	0	0.633	0
Sorex_fumeus	1.354	0.924	0	0	0	1	0	0	0	0	0.924	0
Sorex_hoyi	1.037	0.42	0	0	0	1	0	0	0	0	0.42	0
Sorex_minutus	1.176	0.633	0	0	0	1	0	0	0	0	0.633	0
Suncus_etruscus	1.045	0.762	0	0	0	1	0	0	0	0	0.762	0
Suncus_murinus	1.736	1.529	0	0	0	1	0	0	0	0	1.529	0
Sylvisorex_granti	1.332	0.591	0	0	0	1	0	0	0	0	0.591	0
Suncus_megalura	1.428	0.74	0	0	0	1	0	0	0	0	0.74	0
Talpa_europaea	1.981	1.908	0	0	0	1	0	0	0	0	1.908	0
Tenrec_ecaudatus	2.499	2.935	0	0	0	0	0	0	0	0	0	0
Aepyprymnus_rufescens	3.004321	3.392697	0	0	0	0	1	0	0	0	0	3.392697
Antechinus_flavipes	1.965672	1.568202	0	0	0	0	1	0	0	0	0	1.568202
Antechinus_minimus	2.0103	1.724276	0	0	0	0	1	0	0	0	0	1.724276
Bettongia_gaimardi	2.963504	3.176091	0	0	0	0	1	0	0	0	0	3.176091
Bettongia_penicillata	2.882126	3.079181	0	0	0	0	1	0	0	0	0	3.079181
Burramys_parvus	2.023664	1.770852	0	0	0	0	1	0	0	0	0	1.770852
Cercartetus_nanus	1.827369	1.278754	0	0	0	0	1	0	0	0	0	1.278754
Dactylopsila_trivirgata	2.634779	2.643453	0	0	0	0	1	0	0	0	0	2.643453
