Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MES_d1_m9-fab-005.txt
Log File Name:                   MES_d1_m9-fab-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            740440788
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MES_d1_m9-fab-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.297316
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.66 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	
2150000	572.479452	1	-1.071631156316	1.111546929820	-0.048275396658	0.018179442761	0.000725710176	0.000073263040	0.988521512492	N\A	0.036920479956	0.005854107341	0.023711251677	0.004656515283	33	4	
2200000	583.058935	1	-1.163608966101	1.150769509139	-0.051996530766	-0.016789653961	0.009562457310	0.000060193415	0.976481292123	N\A	0.058647850001	0.007167401502	0.030789647379	0.005067774877	39	7	
2250000	585.936147	1	-1.109025834197	1.020389797301	-0.033135013958	0.056100673709	-0.004459445516	0.000034860063	0.977859045047	N\A	0.063985597578	0.007552401310	0.032519908741	0.004667229235	30	6	
2300000	581.560875	1	-0.997089159293	1.004194488185	-0.030132287136	0.033934748606	0.001768582181	0.000090921978	0.981437535123	N\A	0.061844403525	0.008296908886	0.029715820601	0.005309719373	39	6	
2350000	580.964983	1	-0.856319099313	0.914495857983	-0.027605554879	0.104007830895	-0.003265209120	0.000079030411	0.978445229106	N\A	0.054047804479	0.006812866092	0.028749967187	0.004807542567	42	7	
2400000	559.881781	1	-0.983920879698	0.959281649412	-0.028095052841	0.080348204533	-0.007165083182	0.000066655629	0.974377171532	N\A	0.065301030739	0.007925196836	0.033026763608	0.005175521250	35	6	
2450000	587.489456	1	-1.022513061349	1.066060995248	-0.038042428223	0.019891789278	-0.001818109764	0.000056422539	0.978011050702	N\A	0.056959267583	0.006997581719	0.028835645953	0.004541970454	33	5	
2500000	592.828841	1	-0.978768994687	1.007229346112	-0.033500409484	0.078438660529	-0.007108460430	0.000098703837	0.982930677912	N\A	0.053473218733	0.005782098638	0.027676565847	0.004069173835	40	8	
2550000	575.351736	1	-0.948441089386	0.957566411892	-0.033952134945	0.112896304978	-0.006058459174	0.000088033857	0.980249251183	N\A	0.047820298422	0.006972284755	0.026640627228	0.004662866183	38	8	
2600000	578.873181	1	-0.774194326848	0.843832494416	-0.011949598483	0.106641034287	-0.010438760384	0.000126988579	0.977637545300	N\A	0.069361305599	0.009107895532	0.033469674097	0.005521954075	38	7	
2650000	580.496740	1	-0.984190999190	1.048608291273	-0.037668380748	0.027198406255	-0.000276823925	0.000068783750	0.980421397955	N\A	0.039011152037	0.004554506219	0.022034133504	0.003574713962	44	7	
2700000	579.969609	1	-0.973580304970	1.038328153771	-0.042557116105	0.047136855629	0.003064569611	0.000117682901	0.977449588894	N\A	0.058159283639	0.007952155299	0.028085716108	0.005012893002	32	5	
2750000	584.688993	1	-0.971609419895	1.001304205354	-0.036399397255	0.079171820060	-0.004587704030	0.000089747211	0.977311857136	N\A	0.061006631957	0.008020799150	0.030532190973	0.005387680433	46	8	
2800000	577.393519	1	-1.042316530390	1.078700161224	-0.042724850575	0.039877127372	-0.001189916837	0.000064947001	0.981616136812	N\A	0.046889598763	0.007407807863	0.023669343862	0.004637715782	40	8	
