Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  PAL_d1_m8-VR-006.txt
Log File Name:                   PAL_d1_m8-VR-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2766343418
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   PAL_d1_m8-VR-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Branch	No RJ Local Node	
1000000	398.492290	1	-1.575501649736	1.260851070547	-0.056196767006	0.007992679782	0.000265942597	0.940242829990	N\A	0.064940364046	0.008836096415	0.032801134367	54	26	
1050000	401.362941	1	-1.255622154089	1.246055804314	-0.045389407590	-0.044588986058	0.000184957594	0.951904406994	N\A	0.056160237776	0.008008735641	0.024761864877	46	25	
1100000	398.055862	1	-1.355394897336	1.253658547488	-0.048791064012	-0.009425617347	0.000256710792	0.940345950060	N\A	0.064005753400	0.008872912096	0.030303409223	42	29	
1150000	399.032712	1	-1.314457172177	1.151207674415	-0.039759705619	0.022923269767	0.000295345228	0.945341789592	N\A	0.061409199038	0.008320638124	0.030266857607	46	26	
1200000	401.449868	1	-1.111900604602	1.151149438124	-0.044693619033	0.025268807820	0.000269143455	0.943533420827	N\A	0.065446915010	0.008661338538	0.031134304638	38	23	
1250000	387.645824	1	-1.400080306997	1.232560339954	-0.055221181921	0.005736754567	0.000415760067	0.946968850750	N\A	0.053761565197	0.009534188129	0.016501476401	48	33	
1300000	393.616319	1	-1.366495969586	1.167909619457	-0.054850267320	0.066118876629	0.000250500452	0.947336086380	N\A	0.058869833592	0.008131849943	0.030470029499	59	25	
1350000	409.895436	1	-1.552378852178	1.323589091740	-0.061529614002	-0.017998759822	0.000380216306	0.948982600481	N\A	0.055577463761	0.008817995821	0.028076856206	48	32	
1400000	408.071176	1	-1.333380623974	1.271705177887	-0.058255180912	0.010755672546	0.000235576662	0.952309814356	N\A	0.058731285823	0.008308097447	0.027598147838	53	33	
1450000	409.496961	1	-1.223290291520	1.243007544165	-0.050537512024	-0.004265697692	0.000208310836	0.943104864943	N\A	0.065282450207	0.008554200202	0.028546640592	48	25	
1500000	406.971680	1	-1.459643029152	1.351407845314	-0.056231683214	-0.043792544804	0.000305622382	0.948631392703	N\A	0.057289106053	0.008185140173	0.028281127838	33	24	
1550000	404.884581	1	-1.466386350474	1.326871052260	-0.044292173213	-0.072038071648	0.000547108529	0.956985423026	N\A	0.065109007756	0.008088875330	0.028067408808	54	31	
1600000	403.073178	1	-1.270817510655	1.244378700935	-0.052401658928	-0.009863851344	0.000215754457	0.942284792109	N\A	0.062284894515	0.008439192184	0.030616741370	51	25	
1650000	394.383968	1	-1.320646253251	1.134576209981	-0.037449570278	0.022433283653	0.000316160234	0.939393062773	N\A	0.066272408536	0.008295914829	0.030787198526	48	18	
1700000	408.220300	1	-1.290890903041	1.190866484221	-0.045484466781	0.001152839049	0.000287847788	0.944592772193	N\A	0.062954737951	0.007990653324	0.029069194133	41	24	
1750000	391.685228	1	-1.544555370610	1.215069653516	-0.040182340589	-0.012622777270	0.000244858471	0.930270235604	N\A	0.066668557277	0.009283650116	0.032408705066	45	21	
1800000	385.505298	1	-1.370788012823	1.248142017494	-0.026215955916	-0.098837108180	0.000329522161	0.950803985546	N\A	0.053738496785	0.007393011285	0.024875727500	39	37	
1850000	394.435145	1	-1.346299278649	1.261670781073	-0.052417929675	0.006125245051	0.000375863189	0.942677747353	N\A	0.060955106483	0.008940111135	0.030011955894	45	30	
1900000	392.904477	1	-1.237906705223	1.199239927732	-0.042866344721	-0.005443778048	0.000185503182	0.953836480223	N\A	0.056441870723	0.008256397532	0.024986082570	52	32	
1950000	409.287182	1	-1.308645629850	1.255320137440	-0.040751993790	-0.043797590593	0.000272489041	0.947265662057	N\A	0.065637109670	0.008491786001	0.029463520023	43	32	
2000000	403.188984	1	-1.336138128509	1.261761099963	-0.039371340874	-0.055879093558	0.000373960079	0.943098614110	N\A	0.071735514101	0.008890356655	0.029562313548	50	33	
2050000	423.633520	1	-1.052233294787	1.107807415030	-0.034035862843	0.013610028741	0.000303300600	0.948689679929	N\A	0.054838556598	0.008257769031	0.028021330165	53	29	
2100000	403.106245	1	-1.493587359799	1.343683137741	-0.055212353469	-0.045258098571	0.000200087699	0.958305418715	N\A	0.049865089978	0.007538351827	0.022300164989	47	30	
2150000	396.510310	1	-1.333136736135	1.249592425147	-0.042304740908	-0.018024294716	0.000228655670	0.946638550157	N\A	0.070260614664	0.009243204431	0.030717372342	51	29	
2200000	396.793212	1	-1.290106487666	1.196681006200	-0.031581391211	-0.046691525183	0.000144416211	0.947561034499	N\A	0.061153990524	0.008450721975	0.027938953401	52	31	
2250000	390.383569	1	-1.273994007493	1.246966824953	-0.047217925562	-0.026242501736	0.000223843189	0.936150871335	N\A	0.065333765259	0.008775152180	0.031159949608	55	30	
2300000	410.943832	1	-1.205533694385	1.205801891288	-0.038701056390	-0.019768842556	0.000143892470	0.950482427109	N\A	0.056413096026	0.008346316705	0.025745752293	59	33	
2350000	408.058718	1	-1.239411930076	1.185697861482	-0.043092089077	0.023595192362	0.000142967447	0.944758968166	N\A	0.058695286107	0.007791107366	0.027383471273	45	25	
2400000	390.904121	1	-1.348438226547	1.274329118786	-0.055153630478	-0.002254085669	0.000146827360	0.948956982229	N\A	0.059480653398	0.007657603216	0.027305083354	54	32	
2450000	409.041924	1	-1.458505081226	1.206926780294	-0.046996423209	0.005774943467	0.000124182867	0.946188634396	N\A	0.067612009588	0.008062809949	0.028436599088	45	25	
2500000	396.210486	1	-1.536272841046	1.251785524817	-0.035068048276	-0.068270275456	0.000302440442	0.938109752917	N\A	0.071788284038	0.008343781522	0.031936694090	55	25	
2550000	405.295477	1	-1.196421195494	1.132816092489	-0.029821778208	-0.014337736101	0.000223912708	0.942887145924	N\A	0.059212648281	0.008020406965	0.026845758040	59	23	
2600000	390.674557	1	-1.512479530090	1.222529114170	-0.046223773609	-0.018540836139	0.000316048491	0.944270042805	N\A	0.068768974541	0.009193934796	0.032221264444	49	31	
2650000	370.043030	1	-1.721034638027	1.377356711009	-0.052892755275	-0.067656967360	0.000271462103	0.938884725036	N\A	0.067061208617	0.008958598478	0.030658175606	55	31	
2700000	383.735388	1	-1.350034313067	1.181623458757	-0.057906516111	0.069878706812	0.000295146154	0.945131843301	N\A	0.066869965504	0.007800468756	0.028674386975	54	31	
