Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  NEO_d1_m8-glob-005.txt
Log File Name:                   NEO_d1_m8-glob-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            4040978906
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   NEO_d1_m8-glob-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.036913
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.86 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	658.021547	1	-0.960054945996	1.206924302230	-0.012596175147	-0.018140272615	0.000060022315	0.993818167505	N\A	0.021770179961	0.002117681481	0.008477360420	35	2	0.005082040800	Global Trend	
1050000	643.305519	1	-0.874913899306	1.197838919897	-0.013395155561	-0.014660422934	0.000156089018	0.994250139572	N\A	0.023598490335	0.002183856620	0.008804399510	44	2	0.007863406547	Global Trend	
1100000	676.039351	1	-0.999044700103	1.269175166302	-0.016175622625	-0.039380991627	0.000139807033	0.995565972875	N\A	0.019621288759	0.001813125219	0.007056867234	39	2	0.011660136399	Global Trend	
1150000	648.971247	1	-1.147339121345	1.313782126387	-0.019256950040	-0.059968260237	0.000214205431	0.994498315783	N\A	0.024115455434	0.002222150897	0.008397048135	47	1	0.006604872254	Global Trend	
1200000	657.617381	1	-0.963825790649	1.273333749775	-0.017664564937	-0.047377445729	0.000214478163	0.994003990780	N\A	0.024140817720	0.002256741155	0.009080265941	45	3	0.010814616670	Global Trend	
1250000	658.251074	1	-1.230291049585	1.323554516886	-0.022620741310	-0.051197887204	0.000145063025	0.993070414525	N\A	0.028408431935	0.002785594529	0.011145613410	43	3	0.004150145319	Global Trend	
1300000	660.539264	1	-1.085351654235	1.252983169568	-0.015084643232	-0.038351546598	0.000077534878	0.994621982449	N\A	0.022720712816	0.002096322720	0.008403099600	41	2	0.003551180970	Global Trend	
1350000	651.892404	1	-1.100450024026	1.310675568492	-0.017110504790	-0.053888757281	0.000139876586	0.994054802781	N\A	0.023644940827	0.002236388246	0.009280703427	39	1	0.007386010809	Global Trend	
1400000	657.284340	1	-1.195818606665	1.316726930481	-0.017839859515	-0.070198355738	0.000254272127	0.992569390479	N\A	0.028372417830	0.002845994079	0.011443703717	42	2	0.003802318138	Global Trend	
1450000	649.427124	1	-1.105241305470	1.223226309930	-0.011393803297	-0.046608744366	0.000108392385	0.993007367122	N\A	0.026411807986	0.002732039316	0.011598852805	39	1	0.001403580336	Global Trend	
