Species_TTOL	NEO	rest_of_brain
Pteropus_alecto	3.434	3.82069860124938
Pteropus_conspicillatus	3.524	3.89493121910952
Pteropus_hypomelanus	3.28	3.69716131393364
Pteropus_lylei	3.378	3.75598421253182
Pteropus_neohibernicus	3.565	3.92848620624869
Pteropus_poliocephalus	3.433	3.83016987335255
Pteropus_samoensis	3.331	3.73626675041077
Pteropus_scapulatus	3.318	3.70549571470575
Pteropus_temminckii	3.259	3.66354900940771
Pteropus_tonganus	3.35	3.75825829746648
Pteropus_vampyrus	3.558	3.92972371176801
Rousettus_aegyptiacus	2.837	3.32486399626551
Rousettus_amplexicaudatus	2.636	3.1617898919156
Scotonycteris_zenkeri	2.261	2.8251361190744
Sphaerias_blanfordi	2.35	2.89058047078486
Syconycteris_australis	2.243	2.75449107699007
Anoura_caudifer	2.005	2.5806238378183
Anoura_geoffroyi	2.165	2.74657171798292
Ardops_nichollsi	2.172	2.72119019257957
Artibeus_cinereus	2.081	2.64696591916355
Artibeus_concolor	2.183	2.77277474031503
Artibeus_jamaicensis	2.449	2.98333261088124
Artibeus_lituratus	2.513	3.06496819373968
Aselliscus_stoliczkanus	1.352	2.14627742243429
Aselliscus_tricuspidatus	1.346	2.0993562087761
Brachyphylla_cavernarum	2.509	3.05292228999784
Cardioderma_cor	2.27	2.79992584642206
Carollia_perspicillata	2.111	2.71324648190518
Chalinolobus_gouldii	1.572	2.35195774032069
Chalinolobus_morio	1.449	2.24071974568802
Chiroderma_salvini	2.323	2.88624082329356
Chiroderma_trinitatum	2.182	2.70539048497075
Chiroderma_villosum	2.273	2.82351695180044
Choeroniscus_minor	1.98	2.5659450134905
Coleura_afra	1.72	2.38684133903795
Cormura_brevirostris	1.635	2.31547900333038
Craseonycteris_thonglongyai	1.243	1.91186407137902
Desmodus_rotundus	2.495	2.97496949473285
Diphylla_ecaudata	2.364	2.87975236516861
Emballonura_monticola	1.507	2.19689550326823
Emballonura_raffrayana	1.538	2.21750313113026
Eptesicus_brasiliensis	1.542	2.27704088235613
Eptesicus_fuscus_bahamensis	1.636	2.3513653086034
Eumops_auripendulus	2.071	2.75999624802448
Eumops_glaucinus	2.111	2.79101278730558
Furipterus_horrens	1.367	2.07959239815975
Glischropus_tylopus	1.155	1.97312302120491
Glossophaga_longirostris	1.968	2.6169266719764
Glossophaga_soricina	1.944	2.57354501835856
Harpiocephalus_harpia	1.91	2.62086344715862
Hesperoptenus_blanfordi	1.41	2.16984821507198
Hipposideros_armiger	2.227	2.87560056473481
Hipposideros_ater	1.587	2.30545128539469
Hipposideros_caffer	1.785	2.4627759440208
Macronycteris_commersoni	2.235	2.84697711567035
Hipposideros_diadema	2.189	2.82568898250015
Hipposideros_fulvus	1.649	2.34735841257385
Hipposideros_lankadiva	2.189	2.83381440820857
Hipposideros_larvatus	1.931	2.59070379701993
Hipposideros_ridleyi	1.702	2.40319100137588
Hipposideros_speoris	1.76	2.42782469906196
Hipposideros_turpis	2.11	2.74970813235674
Ia_io	2.15	2.85693377655639
Kerivoula_papillosa	1.839	2.47004291344843
Lasiurus_borealis	1.446	2.20786055220101
Leptonycteris_curasoae	2.147	2.76007259430502
Leptonycteris_nivalis	2.159	2.74009904764629
Lonchophylla_mordax	1.989	2.61273847911539
Hsunycteris_thomasi	1.885	2.50023862095974
Lophostoma_silvicolum	2.381	2.85331808051172
Macroderma_gigas	2.708	3.20498065502424
Macrophyllum_macrophyllum	1.905	2.4790378028068
Megaderma_lyra	2.388	2.93241161841455
Megaderma_spasma	2.238	2.78365497627165
Mesophylla_macconnelli	1.939	2.5144416036305
Micronycteris_brachyotis	1.944	2.58328686142129
Micronycteris_megalotis	1.776	2.41295245824855
Micronycteris_minuta	1.817	2.43110917339505
Micronycteris_schmidtorum	1.881	2.46261324325241
