Species_TTOL	PAL	BOD	GroupChiroptera_mega	GroupChiroptera_micro	GroupEuarchontoglires	GroupEulipotyphla	GroupMarsupials	BOD_GroupChiroptera_mega	BOD_GroupChiroptera_micro	BOD_GroupEuarchontoglires	BOD_GroupEulipotyphla	BOD_GroupMarsupials
Anourosorex_squamipes	1.667	1.307	0	0	0	1	0	0	0	0	1.307	0
Atelerix_algirus	2.517	2.867	0	0	0	1	0	0	0	0	2.867	0
Blarina_brevicauda	1.602	1.267	0	0	0	1	0	0	0	0	1.267	0
Chrysochloris_asiatica	1.94	1.69	0	0	0	0	0	0	0	0	0	0
Chrysochloris_stuhlmanni	1.996	1.626	0	0	0	0	0	0	0	0	0	0
Crocidura_attenuata	1.375	0.968	0	0	0	1	0	0	0	0	0.968	0
Crocidura_flavescens	1.632	1.467	0	0	0	1	0	0	0	0	1.467	0
Crocidura_hildegardeae	1.455	0.996	0	0	0	1	0	0	0	0	0.996	0
Crocidura_denti	1.453	1.079	0	0	0	1	0	0	0	0	1.079	0
Crocidura_russula	1.342	1.049	0	0	0	1	0	0	0	0	1.049	0
Crocidura_suaveolens	1.334	1.013	0	0	0	1	0	0	0	0	1.013	0
Cryptotis_parvus	1.441	0.991226075692495	0	0	0	1	0	0	0	0	0.991226075692495	0
Desmana_moschata	2.322	2.646	0	0	0	1	0	0	0	0	2.646	0
Echinops_telfairi	1.934	1.942	0	0	0	0	0	0	0	0	0	0
Echinosorex_gymnura	2.774	2.921	0	0	0	1	0	0	0	0	2.921	0
Erinaceus_europaeus	2.54	2.929	0	0	0	1	0	0	0	0	2.929	0
Euroscaptor_micrura	1.857	1.617	0	0	0	1	0	0	0	0	1.617	0
Galemys_pyrenaicus	1.801	1.778	0	0	0	1	0	0	0	0	1.778	0
Geogale_aurita	1.072	1	0	0	0	0	0	0	0	0	0	0
Hemicentetes_semispinosus	2.013	2.062	0	0	0	0	0	0	0	0	0	0
Hemiechinus_auritus	2.266	2.371	0	0	0	1	0	0	0	0	2.371	0
Hylomys_suillus	2.063	1.756	0	0	0	1	0	0	0	0	1.756	0
Limnogale_mergulus	1.736	1.964	0	0	0	0	0	0	0	0	0	0
Microgale_dobsoni	1.85	1.504	0	0	0	0	0	0	0	0	0	0
Microgale_talazaci	1.995	1.683	0	0	0	0	0	0	0	0	0	0
Micropotamogale_lamottei	1.638	1.808	0	0	0	0	0	0	0	0	0	0
Micropotamogale_ruwenzorii	1.722	1.986	0	0	0	0	0	0	0	0	0	0
Myosorex_sclateri	1.684	1.23	0	0	0	1	0	0	0	0	1.23	0
Neomys_anomalus	1.336	1.037	0	0	0	1	0	0	0	0	1.037	0
Neomys_fodiens	1.358	1.182	0	0	0	1	0	0	0	0	1.182	0
Oryzorictes_hova	1.787	1.645	0	0	0	0	0	0	0	0	0	0
Parascalops_breweri	1.914	1.731	0	0	0	1	0	0	0	0	1.731	0
Potamogale_velox	2.031	2.791	0	0	0	0	0	0	0	0	0	0
