Species_TTOL	PAL	BOD	GroupChiroptera_mega	GroupChiroptera_micro	GroupEuarchontoglires	GroupEulipotyphla	GroupMarsupials	BOD_GroupChiroptera_mega	BOD_GroupChiroptera_micro	BOD_GroupEuarchontoglires	BOD_GroupEulipotyphla	BOD_GroupMarsupials
Ruwenzorisorex_suncoides	1.431	1.262	0	0	0	1	0	0	0	0	1.262	0
Scalopus_aquaticus	2.104	2.061	0	0	0	1	0	0	0	0	2.061	0
Scutisorex_somereni	1.881	1.792	0	0	0	1	0	0	0	0	1.792	0
Setifer_setosus	2.365	2.373	0	0	0	0	0	0	0	0	0	0
Solenodon_paradoxus	2.704	2.826	0	0	0	1	0	0	0	0	2.826	0
Sorex_alpinus	1.418	1.033	0	0	0	1	0	0	0	0	1.033	0
Sorex_araneus	1.412	0.987	0	0	0	1	0	0	0	0	0.987	0
Sorex_cinereus	1.312	0.633	0	0	0	1	0	0	0	0	0.633	0
Sorex_fumeus	1.438	0.924	0	0	0	1	0	0	0	0	0.924	0
Sorex_hoyi	1.021	0.42	0	0	0	1	0	0	0	0	0.42	0
Sorex_minutus	1.104	0.633	0	0	0	1	0	0	0	0	0.633	0
Suncus_etruscus	0.82	0.762	0	0	0	1	0	0	0	0	0.762	0
Suncus_murinus	1.634	1.529	0	0	0	1	0	0	0	0	1.529	0
Sylvisorex_granti	1.338	0.591	0	0	0	1	0	0	0	0	0.591	0
Suncus_megalura	1.375	0.74	0	0	0	1	0	0	0	0	0.74	0
Talpa_europaea	1.883	1.908	0	0	0	1	0	0	0	0	1.908	0
Tenrec_ecaudatus	2.517	2.935	0	0	0	0	0	0	0	0	0	0
Aepyprymnus_rufescens	2.763428	3.392697	0	0	0	0	1	0	0	0	0	3.392697
Antechinus_flavipes	1.79795	1.568202	0	0	0	0	1	0	0	0	0	1.568202
Antechinus_minimus	1.926342	1.724276	0	0	0	0	1	0	0	0	0	1.724276
Bettongia_gaimardi	2.799961	3.176091	0	0	0	0	1	0	0	0	0	3.176091
Bettongia_penicillata	2.7577	3.079181	0	0	0	0	1	0	0	0	0	3.079181
Burramys_parvus	1.759668	1.770852	0	0	0	0	1	0	0	0	0	1.770852
Cercartetus_nanus	1.431364	1.278754	0	0	0	0	1	0	0	0	0	1.278754
Dactylopsila_trivirgata	2.605736	2.643453	0	0	0	0	1	0	0	0	0	2.643453
Dasycercus_cristicauda	2.089905	2	0	0	0	0	1	0	0	0	0	2
Dasyuroides_byrnei	2.11059	2.146128	0	0	0	0	1	0	0	0	0	2.146128
Dasyurus_geoffroii	2.584557	2.69897	0	0	0	0	1	0	0	0	0	2.69897
Dasyurus_hallucatus	2.406029	3.021189	0	0	0	0	1	0	0	0	0	3.021189
Dendrolagus_lumholtzi	2.819412	3.78533	0	0	0	0	1	0	0	0	0	3.78533
Distoechurus_pennatus	1.812245	1.633468	0	0	0	0	1	0	0	0	0	1.633468
Dorcopsis	2.889806	3.462398	0	0	0	0	1	0	0	0	0	3.462398
Echymipera_kalubu	2.588047	2.819544	0	0	0	0	1	0	0	0	0	2.819544
Gymnobelideus_leadbeateri	2.102434	2.041393	0	0	0	0	1	0	0	0	0	2.041393
Hypsiprymnodon_moschatus	2.611405	2.748188	0	0	0	0	1	0	0	0	0	2.748188
Isoodon_macrourus	2.655427	3.033424	0	0	0	0	1	0	0	0	0	3.033424
Isoodon_obesulus_obesulus	2.661339	3.004321	0	0	0	0	1	0	0	0	0	3.004321
Osphranter_antilopinus	3.209783	4.537819	0	0	0	0	1	0	0	0	0	4.537819
Macropus_giganteus	3.278067	4.563481	0	0	0	0	1	0	0	0	0	4.563481
Notamacropus_irma	2.968763	3.819544	0	0	0	0	1	0	0	0	0	3.819544
Notamacropus_parma	2.795463	3.536558	0	0	0	0	1	0	0	0	0	3.536558
Notamacropus_parryi	3.09237	4.170262	0	0	0	0	1	0	0	0	0	4.170262
Osphranter_robustus	3.192846	4.409933	0	0	0	0	1	0	0	0	0	4.409933
Osphranter_rufus	3.142076	4.494155	0	0	0	0	1	0	0	0	0	4.494155
Thylamys_pallidior	1.686636	1.477121	0	0	0	0	1	0	0	0	0	1.477121
Marmosops_impavidus	2.044932	1.845098	0	0	0	0	1	0	0	0	0	1.845098
Monodelphis_brevicaudata	1.980912	1.924279	0	0	0	0	1	0	0	0	0	1.924279
Notoryctes_typhlops	2.077368	1.531479	0	0	0	0	1	0	0	0	0	1.531479
Petauroides_volans	2.204391	3.09691	0	0	0	0	1	0	0	0	0	3.09691
Petaurus_australis	2.509471	2.748188	0	0	0	0	1	0	0	0	0	2.748188
Petaurus_breviceps	2.104828	2.113943	0	0	0	0	1	0	0	0	0	2.113943
Petaurus_norfolcensis	2.19173	2.374748	0	0	0	0	1	0	0	0	0	2.374748
Petrogale_inornata	2.817036	3.628389	0	0	0	0	1	0	0	0	0	3.628389
Petrogale_lateralis	2.71592	3.556303	0	0	0	0	1	0	0	0	0	3.556303
Petrogale_penicillata	2.847388	3.690196	0	0	0	0	1	0	0	0	0	3.690196
Petrogale_purpureicollis	2.783832	3.740363	0	0	0	0	1	0	0	0	0	3.740363
Petropseudes_dahli	2.341632	3.127105	0	0	0	0	1	0	0	0	0	3.127105
Phascolarctos_cinereus	2.733358	3.968483	0	0	0	0	1	0	0	0	0	3.968483
Planigale_ingrami	0.877371	0.826075	0	0	0	0	1	0	0	0	0	0.826075
Planigale_maculata	1.287802	1.041393	0	0	0	0	1	0	0	0	0	1.041393
Potorous_tridactylus_tridactylus	2.860038	3.089905	0	0	0	0	1	0	0	0	0	3.089905
Pseudochirulus_canescens	2.061829	2.447158	0	0	0	0	1	0	0	0	0	2.447158
Pseudochirulus_forbesi	2.177825	2.70757	0	0	0	0	1	0	0	0	0	2.70757
Sarcophilus_harrisii	3.134177	3.732394	0	0	0	0	1	0	0	0	0	3.732394
Sminthopsis_crassicaudata	1.535294	1.146128	0	0	0	0	1	0	0	0	0	1.146128
Sminthopsis_leucopus	1.658965	1.361728	0	0	0	0	1	0	0	0	0	1.361728
Phalanger_gymnotis	2.844912	3.451786	0	0	0	0	1	0	0	0	0	3.451786
Thylacinus_cynocephalus	3.328176	4.342423	0	0	0	0	1	0	0	0	0	4.342423
Thylogale_billardierii	2.904986	3.845098	0	0	0	0	1	0	0	0	0	3.845098
Thylogale_stigmatica	2.889358	3.653213	0	0	0	0	1	0	0	0	0	3.653213
Trichosurus_vulpecula	2.674677	3.30103	0	0	0	0	1	0	0	0	0	3.30103
Vombatus_ursinus	3.248439	4.357935	0	0	0	0	1	0	0	0	0	4.357935
Wallabia_bicolor	3.08636	4.198657	0	0	0	0	1	0	0	0	0	4.198657
Balionycteris_maculata	1.465	1.158	1	0	0	0	0	1.158	0	0	0	0
Casinycteris_argynnis	1.639	1.428	1	0	0	0	0	1.428	0	0	0	0
Chironax_melanocephalus	1.553	1.248	1	0	0	0	0	1.248	0	0	0	0
Cynopterus_brachyotis	1.698	1.53	1	0	0	0	0	1.53	0	0	0	0
Cynopterus_horsfieldii	1.81	1.773	1	0	0	0	0	1.773	0	0	0	0
Cynopterus_sphinx	1.786	1.713	1	0	0	0	0	1.713	0	0	0	0
Dobsonia_inermis	2.226	2.173	1	0	0	0	0	2.173	0	0	0	0
Dobsonia_moluccensis	2.454	2.543	1	0	0	0	0	2.543	0	0	0	0
Dobsonia_praedatrix	2.279	2.25	1	0	0	0	0	2.25	0	0	0	0
Eidolon_helvum	2.386	2.418	1	0	0	0	0	2.418	0	0	0	0
Eonycteris_spelaea	1.836	1.769	1	0	0	0	0	1.769	0	0	0	0
Epomophorus_labiatus	1.918	1.806	1	0	0	0	0	1.806	0	0	0	0
Epomops_franqueti	2.061	2.072	1	0	0	0	0	2.072	0	0	0	0
Hypsignathus_monstrosus	2.208	2.491	1	0	0	0	0	2.491	0	0	0	0
Macroglossus_minimus	1.455	1.164	1	0	0	0	0	1.164	0	0	0	0
Megaerops_ecaudatus	1.593	1.38	1	0	0	0	0	1.38	0	0	0	0
Megaloglossus_woermanni	1.489	1.253	1	0	0	0	0	1.253	0	0	0	0
Melonycteris_melanops	1.882	1.675	1	0	0	0	0	1.675	0	0	0	0
Melonycteris_woodfordi	1.736	1.549	1	0	0	0	0	1.549	0	0	0	0
Epomophorus_pusillus	1.68	1.4	1	0	0	0	0	1.4	0	0	0	0
Myonycteris_torquata	1.827	1.561	1	0	0	0	0	1.561	0	0	0	0
Notopteris_macdonaldi	1.973	1.841	1	0	0	0	0	1.841	0	0	0	0
Nyctimene_albiventer	1.723	1.473	1	0	0	0	0	1.473	0	0	0	0
Nyctimene_robinsoni	1.888	1.673	1	0	0	0	0	1.673	0	0	0	0
Nyctimene_vizcaccia	1.851	1.549	1	0	0	0	0	1.549	0	0	0	0
Paranyctimene_raptor	1.661	1.417	1	0	0	0	0	1.417	0	0	0	0
Pteropus_alecto	2.495	2.775	1	0	0	0	0	2.775	0	0	0	0
Pteropus_conspicillatus	2.576	2.875	1	0	0	0	0	2.875	0	0	0	0
Pteropus_hypomelanus	2.444	2.591	1	0	0	0	0	2.591	0	0	0	0
Pteropus_lylei	2.439	2.497	1	0	0	0	0	2.497	0	0	0	0
Pteropus_neohibernicus	2.598	2.924	1	0	0	0	0	2.924	0	0	0	0
Pteropus_poliocephalus	2.491	2.842	1	0	0	0	0	2.842	0	0	0	0
Pteropus_samoensis	2.441	2.491	1	0	0	0	0	2.491	0	0	0	0
Pteropus_scapulatus	2.362	2.574	1	0	0	0	0	2.574	0	0	0	0
Pteropus_temminckii	2.371	2.398	1	0	0	0	0	2.398	0	0	0	0
Pteropus_tonganus	2.483	2.652	1	0	0	0	0	2.652	0	0	0	0
Pteropus_vampyrus	2.617	3.027	1	0	0	0	0	3.027	0	0	0	0
Rousettus_aegyptiacus	2.106	2.111	1	0	0	0	0	2.111	0	0	0	0
Rousettus_amplexicaudatus	2.02	1.856	1	0	0	0	0	1.856	0	0	0	0
Scotonycteris_zenkeri	1.601	1.328	1	0	0	0	0	1.328	0	0	0	0
Sphaerias_blanfordi	1.63	1.47	1	0	0	0	0	1.47	0	0	0	0
Syconycteris_australis	1.551	1.207	1	0	0	0	0	1.207	0	0	0	0
Anoura_caudifer	1.199	1.025	0	1	0	0	0	0	1.025	0	0	0
Anoura_geoffroyi	1.407	1.204	0	1	0	0	0	0	1.204	0	0	0
Ardops_nichollsi	1.483	1.352	0	1	0	0	0	0	1.352	0	0	0
Artibeus_cinereus	1.403	1.1	0	1	0	0	0	0	1.1	0	0	0
Artibeus_concolor	1.531	1.288	0	1	0	0	0	0	1.288	0	0	0
Artibeus_jamaicensis	1.736	1.613	0	1	0	0	0	0	1.613	0	0	0
Artibeus_lituratus	1.851	1.748	0	1	0	0	0	0	1.748	0	0	0
Aselliscus_stoliczkanus	0.642	0.69	0	1	0	0	0	0	0.69	0	0	0
Aselliscus_tricuspidatus	0.681	0.643	0	1	0	0	0	0	0.643	0	0	0
Brachyphylla_cavernarum	1.833	1.648	0	1	0	0	0	0	1.648	0	0	0
Cardioderma_cor	1.215	1.415	0	1	0	0	0	0	1.415	0	0	0
Carollia_perspicillata	1.515	1.25	0	1	0	0	0	0	1.25	0	0	0
Chalinolobus_gouldii	0.917	1.068	0	1	0	0	0	0	1.068	0	0	0
Chalinolobus_morio	0.752	0.919	0	1	0	0	0	0	0.919	0	0	0
Chiroderma_salvini	1.577	1.417	0	1	0	0	0	0	1.417	0	0	0
Chiroderma_trinitatum	1.393	1.137	0	1	0	0	0	0	1.137	0	0	0
Chiroderma_villosum	1.508	1.394	0	1	0	0	0	0	1.394	0	0	0
Choeroniscus_minor	1.117	0.982	0	1	0	0	0	0	0.982	0	0	0
Coleura_afra	0.949	1.061	0	1	0	0	0	0	1.061	0	0	0
Cormura_brevirostris	0.867	0.914	0	1	0	0	0	0	0.914	0	0	0
Craseonycteris_thonglongyai	0.356	0.408	0	1	0	0	0	0	0.408	0	0	0
Desmodus_rotundus	1.631	1.56	0	1	0	0	0	0	1.56	0	0	0
Diphylla_ecaudata	1.59	1.49	0	1	0	0	0	0	1.49	0	0	0
Emballonura_monticola	0.651	0.724	0	1	0	0	0	0	0.724	0	0	0
Emballonura_raffrayana	0.781	0.771	0	1	0	0	0	0	0.771	0	0	0
Eptesicus_brasiliensis	0.988	0.964	0	1	0	0	0	0	0.964	0	0	0
Eptesicus_fuscus_bahamensis	1.029	1.134	0	1	0	0	0	0	1.134	0	0	0
Eumops_auripendulus	1.352	1.529	0	1	0	0	0	0	1.529	0	0	0
Eumops_glaucinus	1.34	1.562	0	1	0	0	0	0	1.562	0	0	0
Furipterus_horrens	0.572	0.535	0	1	0	0	0	0	0.535	0	0	0
Glischropus_tylopus	0.612	0.69	0	1	0	0	0	0	0.69	0	0	0
Glossophaga_longirostris	1.292	1.053	0	1	0	0	0	0	1.053	0	0	0
Glossophaga_soricina	1.267	0.996	0	1	0	0	0	0	0.996	0	0	0
Harpiocephalus_harpia	1.553	1.13	0	1	0	0	0	0	1.13	0	0	0
Hesperoptenus_blanfordi	0.794	0.863	0	1	0	0	0	0	0.863	0	0	0
Hipposideros_armiger	1.394	1.748	0	1	0	0	0	0	1.748	0	0	0
Hipposideros_ater	0.865	0.839	0	1	0	0	0	0	0.839	0	0	0
Hipposideros_caffer	0.98	1.041	0	1	0	0	0	0	1.041	0	0	0
Macronycteris_commersoni	1.487	1.997	0	1	0	0	0	0	1.997	0	0	0
Hipposideros_diadema	1.365	1.622	0	1	0	0	0	0	1.622	0	0	0
Hipposideros_fulvus	0.914	0.845	0	1	0	0	0	0	0.845	0	0	0
Hipposideros_lankadiva	1.45	1.686	0	1	0	0	0	0	1.686	0	0	0
Hipposideros_larvatus	1.173	1.312	0	1	0	0	0	0	1.312	0	0	0
Hipposideros_ridleyi	0.979	0.982	0	1	0	0	0	0	0.982	0	0	0
Hipposideros_speoris	0.97	1.061	0	1	0	0	0	0	1.061	0	0	0
Hipposideros_turpis	1.32	1.542	0	1	0	0	0	0	1.542	0	0	0
Ia_io	1.5	1.727	0	1	0	0	0	0	1.727	0	0	0
Kerivoula_papillosa	0.898	1.004	0	1	0	0	0	0	1.004	0	0	0
Lasiurus_borealis	0.757	0.892	0	1	0	0	0	0	0.892	0	0	0
Leptonycteris_curasoae	1.468	1.389	0	1	0	0	0	0	1.389	0	0	0
Leptonycteris_nivalis	1.43	1.358	0	1	0	0	0	0	1.358	0	0	0
Lonchophylla_mordax	1.255	1.029	0	1	0	0	0	0	1.029	0	0	0
Hsunycteris_thomasi	1.179	0.839	0	1	0	0	0	0	0.839	0	0	0
Lophostoma_silvicolum	1.328	1.509	0	1	0	0	0	0	1.509	0	0	0
Macroderma_gigas	1.605	2.078	0	1	0	0	0	0	2.078	0	0	0
Macrophyllum_macrophyllum	0.987	0.934	0	1	0	0	0	0	0.934	0	0	0
Megaderma_lyra	1.41	1.587	0	1	0	0	0	0	1.587	0	0	0
Megaderma_spasma	1.265	1.354	0	1	0	0	0	0	1.354	0	0	0
Mesophylla_macconnelli	1.176	0.875	0	1	0	0	0	0	0.875	0	0	0
Micronycteris_brachyotis	1.407	1.167	0	1	0	0	0	0	1.167	0	0	0
Micronycteris_megalotis	1.188	0.813	0	1	0	0	0	0	0.813	0	0	0
Micronycteris_minuta	1.201	0.839	0	1	0	0	0	0	0.839	0	0	0
Micronycteris_schmidtorum	1.225	0.892	0	1	0	0	0	0	0.892	0	0	0
Gardnerycteris_crenulatum	1.013	1.072	0	1	0	0	0	0	1.072	0	0	0
Miniopterus_australis	0.865	0.851	0	1	0	0	0	0	0.851	0	0	0
Miniopterus_inflatus	1.061	1.173	0	1	0	0	0	0	1.173	0	0	0
Miniopterus_magnater	1.053	1.176	0	1	0	0	0	0	1.176	0	0	0
Miniopterus_pusillus	0.915	0.934	0	1	0	0	0	0	0.934	0	0	0
Miniopterus_tristis	1.097	1.193	0	1	0	0	0	0	1.193	0	0	0
Molossus_molossus	1.111	1.137	0	1	0	0	0	0	1.137	0	0	0
Molossus_rufus	1.324	1.526	0	1	0	0	0	0	1.526	0	0	0
Monophyllus_plethodon	1.32	1.176	0	1	0	0	0	0	1.176	0	0	0
Mormoops_megalophylla	1.072	1.196	0	1	0	0	0	0	1.196	0	0	0
Murina_cyclotis	1.303	0.851	0	1	0	0	0	0	0.851	0	0	0
Murina_huttoni	1.318	0.944	0	1	0	0	0	0	0.944	0	0	0
Myotis_adversus	1.033	1.049	0	1	0	0	0	0	1.049	0	0	0
Myotis_albescens	0.711	0.602	0	1	0	0	0	0	0.602	0	0	0
Myotis_annectans	0.966	0.991	0	1	0	0	0	0	0.991	0	0	0
Myotis_bechsteinii	1.149	0.978	0	1	0	0	0	0	0.978	0	0	0
Myotis_bocagii	0.868	0.845	0	1	0	0	0	0	0.845	0	0	0
Myotis_dasycneme	1.072	1.176	0	1	0	0	0	0	1.176	0	0	0
Myotis_myotis	1.262	1.408	0	1	0	0	0	0	1.408	0	0	0
Myotis_nigricans	0.847	0.663	0	1	0	0	0	0	0.663	0	0	0
Myotis_siligorensis	0.573	0.539	0	1	0	0	0	0	0.539	0	0	0
Natalus_tumidirostris	0.909	0.839	0	1	0	0	0	0	0.839	0	0	0
Noctilio_albiventris	1.217	1.515	0	1	0	0	0	0	1.515	0	0	0
Noctilio_leporinus	1.497	1.763	0	1	0	0	0	0	1.763	0	0	0
Nyctalus_noctula	1.086	1.431	0	1	0	0	0	0	1.431	0	0	0
Nycteris_arge	1.004	1.025	0	1	0	0	0	0	1.025	0	0	0
Nycteris_grandis	1.204	1.474	0	1	0	0	0	0	1.474	0	0	0
Nycteris_hispida	0.88	0.892	0	1	0	0	0	0	0.892	0	0	0
Nycteris_javanica	0.945	1.265	0	1	0	0	0	0	1.265	0	0	0
Nycteris_macrotis	0.974	1.161	0	1	0	0	0	0	1.161	0	0	0
Nycteris_thebaica	0.925	0.949	0	1	0	0	0	0	0.949	0	0	0
Nyctophilus_geoffroyi	0.817	0.857	0	1	0	0	0	0	0.857	0	0	0
Otomops_martiensseni	1.418	1.618	0	1	0	0	0	0	1.618	0	0	0
Peropteryx_macrotis	0.667	0.748	0	1	0	0	0	0	0.748	0	0	0
Phylloderma_stenops	2.019	1.664	0	1	0	0	0	0	1.664	0	0	0
Phyllostomus_discolor	1.727	1.563	0	1	0	0	0	0	1.563	0	0	0
Phyllostomus_elongatus	1.53	1.652	0	1	0	0	0	0	1.652	0	0	0
Phyllostomus_hastatus	1.814	1.963	0	1	0	0	0	0	1.963	0	0	0
Pipistrellus_javanicus	0.685	0.653	0	1	0	0	0	0	0.653	0	0	0
Pipistrellus_tenuis	0.585	0.591	0	1	0	0	0	0	0.591	0	0	0
Afronycteris_nana	0.64	0.591	0	1	0	0	0	0	0.591	0	0	0
Hypsugo_pulveratus	0.768	0.724	0	1	0	0	0	0	0.724	0	0	0
Perimyotis_subflavus	0.757	0.724	0	1	0	0	0	0	0.724	0	0	0
Pteronotus_gymnonotus	1.049	1.134	0	1	0	0	0	0	1.134	0	0	0
Pteronotus_parnellii_mesoamericanus	1.348	1.305	0	1	0	0	0	0	1.305	0	0	0
Pteronotus_personatus	0.94	0.908	0	1	0	0	0	0	0.908	0	0	0
Rhinolophus_cornutus	0.768	0.82	0	1	0	0	0	0	0.82	0	0	0
Rhinolophus_eloquens	1.199	1.281	0	1	0	0	0	0	1.281	0	0	0
Rhinolophus_hipposideros	0.737	0.663	0	1	0	0	0	0	0.663	0	0	0
Rhinolophus_landeri	1	0.987	0	1	0	0	0	0	0.987	0	0	0
Rhinolophus_lepidus	0.895	0.778	0	1	0	0	0	0	0.778	0	0	0
Rhinolophus_luctus	1.223	1.516	0	1	0	0	0	0	1.516	0	0	0
Rhinolophus_macrotis	0.862	0.799	0	1	0	0	0	0	0.799	0	0	0
Rhinolophus_malayanus	0.862	0.806	0	1	0	0	0	0	0.806	0	0	0
Rhinolophus_megaphyllus	0.938	0.991	0	1	0	0	0	0	0.991	0	0	0
Rhinolophus_pearsonii	1.004	1.143	0	1	0	0	0	0	1.143	0	0	0
Rhinolophus_pusillus	0.801	0.672	0	1	0	0	0	0	0.672	0	0	0
Rhinolophus_trifoliatus	0.981	1.164	0	1	0	0	0	0	1.164	0	0	0
Rhinolophus_yunnanensis	1.161	1.371	0	1	0	0	0	0	1.371	0	0	0
Rhinonicteris_aurantia	0.886	0.934	0	1	0	0	0	0	0.934	0	0	0
Rhinophylla_pumilio	1.34	0.949	0	1	0	0	0	0	0.949	0	0	0
Rhinopoma_hardwickii	1.033	1.111	0	1	0	0	0	0	1.111	0	0	0
Rhinopoma_microphyllum	1.228	1.468	0	1	0	0	0	0	1.468	0	0	0
Rhogeessa_parvula	0.69	0.653	0	1	0	0	0	0	0.653	0	0	0
Rhynchonycteris_naso	0.559	0.58	0	1	0	0	0	0	0.58	0	0	0
Saccopteryx_bilineata	0.877	0.924	0	1	0	0	0	0	0.924	0	0	0
Saccopteryx_canescens	0.569	0.531	0	1	0	0	0	0	0.531	0	0	0
Saccopteryx_leptura	0.704	0.708	0	1	0	0	0	0	0.708	0	0	0
Scotomanes_ornatus	1.201	1.338	0	1	0	0	0	0	1.338	0	0	0
Scotophilus_dinganii	1.185	1.386	0	1	0	0	0	0	1.386	0	0	0
Scotophilus_kuhlii	1.057	1.31	0	1	0	0	0	0	1.31	0	0	0
Sphaeronycteris_toxophyllum	1.382	1.265	0	1	0	0	0	0	1.265	0	0	0
Sturnira_lilium	1.579	1.305	0	1	0	0	0	0	1.305	0	0	0
Sturnira_ludovici	1.571	1.413	0	1	0	0	0	0	1.413	0	0	0
Sturnira_tildae	1.614	1.387	0	1	0	0	0	0	1.387	0	0	0
Tadarida_aegyptiaca	1.207	1.248	0	1	0	0	0	0	1.248	0	0	0
Taphozous_australis	1.21	1.38	0	1	0	0	0	0	1.38	0	0	0
Taphozous_hildegardeae	1.303	1.438	0	1	0	0	0	0	1.438	0	0	0
Taphozous_mauritianus	1.25	1.462	0	1	0	0	0	0	1.462	0	0	0
Taphozous_melanopogon	1.307	1.356	0	1	0	0	0	0	1.356	0	0	0
Tonatia_bidens	1.623	1.468	0	1	0	0	0	0	1.468	0	0	0
Lophostoma_schulzi	1.155	1.328	0	1	0	0	0	0	1.328	0	0	0
Trachops_cirrhosus	1.556	1.567	0	1	0	0	0	0	1.567	0	0	0
Triaenops_persicus	0.863	1.137	0	1	0	0	0	0	1.137	0	0	0
Tylonycteris_pachypus	0.524	0.681	0	1	0	0	0	0	0.681	0	0	0
Tylonycteris_robustula	0.663	0.857	0	1	0	0	0	0	0.857	0	0	0
Uroderma_bilobatum	1.505	1.21	0	1	0	0	0	0	1.21	0	0	0
Vampyressa_pusilla	1.294	0.934	0	1	0	0	0	0	0.934	0	0	0
Vampyrum_spectrum	2.084	2.238	0	1	0	0	0	0	2.238	0	0	0
Alouatta_seniculus	2.605	3.806	0	0	1	0	0	0	0	3.806	0	0
Aotus_trivirgatus	2.301	2.919	0	0	1	0	0	0	0	2.919	0	0
Ateles_geoffroyi	2.879	3.903	0	0	1	0	0	0	0	3.903	0	0
Avahi_laniger	2.222	3.109	0	0	1	0	0	0	0	3.109	0	0
Plecturocebus_moloch	2.301	2.954	0	0	1	0	0	0	0	2.954	0	0
Callimico_goeldii	2.025	2.681	0	0	1	0	0	0	0	2.681	0	0
Callithrix_jacchus	1.928	2.447	0	0	1	0	0	0	0	2.447	0	0
Cebuella_pygmaea	1.761	2.146	0	0	1	0	0	0	0	2.146	0	0
Cebus_albifrons	2.675	3.491	0	0	1	0	0	0	0	3.491	0	0
Cercopithecus_ascanius	2.68	3.531	0	0	1	0	0	0	0	3.531	0	0
Cercopithecus_mitis_mitis	2.748	3.799	0	0	1	0	0	0	0	3.799	0	0
Cheirogaleus_major	2.361	2.653	0	0	1	0	0	0	0	2.653	0	0
Cheirogaleus_medius	2.125	2.248	0	0	1	0	0	0	0	2.248	0	0
Daubentonia_madagascariensis	3.024	3.447	0	0	1	0	0	0	0	3.447	0	0
Erythrocebus_patas	2.814	3.892	0	0	1	0	0	0	0	3.892	0	0
Eulemur_fulvus_fulvus	2.58	3.146	0	0	1	0	0	0	0	3.146	0	0
Galago_senegalensis	1.953	2.27	0	0	1	0	0	0	0	2.27	0	0
Galagoides_demidoff	2.091	1.908	0	0	1	0	0	0	0	1.908	0	0
Gorilla_gorilla	3.327	5.021	0	0	1	0	0	0	0	5.021	0	0
Homo_sapiens	3.779	4.813	0	0	1	0	0	0	0	4.813	0	0
Hylobates_lar	2.777	3.756	0	0	1	0	0	0	0	3.756	0	0
Indri_indri	2.643	3.796	0	0	1	0	0	0	0	3.796	0	0
Lagothrix_lagotricha	2.808	3.716	0	0	1	0	0	0	0	3.716	0	0
Lepilemur_mustelinus	2.225	2.961	0	0	1	0	0	0	0	2.961	0	0
