Species_TTOL	AMY	rest_of_brain
Anourosorex_squamipes	1.186	2.5613393948666
Atelerix_algirus	2.014	3.45937494595256
Blarina_brevicauda	1.039	2.56526016953364
Chrysochloris_asiatica	1.302	2.8124927980164
Chrysochloris_stuhlmanni	1.365	2.83356529108882
Crocidura_attenuata	0.823	2.29369840905507
Crocidura_flavescens	1.101	2.58207746336137
Crocidura_hildegardeae	0.838	2.30064063157812
Crocidura_denti	0.882	2.36479451634544
Crocidura_russula	0.823	2.26471093422473
Crocidura_suaveolens	0.774	2.25063238800831
Cryptotis_parvus	0.959	2.36248471949945
Desmana_moschata	1.958	3.55635615102067
Echinops_telfairi	1.352	2.74834886210844
Echinosorex_gymnura	2.231	3.7443098228403
Erinaceus_europaeus	2.036	3.47896517613914
Euroscaptor_micrura	1.356	2.88161190363473
Galemys_pyrenaicus	1.561	3.0873915761491
Geogale_aurita	0.615	2.08153227068238
Hemicentetes_semispinosus	1.313	2.87971667978679
Hemiechinus_auritus	1.852	3.22302557506589
Hylomys_suillus	1.573	3.04265473490601
Limnogale_mergulus	1.428	3.01708868959485
Microgale_dobsoni	1.228	2.70344201843958
Microgale_talazaci	1.388	2.85130596152045
Micropotamogale_lamottei	1.28	2.86835860528116
Micropotamogale_ruwenzorii	1.344	3.0239960099372
Myosorex_sclateri	1.082	2.52863027572128
Neomys_anomalus	0.913	2.4253493121911
Neomys_fodiens	0.934	2.4844525337294
Oryzorictes_hova	1.317	2.72555444984195
Parascalops_breweri	1.354	2.9176407015745
Potamogale_velox	1.794	3.58573403914356
Ruwenzorisorex_suncoides	1.011	2.54319142403048
Scalopus_aquaticus	1.49	3.09133564705225
Scutisorex_somereni	1.252	2.77648055519446
Setifer_setosus	1.83	3.13780347988815
Solenodon_paradoxus	2.131	3.63091110993978
Sorex_alpinus	0.906	2.39429748323639
Sorex_araneus	0.886	2.30376222600923
Sorex_cinereus	0.689	2.19894571979351
Sorex_fumeus	0.871	2.35557876339451
Sorex_hoyi	0.516	1.95473569737117
Sorex_minutus	0.539	2.03191366086741
Suncus_etruscus	0.238	1.76381793243763
Suncus_murinus	1.045	2.54992986543294
Sylvisorex_granti	0.704	2.19026550669
Suncus_megalura	0.747	2.24721153694055
Talpa_europaea	1.422	2.9763963558453
Tenrec_ecaudatus	1.948	3.35823796436117
Aepyprymnus_rufescens	2.3126	4.0785367274352
Antechinus_flavipes	1.356026	2.78774994860876
Antechinus_minimus	1.390935	2.86153430048589
Bettongia_gaimardi	2.304275	4.04663551459762
Bettongia_penicillata	2.255273	3.98021273823091
Burramys_parvus	1.342423	2.92464113314859
Cercartetus_nanus	1.164353	2.67775290596171
Dactylopsila_trivirgata	2.009876	3.76646475332113
Dasycercus_cristicauda	1.640481	3.16814378922862
Dasyuroides_byrnei	1.661813	3.1709361619783
Dasyurus_geoffroii	2.112605	3.70221513935253
Dasyurus_hallucatus	1.926342	3.45874340368618
Dendrolagus_lumholtzi	2.472756	4.32056441398414
Distoechurus_pennatus	1.534026	2.99668674974598
Dorcopsis	2.465532	4.18833195300086
Echymipera_kalubu	1.943495	3.52847956017657
Gymnobelideus_leadbeateri	1.692847	3.34769853893654
Hypsiprymnodon_moschatus	2.168203	3.74212014161771
Isoodon_macrourus	1.993877	3.58290385753117
Isoodon_obesulus_obesulus	1.980458	3.62554911049539
Osphranter_antilopinus	2.838471	4.71459609027679
Macropus_giganteus	2.910358	4.77506983526938
Notamacropus_irma	2.563125	4.36841530467472
Notamacropus_parma	2.398287	4.20117855029655
Notamacropus_parryi	2.270077	4.51970786965636
Osphranter_robustus	2.816705	4.66347772236744
Osphranter_rufus	2.804889	4.6959083965357
Thylamys_pallidior	1.356026	2.76345797589405
Marmosops_impavidus	1.703291	3.05568408388292
Monodelphis_brevicaudata	1.625312	2.94537022663038
Notoryctes_typhlops	1.462398	2.91376083971985
Petauroides_volans	1.920645	3.62032345471659
Petaurus_australis	2.100371	3.77024778429207
Petaurus_breviceps	1.752048	3.32467344517594
Petaurus_norfolcensis	1.860937	3.45766979672993
Petrogale_inornata	2.410271	4.23497248958282
Petrogale_lateralis	2.374015	4.16786355239828
Petrogale_penicillata	2.140271	4.31879823891567
Petrogale_purpureicollis	2.436322	4.24652097310723
Petropseudes_dahli	2.053463	3.69722055952986
Phascolarctos_cinereus	2.402433	4.22355030391757
Planigale_ingrami	0.447158	1.97840863192174
Planigale_maculata	0.883093	2.30272041723985
Potorous_tridactylus_tridactylus	2.277151	3.99808497676137
Pseudochirulus_canescens	1.706718	3.33597913853393
Pseudochirulus_forbesi	1.806858	3.47922966682932
Sarcophilus_harrisii	2.576226	4.14834965764349
Sminthopsis_crassicaudata	1.071882	2.53750425778387
Sminthopsis_leucopus	1.176091	2.66164229549523
Phalanger_gymnotis	2.346744	4.06032757480693
Thylacinus_cynocephalus	2.860338	4.70915133299125
Thylogale_billardierii	2.516932	4.34805949126278
Thylogale_stigmatica	2.516006	4.25065668458073
Trichosurus_vulpecula	2.369401	4.00237325530746
Vombatus_ursinus	2.702603	4.68410274637518
Wallabia_bicolor	2.656194	4.55349934894676
Balionycteris_maculata	1.114	2.68604357258994
Casinycteris_argynnis	1.238	2.89835140151989
Chironax_melanocephalus	1.17	2.75718362381577
Cynopterus_brachyotis	1.391	2.966833649282
Cynopterus_horsfieldii	1.462	3.11468350641045
Cynopterus_sphinx	1.435	3.05354966776212
Dobsonia_inermis	1.833	3.40766797562694
Dobsonia_moluccensis	1.988	3.63531672034154
Dobsonia_praedatrix	1.838	3.45265177566025
Eidolon_helvum	1.997	3.60406636908379
Eonycteris_spelaea	1.512	3.09326062869164
Epomophorus_labiatus	1.571	3.17341455082117
Epomops_franqueti	1.667	3.3178958890353
Hypsignathus_monstrosus	1.755	3.51177917774895
Macroglossus_minimus	1.114	2.72492739657078
Megaerops_ecaudatus	1.243	2.87855040696948
Megaloglossus_woermanni	1.193	2.80962194180342
Melonycteris_melanops	1.528	3.08827988670424
Melonycteris_woodfordi	1.365	2.98478330621441
Epomophorus_pusillus	1.365	2.8916991691473
Myonycteris_torquata	1.391	3.04038415947288
Notopteris_macdonaldi	1.595	3.14143861060649
Nyctimene_albiventer	1.342	2.89166094946112
Nyctimene_robinsoni	1.522	3.06521908417013
Nyctimene_vizcaccia	1.428	2.97019608506253
Paranyctimene_raptor	1.25	2.83904237199348
Pteropus_alecto	2.064	3.82069860124938
Pteropus_conspicillatus	2.151	3.89493121910952
Pteropus_hypomelanus	1.999	3.69716131393364
Pteropus_lylei	2.009	3.75598421253182
Pteropus_neohibernicus	2.145	3.92848620624869
Pteropus_poliocephalus	2.06	3.83016987335255
Pteropus_samoensis	1.968	3.73626675041077
Pteropus_scapulatus	1.938	3.70549571470575
Pteropus_temminckii	1.968	3.66354900940771
Pteropus_tonganus	2.035	3.75825829746648
Pteropus_vampyrus	2.145	3.92972371176801
Rousettus_aegyptiacus	1.706	3.32486399626551
Rousettus_amplexicaudatus	1.602	3.1617898919156
Scotonycteris_zenkeri	1.225	2.8251361190744
Sphaerias_blanfordi	1.294	2.89058047078486
Syconycteris_australis	1.149	2.75449107699007
Anoura_caudifer	1.021	2.5806238378183
Anoura_geoffroyi	1.22	2.74657171798292
Ardops_nichollsi	1.27	2.72119019257957
Artibeus_cinereus	1.068	2.64696591916355
Artibeus_concolor	1.283	2.77277474031503
Artibeus_jamaicensis	1.436	2.98333261088124
Artibeus_lituratus	1.542	3.06496819373968
