Species_TTOL	MED	rest_of_brain	BOD	BOD2
Potorous_tridactylus_tridactylus	2.89304	3.0789623596587	3.089905	9.547512909025
Pseudochirulus_canescens	2.424718	3.0789623596587	2.447158	5.988582276964
Pseudochirulus_forbesi	2.542825	3.0789623596587	2.70757	7.3309353049
Sarcophilus_harrisii	3.161667	3.0789623596587	3.732394	13.930764971236
Sminthopsis_crassicaudata	1.700704	3.0789623596587	1.146128	1.313609392384
Sminthopsis_leucopus	1.866287	3.0789623596587	1.361728	1.854303145984
Phalanger_gymnotis	3.028164	3.0789623596587	3.451786	11.914826589796
Thylacinus_cynocephalus	3.716087	3.0789623596587	4.342423	18.856637510929
Thylogale_billardierii	3.266702	3.0789623596587	3.845098	14.784778629604
Thylogale_stigmatica	3.216166	3.0789623596587	3.653213	13.345965223369
Trichosurus_vulpecula	2.984752	3.0789623596587	3.30103	10.8967990609
Vombatus_ursinus	3.62995	3.0789623596587	4.357935	18.991597464225
Wallabia_bicolor	3.475235	3.0789623596587	4.198657	17.628720603649
Balionycteris_maculata	1.591	3.0789623596587	1.158	1.340964
Casinycteris_argynnis	1.839	3.0789623596587	1.428	2.039184
Chironax_melanocephalus	1.643	3.0789623596587	1.248	1.557504
Cynopterus_brachyotis	1.833	3.0789623596587	1.53	2.3409
Cynopterus_horsfieldii	1.968	3.0789623596587	1.773	3.143529
Cynopterus_sphinx	1.924	3.0789623596587	1.713	2.934369
Dobsonia_inermis	2.238	3.0789623596587	2.173	4.721929
Dobsonia_moluccensis	2.431	3.0789623596587	2.543	6.466849
Dobsonia_praedatrix	2.286	3.0789623596587	2.25	5.0625
Eidolon_helvum	2.437	3.0789623596587	2.418	5.846724
Eonycteris_spelaea	1.981	3.0789623596587	1.769	3.129361
Epomophorus_labiatus	2.061	3.0789623596587	1.806	3.261636
Epomops_franqueti	2.241	3.0789623596587	2.072	4.293184
Hypsignathus_monstrosus	2.451	3.0789623596587	2.491	6.205081
Macroglossus_minimus	1.616	3.0789623596587	1.164	1.354896
Megaerops_ecaudatus	1.732	3.0789623596587	1.38	1.9044
Megaloglossus_woermanni	1.709	3.0789623596587	1.253	1.570009
Melonycteris_melanops	1.92	3.0789623596587	1.675	2.805625
Melonycteris_woodfordi	1.853	3.0789623596587	1.549	2.399401
Epomophorus_pusillus	1.803	3.0789623596587	1.4	1.96
Myonycteris_torquata	1.915	3.0789623596587	1.561	2.436721
Notopteris_macdonaldi	2.027	3.0789623596587	1.841	3.389281
Nyctimene_albiventer	1.787	3.0789623596587	1.473	2.169729
Nyctimene_robinsoni	1.923	3.0789623596587	1.673	2.798929
Nyctimene_vizcaccia	1.851	3.0789623596587	1.549	2.399401
Paranyctimene_raptor	1.713	3.0789623596587	1.417	2.007889
Pteropus_alecto	2.593	3.0789623596587	2.775	7.700625
Pteropus_conspicillatus	2.616	3.0789623596587	2.875	8.265625
Pteropus_hypomelanus	2.502	3.0789623596587	2.591	6.713281
Pteropus_lylei	2.513	3.0789623596587	2.497	6.235009
Pteropus_neohibernicus	2.679	3.0789623596587	2.924	8.549776
Pteropus_poliocephalus	2.635	3.0789623596587	2.842	8.076964
Pteropus_samoensis	2.513	3.0789623596587	2.491	6.205081
Pteropus_scapulatus	2.454	3.0789623596587	2.574	6.625476
Pteropus_temminckii	2.436	3.0789623596587	2.398	5.750404
Pteropus_tonganus	2.56	3.0789623596587	2.652	7.033104
Pteropus_vampyrus	2.652	3.0789623596587	3.027	9.162729
Rousettus_aegyptiacus	2.182	3.0789623596587	2.111	4.456321
Rousettus_amplexicaudatus	2.042	3.0789623596587	1.856	3.444736
Scotonycteris_zenkeri	1.748	3.0789623596587	1.328	1.763584
Sphaerias_blanfordi	1.839	3.0789623596587	1.47	2.1609
Syconycteris_australis	1.623	3.0789623596587	1.207	1.456849
Anoura_caudifer	1.591	3.0789623596587	1.025	1.050625
Anoura_geoffroyi	1.716	3.0789623596587	1.204	1.449616
Ardops_nichollsi	1.696	3.0789623596587	1.352	1.827904
Artibeus_cinereus	1.618	3.0789623596587	1.1	1.21
Artibeus_concolor	1.742	3.0789623596587	1.288	1.658944
Artibeus_jamaicensis	1.923	3.0789623596587	1.613	2.601769
Artibeus_lituratus	1.976	3.0789623596587	1.748	3.055504
Aselliscus_stoliczkanus	1.356	3.0789623596587	0.69	0.4761
Aselliscus_tricuspidatus	1.294	3.0789623596587	0.643	0.413449
Brachyphylla_cavernarum	2.026	3.0789623596587	1.648	2.715904
Cardioderma_cor	1.854	3.0789623596587	1.415	2.002225
Carollia_perspicillata	1.691	3.0789623596587	1.25	1.5625
Chalinolobus_gouldii	1.528	3.0789623596587	1.068	1.140624
