Species_TTOL	NEO	BOD	GroupChiroptera_mega	GroupChiroptera_micro	GroupEuarchontoglires	GroupEulipotyphla	GroupMarsupials	BOD_GroupChiroptera_mega	BOD_GroupChiroptera_micro	BOD_GroupEuarchontoglires	BOD_GroupEulipotyphla	BOD_GroupMarsupials
Notamacropus_parma	3.824386	3.536558	0	0	0	0	1	0	0	0	0	3.536558
Notamacropus_parryi	4.144294	4.170262	0	0	0	0	1	0	0	0	0	4.170262
Osphranter_robustus	4.347545	4.409933	0	0	0	0	1	0	0	0	0	4.409933
Osphranter_rufus	4.360082	4.494155	0	0	0	0	1	0	0	0	0	4.494155
Thylamys_pallidior	2.036629	1.477121	0	0	0	0	1	0	0	0	0	1.477121
Marmosops_impavidus	2.345178	1.845098	0	0	0	0	1	0	0	0	0	1.845098
Monodelphis_brevicaudata	2.126131	1.924279	0	0	0	0	1	0	0	0	0	1.924279
Notoryctes_typhlops	2.064083	1.531479	0	0	0	0	1	0	0	0	0	1.531479
Petauroides_volans	3.110253	3.09691	0	0	0	0	1	0	0	0	0	3.09691
Petaurus_australis	3.313445	2.748188	0	0	0	0	1	0	0	0	0	2.748188
Petaurus_breviceps	2.806655	2.113943	0	0	0	0	1	0	0	0	0	2.113943
Petaurus_norfolcensis	2.949048	2.374748	0	0	0	0	1	0	0	0	0	2.374748
Petrogale_inornata	3.828724	3.628389	0	0	0	0	1	0	0	0	0	3.628389
Petrogale_lateralis	3.764251	3.556303	0	0	0	0	1	0	0	0	0	3.556303
Petrogale_penicillata	3.91981	3.690196	0	0	0	0	1	0	0	0	0	3.690196
Petrogale_purpureicollis	3.827305	3.740363	0	0	0	0	1	0	0	0	0	3.740363
Petropseudes_dahli	3.178113	3.127105	0	0	0	0	1	0	0	0	0	3.127105
Phascolarctos_cinereus	3.804071	3.968483	0	0	0	0	1	0	0	0	0	3.968483
Planigale_ingrami	0.974972	0.826075	0	0	0	0	1	0	0	0	0	0.826075
Planigale_maculata	1.414973	1.041393	0	0	0	0	1	0	0	0	0	1.041393
Potorous_tridactylus_tridactylus	3.462398	3.089905	0	0	0	0	1	0	0	0	0	3.089905
Pseudochirulus_canescens	2.769156	2.447158	0	0	0	0	1	0	0	0	0	2.447158
Pseudochirulus_forbesi	2.93892	2.70757	0	0	0	0	1	0	0	0	0	2.70757
Sarcophilus_harrisii	3.581153	3.732394	0	0	0	0	1	0	0	0	0	3.732394
Sminthopsis_crassicaudata	1.725095	1.146128	0	0	0	0	1	0	0	0	0	1.146128
Sminthopsis_leucopus	1.864511	1.361728	0	0	0	0	1	0	0	0	0	1.361728
Phalanger_gymnotis	3.547036	3.451786	0	0	0	0	1	0	0	0	0	3.451786
Thylacinus_cynocephalus	4.326295	4.342423	0	0	0	0	1	0	0	0	0	4.342423
Thylogale_billardierii	3.925776	3.845098	0	0	0	0	1	0	0	0	0	3.845098
Thylogale_stigmatica	3.829368	3.653213	0	0	0	0	1	0	0	0	0	3.653213
Trichosurus_vulpecula	3.523356	3.30103	0	0	0	0	1	0	0	0	0	3.30103
Vombatus_ursinus	4.31161	4.357935	0	0	0	0	1	0	0	0	0	4.357935
Wallabia_bicolor	4.162594	4.198657	0	0	0	0	1	0	0	0	0	4.198657
Balionycteris_maculata	2.13	1.158	1	0	0	0	0	1.158	0	0	0	0
Casinycteris_argynnis	2.369	1.428	1	0	0	0	0	1.428	0	0	0	0
Chironax_melanocephalus	2.226	1.248	1	0	0	0	0	1.248	0	0	0	0
Cynopterus_brachyotis	2.459	1.53	1	0	0	0	0	1.53	0	0	0	0
Cynopterus_horsfieldii	2.636	1.773	1	0	0	0	0	1.773	0	0	0	0
Cynopterus_sphinx	2.547	1.713	1	0	0	0	0	1.713	0	0	0	0
Dobsonia_inermis	2.922	2.173	1	0	0	0	0	2.173	0	0	0	0
Dobsonia_moluccensis	3.18	2.543	1	0	0	0	0	2.543	0	0	0	0
Dobsonia_praedatrix	2.97	2.25	1	0	0	0	0	2.25	0	0	0	0
Eidolon_helvum	3.148	2.418	1	0	0	0	0	2.418	0	0	0	0
Eonycteris_spelaea	2.584	1.769	1	0	0	0	0	1.769	0	0	0	0
Epomophorus_labiatus	2.664	1.806	1	0	0	0	0	1.806	0	0	0	0
Epomops_franqueti	2.789	2.072	1	0	0	0	0	2.072	0	0	0	0
Hypsignathus_monstrosus	3.024	2.491	1	0	0	0	0	2.491	0	0	0	0
Macroglossus_minimus	2.192	1.164	1	0	0	0	0	1.164	0	0	0	0
Megaerops_ecaudatus	2.392	1.38	1	0	0	0	0	1.38	0	0	0	0
Megaloglossus_woermanni	2.279	1.253	1	0	0	0	0	1.253	0	0	0	0
Melonycteris_melanops	2.617	1.675	1	0	0	0	0	1.675	0	0	0	0
Melonycteris_woodfordi	2.505	1.549	1	0	0	0	0	1.549	0	0	0	0
Epomophorus_pusillus	2.385	1.4	1	0	0	0	0	1.4	0	0	0	0
Myonycteris_torquata	2.527	1.561	1	0	0	0	0	1.561	0	0	0	0
Notopteris_macdonaldi	2.623	1.841	1	0	0	0	0	1.841	0	0	0	0
Nyctimene_albiventer	2.341	1.473	1	0	0	0	0	1.473	0	0	0	0
Nyctimene_robinsoni	2.525	1.673	1	0	0	0	0	1.673	0	0	0	0
Nyctimene_vizcaccia	2.41	1.549	1	0	0	0	0	1.549	0	0	0	0
Paranyctimene_raptor	2.297	1.417	1	0	0	0	0	1.417	0	0	0	0
Pteropus_alecto	3.434	2.775	1	0	0	0	0	2.775	0	0	0	0
Pteropus_conspicillatus	3.524	2.875	1	0	0	0	0	2.875	0	0	0	0
Pteropus_hypomelanus	3.28	2.591	1	0	0	0	0	2.591	0	0	0	0
Pteropus_lylei	3.378	2.497	1	0	0	0	0	2.497	0	0	0	0
Pteropus_neohibernicus	3.565	2.924	1	0	0	0	0	2.924	0	0	0	0
Pteropus_poliocephalus	3.433	2.842	1	0	0	0	0	2.842	0	0	0	0
Pteropus_samoensis	3.331	2.491	1	0	0	0	0	2.491	0	0	0	0
Pteropus_scapulatus	3.318	2.574	1	0	0	0	0	2.574	0	0	0	0
Pteropus_temminckii	3.259	2.398	1	0	0	0	0	2.398	0	0	0	0
Pteropus_tonganus	3.35	2.652	1	0	0	0	0	2.652	0	0	0	0
Pteropus_vampyrus	3.558	3.027	1	0	0	0	0	3.027	0	0	0	0
Rousettus_aegyptiacus	2.837	2.111	1	0	0	0	0	2.111	0	0	0	0
Rousettus_amplexicaudatus	2.636	1.856	1	0	0	0	0	1.856	0	0	0	0
Scotonycteris_zenkeri	2.261	1.328	1	0	0	0	0	1.328	0	0	0	0
Sphaerias_blanfordi	2.35	1.47	1	0	0	0	0	1.47	0	0	0	0
Syconycteris_australis	2.243	1.207	1	0	0	0	0	1.207	0	0	0	0
Anoura_caudifer	2.005	1.025	0	1	0	0	0	0	1.025	0	0	0
Anoura_geoffroyi	2.165	1.204	0	1	0	0	0	0	1.204	0	0	0
Ardops_nichollsi	2.172	1.352	0	1	0	0	0	0	1.352	0	0	0
Artibeus_cinereus	2.081	1.1	0	1	0	0	0	0	1.1	0	0	0
Artibeus_concolor	2.183	1.288	0	1	0	0	0	0	1.288	0	0	0
Artibeus_jamaicensis	2.449	1.613	0	1	0	0	0	0	1.613	0	0	0
Artibeus_lituratus	2.513	1.748	0	1	0	0	0	0	1.748	0	0	0
Aselliscus_stoliczkanus	1.352	0.69	0	1	0	0	0	0	0.69	0	0	0
Aselliscus_tricuspidatus	1.346	0.643	0	1	0	0	0	0	0.643	0	0	0
Brachyphylla_cavernarum	2.509	1.648	0	1	0	0	0	0	1.648	0	0	0
Cardioderma_cor	2.27	1.415	0	1	0	0	0	0	1.415	0	0	0
Carollia_perspicillata	2.111	1.25	0	1	0	0	0	0	1.25	0	0	0
Chalinolobus_gouldii	1.572	1.068	0	1	0	0	0	0	1.068	0	0	0
Chalinolobus_morio	1.449	0.919	0	1	0	0	0	0	0.919	0	0	0
Chiroderma_salvini	2.323	1.417	0	1	0	0	0	0	1.417	0	0	0
Chiroderma_trinitatum	2.182	1.137	0	1	0	0	0	0	1.137	0	0	0
Chiroderma_villosum	2.273	1.394	0	1	0	0	0	0	1.394	0	0	0
Choeroniscus_minor	1.98	0.982	0	1	0	0	0	0	0.982	0	0	0
Coleura_afra	1.72	1.061	0	1	0	0	0	0	1.061	0	0	0
Cormura_brevirostris	1.635	0.914	0	1	0	0	0	0	0.914	0	0	0
Craseonycteris_thonglongyai	1.243	0.408	0	1	0	0	0	0	0.408	0	0	0
Desmodus_rotundus	2.495	1.56	0	1	0	0	0	0	1.56	0	0	0
Diphylla_ecaudata	2.364	1.49	0	1	0	0	0	0	1.49	0	0	0
Emballonura_monticola	1.507	0.724	0	1	0	0	0	0	0.724	0	0	0
Emballonura_raffrayana	1.538	0.771	0	1	0	0	0	0	0.771	0	0	0
Eptesicus_brasiliensis	1.542	0.964	0	1	0	0	0	0	0.964	0	0	0
Eptesicus_fuscus_bahamensis	1.636	1.134	0	1	0	0	0	0	1.134	0	0	0
Eumops_auripendulus	2.071	1.529	0	1	0	0	0	0	1.529	0	0	0
Eumops_glaucinus	2.111	1.562	0	1	0	0	0	0	1.562	0	0	0
Furipterus_horrens	1.367	0.535	0	1	0	0	0	0	0.535	0	0	0
Glischropus_tylopus	1.155	0.69	0	1	0	0	0	0	0.69	0	0	0
Glossophaga_longirostris	1.968	1.053	0	1	0	0	0	0	1.053	0	0	0
Glossophaga_soricina	1.944	0.996	0	1	0	0	0	0	0.996	0	0	0
Harpiocephalus_harpia	1.91	1.13	0	1	0	0	0	0	1.13	0	0	0
Hesperoptenus_blanfordi	1.41	0.863	0	1	0	0	0	0	0.863	0	0	0
Hipposideros_armiger	2.227	1.748	0	1	0	0	0	0	1.748	0	0	0
Hipposideros_ater	1.587	0.839	0	1	0	0	0	0	0.839	0	0	0
Hipposideros_caffer	1.785	1.041	0	1	0	0	0	0	1.041	0	0	0
Macronycteris_commersoni	2.235	1.997	0	1	0	0	0	0	1.997	0	0	0
Hipposideros_diadema	2.189	1.622	0	1	0	0	0	0	1.622	0	0	0
Hipposideros_fulvus	1.649	0.845	0	1	0	0	0	0	0.845	0	0	0
Hipposideros_lankadiva	2.189	1.686	0	1	0	0	0	0	1.686	0	0	0
Hipposideros_larvatus	1.931	1.312	0	1	0	0	0	0	1.312	0	0	0
Hipposideros_ridleyi	1.702	0.982	0	1	0	0	0	0	0.982	0	0	0
Hipposideros_speoris	1.76	1.061	0	1	0	0	0	0	1.061	0	0	0
Hipposideros_turpis	2.11	1.542	0	1	0	0	0	0	1.542	0	0	0
Ia_io	2.15	1.727	0	1	0	0	0	0	1.727	0	0	0
Kerivoula_papillosa	1.839	1.004	0	1	0	0	0	0	1.004	0	0	0
Lasiurus_borealis	1.446	0.892	0	1	0	0	0	0	0.892	0	0	0
Leptonycteris_curasoae	2.147	1.389	0	1	0	0	0	0	1.389	0	0	0
Leptonycteris_nivalis	2.159	1.358	0	1	0	0	0	0	1.358	0	0	0
Lonchophylla_mordax	1.989	1.029	0	1	0	0	0	0	1.029	0	0	0
Hsunycteris_thomasi	1.885	0.839	0	1	0	0	0	0	0.839	0	0	0
Lophostoma_silvicolum	2.381	1.509	0	1	0	0	0	0	1.509	0	0	0
Macroderma_gigas	2.708	2.078	0	1	0	0	0	0	2.078	0	0	0
Macrophyllum_macrophyllum	1.905	0.934	0	1	0	0	0	0	0.934	0	0	0
Megaderma_lyra	2.388	1.587	0	1	0	0	0	0	1.587	0	0	0
Megaderma_spasma	2.238	1.354	0	1	0	0	0	0	1.354	0	0	0
Mesophylla_macconnelli	1.939	0.875	0	1	0	0	0	0	0.875	0	0	0
Micronycteris_brachyotis	1.944	1.167	0	1	0	0	0	0	1.167	0	0	0
Micronycteris_megalotis	1.776	0.813	0	1	0	0	0	0	0.813	0	0	0
Micronycteris_minuta	1.817	0.839	0	1	0	0	0	0	0.839	0	0	0
Micronycteris_schmidtorum	1.881	0.892	0	1	0	0	0	0	0.892	0	0	0
Gardnerycteris_crenulatum	1.94	1.072	0	1	0	0	0	0	1.072	0	0	0
Miniopterus_australis	1.575	0.851	0	1	0	0	0	0	0.851	0	0	0
Miniopterus_inflatus	1.747	1.173	0	1	0	0	0	0	1.173	0	0	0
Miniopterus_magnater	1.776	1.176	0	1	0	0	0	0	1.176	0	0	0
Miniopterus_pusillus	1.571	0.934	0	1	0	0	0	0	0.934	0	0	0
Miniopterus_tristis	1.794	1.193	0	1	0	0	0	0	1.193	0	0	0
Molossus_molossus	1.797	1.137	0	1	0	0	0	0	1.137	0	0	0
Molossus_rufus	2.056	1.526	0	1	0	0	0	0	1.526	0	0	0
Monophyllus_plethodon	1.984	1.176	0	1	0	0	0	0	1.176	0	0	0
Mormoops_megalophylla	1.827	1.196	0	1	0	0	0	0	1.196	0	0	0
Murina_cyclotis	1.647	0.851	0	1	0	0	0	0	0.851	0	0	0
Murina_huttoni	1.695	0.944	0	1	0	0	0	0	0.944	0	0	0
Myotis_adversus	1.668	1.049	0	1	0	0	0	0	1.049	0	0	0
Myotis_albescens	1.312	0.602	0	1	0	0	0	0	0.602	0	0	0
Myotis_annectans	1.572	0.991	0	1	0	0	0	0	0.991	0	0	0
Myotis_bechsteinii	1.56	0.978	0	1	0	0	0	0	0.978	0	0	0
Myotis_bocagii	1.556	0.845	0	1	0	0	0	0	0.845	0	0	0
Myotis_dasycneme	1.667	1.176	0	1	0	0	0	0	1.176	0	0	0
Myotis_myotis	1.894	1.408	0	1	0	0	0	0	1.408	0	0	0
Myotis_nigricans	1.362	0.663	0	1	0	0	0	0	0.663	0	0	0
Myotis_siligorensis	1.21	0.539	0	1	0	0	0	0	0.539	0	0	0
Natalus_tumidirostris	1.741	0.839	0	1	0	0	0	0	0.839	0	0	0
Noctilio_albiventris	2.265	1.515	0	1	0	0	0	0	1.515	0	0	0
Noctilio_leporinus	2.558	1.763	0	1	0	0	0	0	1.763	0	0	0
Nyctalus_noctula	1.74	1.431	0	1	0	0	0	0	1.431	0	0	0
Nycteris_arge	1.953	1.025	0	1	0	0	0	0	1.025	0	0	0
Nycteris_grandis	2.272	1.474	0	1	0	0	0	0	1.474	0	0	0
Nycteris_hispida	1.843	0.892	0	1	0	0	0	0	0.892	0	0	0
Nycteris_javanica	2.089	1.265	0	1	0	0	0	0	1.265	0	0	0
Nycteris_macrotis	2.009	1.161	0	1	0	0	0	0	1.161	0	0	0
Nycteris_thebaica	1.933	0.949	0	1	0	0	0	0	0.949	0	0	0
Nyctophilus_geoffroyi	1.502	0.857	0	1	0	0	0	0	0.857	0	0	0
Otomops_martiensseni	2.186	1.618	0	1	0	0	0	0	1.618	0	0	0
Peropteryx_macrotis	1.486	0.748	0	1	0	0	0	0	0.748	0	0	0
Phylloderma_stenops	2.542	1.664	0	1	0	0	0	0	1.664	0	0	0
Phyllostomus_discolor	2.495	1.563	0	1	0	0	0	0	1.563	0	0	0
Phyllostomus_elongatus	2.355	1.652	0	1	0	0	0	0	1.652	0	0	0
Phyllostomus_hastatus	2.642	1.963	0	1	0	0	0	0	1.963	0	0	0
Pipistrellus_javanicus	1.265	0.653	0	1	0	0	0	0	0.653	0	0	0
Pipistrellus_tenuis	1.158	0.591	0	1	0	0	0	0	0.591	0	0	0
Afronycteris_nana	1.196	0.591	0	1	0	0	0	0	0.591	0	0	0
Hypsugo_pulveratus	1.354	0.724	0	1	0	0	0	0	0.724	0	0	0
Perimyotis_subflavus	1.22	0.724	0	1	0	0	0	0	0.724	0	0	0
Pteronotus_gymnonotus	1.89	1.134	0	1	0	0	0	0	1.134	0	0	0
Pteronotus_parnellii_mesoamericanus	2.078	1.305	0	1	0	0	0	0	1.305	0	0	0
Pteronotus_personatus	1.699	0.908	0	1	0	0	0	0	0.908	0	0	0
Rhinolophus_cornutus	1.574	0.82	0	1	0	0	0	0	0.82	0	0	0
Rhinolophus_eloquens	1.884	1.281	0	1	0	0	0	0	1.281	0	0	0
Rhinolophus_hipposideros	1.279	0.663	0	1	0	0	0	0	0.663	0	0	0
Rhinolophus_landeri	1.704	0.987	0	1	0	0	0	0	0.987	0	0	0
Rhinolophus_lepidus	1.513	0.778	0	1	0	0	0	0	0.778	0	0	0
Rhinolophus_luctus	2.132	1.516	0	1	0	0	0	0	1.516	0	0	0
Rhinolophus_macrotis	1.511	0.799	0	1	0	0	0	0	0.799	0	0	0
Rhinolophus_malayanus	1.538	0.806	0	1	0	0	0	0	0.806	0	0	0
Rhinolophus_megaphyllus	1.695	0.991	0	1	0	0	0	0	0.991	0	0	0
Rhinolophus_pearsonii	1.851	1.143	0	1	0	0	0	0	1.143	0	0	0
Rhinolophus_pusillus	1.471	0.672	0	1	0	0	0	0	0.672	0	0	0
Rhinolophus_trifoliatus	1.855	1.164	0	1	0	0	0	0	1.164	0	0	0
Rhinolophus_yunnanensis	1.957	1.371	0	1	0	0	0	0	1.371	0	0	0
Rhinonicteris_aurantia	1.675	0.934	0	1	0	0	0	0	0.934	0	0	0
Rhinophylla_pumilio	1.932	0.949	0	1	0	0	0	0	0.949	0	0	0
Rhinopoma_hardwickii	1.732	1.111	0	1	0	0	0	0	1.111	0	0	0
Rhinopoma_microphyllum	1.889	1.468	0	1	0	0	0	0	1.468	0	0	0
Rhogeessa_parvula	1.26	0.653	0	1	0	0	0	0	0.653	0	0	0
Rhynchonycteris_naso	1.344	0.58	0	1	0	0	0	0	0.58	0	0	0
Saccopteryx_bilineata	1.642	0.924	0	1	0	0	0	0	0.924	0	0	0
Saccopteryx_canescens	1.375	0.531	0	1	0	0	0	0	0.531	0	0	0
Saccopteryx_leptura	1.477	0.708	0	1	0	0	0	0	0.708	0	0	0
Scotomanes_ornatus	1.813	1.338	0	1	0	0	0	0	1.338	0	0	0
Scotophilus_dinganii	1.941	1.386	0	1	0	0	0	0	1.386	0	0	0
Scotophilus_kuhlii	1.825	1.31	0	1	0	0	0	0	1.31	0	0	0
Sphaeronycteris_toxophyllum	2.131	1.265	0	1	0	0	0	0	1.265	0	0	0
Sturnira_lilium	2.208	1.305	0	1	0	0	0	0	1.305	0	0	0
Sturnira_ludovici	2.203	1.413	0	1	0	0	0	0	1.413	0	0	0
Sturnira_tildae	2.279	1.387	0	1	0	0	0	0	1.387	0	0	0
Tadarida_aegyptiaca	1.888	1.248	0	1	0	0	0	0	1.248	0	0	0
Taphozous_australis	2.008	1.38	0	1	0	0	0	0	1.38	0	0	0
Taphozous_hildegardeae	2.046	1.438	0	1	0	0	0	0	1.438	0	0	0
Taphozous_mauritianus	2.025	1.462	0	1	0	0	0	0	1.462	0	0	0
Taphozous_melanopogon	2.054	1.356	0	1	0	0	0	0	1.356	0	0	0
Tonatia_bidens	2.315	1.468	0	1	0	0	0	0	1.468	0	0	0
Lophostoma_schulzi	2.186	1.328	0	1	0	0	0	0	1.328	0	0	0
Trachops_cirrhosus	2.472	1.567	0	1	0	0	0	0	1.567	0	0	0
Triaenops_persicus	1.682	1.137	0	1	0	0	0	0	1.137	0	0	0
Tylonycteris_pachypus	1.09	0.681	0	1	0	0	0	0	0.681	0	0	0
Tylonycteris_robustula	1.223	0.857	0	1	0	0	0	0	0.857	0	0	0
Uroderma_bilobatum	2.193	1.21	0	1	0	0	0	0	1.21	0	0	0
Vampyressa_pusilla	1.993	0.934	0	1	0	0	0	0	0.934	0	0	0
Vampyrum_spectrum	2.879	2.238	0	1	0	0	0	0	2.238	0	0	0
Alouatta_seniculus	4.501	3.806	0	0	1	0	0	0	0	3.806	0	0
Aotus_trivirgatus	3.998	2.919	0	0	1	0	0	0	0	2.919	0	0
Ateles_geoffroyi	4.85	3.903	0	0	1	0	0	0	0	3.903	0	0
Avahi_laniger	3.682	3.109	0	0	1	0	0	0	0	3.109	0	0
Plecturocebus_moloch	4.048	2.954	0	0	1	0	0	0	0	2.954	0	0
Callimico_goeldii	3.811	2.681	0	0	1	0	0	0	0	2.681	0	0
Callithrix_jacchus	3.641	2.447	0	0	1	0	0	0	0	2.447	0	0
Cebuella_pygmaea	3.404	2.146	0	0	1	0	0	0	0	2.146	0	0
Cebus_albifrons	4.667	3.491	0	0	1	0	0	0	0	3.491	0	0
Cercopithecus_ascanius	4.655	3.531	0	0	1	0	0	0	0	3.531	0	0
Cercopithecus_mitis_mitis	4.698	3.799	0	0	1	0	0	0	0	3.799	0	0
Cheirogaleus_major	3.468	2.653	0	0	1	0	0	0	0	2.653	0	0
Cheirogaleus_medius	3.087	2.248	0	0	1	0	0	0	0	2.248	0	0
Daubentonia_madagascariensis	4.345	3.447	0	0	1	0	0	0	0	3.447	0	0
Erythrocebus_patas	4.887	3.892	0	0	1	0	0	0	0	3.892	0	0
Eulemur_fulvus_fulvus	4.087	3.146	0	0	1	0	0	0	0	3.146	0	0
Galago_senegalensis	3.33	2.27	0	0	1	0	0	0	0	2.27	0	0
Galagoides_demidoff	3.195	1.908	0	0	1	0	0	0	0	1.908	0	0
Gorilla_gorilla	5.533	5.021	0	0	1	0	0	0	0	5.021	0	0
Homo_sapiens	6.003	4.813	0	0	1	0	0	0	0	4.813	0	0
Hylobates_lar	4.818	3.756	0	0	1	0	0	0	0	3.756	0	0
Indri_indri	4.303	3.796	0	0	1	0	0	0	0	3.796	0	0
Lagothrix_lagotricha	4.819	3.716	0	0	1	0	0	0	0	3.716	0	0
Lepilemur_mustelinus	3.516	2.961	0	0	1	0	0	0	0	2.961	0	0
