Species_TTOL	NEO	BOD	GroupChiroptera_mega	GroupChiroptera_micro	GroupEuarchontoglires	GroupEulipotyphla	GroupMarsupials	BOD_GroupChiroptera_mega	BOD_GroupChiroptera_micro	BOD_GroupEuarchontoglires	BOD_GroupEulipotyphla	BOD_GroupMarsupials
Anourosorex_squamipes	1.83	1.307	0	0	0	1	0	0	0	0	1.307	0
Atelerix_algirus	2.708	2.867	0	0	0	1	0	0	0	0	2.867	0
Blarina_brevicauda	1.837	1.267	0	0	0	1	0	0	0	0	1.267	0
Chrysochloris_asiatica	2.052	1.69	0	0	0	0	0	0	0	0	0	0
Chrysochloris_stuhlmanni	2.109	1.626	0	0	0	0	0	0	0	0	0	0
Crocidura_attenuata	1.403	0.968	0	0	0	1	0	0	0	0	0.968	0
Crocidura_flavescens	1.725	1.467	0	0	0	1	0	0	0	0	1.467	0
Crocidura_hildegardeae	1.415	0.996	0	0	0	1	0	0	0	0	0.996	0
Crocidura_denti	1.456	1.079	0	0	0	1	0	0	0	0	1.079	0
Crocidura_russula	1.403	1.049	0	0	0	1	0	0	0	0	1.049	0
Crocidura_suaveolens	1.391	1.013	0	0	0	1	0	0	0	0	1.013	0
Cryptotis_parvus	1.559	0.991226075692495	0	0	0	1	0	0	0	0	0.991226075692495	0
Desmana_moschata	2.993	2.646	0	0	0	1	0	0	0	0	2.646	0
Echinops_telfairi	1.713	1.942	0	0	0	0	0	0	0	0	0	0
Echinosorex_gymnura	3.035	2.921	0	0	0	1	0	0	0	0	2.921	0
Erinaceus_europaeus	2.72	2.929	0	0	0	1	0	0	0	0	2.929	0
Euroscaptor_micrura	2.196	1.617	0	0	0	1	0	0	0	0	1.617	0
Galemys_pyrenaicus	2.53	1.778	0	0	0	1	0	0	0	0	1.778	0
Geogale_aurita	0.857	1	0	0	0	0	0	0	0	0	0	0
Hemicentetes_semispinosus	1.886	2.062	0	0	0	0	0	0	0	0	0	0
Hemiechinus_auritus	2.486	2.371	0	0	0	1	0	0	0	0	2.371	0
Hylomys_suillus	2.25	1.756	0	0	0	1	0	0	0	0	1.756	0
Limnogale_mergulus	2.291	1.964	0	0	0	0	0	0	0	0	0	0
Microgale_dobsoni	1.797	1.504	0	0	0	0	0	0	0	0	0	0
Microgale_talazaci	1.949	1.683	0	0	0	0	0	0	0	0	0	0
Micropotamogale_lamottei	2.16	1.808	0	0	0	0	0	0	0	0	0	0
Micropotamogale_ruwenzorii	2.358	1.986	0	0	0	0	0	0	0	0	0	0
Myosorex_sclateri	1.656	1.23	0	0	0	1	0	0	0	0	1.23	0
Neomys_anomalus	1.771	1.037	0	0	0	1	0	0	0	0	1.037	0
Neomys_fodiens	1.753	1.182	0	0	0	1	0	0	0	0	1.182	0
Oryzorictes_hova	1.823	1.645	0	0	0	0	0	0	0	0	0	0
Parascalops_breweri	2.245	1.731	0	0	0	1	0	0	0	0	1.731	0
Potamogale_velox	3.021	2.791	0	0	0	0	0	0	0	0	0	0
Ruwenzorisorex_suncoides	1.775	1.262	0	0	0	1	0	0	0	0	1.262	0
Scalopus_aquaticus	2.403	2.061	0	0	0	1	0	0	0	0	2.061	0
Scutisorex_somereni	1.941	1.792	0	0	0	1	0	0	0	0	1.792	0
Setifer_setosus	2.135	2.373	0	0	0	0	0	0	0	0	0	0
Solenodon_paradoxus	2.825	2.826	0	0	0	1	0	0	0	0	2.826	0
Sorex_alpinus	1.658	1.033	0	0	0	1	0	0	0	0	1.033	0
Sorex_araneus	1.45	0.987	0	0	0	1	0	0	0	0	0.987	0
Sorex_cinereus	1.459	0.633	0	0	0	1	0	0	0	0	0.633	0
Sorex_fumeus	1.681	0.924	0	0	0	1	0	0	0	0	0.924	0
Sorex_hoyi	1.182	0.42	0	0	0	1	0	0	0	0	0.42	0
Sorex_minutus	1.201	0.633	0	0	0	1	0	0	0	0	0.633	0
Suncus_etruscus	0.851	0.762	0	0	0	1	0	0	0	0	0.762	0
Suncus_murinus	1.703	1.529	0	0	0	1	0	0	0	0	1.529	0
Sylvisorex_granti	1.314	0.591	0	0	0	1	0	0	0	0	0.591	0
Suncus_megalura	1.378	0.74	0	0	0	1	0	0	0	0	0.74	0
Talpa_europaea	2.258	1.908	0	0	0	1	0	0	0	0	1.908	0
Tenrec_ecaudatus	2.436	2.935	0	0	0	0	0	0	0	0	0	0
Aepyprymnus_rufescens	3.653213	3.392697	0	0	0	0	1	0	0	0	0	3.392697
Antechinus_flavipes	2.015779	1.568202	0	0	0	0	1	0	0	0	0	1.568202
Antechinus_minimus	2.112605	1.724276	0	0	0	0	1	0	0	0	0	1.724276
Bettongia_gaimardi	3.559068	3.176091	0	0	0	0	1	0	0	0	0	3.176091
Bettongia_penicillata	3.509606	3.079181	0	0	0	0	1	0	0	0	0	3.079181
Burramys_parvus	2.261976	1.770852	0	0	0	0	1	0	0	0	0	1.770852
Cercartetus_nanus	1.991226	1.278754	0	0	0	0	1	0	0	0	0	1.278754
Dactylopsila_trivirgata	3.324899	2.643453	0	0	0	0	1	0	0	0	0	2.643453
Dasycercus_cristicauda	2.452247	2	0	0	0	0	1	0	0	0	0	2
Dasyuroides_byrnei	2.400883	2.146128	0	0	0	0	1	0	0	0	0	2.146128
Dasyurus_geoffroii	3.090611	2.69897	0	0	0	0	1	0	0	0	0	2.69897
Dasyurus_hallucatus	2.810904	3.021189	0	0	0	0	1	0	0	0	0	3.021189
Dendrolagus_lumholtzi	3.924538	3.78533	0	0	0	0	1	0	0	0	0	3.78533
Distoechurus_pennatus	2.42111	1.633468	0	0	0	0	1	0	0	0	0	1.633468
Dorcopsis	3.735359	3.462398	0	0	0	0	1	0	0	0	0	3.462398
Echymipera_kalubu	2.67587	2.819544	0	0	0	0	1	0	0	0	0	2.819544
Gymnobelideus_leadbeateri	2.825491	2.041393	0	0	0	0	1	0	0	0	0	2.041393
Hypsiprymnodon_moschatus	3.219323	2.748188	0	0	0	0	1	0	0	0	0	2.748188
Isoodon_macrourus	2.771734	3.033424	0	0	0	0	1	0	0	0	0	3.033424
Isoodon_obesulus_obesulus	2.823474	3.004321	0	0	0	0	1	0	0	0	0	3.004321
Osphranter_antilopinus	4.354185	4.537819	0	0	0	0	1	0	0	0	0	4.537819
Macropus_giganteus	4.476817	4.563481	0	0	0	0	1	0	0	0	0	4.563481
Notamacropus_irma	3.973359	3.819544	0	0	0	0	1	0	0	0	0	3.819544
