Species_TTOL	CEREB	BOD	BOD2
Cercartetus_nanus	1.85187	1.278754	1.635211792516
Dactylopsila_trivirgata	2.920123	2.643453	6.987843763209
Dasycercus_cristicauda	2.329601	2	4
Dasyuroides_byrnei	2.3638	2.146128	4.605865392384
Dasyurus_geoffroii	2.907519	2.69897	7.2844390609
Dasyurus_hallucatus	2.610021	3.021189	9.127582973721
Dendrolagus_lumholtzi	3.530584	3.78533	14.3287232089
Distoechurus_pennatus	2.128399	1.633468	2.668217707024
Dorcopsis	3.354108	3.462398	11.988199910404
Echymipera_kalubu	2.807603	2.819544	7.949828367936
Gymnobelideus_leadbeateri	2.569023	2.041393	4.167285380449
Hypsiprymnodon_moschatus	2.870872	2.748188	7.552537283344
Isoodon_macrourus	2.78326	3.033424	9.201661163776
Isoodon_obesulus_obesulus	2.846894	3.004321	9.025944671041
Osphranter_antilopinus	3.876737	4.537819	20.591801276761
Macropus_giganteus	3.87944	4.563481	20.825358837361
Notamacropus_irma	3.469969	3.819544	14.588916367936
Notamacropus_parma	3.284882	3.536558	12.507242487364
Notamacropus_parryi	3.64953	4.170262	17.391085148644
Osphranter_robustus	3.782616	4.409933	19.447509064489
Osphranter_rufus	3.925931	4.494155	20.197429164025
Thylamys_pallidior	1.893762	1.477121	2.181886448641
Marmosops_impavidus	2.177536	1.845098	3.404386629604
Monodelphis_brevicaudata	2.022016	1.924279	3.702849669841
Notoryctes_typhlops	1.992995	1.531479	2.345427927441
Petauroides_volans	2.848497	3.09691	9.5908515481
Petaurus_australis	2.955976	2.748188	7.552537283344
Petaurus_breviceps	2.467904	2.113943	4.468755007249
Petaurus_norfolcensis	2.649821	2.374748	5.639428063504
Petrogale_inornata	3.428135	3.628389	13.165206735321
Petrogale_lateralis	3.359835	3.556303	12.647291027809
Petrogale_penicillata	3.504335	3.690196	13.617546518416
Petrogale_purpureicollis	3.460447	3.740363	13.990315371769
Petropseudes_dahli	2.885248	3.127105	9.778785681025
Phascolarctos_cinereus	3.444981	3.968483	15.748857321289
Planigale_ingrami	1.068186	0.826075	0.682399905625
Planigale_maculata	1.404834	1.041393	1.084499380449
Potorous_tridactylus_tridactylus	3.123656	3.089905	9.547512909025
Pseudochirulus_canescens	2.548389	2.447158	5.988582276964
Pseudochirulus_forbesi	2.647383	2.70757	7.3309353049
Sarcophilus_harrisii	3.328991	3.732394	13.930764971236
Sminthopsis_crassicaudata	1.638489	1.146128	1.313609392384
Sminthopsis_leucopus	1.758912	1.361728	1.854303145984
Phalanger_gymnotis	3.25358	3.451786	11.914826589796
Thylacinus_cynocephalus	3.972157	4.342423	18.856637510929
Thylogale_billardierii	3.578181	3.845098	14.784778629604
Thylogale_stigmatica	3.364739	3.653213	13.345965223369
Trichosurus_vulpecula	3.207365	3.30103	10.8967990609
Vombatus_ursinus	3.830313	4.357935	18.991597464225
Wallabia_bicolor	3.764624	4.198657	17.628720603649
Balionycteris_maculata	1.763	1.158	1.340964
Casinycteris_argynnis	2.068	1.428	2.039184
Chironax_melanocephalus	1.863	1.248	1.557504
Cynopterus_brachyotis	2.09	1.53	2.3409
Cynopterus_horsfieldii	2.258	1.773	3.143529
Cynopterus_sphinx	2.201	1.713	2.934369
Dobsonia_inermis	2.553	2.173	4.721929
Dobsonia_moluccensis	2.785	2.543	6.466849
Dobsonia_praedatrix	2.574	2.25	5.0625
Eidolon_helvum	2.666	2.418	5.846724
Eonycteris_spelaea	2.237	1.769	3.129361
Epomophorus_labiatus	2.316	1.806	3.261636
Epomops_franqueti	2.504	2.072	4.293184
Hypsignathus_monstrosus	2.696	2.491	6.205081
Macroglossus_minimus	1.899	1.164	1.354896
Megaerops_ecaudatus	1.954	1.38	1.9044
Megaloglossus_woermanni	2.014	1.253	1.570009
Melonycteris_melanops	2.179	1.675	2.805625
Melonycteris_woodfordi	2.126	1.549	2.399401
Epomophorus_pusillus	2.034	1.4	1.96
Myonycteris_torquata	2.193	1.561	2.436721
Notopteris_macdonaldi	2.325	1.841	3.389281
Nyctimene_albiventer	2.049	1.473	2.169729
Nyctimene_robinsoni	2.21	1.673	2.798929
Nyctimene_vizcaccia	2.132	1.549	2.399401
Paranyctimene_raptor	2.005	1.417	2.007889
Pteropus_alecto	2.926	2.775	7.700625
Pteropus_conspicillatus	2.995	2.875	8.265625
Pteropus_hypomelanus	2.789	2.591	6.713281
Pteropus_lylei	2.852	2.497	6.235009
Pteropus_neohibernicus	3.003	2.924	8.549776
Pteropus_poliocephalus	2.945	2.842	8.076964
Pteropus_samoensis	2.86	2.491	6.205081
Pteropus_scapulatus	2.834	2.574	6.625476
Pteropus_temminckii	2.762	2.398	5.750404
Pteropus_tonganus	2.864	2.652	7.033104
Pteropus_vampyrus	3.009	3.027	9.162729
Rousettus_aegyptiacus	2.46	2.111	4.456321
Rousettus_amplexicaudatus	2.278	1.856	3.444736
Scotonycteris_zenkeri	1.949	1.328	1.763584
Sphaerias_blanfordi	2.061	1.47	2.1609
Syconycteris_australis	1.827	1.207	1.456849
Anoura_caudifer	1.87	1.025	1.050625
Anoura_geoffroyi	2.04	1.204	1.449616
Ardops_nichollsi	1.928	1.352	1.827904
Artibeus_cinereus	1.912	1.1	1.21
Artibeus_concolor	2.058	1.288	1.658944
Artibeus_jamaicensis	2.24	1.613	2.601769
Artibeus_lituratus	2.346	1.748	3.055504
Aselliscus_stoliczkanus	1.535	0.69	0.4761
Aselliscus_tricuspidatus	1.364	0.643	0.413449
Brachyphylla_cavernarum	2.247	1.648	2.715904
Cardioderma_cor	2.048	1.415	2.002225
Carollia_perspicillata	1.964	1.25	1.5625
Chalinolobus_gouldii	1.698	1.068	1.140624
Chalinolobus_morio	1.542	0.919	0.844561
Chiroderma_salvini	2.187	1.417	2.007889
Chiroderma_trinitatum	1.989	1.137	1.292769
Chiroderma_villosum	2.122	1.394	1.943236
Choeroniscus_minor	1.894	0.982	0.964324
Coleura_afra	1.691	1.061	1.125721
Cormura_brevirostris	1.59	0.914	0.835396
Craseonycteris_thonglongyai	1.117	0.408	0.166464
Desmodus_rotundus	2.221	1.56	2.4336
Diphylla_ecaudata	2.121	1.49	2.2201
Emballonura_monticola	1.502	0.724	0.524176
Emballonura_raffrayana	1.494	0.771	0.594441
Eptesicus_brasiliensis	1.558	0.964	0.929296
Eptesicus_fuscus_bahamensis	1.588	1.134	1.285956
Eumops_auripendulus	2.135	1.529	2.337841
Eumops_glaucinus	2.173	1.562	2.439844
Furipterus_horrens	1.449	0.535	0.286225
Glischropus_tylopus	1.255	0.69	0.4761
Glossophaga_longirostris	1.966	1.053	1.108809
Glossophaga_soricina	1.912	0.996	0.992016
Harpiocephalus_harpia	1.837	1.13	1.2769
Hesperoptenus_blanfordi	1.398	0.863	0.744769
Hipposideros_armiger	2.153	1.748	3.055504
Hipposideros_ater	1.613	0.839	0.703921
Hipposideros_caffer	1.808	1.041	1.083681
Macronycteris_commersoni	2.109	1.997	3.988009
Hipposideros_diadema	2.093	1.622	2.630884
Hipposideros_fulvus	1.62	0.845	0.714025
Hipposideros_lankadiva	2.105	1.686	2.842596
Hipposideros_larvatus	1.843	1.312	1.721344
Hipposideros_ridleyi	1.673	0.982	0.964324
Hipposideros_speoris	1.705	1.061	1.125721
Hipposideros_turpis	2.041	1.542	2.377764
Ia_io	2.163	1.727	2.982529
Kerivoula_papillosa	1.819	1.004	1.008016
Lasiurus_borealis	1.612	0.892	0.795664
Leptonycteris_curasoae	2.077	1.389	1.929321
Leptonycteris_nivalis	2.019	1.358	1.844164
Lonchophylla_mordax	1.899	1.029	1.058841
Hsunycteris_thomasi	1.79	0.839	0.703921
Lophostoma_silvicolum	2.101	1.509	2.277081
Macroderma_gigas	2.479	2.078	4.318084
Macrophyllum_macrophyllum	1.741	0.934	0.872356
Megaderma_lyra	2.211	1.587	2.518569
Megaderma_spasma	2.071	1.354	1.833316
Mesophylla_macconnelli	1.798	0.875	0.765625
Micronycteris_brachyotis	1.883	1.167	1.361889
Micronycteris_megalotis	1.694	0.813	0.660969
Micronycteris_minuta	1.739	0.839	0.703921
Micronycteris_schmidtorum	1.76	0.892	0.795664
Gardnerycteris_crenulatum	1.73	1.072	1.149184
Miniopterus_australis	1.599	0.851	0.724201
Miniopterus_inflatus	1.9	1.173	1.375929
Miniopterus_magnater	1.865	1.176	1.382976
Miniopterus_pusillus	1.673	0.934	0.872356
Miniopterus_tristis	1.856	1.193	1.423249
Molossus_molossus	1.769	1.137	1.292769
Molossus_rufus	1.972	1.526	2.328676
Monophyllus_plethodon	1.949	1.176	1.382976
Mormoops_megalophylla	2.024	1.196	1.430416
Murina_cyclotis	1.601	0.851	0.724201
Murina_huttoni	1.611	0.944	0.891136
Myotis_adversus	1.643	1.049	1.100401
Myotis_albescens	1.386	0.602	0.362404
Myotis_annectans	1.56	0.991	0.982081
Myotis_bechsteinii	1.628	0.978	0.956484
Myotis_bocagii	1.528	0.845	0.714025
Myotis_dasycneme	1.697	1.176	1.382976
Myotis_myotis	1.94	1.408	1.982464
Myotis_nigricans	1.377	0.663	0.439569
Myotis_siligorensis	1.243	0.539	0.290521
Natalus_tumidirostris	1.602	0.839	0.703921
Noctilio_albiventris	1.986	1.515	2.295225
Noctilio_leporinus	2.288	1.763	3.108169
Nyctalus_noctula	1.906	1.431	2.047761
Nycteris_arge	1.792	1.025	1.050625
Nycteris_grandis	2.143	1.474	2.172676
Nycteris_hispida	1.742	0.892	0.795664
Nycteris_javanica	1.955	1.265	1.600225
Nycteris_macrotis	1.851	1.161	1.347921
Nycteris_thebaica	1.763	0.949	0.900601
Nyctophilus_geoffroyi	1.465	0.857	0.734449
Otomops_martiensseni	2.304	1.618	2.617924
Peropteryx_macrotis	1.483	0.748	0.559504
Phylloderma_stenops	2.31	1.664	2.768896
Phyllostomus_discolor	2.231	1.563	2.442969
Phyllostomus_elongatus	2.233	1.652	2.729104
Phyllostomus_hastatus	2.449	1.963	3.853369
Pipistrellus_javanicus	1.29	0.653	0.426409
Pipistrellus_tenuis	1.193	0.591	0.349281
Afronycteris_nana	1.267	0.591	0.349281
Hypsugo_pulveratus	1.348	0.724	0.524176
Perimyotis_subflavus	1.328	0.724	0.524176
Pteronotus_gymnonotus	1.848	1.134	1.285956
Pteronotus_parnellii_mesoamericanus	2.053	1.305	1.703025
Pteronotus_personatus	1.656	0.908	0.824464
Rhinolophus_cornutus	1.607	0.82	0.6724
Rhinolophus_eloquens	1.906	1.281	1.640961
Rhinolophus_hipposideros	1.483	0.663	0.439569
Rhinolophus_landeri	1.751	0.987	0.974169
Rhinolophus_lepidus	1.505	0.778	0.605284
Rhinolophus_luctus	2.151	1.516	2.298256
Rhinolophus_macrotis	1.627	0.799	0.638401
Rhinolophus_malayanus	1.604	0.806	0.649636
Rhinolophus_megaphyllus	1.719	0.991	0.982081
Rhinolophus_pearsonii	1.806	1.143	1.306449
Rhinolophus_pusillus	1.476	0.672	0.451584
Rhinolophus_trifoliatus	1.845	1.164	1.354896
Rhinolophus_yunnanensis	1.905	1.371	1.879641
Rhinonicteris_aurantia	1.701	0.934	0.872356
Rhinophylla_pumilio	1.716	0.949	0.900601
Rhinopoma_hardwickii	1.629	1.111	1.234321
Rhinopoma_microphyllum	1.781	1.468	2.155024
Rhogeessa_parvula	1.255	0.653	0.426409
Rhynchonycteris_naso	1.354	0.58	0.3364
Saccopteryx_bilineata	1.577	0.924	0.853776
Saccopteryx_canescens	1.33	0.531	0.281961
Saccopteryx_leptura	1.438	0.708	0.501264
Scotomanes_ornatus	1.74	1.338	1.790244
Scotophilus_dinganii	1.911	1.386	1.920996
Scotophilus_kuhlii	1.765	1.31	1.7161
Sphaeronycteris_toxophyllum	1.918	1.265	1.600225
Sturnira_lilium	1.983	1.305	1.703025
Sturnira_ludovici	2.035	1.413	1.996569
Sturnira_tildae	2.015	1.387	1.923769
Tadarida_aegyptiaca	1.847	1.248	1.557504
Taphozous_australis	2.017	1.38	1.9044
Taphozous_hildegardeae	2.06	1.438	2.067844
Taphozous_mauritianus	2.057	1.462	2.137444
Taphozous_melanopogon	2.052	1.356	1.838736
Tonatia_bidens	2.126	1.468	2.155024
Lophostoma_schulzi	1.925	1.328	1.763584
Trachops_cirrhosus	2.258	1.567	2.455489
Triaenops_persicus	1.82	1.137	1.292769
Tylonycteris_pachypus	1.068	0.681	0.463761
Tylonycteris_robustula	1.314	0.857	0.734449
Uroderma_bilobatum	2.013	1.21	1.4641
Vampyressa_pusilla	1.823	0.934	0.872356
Vampyrum_spectrum	2.726	2.238	5.008644
Alouatta_seniculus	3.756	3.806	14.485636
Aotus_trivirgatus	3.273	2.919	8.520561
Ateles_geoffroyi	4.095	3.903	15.233409
Avahi_laniger	3.173	3.109	9.665881
Plecturocebus_moloch	3.21	2.954	8.726116
Callimico_goeldii	3.093	2.681	7.187761
Callithrix_jacchus	2.879	2.447	5.987809
Cebuella_pygmaea	2.67	2.146	4.605316
Cebus_albifrons	3.896	3.491	12.187081
Cercopithecus_ascanius	3.766	3.531	12.467961
Cercopithecus_mitis_mitis	3.83	3.799	14.432401
Cheirogaleus_major	2.976	2.653	7.038409
Cheirogaleus_medius	2.64	2.248	5.053504
Daubentonia_madagascariensis	3.81	3.447	11.881809
Erythrocebus_patas	3.941	3.892	15.147664
Eulemur_fulvus_fulvus	3.522	3.146	9.897316
Galago_senegalensis	2.827	2.27	5.1529
Galagoides_demidoff	2.616	1.908	3.640464
Gorilla_gorilla	4.84	5.021	25.210441
Homo_sapiens	5.138	4.813	23.164969
Hylobates_lar	4.082	3.756	14.107536
Indri_indri	3.741	3.796	14.409616
Lagothrix_lagotricha	4.052	3.716	13.808656
Lepilemur_mustelinus	3.066	2.961	8.767521
Lophocebus_albigena	4.03	3.898	15.194404
Loris_tardigradus_tardigradus	2.862	2.508	6.290064
Macaca_mulatta	3.953	3.892	15.147664
Microcebus_murinus	2.369	1.732	2.999824
Miopithecus_talapoin	3.528	3.079	9.480241
Nasalis_larvatus	4.083	4.146	17.189316
Nycticebus_coucang	3.117	2.903	8.427409
Otolemur_crassicaudatus	3.15	2.929	8.579041
Pan_troglodytes	4.64	4.663	21.743569
Papio_cynocephalus	4.271	4.398	19.342404
Perodicticus_potto	3.23	3.061	9.369721
Pithecia_monachus	3.592	3.176	10.086976
Piliocolobus_badius	3.937	3.845	14.784025
Propithecus_verreauxi	3.597	3.542	12.545764
Pygathrix_nemaeus	3.906	3.875	15.015625
Saguinus_midas	3.026	2.531	6.405961
Saguinus_oedipus	2.993	2.58	6.6564
Saimiri_sciureus_sciureus	3.354	2.82	7.9524
Tarsius_tarsier	2.631	2.097	4.397409
Varecia_variegata	3.632	3.477	12.089529
