Species_TTOL	CEREB	BOD	BOD2
Anourosorex_squamipes	1.599	1.307	1.708249
Atelerix_algirus	2.562	2.867	8.219689
Blarina_brevicauda	1.626	1.267	1.605289
Chrysochloris_asiatica	1.861	1.69	2.8561
Chrysochloris_stuhlmanni	1.871	1.626	2.643876
Crocidura_attenuata	1.386	0.968	0.937024
Crocidura_flavescens	1.715	1.467	2.152089
Crocidura_hildegardeae	1.362	0.996	0.992016
Crocidura_denti	1.455	1.079	1.164241
Crocidura_russula	1.322	1.049	1.100401
Crocidura_suaveolens	1.34	1.013	1.026169
Cryptotis_parvus	1.384	0.991226075692495	0.982529133132744
Desmana_moschata	2.711	2.646	7.001316
Echinops_telfairi	1.765	1.942	3.771364
Echinosorex_gymnura	2.904	2.921	8.532241
Erinaceus_europaeus	2.597	2.929	8.579041
Euroscaptor_micrura	2.064	1.617	2.614689
Galemys_pyrenaicus	2.264	1.778	3.161284
Geogale_aurita	1.097	1	1
Hemicentetes_semispinosus	2.081	2.062	4.251844
Hemiechinus_auritus	2.292	2.371	5.621641
Hylomys_suillus	2.196	1.756	3.083536
Limnogale_mergulus	2.246	1.964	3.857296
Microgale_dobsoni	1.756	1.504	2.262016
Microgale_talazaci	1.977	1.683	2.832489
Micropotamogale_lamottei	1.918	1.808	3.268864
Micropotamogale_ruwenzorii	2.174	1.986	3.944196
Myosorex_sclateri	1.627	1.23	1.5129
Neomys_anomalus	1.511	1.037	1.075369
Neomys_fodiens	1.613	1.182	1.397124
Oryzorictes_hova	1.91	1.645	2.706025
Parascalops_breweri	2.083	1.731	2.996361
Potamogale_velox	2.794	2.791	7.789681
Ruwenzorisorex_suncoides	1.722	1.262	1.592644
Scalopus_aquaticus	2.296	2.061	4.247721
Scutisorex_somereni	1.924	1.792	3.211264
Setifer_setosus	2.167	2.373	5.631129
Solenodon_paradoxus	2.881	2.826	7.986276
Sorex_alpinus	1.498	1.033	1.067089
Sorex_araneus	1.342	0.987	0.974169
Sorex_cinereus	1.217	0.633	0.400689
Sorex_fumeus	1.369	0.924	0.853776
Sorex_hoyi	0.94	0.42	0.1764
Sorex_minutus	1.083	0.633	0.400689
Suncus_etruscus	0.771	0.762	0.580644
Suncus_murinus	1.631	1.529	2.337841
Sylvisorex_granti	1.272	0.591	0.349281
Suncus_megalura	1.396	0.74	0.5476
Talpa_europaea	2.241	1.908	3.640464
Tenrec_ecaudatus	2.493	2.935	8.614225
Aepyprymnus_rufescens	3.172778	3.392697	11.510392933809
Antechinus_flavipes	1.933993	1.568202	2.459257512804
Antechinus_minimus	1.959995	1.724276	2.973127724176
Bettongia_gaimardi	3.194653	3.176091	10.087554040281
Bettongia_penicillata	3.075255	3.079181	9.481355630761
Burramys_parvus	2.017451	1.770852	3.135916805904
