Species_TTOL	MES	BOD	GroupChiroptera_mega	GroupChiroptera_micro	GroupEuarchontoglires	GroupEulipotyphla	GroupMarsupials	BOD_GroupChiroptera_mega	BOD_GroupChiroptera_micro	BOD_GroupEuarchontoglires	BOD_GroupEulipotyphla	BOD_GroupMarsupials
Anourosorex_squamipes	1.274	1.307	0	0	0	1	0	0	0	0	1.307	0
Atelerix_algirus	2.194	2.867	0	0	0	1	0	0	0	0	2.867	0
Blarina_brevicauda	1.274	1.267	0	0	0	1	0	0	0	0	1.267	0
Chrysochloris_asiatica	1.635	1.69	0	0	0	0	0	0	0	0	0	0
Chrysochloris_stuhlmanni	1.62	1.626	0	0	0	0	0	0	0	0	0	0
Crocidura_attenuata	1.176	0.968	0	0	0	1	0	0	0	0	0.968	0
Crocidura_flavescens	1.427	1.467	0	0	0	1	0	0	0	0	1.467	0
Crocidura_hildegardeae	1.173	0.996	0	0	0	1	0	0	0	0	0.996	0
Crocidura_denti	1.253	1.079	0	0	0	1	0	0	0	0	1.079	0
Crocidura_russula	1.137	1.049	0	0	0	1	0	0	0	0	1.049	0
Crocidura_suaveolens	1.137	1.013	0	0	0	1	0	0	0	0	1.013	0
Cryptotis_parvus	1.104	0.991226075692495	0	0	0	1	0	0	0	0	0.991226075692495	0
Desmana_moschata	2.34	2.646	0	0	0	1	0	0	0	0	2.646	0
Echinops_telfairi	1.643	1.942	0	0	0	0	0	0	0	0	0	0
Echinosorex_gymnura	2.557	2.921	0	0	0	1	0	0	0	0	2.921	0
Erinaceus_europaeus	2.18	2.929	0	0	0	1	0	0	0	0	2.929	0
Euroscaptor_micrura	1.653	1.617	0	0	0	1	0	0	0	0	1.617	0
Galemys_pyrenaicus	1.793	1.778	0	0	0	1	0	0	0	0	1.778	0
Geogale_aurita	1.104	1	0	0	0	0	0	0	0	0	0	0
Hemicentetes_semispinosus	1.662	2.062	0	0	0	0	0	0	0	0	0	0
Hemiechinus_auritus	2.037	2.371	0	0	0	1	0	0	0	0	2.371	0
