Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  NEO_d1_m2-fab-005.txt
Log File Name:                   NEO_d1_m2-fab-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1870913072
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   NEO_d1_m2-fab-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.036913
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.86 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	
1500000	371.155553	1	1.106802644929	0.793460351382	0.464625702973	0.250249275486	1.944348930905	0.151365536641	-0.560513270577	-0.058332344105	-0.076114846667	-0.107788802824	-0.090895096121	-0.166682684926	0.000374774796	0.955044688365	N\A	0.087516577588	0.243451735419	0.235775124292	0.276532197021	0.259249823137	0.337017187781	0.088968792991	0.088389738922	0.096953475171	0.095027624803	0.091628329480	43	14	
1550000	372.140487	1	1.136449268225	0.774451790684	0.372252809952	0.094800176338	1.040690550675	0.308610023344	-0.428781372650	-0.031043280323	-0.060707673136	-0.147569881303	-0.205476077686	-0.106573919554	0.000441939769	0.944819220863	N\A	0.048567924202	0.210029516471	0.203261830939	0.247453397751	0.243286779412	0.336578341535	0.052706867184	0.050649504543	0.059421334408	0.066955846065	0.056682890488	31	14	
1600000	382.129121	1	0.571568113836	0.847805351984	0.718121227120	0.186975897676	1.429196724308	0.279206703003	0.632119230286	-0.128811414399	-0.111739019479	-0.255236991985	-0.242629204552	-0.120340775236	0.000414617533	0.952983965763	N\A	0.062577828850	0.229506911437	0.224276783978	0.259811791802	0.250305199763	0.336225024949	0.064524915702	0.064365722975	0.070577009810	0.072494336156	0.066712183264	32	16	
1650000	375.684992	1	0.397303717102	0.836592209351	0.925131670701	0.702136630033	1.628563575604	0.820403553219	0.799950154425	-0.066502370428	-0.099152216074	-0.222546520710	-0.224768408001	-0.218196684887	0.000255366396	0.950748969758	N\A	0.048926268261	0.195894450494	0.182949848035	0.200640178081	0.199955106734	0.274181274503	0.054145328229	0.050833409883	0.054172461723	0.057275082917	0.055538974623	38	13	
1700000	370.295691	1	0.470494233561	0.842422245516	0.507908924399	0.456749990188	0.973413849761	0.492119519212	0.318130563733	-0.085199108668	-0.069070263990	-0.204592917631	-0.197462561252	-0.195504651012	0.000304958034	0.940563755164	N\A	0.068475228740	0.225358521471	0.220660212091	0.242011249240	0.222527672836	0.300590919650	0.070977370586	0.070573164841	0.077059414548	0.075441028687	0.073534214436	39	16	
1750000	358.470034	1	0.299822853820	0.910950378043	0.968192499595	0.547799711374	1.232738852343	0.569677101424	0.981538109573	-0.199679262738	-0.159968924078	-0.188802619187	-0.309583684205	-0.187385919089	0.000286081719	0.943168452059	N\A	0.057738563803	0.226603042671	0.206368004538	0.224000713374	0.244505045477	0.284354398940	0.061075784287	0.059697419049	0.065845468550	0.077422487366	0.062766771230	39	9	
1800000	363.475768	1	0.736204199060	0.832695878808	0.976839090340	0.769297128437	1.293013039902	0.311269226929	0.287604963220	-0.035753743347	-0.073376727323	-0.176374003843	-0.199807119123	-0.148848052101	0.000303902911	0.949129017991	N\A	0.039223118984	0.197626936283	0.191982628308	0.221900621250	0.197692948712	0.279653402530	0.042698910521	0.042729641647	0.056102288750	0.051338673184	0.046014430303	41	13	
1850000	383.409820	1	0.916003153419	0.747300899154	0.360333953763	-0.074417656345	1.200456440358	0.181572665900	0.125017658672	0.029859449047	0.007170180027	-0.132918973256	-0.161881583245	-0.144335338185	0.000437419427	0.950141566299	N\A	0.061579593971	0.235602895183	0.224683829191	0.243100329182	0.230747214642	0.341413239288	0.063852549765	0.063406691150	0.068895600698	0.069654021835	0.067311324785	35	12	
1900000	372.974728	1	0.642961502917	0.923443278817	0.692665900877	0.165183227616	1.236907027806	0.459599419874	0.586931469826	-0.234049518735	-0.156411004084	-0.167051173211	-0.320806662122	-0.276564108599	0.000345393657	0.945156213317	N\A	0.056900672225	0.196072774629	0.189390499223	0.235690460586	0.218032796815	0.305383284586	0.059966200790	0.059073678472	0.065206906146	0.071480395872	0.062309100166	37	13	
1950000	404.417450	1	0.127157718933	0.928062548636	1.026810576828	0.599599846400	1.762377141238	0.550618632362	1.683816932335	-0.243359185545	-0.236587030802	-0.358186687294	-0.327072782838	-0.297025772079	0.000299187633	0.960787319268	N\A	0.052527973760	0.187113136447	0.181193010117	0.212840135827	0.221994567772	0.286248409327	0.054680699011	0.053930866011	0.063116197239	0.059643599240	0.056181968158	43	19	
