Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  HIP_d1_m7-glob-005.txt
Log File Name:                   HIP_d1_m7-glob-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            791804171
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   HIP_d1_m7-glob-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.233350
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.70 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	473.806489	1	-0.934248074681	0.967293895022	0.034120910397	-0.019341377784	0.000012507337	0.980423178173	N\A	0.030342373764	0.032042678350	0.003990256151	43	10	-0.001442248016	Global Trend	
1050000	440.146589	1	-1.087321447258	1.022428243328	-0.051026198184	-0.007843106254	0.000047961382	0.965125495317	N\A	0.038117789766	0.037298900850	0.004031152025	33	3	0.004318000219	Global Trend	
1100000	468.733770	1	-0.869705868003	0.896697818895	0.067707148565	-0.014951458291	0.000100239735	0.959963934516	N\A	0.033738600594	0.031249413284	0.004188066709	36	5	0.001480269773	Global Trend	
1150000	461.637352	1	-0.930670242089	0.936177212495	0.025120675118	-0.009876707850	0.000037641724	0.969761737555	N\A	0.031953560761	0.031775150426	0.003801564225	47	6	0.002375772610	Global Trend	
1200000	472.835068	1	-0.826616858246	0.855517253984	0.073915820845	-0.012757791084	0.000092574435	0.960578030698	N\A	0.035094590411	0.033197735877	0.004220372345	30	8	0.004183796876	Global Trend	
1250000	468.559846	1	-0.963144151615	0.925506690852	0.103194629765	-0.028976652099	0.000115755079	0.999968108518	N\A	0.030051321410	0.032913681152	0.003539485565	38	6	0.574060265343	Global Trend	
1300000	469.690951	1	-1.047534761320	0.919986743443	0.034777124821	-0.014875014166	0.000092223129	0.963619532846	N\A	0.032762767998	0.031170944554	0.003824948138	42	7	0.005381448888	Global Trend	
1350000	475.211110	1	-0.842346994598	0.892717380104	0.015101959001	-0.004437326152	0.000079916451	0.958259600659	N\A	0.037930319712	0.034332316027	0.004186691316	43	8	0.003405179962	Global Trend	
1400000	463.848075	1	-0.918329218111	0.928843367214	0.075420634941	-0.022817524396	0.000123150789	0.961396449929	N\A	0.033573879866	0.028444563756	0.004342655787	33	7	-0.005488913401	Global Trend	
1450000	462.146628	1	-1.005928867339	0.982933626201	-0.029219180235	-0.006310688210	0.000086975708	0.959219332885	N\A	0.039901567502	0.037232035402	0.004330447227	36	9	0.005106287000	Global Trend	
1500000	458.810365	1	-0.904355973139	0.972887776061	0.050842833689	-0.023272736682	0.000151047077	0.999991910868	N\A	0.031008899589	0.033958584645	0.003626477890	40	7	1.627874497847	Global Trend	
1550000	468.962371	1	-1.060525146605	0.975906235784	0.037076012184	-0.017689163732	0.000091620736	0.997403929716	N\A	0.031205648604	0.033566997629	0.003349935987	43	9	0.048310679622	Global Trend	
1600000	453.407252	1	-0.944642321977	0.953515266003	0.061601598404	-0.022812575435	0.000125400880	0.989669609400	N\A	0.029770480076	0.032126195130	0.003468346098	34	8	-0.029015346526	Global Trend	
1650000	446.127157	1	-0.812387592581	0.865474242819	0.064209790193	-0.011070926511	0.000135395105	0.952608667099	N\A	0.037776808056	0.034518801220	0.004398360973	40	3	0.002655057952	Global Trend	
1700000	470.139259	1	-0.731142072971	0.856108561256	0.085581433079	-0.017086348486	0.000103425402	0.959389531011	N\A	0.035909446708	0.033215625029	0.004661674540	42	11	-0.002054250196	Global Trend	
1750000	456.488640	1	-0.778958742560	0.865315413451	0.069406565511	-0.012297967671	0.000107174131	0.958395493840	N\A	0.036964888171	0.033334191991	0.004661724640	33	5	-0.000346386785	Global Trend	
1800000	467.825877	1	-0.923032604886	0.858909740416	0.113466645344	-0.020189972284	0.000110650880	0.973298232127	N\A	0.031478221594	0.031573863275	0.003599932342	38	8	0.013353623511	Global Trend	
1850000	451.851235	1	-1.124200348282	1.048522027851	-0.026161651984	-0.020684803017	0.000141036401	0.983111675287	N\A	0.032789699876	0.034980667379	0.004000575201	28	9	-0.022801081337	Global Trend	
1900000	458.468912	1	-0.652302880541	0.870095312692	0.038632170906	-0.008850464930	0.000172632651	0.960768861346	N\A	0.032712343395	0.031098387084	0.004623881019	39	5	-0.003737568928	Global Trend	
1950000	455.956681	1	-1.090925165140	1.037630228670	-0.025135898856	-0.013766780012	0.000153166349	0.997045506832	N\A	0.029697545196	0.032738399447	0.003626678517	51	5	-0.069419515235	Global Trend	
2000000	454.702590	1	-0.935227061734	0.930519680887	0.045941089943	-0.016016398214	0.000167036452	0.952426381274	N\A	0.035505020009	0.031947808233	0.004176039943	41	8	0.005959394441	Global Trend	
2050000	461.646938	1	-1.014178203050	0.998282929186	0.022194427401	-0.022568784095	0.000183885133	0.995113114643	N\A	0.030379619112	0.033189578265	0.003418600362	43	5	-0.066116137932	Global Trend	
2100000	440.892565	1	-1.024703151781	0.944838617462	0.076916374220	-0.022495257118	0.000151786543	0.999686239579	N\A	0.032992848375	0.036062372154	0.003845662507	48	4	0.260532877185	Global Trend	
2150000	455.151882	1	-0.896206180833	0.951284061114	0.021360811105	-0.014790307795	0.000131518965	0.961387106029	N\A	0.035648052010	0.033253791509	0.004327972171	46	2	-0.005642186287	Global Trend	
2200000	445.270227	1	-0.799879648890	0.862120353525	0.093530766225	-0.016744669781	0.000156231223	0.951967961357	N\A	0.043781476192	0.038102067076	0.004707710387	37	5	0.000403929904	Global Trend	
