Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SCH_d1_m2-glob-006.txt
Log File Name:                   SCH_d1_m2-glob-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1254233204
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SCH_d1_m2-glob-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.179389
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.74 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	Global Trend	
1500000	364.841223	1	0.604116856133	0.502824378379	0.027613336010	-0.463633714830	0.121435383049	-0.095303834750	0.137836404511	0.152938883885	0.170612512057	0.049328678700	0.082600968172	0.020048843877	0.000233785400	0.920492987574	N\A	0.048917116902	0.124902564150	0.105512822076	0.134573887518	0.130727425893	0.188343243559	0.052954264155	0.051689046976	0.054789266364	0.060510368868	0.054760394220	25	12	-0.001050429764	Global Trend	
1550000	384.971292	1	0.559320173796	0.528709469607	0.247579321580	-0.119069397435	0.256527297164	0.150612981055	-0.405216099893	0.095064384061	0.132063407852	0.027971202528	0.068965234554	0.010932697675	0.000152482690	0.991341802889	N\A	0.036844575838	0.103176138458	0.084347878386	0.104029564530	0.107943134443	0.204201419429	0.044041445294	0.040254821426	0.039155457718	0.048197518735	0.042733492496	42	10	-0.028091453514	Global Trend	
1600000	355.349339	1	0.612568928794	0.546583603552	0.277132456318	-0.313035555250	0.374261752645	-0.019276203450	0.060600272193	0.029931123685	0.129669382512	-0.012537713806	0.000534952761	-0.100550459551	0.000232583989	0.932489921056	N\A	0.043604176918	0.090014641472	0.087426853681	0.124106193812	0.114153293828	0.176233988477	0.047421814149	0.047119443783	0.050600736234	0.053603522223	0.049888326745	42	11	-0.004662882346	Global Trend	
1650000	364.813144	1	0.717161195141	0.493667860204	0.009608450245	-0.407588371918	0.375855559286	-0.279488623488	0.299592809920	0.109214155389	0.129467770296	0.098855003856	0.145342700691	0.025574142882	0.000261429321	0.996344417122	N\A	0.038585138926	0.117195501138	0.092403048161	0.115711267674	0.130203743924	0.184639386815	0.047417355260	0.042543336675	0.041099393463	0.052843210601	0.043407967486	36	9	-0.129533212138	Global Trend	
1700000	382.085368	1	0.400712698990	0.566531625994	0.169171890722	-0.311967945530	0.325070330591	0.016610523935	0.125392790071	0.090307158589	0.129837191477	-0.015606909139	0.105054205251	-0.008760937905	0.000247610325	0.927241577013	N\A	0.059709226930	0.193885311436	0.180599946306	0.197051058027	0.191314611012	0.260148861966	0.064251039981	0.061813448538	0.063796235680	0.067825370215	0.064471174164	33	13	-0.000105343924	Global Trend	
1750000	388.213114	1	0.571010939285	0.629558601906	0.241228729769	-0.049779306724	0.176080682581	-0.038282277053	0.521638905169	-0.041649546833	0.033927017045	-0.065822372249	0.028223106015	-0.164169167693	0.000396820009	0.932781526276	N\A	0.052492072407	0.106221493221	0.089974051292	0.116812333236	0.112304155792	0.203577962665	0.056519142592	0.054600351368	0.056266496360	0.060115127580	0.057606785593	38	17	0.007995440493	Global Trend	
1800000	354.008529	1	0.750851616884	0.417918864142	0.150403703627	-0.338184898005	-0.202624085666	-0.042958362519	0.066712324365	0.181646603887	0.262462692427	0.191039592101	0.186023413372	0.117744760887	0.000317873291	0.996661154136	N\A	0.056516191703	0.124225098879	0.100586892108	0.138292695053	0.126554294230	0.203503530877	0.061261774515	0.059002560222	0.062174552698	0.065747830434	0.060121598895	35	7	-0.107482799852	Global Trend	
1850000	342.509205	1	0.577966217667	0.505213010803	0.156071335328	-0.286865242358	0.060865981841	-0.107469101769	0.096863267031	0.064761044841	0.206362951333	0.123015663210	0.135759773094	0.042033732530	0.000199563360	0.999129131354	N\A	0.049491446114	0.108960118906	0.087740969001	0.150046603940	0.105138049390	0.165903122248	0.056113035902	0.052591648664	0.064453909423	0.055795611443	0.053402331052	44	7	-0.140078615311	Global Trend	
1900000	361.663055	1	0.544719218541	0.424161501125	0.282431922774	-0.259628303058	0.161662305620	-0.467787396687	-0.003827037591	0.117139393020	0.250475180980	0.140874132864	0.216702740814	0.139780684422	0.000438775429	0.983003051183	N\A	0.043707536869	0.123032380899	0.102015896664	0.141536484921	0.145220148194	0.234125416592	0.049006704749	0.046733412569	0.048290331678	0.058833469628	0.050777647147	35	9	-0.059097161143	Global Trend	
1950000	380.195712	1	0.554844851062	0.440551674824	0.057593073790	-0.464218956549	0.067635925090	-0.159194568291	0.278095952191	0.142595034617	0.269311949467	0.101428806695	0.163179774804	0.108922560133	0.000509974284	0.982579458136	N\A	0.036793479340	0.100731559284	0.087526096186	0.115816646519	0.104723800409	0.208111438122	0.040797190685	0.040803264357	0.043003935192	0.046039400282	0.045136904342	31	10	-0.090033480636	Global Trend	
