Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  HIP_d1_m2-VR-004.txt
Log File Name:                   HIP_d1_m2-VR-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3259786878
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   HIP_d1_m2-VR-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Branch	No RJ Local Node	
1500000	294.792939	1	2.527073780544	-0.314138546092	-1.492107652400	-1.857875852964	-1.577706181898	-1.591105297326	-1.632668583505	0.841629441552	0.935043422777	0.931906694434	0.803580773541	0.848125915392	0.000401226497	0.875653341151	N\A	0.226687768203	0.443923002052	0.438699852841	0.459232910240	0.501216283628	0.502279059645	0.227855785441	0.227619125662	0.229728737561	0.231091243668	0.228170738353	60	21	
1550000	317.436887	1	1.553550181888	0.153446353245	-0.417367877251	-1.188389658898	-0.573852333804	-0.734009654688	-0.273993674698	0.335108871748	0.474635916335	0.377836080830	0.367630024650	0.348214652343	0.000383051448	0.902879747579	N\A	0.110833751530	0.287472536472	0.280016718417	0.305875279943	0.286020558328	0.371081008294	0.112218750537	0.112284823672	0.115476561020	0.114563558115	0.114201234498	37	31	
1600000	298.574358	1	0.874050902096	0.487257366446	0.256934729265	-0.267832144811	0.354657507883	-0.105948990805	0.204387387032	-0.005599151937	0.051076726531	0.074613823864	0.142909865412	0.039932364762	0.000279539204	0.878585972606	N\A	0.064229505651	0.303083765327	0.294899367722	0.307335554250	0.302716957320	0.290710941901	0.067599454615	0.067692028120	0.072388563900	0.076984036186	0.068698286569	57	29	
1650000	317.017152	1	0.541161226488	0.526699590794	0.881781350257	0.248714603892	0.485086766892	0.415730752676	0.502334550045	-0.057498166201	0.087097023513	0.026525675058	0.014838048623	0.006181285180	0.000385762978	0.893724074677	N\A	0.069735615138	0.246841378218	0.237031109489	0.251569045411	0.247957228223	0.325801343649	0.073783906711	0.073017870459	0.074267685526	0.080266785468	0.072943920795	42	26	
1700000	327.571280	1	1.180407915553	0.525934309090	0.000347126794	-0.556072492222	-0.351092427048	-0.130353671311	-0.401785298875	-0.025030809818	0.120914825586	0.077724462197	0.025854402810	0.022342361904	0.000326239425	0.936207533891	N\A	0.053569641481	0.219115397312	0.210509874886	0.265594469722	0.228418280981	0.291849293294	0.055061799912	0.056768774105	0.063318983228	0.068246561051	0.055443922989	48	33	
1750000	308.078597	1	0.627714748553	0.551396786502	0.622412938118	0.128187914828	0.409315148813	0.257161913180	0.370633851020	-0.058274107322	0.061271677466	0.035019492630	0.081606959424	-0.007694181051	0.000318897415	0.905949839944	N\A	0.055112276888	0.316974016617	0.301297124511	0.228462004093	0.304431077156	0.304522089805	0.057055363619	0.058744614311	0.064495380879	0.064397837468	0.062719758148	44	32	
1800000	319.408854	1	0.879929409445	0.499496592506	0.314518967660	-0.144745575620	0.121859253606	0.023418912744	0.090644190137	0.077499705553	0.088592178928	0.117402212369	0.075387475691	0.054016779719	0.000247810368	0.891262507961	N\A	0.080436177853	0.204625686007	0.183565174955	0.199882153911	0.190911362986	0.258994875929	0.084321998231	0.082584282305	0.086054427324	0.087025238909	0.084272715067	44	28	
1850000	325.065519	1	0.670541621670	0.604234091798	0.707036045573	0.178409178395	0.482845817672	0.369403764376	0.164905054148	-0.082795826025	0.040279868958	-0.030751351816	-0.006948409264	-0.080541267523	0.000370958022	0.903120408494	N\A	0.061251312538	0.237383540622	0.229870747044	0.243532588392	0.242891048685	0.318917811128	0.064275502208	0.063882606370	0.068137668051	0.075330614110	0.065692139591	46	26	
1900000	316.604070	1	0.991022068551	0.558623592157	0.218685728824	-0.231775246462	0.293467085519	-0.119270147893	-0.245828270537	-0.054144284735	0.025969088768	-0.006342366353	0.059850621058	0.007969932570	0.000415266869	0.916954662003	N\A	0.062322432314	0.240648436240	0.234701075056	0.256696413643	0.245277059578	0.333336525226	0.063898404327	0.064677544921	0.070639276472	0.073361521576	0.067444609098	40	30	
1950000	316.470978	1	1.264021706302	0.547884978835	-0.249011021319	-0.683659551039	-0.034810765892	-0.358454559106	-0.484642985926	0.021703894807	0.036854147625	0.021525260655	0.068236737674	-0.014422977954	0.000262198167	0.911403196525	N\A	0.048742898373	0.219791554697	0.212415463939	0.220646100120	0.233043171312	0.281660348533	0.052955187189	0.052426437262	0.056195863923	0.064697131196	0.052199823567	34	33	
