Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  NEO_d1_m2-bm-001.txt
Log File Name:                   NEO_d1_m2-bm-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            956685530
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   NEO_d1_m2-bm-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	
1550000	231.930440	1	0.737397983457	0.811181761527	0.337042039934	0.361206986625	1.109886242480	0.562922198131	-0.050476838101	-0.067687129728	-0.005971840819	-0.110525764640	-0.135851118904	-0.059931971248	0.000651196107	0.875046784511	N\A	0.078129692721	0.333432424744	0.301597884079	0.316134349630	0.306392987760	0.415435569131	0.086934079600	0.083897112347	0.087214877043	0.090634316495	0.082839833074	
1600000	235.770042	1	1.085561444879	0.837313025230	0.143923068745	-0.206733631175	0.641850320827	-0.155187731203	-0.254710449200	-0.157451422743	-0.034139268879	-0.107268755229	-0.155725912019	-0.124440154098	0.000636820335	0.877805245349	N\A	0.077262486346	0.329731466578	0.298250275780	0.312625392743	0.302992155849	0.410824410922	0.085969148274	0.082965890066	0.086246828984	0.089628314112	0.081920346143	
1650000	234.788137	1	0.485921929966	0.740553743599	0.374912854023	0.261520208255	1.239565579885	0.696267247998	0.600862974122	-0.050926419631	0.028085195985	0.000406058705	-0.144702077273	-0.017700397249	0.000640466180	0.877105671007	N\A	0.077483337529	0.330673988467	0.299102810166	0.313519017725	0.303858244676	0.411998733179	0.086214887041	0.083203044161	0.086493361488	0.089884512433	0.082154511600	
1700000	232.633410	1	0.882406896248	0.851348879435	0.810555965309	0.111011204962	1.611046972265	0.325337551093	-0.137653359428	-0.162040552794	-0.092002566024	-0.277803553274	-0.180238387220	-0.176843413090	0.000648540077	0.875556430446	N\A	0.077970196364	0.332751745543	0.300982192887	0.315488983250	0.305767507696	0.414587486189	0.086756609697	0.083725842203	0.087036833912	0.090449292815	0.082670721292	
1750000	239.308826	1	0.658962929948	0.917297258914	0.880490818836	0.389600177000	1.249006101682	0.415218828285	0.276990644647	-0.260218897384	-0.155834673646	-0.223471618540	-0.243983321472	-0.256116992335	0.000623852051	0.880293633613	N\A	0.076471748821	0.326356852893	0.295197854146	0.309425849977	0.299891203774	0.406619857158	0.085089303025	0.082116781454	0.085364141832	0.088711019386	0.081081938077	
1800000	236.943910	1	-0.013528815208	0.937345330301	1.146107256113	0.691770403346	1.452274421448	0.922076535242	1.333707262805	-0.240971786385	-0.156353141365	-0.203623577057	-0.234326898929	-0.237287621731	0.000632488950	0.878636362726	N\A	0.076999284551	0.328608205888	0.297234258674	0.311560405473	0.301959985090	0.409424899629	0.085676286431	0.082683259100	0.085953021197	0.089322986983	0.081641276919	
1850000	238.791009	1	0.708273138425	0.774026561882	1.077839255705	0.664376245121	1.300460938749	0.407007730289	0.009310909791	-0.079935576043	-0.028953031552	-0.061286582813	-0.138829820377	-0.045687462838	0.000625733028	0.879932706871	N\A	0.076586947063	0.326848481973	0.295642544822	0.309891973929	0.300342964585	0.407232395686	0.085217482885	0.082240483461	0.085492735713	0.088844655056	0.081204081180	
1900000	236.555906	1	0.033310959752	0.990365578353	1.254320091456	1.062249994391	1.897427645739	0.915540728048	1.093509837444	-0.245022255629	-0.214286904816	-0.316134603222	-0.339456221473	-0.314598478727	0.000633917354	0.878362276805	N\A	0.077086182564	0.328979058685	0.297569704212	0.311912018871	0.302300763875	0.409886958600	0.085772976927	0.082776571797	0.086050024004	0.089423792986	0.081733413681	
1950000	239.041791	1	0.459821551649	0.756217279353	1.002836188988	0.616812300881	1.150856351949	0.622758825506	0.658688695979	-0.011249047173	0.004633478451	-0.007698417612	-0.118060333896	-0.074057295212	0.000624821351	0.880107641690	N\A	0.076531134164	0.326610290455	0.295427094696	0.309666139502	0.300124089019	0.406935624222	0.085155380465	0.082180550536	0.085430432703	0.088779909327	0.081144903535	
2000000	234.202693	1	0.524096940202	0.862096825298	1.064660134941	0.618313199154	1.594302781547	0.332164720467	0.237137999025	-0.206935328588	-0.051579027801	-0.213338763257	-0.156067461366	-0.100550909889	0.000642649877	0.876686657555	N\A	0.077615316499	0.331237232303	0.299612278162	0.314053041145	0.304375812702	0.412700499133	0.086361738639	0.083344765625	0.086640687418	0.090037614579	0.082294447077	
