Species_TTOL	NEO	rest_of_brain	rest_of_brain2	BOD	BOD2
Anourosorex_squamipes	1.83	3.0789623596587	9.48000921219507	1.307	1.708249
Atelerix_algirus	2.708	3.0789623596587	9.48000921219507	2.867	8.219689
Blarina_brevicauda	1.837	3.0789623596587	9.48000921219507	1.267	1.605289
Chrysochloris_asiatica	2.052	3.0789623596587	9.48000921219507	1.69	2.8561
Chrysochloris_stuhlmanni	2.109	3.0789623596587	9.48000921219507	1.626	2.643876
Crocidura_attenuata	1.403	3.0789623596587	9.48000921219507	0.968	0.937024
Crocidura_flavescens	1.725	3.0789623596587	9.48000921219507	1.467	2.152089
Crocidura_hildegardeae	1.415	3.0789623596587	9.48000921219507	0.996	0.992016
Crocidura_denti	1.456	3.0789623596587	9.48000921219507	1.079	1.164241
Crocidura_russula	1.403	3.0789623596587	9.48000921219507	1.049	1.100401
Crocidura_suaveolens	1.391	3.0789623596587	9.48000921219507	1.013	1.026169
Cryptotis_parvus	1.559	3.0789623596587	9.48000921219507	0.991226075692495	0.982529133132744
Desmana_moschata	2.993	3.0789623596587	9.48000921219507	2.646	7.001316
Echinops_telfairi	1.713	3.0789623596587	9.48000921219507	1.942	3.771364
Echinosorex_gymnura	3.035	3.0789623596587	9.48000921219507	2.921	8.532241
Erinaceus_europaeus	2.72	3.0789623596587	9.48000921219507	2.929	8.579041
Euroscaptor_micrura	2.196	3.0789623596587	9.48000921219507	1.617	2.614689
Galemys_pyrenaicus	2.53	3.0789623596587	9.48000921219507	1.778	3.161284
Geogale_aurita	0.857	3.0789623596587	9.48000921219507	1	1
Hemicentetes_semispinosus	1.886	3.0789623596587	9.48000921219507	2.062	4.251844
Hemiechinus_auritus	2.486	3.0789623596587	9.48000921219507	2.371	5.621641
Hylomys_suillus	2.25	3.0789623596587	9.48000921219507	1.756	3.083536
Limnogale_mergulus	2.291	3.0789623596587	9.48000921219507	1.964	3.857296
Microgale_dobsoni	1.797	3.0789623596587	9.48000921219507	1.504	2.262016
Microgale_talazaci	1.949	3.0789623596587	9.48000921219507	1.683	2.832489
Micropotamogale_lamottei	2.16	3.0789623596587	9.48000921219507	1.808	3.268864
Micropotamogale_ruwenzorii	2.358	3.0789623596587	9.48000921219507	1.986	3.944196
Myosorex_sclateri	1.656	3.0789623596587	9.48000921219507	1.23	1.5129
Neomys_anomalus	1.771	3.0789623596587	9.48000921219507	1.037	1.075369
Neomys_fodiens	1.753	3.0789623596587	9.48000921219507	1.182	1.397124
Oryzorictes_hova	1.823	3.0789623596587	9.48000921219507	1.645	2.706025
Parascalops_breweri	2.245	3.0789623596587	9.48000921219507	1.731	2.996361
Potamogale_velox	3.021	3.0789623596587	9.48000921219507	2.791	7.789681
Ruwenzorisorex_suncoides	1.775	3.0789623596587	9.48000921219507	1.262	1.592644
Scalopus_aquaticus	2.403	3.0789623596587	9.48000921219507	2.061	4.247721
Scutisorex_somereni	1.941	3.0789623596587	9.48000921219507	1.792	3.211264
Setifer_setosus	2.135	3.0789623596587	9.48000921219507	2.373	5.631129
Solenodon_paradoxus	2.825	3.0789623596587	9.48000921219507	2.826	7.986276
Sorex_alpinus	1.658	3.0789623596587	9.48000921219507	1.033	1.067089
Sorex_araneus	1.45	3.0789623596587	9.48000921219507	0.987	0.974169
Sorex_cinereus	1.459	3.0789623596587	9.48000921219507	0.633	0.400689
Sorex_fumeus	1.681	3.0789623596587	9.48000921219507	0.924	0.853776
Sorex_hoyi	1.182	3.0789623596587	9.48000921219507	0.42	0.1764
Sorex_minutus	1.201	3.0789623596587	9.48000921219507	0.633	0.400689
Suncus_etruscus	0.851	3.0789623596587	9.48000921219507	0.762	0.580644
Suncus_murinus	1.703	3.0789623596587	9.48000921219507	1.529	2.337841
Sylvisorex_granti	1.314	3.0789623596587	9.48000921219507	0.591	0.349281
Suncus_megalura	1.378	3.0789623596587	9.48000921219507	0.74	0.5476
Talpa_europaea	2.258	3.0789623596587	9.48000921219507	1.908	3.640464
Tenrec_ecaudatus	2.436	3.0789623596587	9.48000921219507	2.935	8.614225
Aepyprymnus_rufescens	3.653213	3.0789623596587	9.48000921219507	3.392697	11.510392933809
Antechinus_flavipes	2.015779	3.0789623596587	9.48000921219507	1.568202	2.459257512804
Antechinus_minimus	2.112605	3.0789623596587	9.48000921219507	1.724276	2.973127724176
Bettongia_gaimardi	3.559068	3.0789623596587	9.48000921219507	3.176091	10.087554040281
Bettongia_penicillata	3.509606	3.0789623596587	9.48000921219507	3.079181	9.481355630761
Burramys_parvus	2.261976	3.0789623596587	9.48000921219507	1.770852	3.135916805904
Cercartetus_nanus	1.991226	3.0789623596587	9.48000921219507	1.278754	1.635211792516
Dactylopsila_trivirgata	3.324899	3.0789623596587	9.48000921219507	2.643453	6.987843763209
Dasycercus_cristicauda	2.452247	3.0789623596587	9.48000921219507	2	4
