Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  PAL_d1_m2-glob-001.txt
Log File Name:                   PAL_d1_m2-glob-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1207302888
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   PAL_d1_m2-glob-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.207006
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.72 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	Global Trend	
1500000	348.761245	1	1.775704140603	0.583812206968	0.079847817197	-0.384492265116	-0.267188870198	0.369184580952	-1.381863094318	0.022772318441	0.027854347407	0.005353373236	-0.135242751986	-0.033212242699	0.000561285178	0.905169099946	N\A	0.072448134788	0.267925264779	0.258883439944	0.292471102702	0.281990344645	0.383733708113	0.075021552784	0.074834378761	0.081391859615	0.083535206495	0.076878065715	35	11	-0.000106546481	Global Trend	
1550000	328.985552	1	0.558058155416	0.697039858647	0.692363361321	0.059751031027	0.594286431322	0.582172836936	0.188432287516	-0.097536658216	-0.040549276908	-0.156279655440	-0.120326750538	-0.289845327550	0.000579334713	0.905670206100	N\A	0.071793281479	0.176424712736	0.165899151535	0.247102614990	0.178564641077	0.336417285728	0.075373823339	0.073994828291	0.080104188910	0.077292802436	0.076952092742	32	10	0.000727958186	Global Trend	
1600000	348.617345	1	1.047576002245	0.586298327224	-0.111649823913	-0.660926282683	0.213968963510	0.313765807298	0.954484918175	0.000143092023	0.055296631563	-0.077160455447	-0.087695944951	-0.156111977011	0.000402982449	0.990960126237	N\A	0.043790593223	0.113305987566	0.097611389059	0.152522510139	0.132815429294	0.227753498790	0.048367290369	0.048036235036	0.053578662349	0.056581911048	0.051287201317	30	12	0.096152324684	Global Trend	
1650000	333.422779	1	0.835225971789	0.703501994611	0.187301959831	-0.452583573923	0.477792932185	0.409819859448	0.406380741740	-0.096167822998	-0.018960121491	-0.263177700197	-0.198349565435	-0.238170914123	0.000559847043	0.917154386782	N\A	0.067856296273	0.122006312825	0.109518058977	0.175245073576	0.124580411280	0.259921710902	0.071394235370	0.070113719279	0.076439501063	0.073892593877	0.074573715936	32	13	-0.011032052254	Global Trend	
1700000	340.868586	1	0.606655444125	0.585724462300	0.014335799573	-0.447391377039	-0.162280941394	0.110413078143	0.627007507503	0.027674034090	0.076352747308	-0.054914530439	0.035092488259	-0.082986174120	0.000747273121	0.920703069880	N\A	0.081028739397	0.203194649380	0.185600849437	0.272196231467	0.201426179482	0.386042421017	0.083934305573	0.082359882343	0.086628704097	0.087142387510	0.087194441649	34	11	0.000711636376	Global Trend	
1750000	337.067773	1	0.482293721874	0.782217579095	0.622850658555	-0.029961632910	0.472745201362	0.589730813420	0.496437550404	-0.222442901019	-0.144616935003	-0.300075790048	-0.184734412945	-0.311396923450	0.000426285513	0.912337213914	N\A	0.154508841798	0.184727095801	0.176438646465	0.222281963403	0.190143203537	0.274720556859	0.155588250790	0.155520515058	0.157107940160	0.157366283569	0.155759450659	33	15	0.000951424368	Global Trend	
1800000	328.587082	1	0.858071528145	0.436707240612	-0.248690113172	-0.687912902675	-0.150497620248	0.021971337560	1.212503521028	0.182916167516	0.208715099039	0.106867516998	0.182698937066	-0.017417107290	0.000696578120	0.894464836045	N\A	0.067092948158	0.129760487396	0.116096220129	0.192946532915	0.151932960845	0.295907076332	0.070457789966	0.069710772646	0.075279169293	0.076777713117	0.072495265561	31	12	0.008308421412	Global Trend	
1850000	335.788102	1	1.095950055023	0.560607367681	0.096770406305	-0.519062532627	0.719963682055	0.287663088025	-0.086865796850	0.047275837495	0.085448302009	-0.059585704244	-0.065075583701	-0.050602814258	0.000495384180	0.950528520309	N\A	0.065126691691	0.126732029712	0.110674784206	0.160789499376	0.154938447002	0.247334192972	0.068498121585	0.068018769922	0.069339655355	0.077755124970	0.068877795898	27	16	0.031881793027	Global Trend	
1900000	347.422735	1	1.181831685677	0.527500876315	0.062556440687	-0.472126759883	0.438911133764	0.322245541039	0.100039637162	0.073968202028	0.111107650529	-0.086410206699	0.028565543398	-0.048111652364	0.000499481389	0.959290538199	N\A	0.051240093488	0.115569193527	0.102496490441	0.168385579261	0.151969321635	0.249550791308	0.055158733746	0.053552790097	0.060516135157	0.067498170309	0.058427529070	40	15	0.036642187941	Global Trend	
1950000	361.371166	1	1.045286748905	0.444366487958	-0.214680917685	-0.683073398632	0.079742775424	0.511415264095	0.383397739586	0.151314120383	0.157376811642	0.112819301404	0.056579854660	0.022878658725	0.000443579065	0.975080370715	N\A	0.086867469979	0.126380017216	0.113455520114	0.174072032947	0.151561500895	0.237817305081	0.090613154995	0.088004207741	0.092475656512	0.093976819601	0.090115514185	40	17	0.044337956880	Global Trend	
2000000	344.466479	1	1.585212206649	0.442729915184	-0.402533311834	-1.078666866614	0.306895631894	1.205381207283	0.037764857459	0.164678441168	0.213913754929	0.035854617259	0.048482436760	0.023102987231	0.000587583506	0.999300430391	N\A	0.069226572261	0.131056071748	0.114838718634	0.177707092004	0.144048028926	0.268877070975	0.073708053760	0.071444328164	0.076379425601	0.075799827389	0.074046855191	31	11	-0.486983353166	Global Trend	
2050000	351.428794	1	0.657599565285	0.632406531468	0.162969214660	-0.421944519320	-0.126337777675	0.131315326136	0.603657277179	0.002993675335	0.035530848083	-0.126211249948	-0.030084392925	-0.174536202054	0.000393528369	0.923474048737	N\A	0.076937187269	0.177960734300	0.167119358529	0.215977819326	0.189715569584	0.286562548378	0.079957697933	0.078259987179	0.082323696549	0.082188888114	0.081176053421	31	11	0.000469076150	Global Trend	
2100000	354.273831	1	0.785625746829	0.460707831195	-0.239514618233	-0.845224534107	0.342172815244	-0.177197679422	0.897297056412	0.128953730697	0.192695846954	0.105359534386	0.063931318507	0.011092390698	0.000500954564	0.928498231267	N\A	0.063791156641	0.127611681886	0.110502932909	0.151825597806	0.144962547397	0.245739646188	0.066924189000	0.065605693514	0.068875241027	0.076243956026	0.068598060460	45	20	-0.007985784585	Global Trend	
2150000	359.605712	1	1.226379352821	0.514702584395	0.271273165328	-0.397765101648	0.004441505158	0.350153721101	0.009243414147	0.105768039017	0.187158385409	-0.041170598393	0.032731344542	-0.037671898868	0.000348548279	0.999864824531	N\A	0.084463728193	0.127251026201	0.111280562450	0.150635814526	0.129637639289	0.213999300957	0.088217621454	0.085975542417	0.087468941348	0.088482702123	0.087454455937	37	15	-0.604812798682	Global Trend	
2200000	345.939818	1	0.752321120940	0.590463016763	0.062175996008	-0.483172689671	0.460246843148	0.206560286174	0.393274820531	-0.011618185232	0.042491026237	-0.182839416181	-0.044091227767	-0.031942462360	0.000447033943	0.999420260625	N\A	0.061585656725	0.120059137368	0.102629049106	0.148317744767	0.120945169604	0.232798848221	0.065715206648	0.064224950658	0.068254475734	0.068488788039	0.065866402961	37	15	0.352076035202	Global Trend	
2250000	352.256657	1	0.931694695406	0.581815907366	-0.024073900168	-0.484912201147	0.251801099555	0.517798167301	0.288677734026	0.021738753402	0.040282577587	-0.101676975683	-0.133455576778	-0.079742177146	0.000378715605	0.916758443023	N\A	0.047377073128	0.124985065696	0.105882352098	0.151560397204	0.138682073856	0.216560361746	0.055070800133	0.050574471967	0.056568766095	0.062162417091	0.051654008975	39	16	-0.009727413769	Global Trend	
2300000	323.680488	1	0.880794077898	0.756992314430	0.193126216751	-0.620497995221	0.467406150091	0.380157744338	0.825811684030	-0.208695500212	-0.093707125461	-0.317823706346	-0.152511251834	-0.257301200341	0.000496422148	0.978383210412	N\A	0.074499440076	0.134786198040	0.118427488930	0.174342556823	0.158590161531	0.253144297469	0.077850911310	0.077421634674	0.080955058618	0.085204163185	0.079272184442	22	9	-0.098350899729	Global Trend	
2350000	326.231432	1	0.951093821573	0.502538941947	0.065857209608	-0.471058932562	0.103615855629	0.545386333406	-0.165201327416	0.094888546000	0.177609963610	0.030425507035	0.077251111098	0.033230665873	0.000906741652	0.987241766924	N\A	0.085078462165	0.142287816376	0.130306845842	0.190043122967	0.167564335780	0.317215614511	0.087442928922	0.086969907178	0.092164959458	0.093882336508	0.088407491493	30	11	-0.112136986616	Global Trend	
2400000	356.454912	1	0.937375520679	0.566738587316	0.092264505153	-0.388359038057	0.347820305921	0.370087998896	0.194190968132	0.068884334226	0.084809697344	-0.079512224083	-0.056635347107	-0.133207160150	0.000406138848	0.936003850681	N\A	0.058933214245	0.114336357796	0.096854312826	0.145455348977	0.124450328207	0.221819881128	0.064499052654	0.061139693876	0.063864304979	0.062469240274	0.063735094895	31	14	0.014212552375	Global Trend	
2450000	349.625928	1	0.729592230136	0.612156031287	0.038192145266	-0.540363903447	0.378684818185	0.260200158424	0.444540404177	-0.015068233389	0.055869717408	-0.117488603786	-0.026974508502	-0.120633265307	0.000441698867	0.942993859673	N\A	0.114286544975	0.139798867933	0.129469517850	0.174463455700	0.165564144831	0.243574224022	0.115956224575	0.115620435956	0.116827176545	0.120369934696	0.116287732734	30	15	-0.020364207357	Global Trend	
2500000	337.813671	1	0.906900760010	0.540948027148	-0.141523149925	-0.551691487885	-0.058674343899	0.867435628234	0.163468847405	0.139551164885	0.136293109793	-0.063497545586	-0.060120293384	-0.009411249486	0.000490260296	0.920538721633	N\A	0.097738486789	0.129177227796	0.126766039912	0.178564688872	0.156897871233	0.247932572422	0.099821775073	0.099637404942	0.102016194024	0.103820674076	0.100009040757	41	13	-0.008017130381	Global Trend	
2550000	339.694827	1	1.127850590262	0.558150863552	-0.132510824486	-0.624268142737	0.153948354412	0.759851772715	0.152097444507	0.091599233705	0.125413983046	-0.051294041642	0.020934021815	-0.050598112246	0.000455479470	0.999717743823	N\A	0.056590043011	0.112053114738	0.095557807262	0.155043048991	0.114315590024	0.232341611930	0.063382348074	0.059472991020	0.064110911843	0.063544453566	0.061544647911	33	15	0.512928687885	Global Trend	
2600000	328.821468	1	0.611406124694	0.569689507390	-0.481624409608	-1.124685833689	0.680157032060	0.105701818783	1.387142327824	0.028789967040	0.086873584387	-0.074493517666	-0.020822351316	-0.096777998257	0.000592365085	0.905867064534	N\A	0.058215096480	0.131869580059	0.112072979231	0.180699634517	0.145274142758	0.271601338521	0.062909611473	0.061185619814	0.068041637016	0.068607454158	0.064965935217	33	11	0.011797974543	Global Trend	
2650000	321.433579	1	1.030174253860	0.284547656162	-0.640229325909	-1.196426279072	0.229412130702	0.862592172433	0.313238898000	0.291511598557	0.349805316532	0.248628753555	0.174249293194	0.107768205834	0.000473138582	0.980504357513	N\A	0.079745324099	0.135732959119	0.120865682442	0.172337181960	0.167371167575	0.246979389565	0.082600855136	0.082100312613	0.085495606830	0.093485762273	0.083720230459	35	12	0.068691877883	Global Trend	
2700000	345.396409	1	0.943506849390	0.574278377253	-0.595207420832	-1.200138774502	-0.605125407909	0.283407150779	0.583122776381	0.013762674027	0.068688497898	-0.073563136550	-0.077253508987	-0.139177000253	0.000546442990	0.970924267647	N\A	0.069367838258	0.224851573509	0.216796704349	0.244036628099	0.224991945068	0.331851245735	0.069649592347	0.071948137125	0.077307255806	0.077860678776	0.074287878381	35	13	-0.000439021949	Global Trend	
2750000	372.149779	1	1.360488042149	0.731730098633	0.134474089371	-0.374082288625	0.426401253382	1.024345146009	-0.099277380276	-0.085039447266	-0.067447764116	-0.238724305727	-0.193879995125	-0.257655677316	0.000415257551	0.998722957183	N\A	0.058249030138	0.107886831467	0.097116574590	0.158423980120	0.139924247837	0.223958509898	0.060840320087	0.060523039395	0.065008414300	0.069759729062	0.061092352957	41	15	0.178064688645	Global Trend	
2800000	353.914306	1	0.651838712144	0.735611197898	0.176559056454	-0.283076402477	0.203567578058	0.425977525663	0.598200002246	-0.118037871844	-0.088414865760	-0.221311424393	-0.218926901526	-0.218633157682	0.000415043898	0.996274815538	N\A	0.058167968043	0.118287740487	0.100075326998	0.153179329178	0.129540741278	0.224802280471	0.064363152604	0.061025833106	0.064637056036	0.066000447023	0.061751260857	41	12	-0.116194859382	Global Trend	
2850000	326.318704	1	0.983744664584	0.625133387889	0.398221910901	-0.203902143409	0.462751675696	0.450556970675	0.410596781874	-0.041158878485	0.019224775368	-0.158329195405	-0.025403231473	-0.181417652658	0.000601710248	0.910536206545	N\A	0.079885898373	0.153785150746	0.148156970325	0.216146494711	0.259630679639	0.309005993032	0.082190037461	0.081576361765	0.086422371690	0.106306711214	0.084694123390	45	14	0.000971950785	Global Trend	
2900000	341.649876	1	0.518469912017	0.930225440436	0.242349505984	-0.124009815201	0.360936114998	0.629862145075	0.639858997109	-0.321787749678	-0.319800376964	-0.385039991687	-0.373288176132	-0.435471823455	0.000459093822	0.911605296940	N\A	0.168226427700	0.168463001435	0.159116698619	0.202409535707	0.188244114622	0.268333557371	0.170007536464	0.169001184704	0.170966011043	0.172116206174	0.169444635827	39	16	-0.003927215261	Global Trend	
2950000	339.053695	1	0.674061257404	0.658430272111	0.054743826135	-0.449716960040	0.319592159633	0.512058981755	0.470918416392	-0.049447298322	0.046780808849	-0.177580780600	-0.140941966543	-0.240737864270	0.000431311369	0.980046446847	N\A	0.059347346204	0.128928989071	0.106435121396	0.148449882418	0.141978994361	0.237274856997	0.064414531884	0.060764130786	0.063102633506	0.069655833743	0.065010880860	35	11	-0.057983795014	Global Trend	
3000000	347.980202	1	0.756673075470	0.768718429122	0.181879198725	-0.115388281168	0.428722465922	0.416197399478	0.445012184694	-0.131990327226	-0.128746172703	-0.310833461854	-0.236233900742	-0.290666077499	0.000461594108	0.937469847984	N\A	0.088288845836	0.128728366762	0.116050638602	0.171214791023	0.160435735252	0.244250028218	0.091215481732	0.090115798694	0.092866425796	0.097583890321	0.091038252063	29	13	0.026690478502	Global Trend	
3050000	340.262060	1	0.771355720032	0.582113611755	0.132094969446	-0.419155502403	0.042533690864	0.376304043680	0.306856627731	0.059973294917	0.081741182006	-0.056948490121	0.001032960022	-0.064759717025	0.000731086140	0.926331139700	N\A	0.076988477674	0.133887633795	0.116855292408	0.167521544617	0.130809172922	0.295634439438	0.081369012589	0.078461925718	0.083014020084	0.081428581908	0.082677665841	31	10	0.017923343730	Global Trend	
3100000	347.464828	1	0.823271747786	0.661691509885	0.190616362391	-0.296844128294	0.118155972083	0.333879065494	0.451582859563	0.004849675816	-0.009273762980	-0.163868896785	-0.131810385876	-0.116043221724	0.000544785199	0.959457141332	N\A	0.091427017603	0.127752274194	0.115867448141	0.186798653680	0.130177373835	0.258089846324	0.094222892284	0.092762796394	0.098123097902	0.095769073633	0.094249596908	43	13	0.035613605532	Global Trend	
