Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MED_d1_m9-fab-003.txt
Log File Name:                   MED_d1_m9-fab-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            479271784
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MED_d1_m9-fab-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.275310
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.67 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	
2150000	621.905774	1	-0.627881451653	0.932023119509	-0.048068412073	0.156305779227	0.008412982358	0.000050152554	0.987060261515	N\A	0.062289146129	0.007333542097	0.029881132049	0.004496630135	44	2	
2200000	612.053963	1	-0.336219029640	0.741279911574	-0.024119227699	0.212251670280	-0.003411806012	0.000071338515	0.981468639377	N\A	0.062108936905	0.007297127843	0.031295438559	0.004870367228	38	3	
2250000	613.512469	1	-0.526617954438	0.877043502410	-0.044042733459	0.181992168945	0.003028788949	0.000055045097	0.980022326783	N\A	0.059752712779	0.007149131515	0.030507218830	0.004669646575	45	2	
2300000	623.261788	1	-0.471160927975	0.824809359312	-0.036980865752	0.192843875924	0.003452024330	0.000056889484	0.982157647656	N\A	0.071616907920	0.010249496859	0.031057791376	0.005785227224	46	4	
2350000	633.711251	1	-0.272149821533	0.685775305287	-0.018882700986	0.235340394703	-0.002649601352	0.000079014121	0.981018230716	N\A	0.061411053014	0.007591547491	0.030104223355	0.004775661603	30	6	
2400000	623.117526	1	-0.389681128899	0.762162844818	-0.023062224776	0.188363694777	0.001639882306	0.000096045347	0.980463033411	N\A	0.070196495202	0.009904191410	0.031116746676	0.005532223119	36	5	
2450000	619.588243	1	-0.651269878221	0.959611755668	-0.052726072339	0.131820113384	0.012082905280	0.000064982521	0.979459150420	N\A	0.056664277929	0.005919443213	0.030459065456	0.004268836828	34	7	
2500000	618.042564	1	-0.679830483939	1.004842776357	-0.058022072287	0.107427735348	0.015043971248	0.000048800105	0.978055805832	N\A	0.063462801685	0.007507555994	0.032231901047	0.005300378120	40	7	
2550000	629.047803	1	-0.481733551759	0.852199741010	-0.047086983214	0.214531584547	0.004489955976	0.000036992841	0.982108408074	N\A	0.057049063340	0.006375003962	0.029529217541	0.004197127768	51	4	
2600000	617.283390	1	-0.495962080754	0.838719468129	-0.042128503086	0.235005987048	-0.002179326273	0.000009718059	0.980765597162	N\A	0.052503994850	0.004950887185	0.029661339460	0.004000020948	36	5	
2650000	603.709692	1	-0.565379506285	0.852502365201	-0.032167008437	0.183006876886	-0.001030718080	0.000042468093	0.979716487032	N\A	0.074890825402	0.011444360221	0.031295259807	0.006181602976	59	3	
2700000	623.325072	1	-0.295357859390	0.696811995999	-0.028437270481	0.281973957861	-0.005174199205	0.000076951218	0.982606920814	N\A	0.060777722645	0.006868837083	0.031031815670	0.004423640866	34	3	
2750000	620.920672	1	-0.574306899971	0.897996215157	-0.045785942815	0.161539938189	0.008667894470	0.000043196605	0.980923691833	N\A	0.063555614744	0.007206811895	0.031688543026	0.004546471598	53	1	
2800000	609.734966	1	-0.421855571879	0.820911291776	-0.037297189448	0.152263114596	0.014634662577	0.000051557307	0.979000920388	N\A	0.067125390762	0.007877430947	0.033859616909	0.005330031955	39	2	
2850000	634.564217	1	-0.488166809462	0.834192083753	-0.037695046500	0.194173343799	0.003245718975	0.000077371308	0.982550240248	N\A	0.056247605639	0.006075476858	0.029346606248	0.004205071099	36	5	
2900000	623.473385	1	-0.417589819082	0.788973923926	-0.031907841199	0.198942173816	0.002520450809	0.000089260787	0.981822669121	N\A	0.062444661058	0.008139941653	0.030658067264	0.005115273680	41	5	
2950000	621.591735	1	-0.485055079045	0.861795677827	-0.042868231431	0.179360913460	0.008945025453	0.000016688026	0.982114963457	N\A	0.063020465028	0.007869382526	0.029818103309	0.005040362075	46	5	
