Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  STR_d1_m2-glob-006.txt
Log File Name:                   STR_d1_m2-glob-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            549635774
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   STR_d1_m2-glob-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.147241
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.77 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	Global Trend	
1500000	346.724518	1	0.422331882025	0.752674929705	-0.004405820759	0.032021828251	0.596358259791	0.477597574132	0.057545439311	0.005849402909	-0.124580444246	-0.059601573838	-0.261974515154	-0.132857667194	0.000163180247	0.928750658694	N\A	0.037145975395	0.112880450663	0.095577417618	0.200781261652	0.116531968680	0.231644222043	0.043369526011	0.040446059532	0.062612970866	0.047054166658	0.044718283515	41	11	0.000502683178	Global Trend	
1550000	334.619556	1	0.211051905851	0.787149535957	-0.035545655713	-0.354287086670	0.660133591545	-0.114867679671	0.340827078774	-0.072061217699	-0.123207665624	-0.133436307623	-0.271078179746	-0.208636130475	0.000403847977	0.918815472319	N\A	0.055855325196	0.138655432001	0.119330722846	0.232074500182	0.149805589541	0.244364891093	0.060132562534	0.058045849231	0.076353908836	0.066822352240	0.060968528756	32	7	0.000987875533	Global Trend	
1600000	319.052700	1	0.156750137738	0.789320424912	-0.083663142535	-0.385497901348	0.672683899033	0.982736129776	-0.020041576983	-0.078188666174	-0.162284484360	-0.147495673548	-0.341488253258	-0.237944651608	0.000712381492	0.987772370783	N\A	0.123652377147	0.157481153956	0.144305356039	0.212701769362	0.164893228629	0.308642252082	0.125744046493	0.124442572578	0.128567277789	0.128246740010	0.128414575969	35	7	0.108909873303	Global Trend	
1650000	360.107152	1	0.539223804927	0.771541615590	0.044974795162	-0.108964729656	0.343020496183	0.013682907419	0.597430982927	-0.040578385131	-0.123779368860	-0.068849109122	-0.225040349491	-0.206456104705	0.000521208356	0.998691608277	N\A	0.067176654878	0.123539923095	0.106726973321	0.177591958101	0.134497014729	0.242633742035	0.071475672286	0.068710413171	0.077899334930	0.076314239083	0.072185239247	32	10	-0.338475871212	Global Trend	
1700000	324.596223	1	0.546439595334	0.715226504176	0.521685835874	0.209164059509	0.532480696540	0.217383031506	-0.660913984573	-0.013186002963	-0.039720389021	0.022189878401	-0.168406449641	-0.148524147501	0.000446488741	0.922423123760	N\A	0.093749628178	0.132728752604	0.117809248966	0.181054328762	0.140087205045	0.249516884504	0.096061896413	0.094915625782	0.100927735582	0.099997588753	0.098356592239	37	7	0.006452300519	Global Trend	
1750000	342.913303	1	0.537841389955	0.649565763681	-0.062608720388	-0.038836307499	0.175519482287	0.389269026177	0.020335837164	0.112045604150	-0.048027537045	0.014932965976	-0.132457376851	-0.053483508936	0.000511542544	0.945802227693	N\A	0.069410343623	0.119585241069	0.109085441278	0.178874642517	0.133803552794	0.249022302271	0.072190327353	0.071401315801	0.079445757505	0.077341985751	0.072758339899	43	12	0.018378298721	Global Trend	
1800000	344.468801	1	0.235013386395	0.640670675936	0.344955150793	0.184644004060	0.380606707792	0.559432870404	0.213258869900	0.088579224496	0.045717567044	0.031444783171	-0.141941064969	-0.021153275118	0.000487185710	0.924651578964	N\A	0.066207416892	0.235043508206	0.223619547091	0.249091566083	0.234023707301	0.325646188257	0.069517600534	0.068640571315	0.076629355918	0.075983803292	0.069165968802	36	13	-0.000338932400	Global Trend	
1850000	360.691947	1	0.622370161185	0.635415799752	-0.120291086976	-0.323490054506	0.353808303243	-0.045370246407	0.205388790656	0.106877740542	0.024846653941	-0.090815530303	-0.071504036750	-0.084701237033	0.000566041385	0.925490684179	N\A	0.067842783979	0.136852469942	0.125921526255	0.182214376761	0.143390157472	0.261694114080	0.071201173429	0.069627202814	0.077247707662	0.075788267511	0.072482270325	27	12	-0.004539121639	Global Trend	
1900000	364.213537	1	0.401225936681	0.750919660190	0.026682743765	-0.170362499003	0.371505610720	0.036482402700	0.572546541562	-0.043067685266	-0.098525330739	-0.142521096049	-0.158510492371	-0.146856720698	0.000534224145	0.999539221049	N\A	0.065852210246	0.114539468269	0.101987848494	0.161752866247	0.123336205886	0.252224141600	0.069390646764	0.067454538233	0.073540712581	0.073115165427	0.071091254086	41	11	-0.533771992431	Global Trend	
1950000	355.340865	1	0.807007134361	0.610523678806	0.059091059128	0.009541549010	0.227928393277	0.294944574355	-0.355219136285	0.112220092118	0.024202308041	0.047268610842	-0.065329208907	-0.021978700261	0.000362851589	0.935489091673	N\A	0.054524999094	0.109137048230	0.096261136665	0.158153993975	0.136725645996	0.209927813149	0.057897626202	0.057420784011	0.065271148452	0.067691953709	0.058475804721	34	13	-0.011117901769	Global Trend	
