Species_TTOL	SCH	rest_of_brain	rest_of_brain2	BOD	BOD2
Noctilio_leporinus	1.444	3.0789623596587	9.48000921219507	1.763	3.108169
Nyctalus_noctula	1.021	3.0789623596587	9.48000921219507	1.431	2.047761
Nycteris_arge	0.942	3.0789623596587	9.48000921219507	1.025	1.050625
Nycteris_grandis	1.236	3.0789623596587	9.48000921219507	1.474	2.172676
Nycteris_hispida	0.906	3.0789623596587	9.48000921219507	0.892	0.795664
Nycteris_javanica	1.013	3.0789623596587	9.48000921219507	1.265	1.600225
Nycteris_macrotis	1.017	3.0789623596587	9.48000921219507	1.161	1.347921
Nycteris_thebaica	0.925	3.0789623596587	9.48000921219507	0.949	0.900601
Nyctophilus_geoffroyi	0.754	3.0789623596587	9.48000921219507	0.857	0.734449
Otomops_martiensseni	1.316	3.0789623596587	9.48000921219507	1.618	2.617924
Peropteryx_macrotis	0.789	3.0789623596587	9.48000921219507	0.748	0.559504
Phylloderma_stenops	1.708	3.0789623596587	9.48000921219507	1.664	2.768896
Phyllostomus_discolor	1.593	3.0789623596587	9.48000921219507	1.563	2.442969
Phyllostomus_elongatus	1.401	3.0789623596587	9.48000921219507	1.652	2.729104
Phyllostomus_hastatus	1.685	3.0789623596587	9.48000921219507	1.963	3.853369
Pipistrellus_javanicus	0.56	3.0789623596587	9.48000921219507	0.653	0.426409
Pipistrellus_tenuis	0.476	3.0789623596587	9.48000921219507	0.591	0.349281
Afronycteris_nana	0.462	3.0789623596587	9.48000921219507	0.591	0.349281
Hypsugo_pulveratus	0.688	3.0789623596587	9.48000921219507	0.724	0.524176
Perimyotis_subflavus	0.658	3.0789623596587	9.48000921219507	0.724	0.524176
Pteronotus_gymnonotus	0.949	3.0789623596587	9.48000921219507	1.134	1.285956
Pteronotus_parnellii_mesoamericanus	1.134	3.0789623596587	9.48000921219507	1.305	1.703025
Pteronotus_personatus	0.783	3.0789623596587	9.48000921219507	0.908	0.824464
Rhinolophus_cornutus	0.802	3.0789623596587	9.48000921219507	0.82	0.6724
Rhinolophus_eloquens	1.134	3.0789623596587	9.48000921219507	1.281	1.640961
Rhinolophus_hipposideros	0.739	3.0789623596587	9.48000921219507	0.663	0.439569
Rhinolophus_landeri	0.904	3.0789623596587	9.48000921219507	0.987	0.974169
Rhinolophus_lepidus	0.775	3.0789623596587	9.48000921219507	0.778	0.605284
Rhinolophus_luctus	1.332	3.0789623596587	9.48000921219507	1.516	2.298256
Rhinolophus_macrotis	0.87	3.0789623596587	9.48000921219507	0.799	0.638401
Rhinolophus_malayanus	0.772	3.0789623596587	9.48000921219507	0.806	0.649636
Rhinolophus_megaphyllus	0.943	3.0789623596587	9.48000921219507	0.991	0.982081
Rhinolophus_pearsonii	1.064	3.0789623596587	9.48000921219507	1.143	1.306449
Rhinolophus_pusillus	0.719	3.0789623596587	9.48000921219507	0.672	0.451584
Rhinolophus_trifoliatus	1.033	3.0789623596587	9.48000921219507	1.164	1.354896
Rhinolophus_yunnanensis	1.21	3.0789623596587	9.48000921219507	1.371	1.879641
Rhinonicteris_aurantia	0.864	3.0789623596587	9.48000921219507	0.934	0.872356
Rhinophylla_pumilio	1.104	3.0789623596587	9.48000921219507	0.949	0.900601
Rhinopoma_hardwickii	0.986	3.0789623596587	9.48000921219507	1.111	1.234321
Rhinopoma_microphyllum	1.143	3.0789623596587	9.48000921219507	1.468	2.155024
Rhogeessa_parvula	0.537	3.0789623596587	9.48000921219507	0.653	0.426409
Rhynchonycteris_naso	0.479	3.0789623596587	9.48000921219507	0.58	0.3364
Saccopteryx_bilineata	0.952	3.0789623596587	9.48000921219507	0.924	0.853776
Saccopteryx_canescens	0.611	3.0789623596587	9.48000921219507	0.531	0.281961
Saccopteryx_leptura	0.692	3.0789623596587	9.48000921219507	0.708	0.501264
Scotomanes_ornatus	1.124	3.0789623596587	9.48000921219507	1.338	1.790244
Scotophilus_dinganii	1.1	3.0789623596587	9.48000921219507	1.386	1.920996
Scotophilus_kuhlii	0.989	3.0789623596587	9.48000921219507	1.31	1.7161
Sphaeronycteris_toxophyllum	1.312	3.0789623596587	9.48000921219507	1.265	1.600225
Sturnira_lilium	1.365	3.0789623596587	9.48000921219507	1.305	1.703025
Sturnira_ludovici	1.386	3.0789623596587	9.48000921219507	1.413	1.996569
Sturnira_tildae	1.444	3.0789623596587	9.48000921219507	1.387	1.923769
Tadarida_aegyptiaca	1.134	3.0789623596587	9.48000921219507	1.248	1.557504
Taphozous_australis	1.246	3.0789623596587	9.48000921219507	1.38	1.9044
Taphozous_hildegardeae	1.204	3.0789623596587	9.48000921219507	1.438	2.067844
Taphozous_mauritianus	1.255	3.0789623596587	9.48000921219507	1.462	2.137444
Taphozous_melanopogon	1.21	3.0789623596587	9.48000921219507	1.356	1.838736
Tonatia_bidens	1.35	3.0789623596587	9.48000921219507	1.468	2.155024
Lophostoma_schulzi	1.004	3.0789623596587	9.48000921219507	1.328	1.763584
Trachops_cirrhosus	1.453	3.0789623596587	9.48000921219507	1.567	2.455489
Triaenops_persicus	0.823	3.0789623596587	9.48000921219507	1.137	1.292769
Tylonycteris_pachypus	0.36	3.0789623596587	9.48000921219507	0.681	0.463761
Tylonycteris_robustula	0.556	3.0789623596587	9.48000921219507	0.857	0.734449
Uroderma_bilobatum	1.453	3.0789623596587	9.48000921219507	1.21	1.4641
Vampyressa_pusilla	1.173	3.0789623596587	9.48000921219507	0.934	0.872356
Vampyrum_spectrum	1.816	3.0789623596587	9.48000921219507	2.238	5.008644
Alouatta_seniculus	2.708	3.0789623596587	9.48000921219507	3.806	14.485636
Aotus_trivirgatus	2.386	3.0789623596587	9.48000921219507	2.919	8.520561
Ateles_geoffroyi	2.865	3.0789623596587	9.48000921219507	3.903	15.233409
Avahi_laniger	2.382	3.0789623596587	9.48000921219507	3.109	9.665881
Plecturocebus_moloch	2.369	3.0789623596587	9.48000921219507	2.954	8.726116
Callimico_goeldii	2.14	3.0789623596587	9.48000921219507	2.681	7.187761
Callithrix_jacchus	1.954	3.0789623596587	9.48000921219507	2.447	5.987809
Cebuella_pygmaea	1.913	3.0789623596587	9.48000921219507	2.146	4.605316
Cebus_albifrons	2.591	3.0789623596587	9.48000921219507	3.491	12.187081
Cercopithecus_ascanius	2.841	3.0789623596587	9.48000921219507	3.531	12.467961
Cercopithecus_mitis_mitis	2.79	3.0789623596587	9.48000921219507	3.799	14.432401
Cheirogaleus_major	2.173	3.0789623596587	9.48000921219507	2.653	7.038409
Cheirogaleus_medius	1.815	3.0789623596587	9.48000921219507	2.248	5.053504
Daubentonia_madagascariensis	3.019	3.0789623596587	9.48000921219507	3.447	11.881809
Erythrocebus_patas	2.841	3.0789623596587	9.48000921219507	3.892	15.147664
Eulemur_fulvus_fulvus	2.625	3.0789623596587	9.48000921219507	3.146	9.897316
Galago_senegalensis	2.029	3.0789623596587	9.48000921219507	2.27	5.1529
Galagoides_demidoff	1.777	3.0789623596587	9.48000921219507	1.908	3.640464
Gorilla_gorilla	3.436	3.0789623596587	9.48000921219507	5.021	25.210441
Homo_sapiens	3.788	3.0789623596587	9.48000921219507	4.813	23.164969
Hylobates_lar	3.055	3.0789623596587	9.48000921219507	3.756	14.107536
Indri_indri	2.928	3.0789623596587	9.48000921219507	3.796	14.409616
Lagothrix_lagotricha	2.833	3.0789623596587	9.48000921219507	3.716	13.808656
Lepilemur_mustelinus	2.288	3.0789623596587	9.48000921219507	2.961	8.767521
Lophocebus_albigena	2.799	3.0789623596587	9.48000921219507	3.898	15.194404
Loris_tardigradus_tardigradus	1.999	3.0789623596587	9.48000921219507	2.508	6.290064
Macaca_mulatta	2.806	3.0789623596587	9.48000921219507	3.892	15.147664
Microcebus_murinus	1.603	3.0789623596587	9.48000921219507	1.732	2.999824
Miopithecus_talapoin	2.413	3.0789623596587	9.48000921219507	3.079	9.480241
Nasalis_larvatus	2.932	3.0789623596587	9.48000921219507	4.146	17.189316
Nycticebus_coucang	2.326	3.0789623596587	9.48000921219507	2.903	8.427409
Otolemur_crassicaudatus	2.258	3.0789623596587	9.48000921219507	2.929	8.579041
