Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SEP_d1_m8-glob-003.txt
Log File Name:                   SEP_d1_m8-glob-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2051620480
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SEP_d1_m8-glob-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.248843
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.69 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	562.068211	1	-1.638594025936	0.981422705340	-0.018941011951	0.037241559684	0.000074072705	0.999981938856	N\A	0.015794451941	0.001823131956	0.016888808559	29	2	-0.814773160205	Global Trend	
1050000	562.284586	1	-1.655835519417	0.975495584962	-0.018662379287	0.044511936244	0.000064315267	0.998752304079	N\A	0.015707790431	0.001635287051	0.016543659366	40	4	0.062238925455	Global Trend	
1100000	550.955387	1	-1.680111329956	1.031509596259	-0.015467670238	-0.009053717795	0.000063983886	0.998962759033	N\A	0.017567341117	0.002028052105	0.018713939503	41	1	0.075275400367	Global Trend	
1150000	562.812043	1	-1.868236483324	1.135765987310	-0.036439757609	0.010525055819	0.000049457588	0.978109140536	N\A	0.033956395551	0.004427109034	0.017132577906	43	1	0.002793878742	Global Trend	
1200000	557.202201	1	-1.710049490536	1.013053842838	-0.017532398212	0.003817552992	0.000076121775	0.999446560906	N\A	0.015107574328	0.001679043873	0.015997645568	47	1	-0.123672582985	Global Trend	
1250000	560.471849	1	-1.740066589034	1.058474080046	-0.017823168234	-0.028758574289	0.000076161587	0.994016961528	N\A	0.017754114209	0.001989640785	0.017623784025	39	6	0.029877475332	Global Trend	
1300000	572.880107	1	-1.741882479546	1.051206932077	-0.032944172777	0.038626664610	0.000080860935	0.978639307511	N\A	0.035023143430	0.005259128473	0.016263293084	42	3	0.001870920363	Global Trend	
1350000	567.626519	1	-1.569860628830	0.985326525807	-0.021105858960	0.034845975211	0.000045519923	0.999957670050	N\A	0.015925007964	0.001788058364	0.017100213700	37	4	-0.362539733179	Global Trend	
1400000	547.863564	1	-1.746040783642	1.078775105136	-0.037194285382	0.043294448663	0.000080189685	0.975465517711	N\A	0.035754322095	0.004520150492	0.021150523971	34	1	0.005889958170	Global Trend	
1450000	563.795636	1	-1.671591595041	0.986903242596	-0.018216773245	0.031694346527	0.000068665160	0.999879240174	N\A	0.015042557868	0.001628689032	0.015941117496	39	5	0.246467104525	Global Trend	
1500000	560.330296	1	-1.810383088663	1.079264890130	-0.029537313700	0.005027405438	0.000077226863	0.979686631693	N\A	0.040260358840	0.005285549167	0.017235051634	33	3	-0.000701848818	Global Trend	
1550000	559.203248	1	-1.832160505226	1.065483136447	-0.021907044324	-0.012688319262	0.000092917271	0.976414217986	N\A	0.031640752129	0.004400781034	0.018926282346	29	4	-0.007756792042	Global Trend	
1600000	559.095166	1	-1.720452443368	1.002578195234	-0.014496359326	0.011695595493	0.000033290457	0.998263392753	N\A	0.015869449318	0.001750023213	0.016573215140	36	2	-0.028412743669	Global Trend	
1650000	561.762945	1	-1.776952683866	1.108313316729	-0.036776221513	0.025533127902	0.000073021648	0.978298496654	N\A	0.032466061397	0.004064825489	0.017623720030	35	3	0.006151411784	Global Trend	
1700000	562.739892	1	-1.948188429222	1.065243138506	-0.034681252981	0.039617055939	0.000074943850	0.975386418317	N\A	0.036395777742	0.004634601764	0.018790001142	33	5	-0.004823604631	Global Trend	
1750000	562.110404	1	-1.963144232898	1.082174684551	-0.028561684736	0.012930788601	0.000071685815	0.977799943396	N\A	0.032777008352	0.003714107010	0.017903394656	33	4	-0.005190367252	Global Trend	
1800000	565.492077	1	-1.745150739451	1.021247266701	-0.018580655491	-0.001461370785	0.000080994619	0.994892586037	N\A	0.015842882729	0.001807559115	0.015743851797	39	4	0.041640137017	Global Trend	
1850000	563.604715	1	-1.654000970520	1.006014456519	-0.021210506638	0.014431616937	0.000064147293	0.999918340585	N\A	0.014416023552	0.001563621758	0.015233456785	28	5	-0.323849379668	Global Trend	
1900000	571.221211	1	-1.884695047102	1.131301677387	-0.041654147164	0.037315328179	0.000052676234	0.980138974750	N\A	0.037447083603	0.005216795943	0.016466758130	34	5	0.001335752139	Global Trend	
1950000	568.149279	1	-1.789464484942	1.040566629176	-0.026363330570	0.016370647051	0.000081658694	0.975262862150	N\A	0.033533512431	0.004168079403	0.016583787664	38	2	-0.004592494809	Global Trend	
2000000	558.077178	1	-1.765199993782	1.117245023407	-0.041559714984	0.032452341767	0.000067671772	0.975866094513	N\A	0.037715115016	0.004963739270	0.018366663046	29	2	0.003803133172	Global Trend	
