Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MES_d1_m7-glob-004.txt
Log File Name:                   MES_d1_m7-glob-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            858109409
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MES_d1_m7-glob-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.297316
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.66 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	580.972243	1	-0.586794450451	0.708200242682	0.212419530740	-0.027288427064	0.000024826714	0.975996703524	N\A	0.022957901324	0.022084255162	0.002698168696	47	5	0.000508254585	Global Trend	
1050000	582.937680	1	-0.758657061694	0.709555670853	0.186760662702	-0.019854383159	0.000059850530	0.977662745852	N\A	0.024306536947	0.022815773396	0.002625427719	32	3	0.001324406546	Global Trend	
1100000	569.661309	1	-0.468939580046	0.601203214167	0.287898698570	-0.030752217070	0.000090027374	0.975622826386	N\A	0.026103484444	0.023340976455	0.002991182873	35	2	0.004669014910	Global Trend	
1150000	558.306962	1	-0.313821756649	0.688433806820	0.197476055690	-0.020162627756	0.000127476180	0.971114748958	N\A	0.025932214887	0.023419811133	0.003033541999	35	2	-0.010362180522	Global Trend	
1200000	556.756309	1	-0.432290495679	0.657501181134	0.199286825326	-0.017246426361	0.000064564289	0.968473846494	N\A	0.027975013518	0.025664111049	0.003215374472	33	1	-0.001440227971	Global Trend	
1250000	570.248154	1	-0.562517028804	0.730533443230	0.164532700616	-0.018981265852	0.000080617267	0.975703212431	N\A	0.024363010866	0.022129347877	0.002795521488	39	2	-0.000227007594	Global Trend	
1300000	576.854901	1	-0.656319103537	0.741491012647	0.162500443504	-0.020682629400	0.000131257698	0.976385861190	N\A	0.023925121303	0.020705680153	0.002531439118	40	2	0.001902535575	Global Trend	
1350000	580.364325	1	-0.604812029152	0.731700314365	0.171126469860	-0.022492946626	0.000065858677	0.973117219958	N\A	0.027440001787	0.024806219412	0.002606147482	34	3	0.000601949397	Global Trend	
1400000	572.126495	1	-0.560418222858	0.663634816372	0.220735993309	-0.023397572710	0.000106331563	0.975518207852	N\A	0.020044341846	0.018346719408	0.002439009795	43	4	0.002405581138	Global Trend	
1450000	579.048621	1	-0.798879316091	0.696401191527	0.231151064656	-0.029954789733	0.000128360757	0.978201217895	N\A	0.019636284951	0.019271130291	0.002342767383	28	2	0.015777352727	Global Trend	
1500000	577.076813	1	-0.826032353304	0.818917745639	0.130291299637	-0.022221477013	0.000070307445	0.977524448979	N\A	0.023927403253	0.022723210412	0.003160962544	39	6	-0.002046364562	Global Trend	
1550000	569.444399	1	-0.466740119490	0.689805352408	0.210392088699	-0.023817428309	0.000067151316	0.974061399370	N\A	0.023727663248	0.021450696898	0.002755833063	33	1	-0.001334861203	Global Trend	
1600000	563.491788	1	-0.614580585951	0.729595818207	0.196821399830	-0.024167432240	0.000057007424	0.974982439932	N\A	0.025231469840	0.022303215031	0.002933087571	35	1	0.000554875351	Global Trend	
1650000	573.775753	1	-0.724955310960	0.725068702575	0.198321221216	-0.023643291422	0.000106521313	0.974825108019	N\A	0.026917261186	0.023804750876	0.003062630552	27	2	0.007096541885	Global Trend	
1700000	594.952722	1	-0.815660360808	0.746649040310	0.183995555382	-0.024455029156	0.000094965528	0.980027425928	N\A	0.022243475151	0.021310798267	0.002553652318	41	6	0.010171652665	Global Trend	
1750000	585.269682	1	-0.708845945194	0.771251426057	0.116495227069	-0.015043333684	0.000075904358	0.974608092046	N\A	0.024337328903	0.022506694908	0.002721160090	35	4	0.002876667265	Global Trend	
1800000	585.608092	1	-0.564834945643	0.689743053909	0.192712259854	-0.018031390149	0.000050876663	0.975523804884	N\A	0.028185780122	0.025235267785	0.003127946547	30	3	0.001255385155	Global Trend	
1850000	570.925883	1	-0.501088317274	0.664478479897	0.227333454528	-0.021637562818	0.000065665998	0.973173417217	N\A	0.024991198910	0.023067449921	0.002665375701	49	1	0.000821748314	Global Trend	
1900000	571.186323	1	-0.470445981269	0.667006296390	0.240792184844	-0.025173578716	0.000055228345	0.974168076436	N\A	0.023644599230	0.022334730166	0.002643056364	36	3	-0.000748094962	Global Trend	
1950000	567.108609	1	-0.541495415806	0.674784412223	0.228594515707	-0.024857802521	0.000064911300	0.972573611425	N\A	0.024298613488	0.022583331019	0.002857049699	41	0	0.001809401596	Global Trend	
2000000	570.447032	1	-0.624705835072	0.754817577752	0.150495555352	-0.018237364708	0.000078856077	0.975261344940	N\A	0.023939779587	0.021444957047	0.002723373459	43	2	-0.000288746248	Global Trend	
2050000	565.349522	1	-0.573917050947	0.680007177427	0.237039867141	-0.027165125335	0.000099147772	0.975959067418	N\A	0.014914247256	0.015722095716	0.002205998044	40	1	0.003652800744	Global Trend	
2100000	571.705464	1	-0.518275649869	0.646742875501	0.232343360275	-0.022508562900	0.000045169410	0.973168860855	N\A	0.024094507009	0.022297692922	0.002836515325	36	3	0.000948752375	Global Trend	
2150000	566.345957	1	-0.428262006794	0.646315837015	0.217991633962	-0.020204584936	0.000067958189	0.969899713247	N\A	0.025584213235	0.023124160476	0.002737893263	30	2	0.000556081001	Global Trend	
2200000	560.021924	1	-0.433964365644	0.629968865203	0.226679391765	-0.019039072655	0.000082875145	0.971790692766	N\A	0.026204514860	0.023445253003	0.002943599649	42	4	0.002221979129	Global Trend	
2250000	552.159897	1	-0.497317623319	0.648459290027	0.230682167509	-0.023331519283	0.000091186402	0.970181648628	N\A	0.025355598047	0.023706759336	0.003100937155	42	1	0.002807448931	Global Trend	
2300000	574.059962	1	-0.700857517028	0.812007460889	0.124119584807	-0.021984988812	0.000063790771	0.975340865450	N\A	0.026146864524	0.022893742734	0.002953958759	37	3	-0.001249671357	Global Trend	
2350000	567.658487	1	-0.457602341524	0.666530358485	0.228286205504	-0.025432194293	0.000053260404	0.972624879190	N\A	0.025691551082	0.023952391799	0.002618369880	39	1	-0.000159582993	Global Trend	
2400000	561.209889	1	-0.452507851730	0.683556967308	0.194274017142	-0.018511627709	0.000064825765	0.973529029795	N\A	0.025690782911	0.022953009711	0.002936575031	33	2	-0.000872697503	Global Trend	
2450000	575.855328	1	-0.606465839639	0.711199831882	0.187357812982	-0.022649905018	0.000137755916	0.976293846235	N\A	0.022085964080	0.021168989595	0.002870415616	39	1	0.003703167196	Global Trend	
2500000	570.871701	1	-0.725702827615	0.811757490757	0.132607560928	-0.023717879611	0.000057499238	0.975051541682	N\A	0.026171865350	0.023168636858	0.002874490673	41	3	0.001167406927	Global Trend	
2550000	575.888522	1	-0.432946540324	0.717770778817	0.183775663830	-0.018935448973	0.000116602250	0.977925592278	N\A	0.025387615843	0.022979295991	0.002723584193	34	5	-0.006864728761	Global Trend	
2600000	565.635233	1	-0.670122698330	0.733254985880	0.197953228910	-0.025576948933	0.000086054586	0.974547487560	N\A	0.025045269986	0.022920152877	0.003049570519	34	2	0.001672753143	Global Trend	
2650000	574.144982	1	-0.490561236103	0.652903893550	0.242200870641	-0.026700386285	0.000072193381	0.975498033079	N\A	0.024536933776	0.021258452968	0.002844047320	38	4	0.001249336084	Global Trend	
2700000	573.569200	1	-0.808669192662	0.680197463291	0.248631780368	-0.030088939952	0.000181597027	0.978183135714	N\A	0.016016727603	0.016296288741	0.002187176823	38	3	0.018921443542	Global Trend	
2750000	582.604340	1	-0.481341586805	0.702021201831	0.197101869495	-0.022460236729	0.000130056587	0.976575058691	N\A	0.023103387278	0.021817147002	0.002918123057	35	5	-0.004248307644	Global Trend	
2800000	571.797642	1	-0.451665812764	0.723225446500	0.169822659169	-0.018024838313	0.000148287046	0.973868557824	N\A	0.026472993507	0.024218826049	0.002675172966	34	1	-0.005686349828	Global Trend	
2850000	563.791291	1	-0.545616755475	0.686113234339	0.188527938601	-0.015652082370	0.000128740353	0.973303715170	N\A	0.025894151445	0.023503963447	0.003118992001	38	1	0.004160736340	Global Trend	
2900000	578.825555	1	-0.797459249829	0.707787176804	0.191663961214	-0.025089040613	0.000160517642	0.973567492936	N\A	0.024269548864	0.022871897793	0.002701952410	41	3	0.014261843614	Global Trend	
2950000	571.301817	1	-0.622521407747	0.773140851299	0.151180407667	-0.020196476161	0.000081867107	0.977070515962	N\A	0.027623470916	0.023323114414	0.002347396554	41	3	-0.003368062456	Global Trend	
3000000	567.128910	1	-0.546998844041	0.744871454147	0.160047818834	-0.022984050548	0.000106875864	0.974513349587	N\A	0.022693891544	0.022845066971	0.002830230114	39	4	0.009778236616	Global Trend	
3050000	567.732559	1	-0.435120585925	0.687726258065	0.172745674487	-0.016213919780	0.000111488255	0.970084650829	N\A	0.026654201939	0.023908132373	0.002987600308	27	1	-0.000985193785	Global Trend	
3100000	556.622133	1	-0.609037365753	0.738200114956	0.159693032557	-0.019912995330	0.000110968669	0.973131848511	N\A	0.025351908156	0.022491916310	0.002940568419	41	1	0.002324215198	Global Trend	
3150000	581.574115	1	-0.569793923963	0.668526816803	0.236410688503	-0.025525597731	0.000078767083	0.983257272092	N\A	0.025119933958	0.021325953308	0.002503927053	47	5	0.002658552373	Global Trend	
3200000	566.518333	1	-0.470966190889	0.697380757882	0.177724790443	-0.020020404539	0.000100975949	0.971226504538	N\A	0.028004751864	0.024376801071	0.003021088343	39	3	-0.000356678426	Global Trend	
3250000	562.652856	1	-0.509207631111	0.666032227441	0.241721615053	-0.029378916898	0.000134219128	0.972795387201	N\A	0.022440757277	0.020261195285	0.002432470337	48	4	0.002251769261	Global Trend	
3300000	563.245938	1	-0.525587754267	0.717672674516	0.194237074267	-0.024942734400	0.000110876220	0.974055411040	N\A	0.024428488691	0.022387737437	0.002690195917	35	2	-0.003850232392	Global Trend	
3350000	576.211958	1	-0.705966472458	0.753824070318	0.176652443739	-0.021982412367	0.000085495897	0.975723458186	N\A	0.024638131061	0.023135667484	0.002812852004	35	5	0.002289737569	Global Trend	
3400000	571.349414	1	-0.587214256031	0.738857965954	0.167727940340	-0.021396630867	0.000132431617	0.971895781410	N\A	0.027456244853	0.024796150474	0.002822394596	27	3	0.000742714368	Global Trend	
3450000	578.474891	1	-0.497033506349	0.661970438766	0.217290027378	-0.020644422094	0.000054880969	0.974850911780	N\A	0.023140420669	0.021915904515	0.002840378005	36	2	0.002021557430	Global Trend	
3500000	561.990041	1	-0.451080354650	0.675687996108	0.237589234092	-0.029035169966	0.000081747963	0.969663319600	N\A	0.026680952795	0.024608087293	0.003051788770	30	1	-0.002135579293	Global Trend	
3550000	549.606808	1	-0.473509559192	0.648736070842	0.247725188916	-0.025702915051	0.000055188214	0.969740039861	N\A	0.024421770058	0.023673103729	0.002969995613	34	1	0.000882870346	Global Trend	
3600000	574.060690	1	-0.509433317011	0.633850590696	0.261501136284	-0.024898110269	0.000073898295	0.974649286144	N\A	0.024640694211	0.022317867683	0.002596562706	40	3	0.003497194812	Global Trend	
3650000	561.718299	1	-0.501826915513	0.656396614187	0.221162708456	-0.021778556160	0.000062421934	0.972525436482	N\A	0.024816888716	0.022926233867	0.002917374798	31	1	0.002645919818	Global Trend	
3700000	554.090982	1	-0.515948999160	0.697730022239	0.209569042426	-0.022543104186	0.000069247199	0.971137698976	N\A	0.028199236087	0.025191052896	0.003263517567	45	0	-0.001147296798	Global Trend	
