Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MED_d1_m2-bm-004.txt
Log File Name:                   MED_d1_m2-bm-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2882994964
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MED_d1_m2-bm-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	
1550000	374.734299	1	0.903186835781	0.567123637507	0.279631652077	0.205407299739	0.090091721740	-0.017297497762	0.215133702592	0.012715542559	0.061604964991	0.014346841064	0.091416423861	-0.044186332194	0.000283881200	0.912257329210	N\A	0.051585605738	0.220150790361	0.199131840889	0.208729630853	0.202297837315	0.274293866166	0.057398755829	0.055393579693	0.057584154051	0.059841859788	0.054695504610	
1600000	376.743364	1	0.953244589356	0.628015756624	-0.181419145278	-0.204455710400	0.226796490420	0.040337619156	0.170805872645	0.027287505024	0.015994883370	-0.083599260057	-0.060010254697	-0.093093930238	0.000280584584	0.913276254917	N\A	0.051285208066	0.218868789617	0.197972239472	0.207514138772	0.201119799400	0.272696574873	0.057064506528	0.055071007104	0.057248825124	0.059493383597	0.054376997110	
1650000	375.528873	1	1.147870889613	0.525054256451	-0.211938592728	-0.184468149624	0.097205082591	-0.047225702102	-0.171877813026	0.063086572864	0.119261252761	-0.009114766716	0.065325987620	0.031220885658	0.000282572803	0.912661731626	N\A	0.051466590462	0.219642871404	0.198672415615	0.208248062123	0.201831107641	0.273661031488	0.057266328794	0.055265778883	0.057451299277	0.059703796168	0.054569314358	
1700000	374.720452	1	0.855735537027	0.599871737100	0.428963528009	0.272966701850	0.472708749164	0.178409640337	0.106927213990	0.002305529568	0.030989370462	-0.008974175707	-0.013422427097	-0.076750282863	0.000283904055	0.912250264924	N\A	0.051587682311	0.220159652508	0.199139856920	0.208738033242	0.202305980793	0.274304907837	0.057401066409	0.055395809555	0.057586472095	0.059844268715	0.054697706371	
1750000	371.844956	1	0.567999375877	0.638806854834	0.117207440831	0.179891618632	0.611665326156	0.375651521686	0.836000793123	-0.021139587886	-0.020790304616	-0.109413447751	-0.022253873206	-0.163758368590	0.000288690259	0.910770933815	N\A	0.052020711001	0.222007679819	0.200811443380	0.210490187108	0.204004143801	0.276607432189	0.057882892835	0.055860803789	0.058069854822	0.060346603461	0.055156840704	
1800000	378.553349	1	0.929774131709	0.582778899261	0.161728003625	-0.067739973771	0.246072329625	-0.065637942390	0.221689067633	0.016300617149	0.052548945606	-0.017842261928	0.004950345760	-0.054397878943	0.000277647427	0.914184078365	N\A	0.051016075326	0.217720217556	0.196933327604	0.206425153256	0.200064369876	0.271265527223	0.056765045385	0.054782007378	0.056948396721	0.059181176277	0.054091639387	
1850000	375.880609	1	1.300681408061	0.535343874603	-0.275741891784	-0.359300813134	-0.097619905197	-0.293957778347	-0.354594363069	0.069238057122	0.075479593284	0.045329368177	0.061953288380	0.000177111141	0.000281995538	0.912840153999	N\A	0.051413993324	0.219418403720	0.198469379037	0.208035239554	0.201624842985	0.273381359047	0.057207804518	0.055209299101	0.057392585967	0.059642780881	0.054513546340	
1900000	376.108162	1	0.954352962027	0.606916119752	-0.327958273182	-0.275961160071	-0.039018348256	-0.068545897294	0.337332377782	0.015633229647	0.011700818356	-0.059806842171	-0.030200186565	-0.069268739589	0.000281622709	0.912955388713	N\A	0.051379994662	0.219273308352	0.198338136685	0.207897671560	0.201491514011	0.273200579459	0.057169974567	0.055172790707	0.057354633825	0.059603340747	0.054477498028	
1950000	370.381205	1	0.684540340759	0.678726016580	0.374846441597	0.509262597728	0.573449349764	0.197781768214	0.421863703315	-0.095253365746	-0.043848526675	-0.136993166304	-0.003864789475	-0.184161034553	0.000291157550	0.910008337826	N\A	0.052242535491	0.222954355470	0.201667734946	0.211387750359	0.204874049544	0.277786929768	0.058129714590	0.056099003039	0.058317473813	0.060603930866	0.055392038145	
2000000	375.790789	1	1.050617392027	0.547975722917	-0.116242202215	-0.085505879760	-0.005148483069	-0.241815968874	0.044120438600	0.047303036650	0.069500826898	0.049013375821	0.104469888407	-0.014513084507	0.000282142837	0.912794626439	N\A	0.051427419507	0.219475702355	0.198521207071	0.208089565604	0.201677495033	0.273452749498	0.057222743689	0.055223716386	0.057407573392	0.059658355918	0.054527781936	
