Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MES_d1_m2-glob-001.txt
Log File Name:                   MES_d1_m2-glob-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            4099088890
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MES_d1_m2-glob-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.297316
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.66 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	Global Trend	
1500000	451.042885	1	0.793962330910	0.580759012430	-0.057903711079	-0.063807009821	0.651393483397	0.051165331978	0.019618282508	0.057042661834	0.076012844718	-0.148364531807	-0.072212283111	-0.036435985374	0.000292260429	0.952158922376	N\A	0.046951521804	0.098746940846	0.094366397149	0.135890528026	0.119851275658	0.195833866852	0.048893689891	0.048330989779	0.054219425093	0.056406005237	0.052774234226	40	7	-0.002561811787	Global Trend	
1550000	461.570326	1	0.727069088259	0.548539611122	0.162715956830	0.169957159486	0.721117735583	-0.251436665736	-0.423297031993	0.065611521697	0.104017352155	-0.113969991516	0.043433022398	-0.028133915535	0.000228613965	0.995055006449	N\A	0.021329656861	0.091444972705	0.076552464312	0.099944467131	0.101745709478	0.172795027392	0.029033736301	0.023554974158	0.027398288856	0.036248141903	0.033853571496	41	11	-0.095380145366	Global Trend	
1600000	487.477707	1	0.921913421263	0.541220083956	-0.023541109963	-0.053748105428	0.328668424126	-0.041548486705	0.075134784984	0.061647703206	0.106870565748	-0.046140913877	0.011722267271	-0.011591122038	0.000070322529	0.966496980177	N\A	0.025059870891	0.071102321985	0.056093504156	0.090669823937	0.088384674282	0.107182069332	0.031249031743	0.027212546075	0.032289520621	0.036916907907	0.030249397265	35	10	-0.005550727248	Global Trend	
1650000	461.892262	1	0.809484385115	0.574725885074	-0.036947977003	0.023195458547	0.727670117256	-0.208447975710	-0.007125133862	0.065294029603	0.033435932969	-0.133296749807	-0.018494995452	-0.040900860574	0.000093328966	0.962754592467	N\A	0.020090366892	0.070095776257	0.056685996233	0.101894757832	0.071734625517	0.119000630215	0.024661937635	0.023986981163	0.030464921073	0.030040582881	0.028542195408	40	13	0.005087302592	Global Trend	
1700000	447.088364	1	0.698926655192	0.531320282265	-0.072349136681	0.039170894477	0.562108757196	-0.070771117006	-0.143396894384	0.072591395578	0.105544099771	-0.102446844533	0.029182247935	0.022151785024	0.000076103278	0.985422835843	N\A	0.030805284408	0.084750436450	0.066124361061	0.091321579048	0.116416200501	0.166986570153	0.034878959432	0.032786102851	0.037352906062	0.049848174847	0.037538071672	38	8	0.011764569261	Global Trend	
1750000	467.043288	1	0.925189424258	0.575150720764	0.088875100353	0.020354778959	0.891288243063	-0.126791456489	0.289402425754	0.004638932971	0.052226405908	-0.172617343366	-0.034818276005	-0.112009025259	0.000111176867	0.947547531023	N\A	0.042679421928	0.104728515081	0.091438826555	0.107026417324	0.110840131991	0.158124093188	0.045985519373	0.044257386263	0.045718977473	0.049872091102	0.048690937560	42	9	0.000425444341	Global Trend	
1800000	474.240743	1	0.805993069875	0.596548214023	-0.024757701118	-0.038309809796	0.825600968051	0.015770116395	-0.102934976607	0.003080017860	0.038820195893	-0.150197345056	-0.131671184084	-0.033072011215	0.000165504837	0.999102461745	N\A	0.042163229942	0.089505345864	0.076892220290	0.104406081046	0.099842579659	0.185272054664	0.045542516673	0.043766117382	0.045944817372	0.050406742556	0.046806884521	39	10	-0.119481384907	Global Trend	
1850000	464.951627	1	0.927355372423	0.540880003099	-0.205822633731	-0.233815763212	0.503634788863	0.023779565100	0.273711542169	0.077269535693	0.083277612923	-0.146452155912	-0.047622736874	-0.061807429318	0.000138011423	0.961650809058	N\A	0.012967642502	0.086487064393	0.072802812902	0.094779173975	0.098979299486	0.141831622113	0.019725874591	0.016846827250	0.022531432622	0.030627208361	0.023577576385	51	12	-0.000983159885	Global Trend	
1900000	466.577878	1	0.715484882485	0.609691966276	-0.077125584386	-0.012939002211	0.809366071876	-0.233027205544	0.338036525828	0.004088436340	0.027815092325	-0.171644787746	-0.001560753981	-0.128969647876	0.000224758253	0.954764455152	N\A	0.024340068503	0.095766417344	0.073837363987	0.094426286054	0.094393769721	0.172129789965	0.031701823480	0.026572507529	0.028950813798	0.035836202907	0.031611710825	34	14	0.001664810100	Global Trend	
1950000	468.308286	1	0.841365079870	0.519105617415	-0.118761254236	-0.088703445486	0.460062078476	-0.008337920441	0.174749436073	0.114895879697	0.085479679567	-0.078136877125	-0.022552049055	-0.025124966840	0.000056090274	0.975605626859	N\A	0.023446493011	0.078378643509	0.059716771391	0.076569290481	0.104687419537	0.124868168865	0.032368216180	0.026418334379	0.028411166456	0.038613160090	0.031530623350	38	7	-0.006203993365	Global Trend	
