Species_TTOL	DIE	rest_of_brain	BOD	BOD2
Potorous_tridactylus_tridactylus	2.932271	3.99808497676137	3.089905	9.547512909025
Pseudochirulus_canescens	2.253096	3.33597913853393	2.447158	5.988582276964
Pseudochirulus_forbesi	2.426023	3.47922966682932	2.70757	7.3309353049
Sarcophilus_harrisii	3.026533	4.14834965764349	3.732394	13.930764971236
Sminthopsis_crassicaudata	1.475671	2.53750425778387	1.146128	1.313609392384
Sminthopsis_leucopus	1.636488	2.66164229549523	1.361728	1.854303145984
Phalanger_gymnotis	3.023664	4.06032757480693	3.451786	11.914826589796
Thylacinus_cynocephalus	3.60401	4.70915133299125	4.342423	18.856637510929
Thylogale_billardierii	3.262925	4.34805949126278	3.845098	14.784778629604
Thylogale_stigmatica	3.218536	4.25065668458073	3.653213	13.345965223369
Trichosurus_vulpecula	2.912859	4.00237325530746	3.30103	10.8967990609
Vombatus_ursinus	3.621124	4.68410274637518	4.357935	18.991597464225
Wallabia_bicolor	3.471878	4.55349934894676	4.198657	17.628720603649
Balionycteris_maculata	1.613	2.68604357258994	1.158	1.340964
Casinycteris_argynnis	1.857	2.89835140151989	1.428	2.039184
Chironax_melanocephalus	1.681	2.75718362381577	1.248	1.557504
Cynopterus_brachyotis	1.892	2.966833649282	1.53	2.3409
Cynopterus_horsfieldii	2.037	3.11468350641045	1.773	3.143529
Cynopterus_sphinx	1.978	3.05354966776212	1.713	2.934369
Dobsonia_inermis	2.303	3.40766797562694	2.173	4.721929
Dobsonia_moluccensis	2.543	3.63531672034154	2.543	6.466849
Dobsonia_praedatrix	2.38	3.45265177566025	2.25	5.0625
Eidolon_helvum	2.564	3.60406636908379	2.418	5.846724
Eonycteris_spelaea	2.023	3.09326062869164	1.769	3.129361
Epomophorus_labiatus	2.134	3.17341455082117	1.806	3.261636
Epomops_franqueti	2.283	3.3178958890353	2.072	4.293184
Hypsignathus_monstrosus	2.477	3.51177917774895	2.491	6.205081
Macroglossus_minimus	1.668	2.72492739657078	1.164	1.354896
Megaerops_ecaudatus	1.818	2.87855040696948	1.38	1.9044
Megaloglossus_woermanni	1.728	2.80962194180342	1.253	1.570009
Melonycteris_melanops	2.023	3.08827988670424	1.675	2.805625
Melonycteris_woodfordi	1.911	2.98478330621441	1.549	2.399401
Epomophorus_pusillus	1.831	2.8916991691473	1.4	1.96
Myonycteris_torquata	1.997	3.04038415947288	1.561	2.436721
Notopteris_macdonaldi	2.073	3.14143861060649	1.841	3.389281
Nyctimene_albiventer	1.817	2.89166094946112	1.473	2.169729
Nyctimene_robinsoni	1.977	3.06521908417013	1.673	2.798929
Nyctimene_vizcaccia	1.9	2.97019608506253	1.549	2.399401
Paranyctimene_raptor	1.762	2.83904237199348	1.417	2.007889
Pteropus_alecto	2.759	3.82069860124938	2.775	7.700625
Pteropus_conspicillatus	2.836	3.89493121910952	2.875	8.265625
Pteropus_hypomelanus	2.637	3.69716131393364	2.591	6.713281
Pteropus_lylei	2.711	3.75598421253182	2.497	6.235009
Pteropus_neohibernicus	2.857	3.92848620624869	2.924	8.549776
Pteropus_poliocephalus	2.784	3.83016987335255	2.842	8.076964
Pteropus_samoensis	2.671	3.73626675041077	2.491	6.205081
Pteropus_scapulatus	2.64	3.70549571470575	2.574	6.625476
Pteropus_temminckii	2.622	3.66354900940771	2.398	5.750404
Pteropus_tonganus	2.713	3.75825829746648	2.652	7.033104
Pteropus_vampyrus	2.837	3.92972371176801	3.027	9.162729
Rousettus_aegyptiacus	2.284	3.32486399626551	2.111	4.456321
Rousettus_amplexicaudatus	2.093	3.1617898919156	1.856	3.444736
Scotonycteris_zenkeri	1.763	2.8251361190744	1.328	1.763584
Sphaerias_blanfordi	1.833	2.89058047078486	1.47	2.1609
Syconycteris_australis	1.685	2.75449107699007	1.207	1.456849
Anoura_caudifer	1.476	2.5806238378183	1.025	1.050625
Anoura_geoffroyi	1.618	2.74657171798292	1.204	1.449616
Ardops_nichollsi	1.609	2.72119019257957	1.352	1.827904
Artibeus_cinereus	1.513	2.64696591916355	1.1	1.21
Artibeus_concolor	1.649	2.77277474031503	1.288	1.658944
Artibeus_jamaicensis	1.861	2.98333261088124	1.613	2.601769
Artibeus_lituratus	1.933	3.06496819373968	1.748	3.055504
Aselliscus_stoliczkanus	0.991	2.14627742243429	0.69	0.4761
Aselliscus_tricuspidatus	0.991	2.0993562087761	0.643	0.413449
Brachyphylla_cavernarum	1.984	3.05292228999784	1.648	2.715904
Cardioderma_cor	1.737	2.79992584642206	1.415	2.002225
Carollia_perspicillata	1.577	2.71324648190518	1.25	1.5625
Chalinolobus_gouldii	1.23	2.35195774032069	1.068	1.140624
Chalinolobus_morio	1.137	2.24071974568802	0.919	0.844561
Chiroderma_salvini	1.774	2.88624082329356	1.417	2.007889
Chiroderma_trinitatum	1.584	2.70539048497075	1.137	1.292769
Chiroderma_villosum	1.697	2.82351695180044	1.394	1.943236
Choeroniscus_minor	1.474	2.5659450134905	0.982	0.964324
Coleura_afra	1.31	2.38684133903795	1.061	1.125721
Cormura_brevirostris	1.265	2.31547900333038	0.914	0.835396
Craseonycteris_thonglongyai	0.875	1.91186407137902	0.408	0.166464
