Species_TTOL	MES	rest_of_brain	BOD	BOD2
Anourosorex_squamipes	1.274	2.5613393948666	1.86328760196422	3.47184068763358
Atelerix_algirus	2.194	3.45937494595256	1.86328760196422	3.47184068763358
Blarina_brevicauda	1.274	2.56526016953364	1.86328760196422	3.47184068763358
Chrysochloris_asiatica	1.635	2.8124927980164	1.86328760196422	3.47184068763358
Chrysochloris_stuhlmanni	1.62	2.83356529108882	1.86328760196422	3.47184068763358
Crocidura_attenuata	1.176	2.29369840905507	1.86328760196422	3.47184068763358
Crocidura_flavescens	1.427	2.58207746336137	1.86328760196422	3.47184068763358
Crocidura_hildegardeae	1.173	2.30064063157812	1.86328760196422	3.47184068763358
Crocidura_denti	1.253	2.36479451634544	1.86328760196422	3.47184068763358
Crocidura_russula	1.137	2.26471093422473	1.86328760196422	3.47184068763358
Crocidura_suaveolens	1.137	2.25063238800831	1.86328760196422	3.47184068763358
Cryptotis_parvus	1.104	2.36248471949945	1.86328760196422	3.47184068763358
Desmana_moschata	2.34	3.55635615102067	1.86328760196422	3.47184068763358
Echinops_telfairi	1.643	2.74834886210844	1.86328760196422	3.47184068763358
Echinosorex_gymnura	2.557	3.7443098228403	1.86328760196422	3.47184068763358
Erinaceus_europaeus	2.18	3.47896517613914	1.86328760196422	3.47184068763358
Euroscaptor_micrura	1.653	2.88161190363473	1.86328760196422	3.47184068763358
Galemys_pyrenaicus	1.793	3.0873915761491	1.86328760196422	3.47184068763358
Geogale_aurita	1.104	2.08153227068238	1.86328760196422	3.47184068763358
Hemicentetes_semispinosus	1.662	2.87971667978679	1.86328760196422	3.47184068763358
Hemiechinus_auritus	2.037	3.22302557506589	1.86328760196422	3.47184068763358
Hylomys_suillus	1.924	3.04265473490601	1.86328760196422	3.47184068763358
Limnogale_mergulus	1.829	3.01708868959485	1.86328760196422	3.47184068763358
Microgale_dobsoni	1.575	2.70344201843958	1.86328760196422	3.47184068763358
Microgale_talazaci	1.658	2.85130596152045	1.86328760196422	3.47184068763358
Micropotamogale_lamottei	1.768	2.86835860528116	1.86328760196422	3.47184068763358
Micropotamogale_ruwenzorii	1.86	3.0239960099372	1.86328760196422	3.47184068763358
Myosorex_sclateri	1.279	2.52863027572128	1.86328760196422	3.47184068763358
Neomys_anomalus	1.204	2.4253493121911	1.86328760196422	3.47184068763358
Neomys_fodiens	1.283	2.4844525337294	1.86328760196422	3.47184068763358
Oryzorictes_hova	1.425	2.72555444984195	1.86328760196422	3.47184068763358
Parascalops_breweri	1.551	2.9176407015745	1.86328760196422	3.47184068763358
Potamogale_velox	2.415	3.58573403914356	1.86328760196422	3.47184068763358
Ruwenzorisorex_suncoides	1.398	2.54319142403048	1.86328760196422	3.47184068763358
Scalopus_aquaticus	1.761	3.09133564705225	1.86328760196422	3.47184068763358
Scutisorex_somereni	1.563	2.77648055519446	1.86328760196422	3.47184068763358
Setifer_setosus	1.884	3.13780347988815	1.86328760196422	3.47184068763358
Solenodon_paradoxus	2.32	3.63091110993978	1.86328760196422	3.47184068763358
Sorex_alpinus	1.097	2.39429748323639	1.86328760196422	3.47184068763358
Sorex_araneus	1.061	2.30376222600923	1.86328760196422	3.47184068763358
Sorex_cinereus	0.919	2.19894571979351	1.86328760196422	3.47184068763358
Sorex_fumeus	1.045	2.35557876339451	1.86328760196422	3.47184068763358
Sorex_hoyi	0.681	1.95473569737117	1.86328760196422	3.47184068763358
Sorex_minutus	0.806	2.03191366086741	1.86328760196422	3.47184068763358
Suncus_etruscus	0.672	1.76381793243763	1.86328760196422	3.47184068763358
Suncus_murinus	1.391	2.54992986543294	1.86328760196422	3.47184068763358
Sylvisorex_granti	1.057	2.19026550669	1.86328760196422	3.47184068763358
Suncus_megalura	1.152	2.24721153694055	1.86328760196422	3.47184068763358
Talpa_europaea	1.699	2.9763963558453	1.86328760196422	3.47184068763358
Tenrec_ecaudatus	2.125	3.35823796436117	1.86328760196422	3.47184068763358
