Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  DIE_d1_m7-fab-002.txt
Log File Name:                   DIE_d1_m7-fab-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2920569242
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   DIE_d1_m7-fab-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.175894
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.74 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	
1000000	719.902300	1	-0.964318750077	0.915557189329	0.091224488687	-0.009396164651	0.000024723345	0.992241869165	N\A	0.016941877934	0.015425435373	0.002114284654	32	0	
1050000	721.151087	1	-0.965713765897	0.924787161074	0.070030832626	-0.007054555565	0.000029314788	0.991366123425	N\A	0.016524142594	0.014945606808	0.002158456097	36	0	
1100000	730.470277	1	-0.957009574361	0.924290792277	0.061757701049	-0.003530613036	0.000023054593	0.992688496065	N\A	0.016596472754	0.015081072015	0.001967246346	31	0	
1150000	729.727473	1	-0.980400739417	0.927158747964	0.072003519028	-0.005424254379	0.000014704222	0.992757822434	N\A	0.018348110818	0.015869055808	0.002115663630	36	0	
1200000	725.925134	1	-0.949313103864	0.922543204197	0.043605934458	0.002098843870	0.000027366684	0.991382948031	N\A	0.018127276843	0.016696260813	0.002366339660	39	0	
1250000	730.133736	1	-0.973208633161	0.940442170379	0.033024712487	0.000308924779	0.000028303675	0.991387963283	N\A	0.017777496746	0.016378451429	0.002358707678	46	0	
1300000	728.928183	1	-0.997973314954	0.940471231647	0.058410381834	-0.005493217709	0.000030895460	0.992811827630	N\A	0.016094583344	0.015459361133	0.002182038966	39	0	
1350000	739.380342	1	-1.039388171316	0.967116521372	0.036765915429	-0.005119566876	0.000026269608	0.992546020166	N\A	0.017479495215	0.015931924259	0.002256535741	40	0	
1400000	719.538342	1	-1.000930114703	0.930797906137	0.080294079679	-0.007738837506	0.000026379423	0.992145782181	N\A	0.018789192466	0.016775001068	0.002310068948	30	0	
1450000	731.337372	1	-0.993929598206	0.942910877071	0.047975130033	-0.003685277932	0.000027260481	0.992356034892	N\A	0.016682978332	0.015354844706	0.002226634043	33	0	
1500000	730.462318	1	-0.961977933901	0.909045297447	0.104707092171	-0.012537516156	0.000029916166	0.992470114729	N\A	0.014025670832	0.013569114419	0.001957708857	34	1	
1550000	727.852742	1	-1.010450700561	0.941166864627	0.069759252048	-0.008074189136	0.000028411083	0.991602340989	N\A	0.017728563982	0.016097396125	0.002258123327	31	1	
