Species_TTOL	SCH	rest_of_brain	BOD
Natalus_tumidirostris	0.934	3.0789623596587	0.839
Noctilio_albiventris	1.114	3.0789623596587	1.515
Noctilio_leporinus	1.444	3.0789623596587	1.763
Nyctalus_noctula	1.021	3.0789623596587	1.431
Nycteris_arge	0.942	3.0789623596587	1.025
Nycteris_grandis	1.236	3.0789623596587	1.474
Nycteris_hispida	0.906	3.0789623596587	0.892
Nycteris_javanica	1.013	3.0789623596587	1.265
Nycteris_macrotis	1.017	3.0789623596587	1.161
Nycteris_thebaica	0.925	3.0789623596587	0.949
Nyctophilus_geoffroyi	0.754	3.0789623596587	0.857
Otomops_martiensseni	1.316	3.0789623596587	1.618
Peropteryx_macrotis	0.789	3.0789623596587	0.748
Phylloderma_stenops	1.708	3.0789623596587	1.664
Phyllostomus_discolor	1.593	3.0789623596587	1.563
Phyllostomus_elongatus	1.401	3.0789623596587	1.652
Phyllostomus_hastatus	1.685	3.0789623596587	1.963
Pipistrellus_javanicus	0.56	3.0789623596587	0.653
Pipistrellus_tenuis	0.476	3.0789623596587	0.591
Afronycteris_nana	0.462	3.0789623596587	0.591
Hypsugo_pulveratus	0.688	3.0789623596587	0.724
Perimyotis_subflavus	0.658	3.0789623596587	0.724
Pteronotus_gymnonotus	0.949	3.0789623596587	1.134
Pteronotus_parnellii_mesoamericanus	1.134	3.0789623596587	1.305
Pteronotus_personatus	0.783	3.0789623596587	0.908
Rhinolophus_cornutus	0.802	3.0789623596587	0.82
Rhinolophus_eloquens	1.134	3.0789623596587	1.281
Rhinolophus_hipposideros	0.739	3.0789623596587	0.663
Rhinolophus_landeri	0.904	3.0789623596587	0.987
Rhinolophus_lepidus	0.775	3.0789623596587	0.778
Rhinolophus_luctus	1.332	3.0789623596587	1.516
Rhinolophus_macrotis	0.87	3.0789623596587	0.799
Rhinolophus_malayanus	0.772	3.0789623596587	0.806
Rhinolophus_megaphyllus	0.943	3.0789623596587	0.991
Rhinolophus_pearsonii	1.064	3.0789623596587	1.143
Rhinolophus_pusillus	0.719	3.0789623596587	0.672
Rhinolophus_trifoliatus	1.033	3.0789623596587	1.164
Rhinolophus_yunnanensis	1.21	3.0789623596587	1.371
Rhinonicteris_aurantia	0.864	3.0789623596587	0.934
Rhinophylla_pumilio	1.104	3.0789623596587	0.949
Rhinopoma_hardwickii	0.986	3.0789623596587	1.111
Rhinopoma_microphyllum	1.143	3.0789623596587	1.468
Rhogeessa_parvula	0.537	3.0789623596587	0.653
Rhynchonycteris_naso	0.479	3.0789623596587	0.58
Saccopteryx_bilineata	0.952	3.0789623596587	0.924
Saccopteryx_canescens	0.611	3.0789623596587	0.531
Saccopteryx_leptura	0.692	3.0789623596587	0.708
Scotomanes_ornatus	1.124	3.0789623596587	1.338
Scotophilus_dinganii	1.1	3.0789623596587	1.386
Scotophilus_kuhlii	0.989	3.0789623596587	1.31
Sphaeronycteris_toxophyllum	1.312	3.0789623596587	1.265
Sturnira_lilium	1.365	3.0789623596587	1.305
Sturnira_ludovici	1.386	3.0789623596587	1.413
Sturnira_tildae	1.444	3.0789623596587	1.387
Tadarida_aegyptiaca	1.134	3.0789623596587	1.248
Taphozous_australis	1.246	3.0789623596587	1.38
Taphozous_hildegardeae	1.204	3.0789623596587	1.438
Taphozous_mauritianus	1.255	3.0789623596587	1.462
Taphozous_melanopogon	1.21	3.0789623596587	1.356
Tonatia_bidens	1.35	3.0789623596587	1.468
Lophostoma_schulzi	1.004	3.0789623596587	1.328
Trachops_cirrhosus	1.453	3.0789623596587	1.567
Triaenops_persicus	0.823	3.0789623596587	1.137
Tylonycteris_pachypus	0.36	3.0789623596587	0.681
Tylonycteris_robustula	0.556	3.0789623596587	0.857
Uroderma_bilobatum	1.453	3.0789623596587	1.21
Vampyressa_pusilla	1.173	3.0789623596587	0.934
Vampyrum_spectrum	1.816	3.0789623596587	2.238
Alouatta_seniculus	2.708	3.0789623596587	3.806
Aotus_trivirgatus	2.386	3.0789623596587	2.919
Ateles_geoffroyi	2.865	3.0789623596587	3.903
Avahi_laniger	2.382	3.0789623596587	3.109
Plecturocebus_moloch	2.369	3.0789623596587	2.954
Callimico_goeldii	2.14	3.0789623596587	2.681
Callithrix_jacchus	1.954	3.0789623596587	2.447
Cebuella_pygmaea	1.913	3.0789623596587	2.146
Cebus_albifrons	2.591	3.0789623596587	3.491
Cercopithecus_ascanius	2.841	3.0789623596587	3.531
Cercopithecus_mitis_mitis	2.79	3.0789623596587	3.799
Cheirogaleus_major	2.173	3.0789623596587	2.653
Cheirogaleus_medius	1.815	3.0789623596587	2.248
Daubentonia_madagascariensis	3.019	3.0789623596587	3.447
Erythrocebus_patas	2.841	3.0789623596587	3.892
Eulemur_fulvus_fulvus	2.625	3.0789623596587	3.146
Galago_senegalensis	2.029	3.0789623596587	2.27
Galagoides_demidoff	1.777	3.0789623596587	1.908
Gorilla_gorilla	3.436	3.0789623596587	5.021
Homo_sapiens	3.788	3.0789623596587	4.813
Hylobates_lar	3.055	3.0789623596587	3.756
Indri_indri	2.928	3.0789623596587	3.796
Lagothrix_lagotricha	2.833	3.0789623596587	3.716
Lepilemur_mustelinus	2.288	3.0789623596587	2.961
Lophocebus_albigena	2.799	3.0789623596587	3.898
Loris_tardigradus_tardigradus	1.999	3.0789623596587	2.508
Macaca_mulatta	2.806	3.0789623596587	3.892
Microcebus_murinus	1.603	3.0789623596587	1.732
Miopithecus_talapoin	2.413	3.0789623596587	3.079
Nasalis_larvatus	2.932	3.0789623596587	4.146
Nycticebus_coucang	2.326	3.0789623596587	2.903
Otolemur_crassicaudatus	2.258	3.0789623596587	2.929
Pan_troglodytes	3.305	3.0789623596587	4.663
Papio_cynocephalus	3.117	3.0789623596587	4.398
Perodicticus_potto	2.516	3.0789623596587	3.061
Pithecia_monachus	2.461	3.0789623596587	3.176
Piliocolobus_badius	2.911	3.0789623596587	3.845
Propithecus_verreauxi	2.646	3.0789623596587	3.542
Pygathrix_nemaeus	2.859	3.0789623596587	3.875
Saguinus_midas	2.079	3.0789623596587	2.531
Saguinus_oedipus	2.029	3.0789623596587	2.58
Saimiri_sciureus_sciureus	2.225	3.0789623596587	2.82
Tarsius_tarsier	1.839	3.0789623596587	2.097
Varecia_variegata	2.784	3.0789623596587	3.477
