Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  PAL_d1_m9-glob-003.txt
Log File Name:                   PAL_d1_m9-glob-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2887061203
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   PAL_d1_m9-glob-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.207006
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.72 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	Global Trend	
2000000	435.475155	1	-0.880402876718	0.974236233574	-0.008686720199	0.058003827989	-0.017215640344	0.000210434019	0.967857138945	N\A	0.042197064902	0.005793159665	0.039093244737	0.006311015393	35	11	0.019321166555	Global Trend	
2050000	469.511991	1	-0.687851979882	0.972345741127	-0.004214750738	0.043200700465	-0.014549055763	0.000144245042	0.999753436345	N\A	0.030656880568	0.003980476718	0.032963728087	0.005387570132	34	13	-0.305969673957	Global Trend	
2100000	432.397811	1	-0.932380978792	1.047354640765	-0.014985745556	0.063748250654	-0.016024755194	0.000426847059	0.947871064198	N\A	0.068664342564	0.009277017705	0.044081246541	0.007050920657	35	9	0.017106911073	Global Trend	
2150000	421.830984	1	-0.981837378391	1.022473848769	-0.008568090434	0.064374576408	-0.022788604549	0.000182013198	0.952394926764	N\A	0.099698456373	0.012409283886	0.048286836878	0.007543114775	35	6	0.001147867116	Global Trend	
2200000	441.180186	1	-1.319129114649	0.916023426075	-0.003537058720	0.107427880683	-0.019869470171	0.000186306706	0.999968903820	N\A	0.032503891605	0.004230287800	0.035002615451	0.005514810647	32	10	0.735864557551	Global Trend	
2250000	439.212998	1	-1.384677331418	1.292692147419	-0.047294376442	-0.072749720319	0.005659126472	0.000191911057	0.952745130647	N\A	0.095544406171	0.013686435333	0.043685078264	0.007564720765	36	11	0.000789376683	Global Trend	
2300000	433.719523	1	-1.097474627829	1.152287801550	-0.033716157050	0.030546973714	-0.008080941010	0.000126929643	0.981369808230	N\A	0.060049329411	0.011236802192	0.036406157516	0.007933928650	43	8	0.001354633895	Global Trend	
2350000	445.046482	1	-0.879008284438	0.994303405823	-0.003042366797	0.035890635911	-0.019419295586	0.000265148415	0.989815293170	N\A	0.033266623965	0.004664712812	0.034377511316	0.005735666213	37	9	0.059141750954	Global Trend	
2400000	452.751345	1	-0.831902178053	0.972795280585	-0.016894479049	0.050921775137	-0.004542517989	0.000159714366	0.994796694654	N\A	0.031828563531	0.004504144157	0.033760499815	0.005492558750	41	12	0.035084851867	Global Trend	
2450000	449.240748	1	-0.802794069048	0.911662065720	-0.001211532785	0.120776092727	-0.029431173179	0.000213330148	0.999282036549	N\A	0.030919763298	0.004578732964	0.033663610698	0.006050682188	45	10	0.166008799885	Global Trend	
2500000	435.929530	1	-0.790115675062	0.919175441911	-0.001701793455	0.109113782085	-0.026483059350	0.000222122623	0.999995565520	N\A	0.037497888676	0.005070216229	0.040661833961	0.006195402964	30	13	-2.832637854997	Global Trend	
2550000	425.707805	1	-1.001027502455	0.909917457905	-0.003000569971	0.110966695893	-0.022264093780	0.000222945493	0.999147208239	N\A	0.031819780586	0.004459723213	0.034515872198	0.005375504619	41	10	-0.184804808489	Global Trend	
2600000	450.550330	1	-1.646032286451	1.342965473171	-0.054861352618	-0.102518051507	0.013400888483	0.000246024545	0.956438988802	N\A	0.100982228534	0.015186727053	0.045146011135	0.008840835627	46	14	0.001853539958	Global Trend	
2650000	459.241160	1	-1.617941608674	1.304481263753	-0.068402881513	-0.010519008676	0.010844839743	0.000199521836	0.965279854653	N\A	0.094445414508	0.014850726979	0.038696605687	0.007798099371	36	14	-0.000711851772	Global Trend	
2700000	454.004600	1	-1.798732618185	1.206752144164	-0.046400505580	-0.002274979719	0.003816362949	0.000207483490	0.950099968597	N\A	0.102960519503	0.014416048533	0.047447821434	0.008304244581	34	14	0.003102013872	Global Trend	
2750000	455.287598	1	-1.036957154803	0.930437619204	-0.003053820304	0.098849885722	-0.017587385093	0.000389278953	0.996351831360	N\A	0.033417588427	0.004552935572	0.035948411646	0.006115663538	35	13	0.159153843396	Global Trend	
2800000	445.922718	1	-0.934841973172	0.904789351883	-0.012532253367	0.115563456223	-0.008982204203	0.000293657015	0.999956734813	N\A	0.029968591627	0.004054934745	0.032791955776	0.005553879584	33	15	-1.292382797207	Global Trend	
2850000	438.483008	1	-0.784967904423	0.889604386260	-0.005859477042	0.143987714493	-0.024616658771	0.000289671078	0.999619739292	N\A	0.035539652666	0.004745671148	0.038747439420	0.006137672180	36	9	0.301386145662	Global Trend	
2900000	453.662132	1	-0.847853645927	0.964696390834	-0.019378643971	0.122510349566	-0.017083705147	0.000232676121	0.959123668874	N\A	0.055390008625	0.007686923910	0.037340906299	0.006105618959	41	13	0.010976240035	Global Trend	
2950000	435.505904	1	-0.997379113848	1.184797241536	-0.052890658316	0.039957951186	0.003228177594	0.000127342819	0.953029761893	N\A	0.069583718606	0.008183334866	0.040163011471	0.006214153499	35	10	0.003491660440	Global Trend	
3000000	446.428466	1	-0.814999923590	0.959839635561	-0.007497772368	0.063983798777	-0.016090114624	0.000075103865	0.999996645269	N\A	0.031696007723	0.004554716279	0.034478987994	0.005442562367	42	9	0.822739435248	Global Trend	
3050000	461.737949	1	-0.680019731981	0.900537311502	-0.003381658831	0.135988898882	-0.026313532057	0.000108707491	0.997133627863	N\A	0.028765957853	0.003852230437	0.030665595519	0.005243823689	47	15	0.044588119592	Global Trend	
3100000	449.646390	1	-0.728240264456	0.929885535189	0.005530561106	0.081789295205	-0.023028747137	0.000230472189	0.998443808466	N\A	0.034008290813	0.004431692192	0.036514262399	0.005797638051	44	10	-0.150771356479	Global Trend	
3150000	440.024561	1	-0.963550865462	0.983998919878	-0.001173781820	0.034693471367	-0.016264081851	0.000250324379	0.976795785210	N\A	0.039026650605	0.005006557547	0.036727775516	0.005810145648	30	13	-0.037532181205	Global Trend	
3200000	435.985999	1	-1.375351605303	1.290914028378	-0.057766368897	0.041248693468	-0.005841345752	0.000283300542	0.949851091151	N\A	0.106023882424	0.015055051463	0.047473002955	0.008032706132	36	9	0.000256816856	Global Trend	
3250000	448.565273	1	-1.436029435328	1.324547534245	-0.050680188659	-0.044932137465	-0.000038965399	0.000205482310	0.956097478310	N\A	0.078530714293	0.010021800233	0.042060233216	0.006863303319	32	13	-0.000230780218	Global Trend	
3300000	456.905490	1	-0.729733440026	0.998553032598	0.003833896423	0.020542734559	-0.021774240581	0.000202837793	0.999939090337	N\A	0.031468584938	0.004619542190	0.034245261189	0.005715696817	35	13	0.619003327682	Global Trend	
