Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  CEREB_d1_m8-VR-001.txt
Log File Name:                   CEREB_d1_m8-VR-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            120799098
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   CEREB_d1_m8-VR-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Branch	No RJ Local Node	
2400000	572.889891	1	-1.073442265557	1.106839573670	-0.015952071842	0.028765244239	0.000086850956	0.987690170671	N\A	0.034405479963	0.004454016278	0.014971711443	44	29	
2450000	561.066642	1	-0.694558738294	0.895698479285	0.001069748119	0.080289288700	0.000082261651	0.987551301366	N\A	0.041358700225	0.004418105092	0.015212626913	45	26	
2500000	558.833915	1	-0.845839714678	0.994041115061	-0.004366401427	0.036640057071	0.000054918230	0.984023833286	N\A	0.041284135077	0.004358609553	0.016909888688	54	34	
2550000	568.881333	1	-1.043027595480	1.097387638675	-0.010776330884	0.003268769673	0.000072680727	0.990633525100	N\A	0.038052118861	0.003129657542	0.013183065136	41	31	
2600000	552.108007	1	-1.008824946551	1.053810368252	-0.006022396630	0.021102925584	0.000064765450	0.983778518855	N\A	0.036947268664	0.004723320468	0.015059116041	49	24	
2650000	568.640791	1	-0.892664738599	1.013571402856	-0.001875090401	0.014321414513	0.000111773977	0.987248886449	N\A	0.039598885865	0.004573353554	0.015885303212	41	27	
2700000	567.762044	1	-1.094369631382	1.122695030674	-0.017350199293	0.019127013922	0.000083634542	0.987843073028	N\A	0.032085248935	0.004059809973	0.014179873305	55	31	
2750000	548.669582	1	-0.909071930052	0.998916111966	-0.005932611514	0.052029420017	0.000067156472	0.981900085239	N\A	0.044161312320	0.005143568635	0.017330668543	48	19	
2800000	562.689415	1	-0.964167273216	1.039156747855	-0.009399692167	0.041505561499	0.000087723452	0.984700716430	N\A	0.042311501226	0.004871865511	0.017366449059	41	18	
2850000	543.897206	1	-1.205188040510	1.185243620520	-0.021353474439	-0.005264802387	0.000098926507	0.979598384071	N\A	0.042266964866	0.004939801534	0.017518630920	35	22	
2900000	578.011780	1	-0.984197470874	1.057806683433	-0.008266377863	0.016645231537	0.000089396643	0.986062260034	N\A	0.038463701624	0.004251541503	0.015771511353	43	30	
2950000	557.172953	1	-0.842080319966	0.982314408851	-0.010419079626	0.071300061306	0.000072040398	0.982890785469	N\A	0.043282650988	0.004973384726	0.017591396684	36	20	
3000000	561.970898	1	-0.873806045401	0.998382029201	-0.010561183969	0.067782646146	0.000088922878	0.983095922263	N\A	0.040867452935	0.004577702880	0.017380225554	48	19	
3050000	555.659420	1	-0.973996080647	1.059082577829	-0.012464904422	0.034171466044	0.000081708456	0.982507912071	N\A	0.040992376926	0.004532740065	0.016294949001	57	21	
3100000	571.666834	1	-1.121523023423	1.129567435932	-0.016363932564	0.006250624219	0.000042865377	0.983852289965	N\A	0.041474269395	0.005204076914	0.017033008974	45	29	
3150000	563.293762	1	-1.098229727353	1.119575522150	-0.011952492509	-0.003926995753	0.000084066633	0.985281989655	N\A	0.042145023378	0.005049752848	0.016285588750	45	19	
3200000	566.368026	1	-1.014484672374	1.068474654456	-0.005677836241	0.001599751689	0.000068124088	0.987623132733	N\A	0.040797170424	0.004501661176	0.016127139589	42	26	
3250000	560.384541	1	-0.926385120265	1.010038315780	-0.005599777657	0.050330938115	0.000084234426	0.987252549634	N\A	0.043789977237	0.004644631435	0.015848961917	52	24	
3300000	570.455523	1	-1.049838309267	1.100341732832	-0.016636519308	0.030300818226	0.000057161503	0.982679356800	N\A	0.040153477697	0.004385071525	0.016152491282	50	22	
3350000	545.353727	1	-0.829692230212	0.965645334565	-0.004911996816	0.063611216362	0.000091379663	0.979825641970	N\A	0.042421587068	0.005365261956	0.018521278009	41	31	
3400000	558.130487	1	-0.899973671822	1.011020957353	-0.008820879017	0.052280413757	0.000088132081	0.982592329264	N\A	0.040504508796	0.004824275064	0.017171914886	42	29	
3450000	570.204179	1	-0.729351827702	0.931479013275	-0.004548344960	0.072877822812	0.000058675364	0.983294236891	N\A	0.039941105534	0.004816435984	0.016861917892	43	25	
3500000	560.499273	1	-1.001406033122	1.057885148135	-0.006177583172	0.011498294121	0.000094138474	0.983218314178	N\A	0.039292127179	0.004421012977	0.016338814753	44	24	
3550000	560.395072	1	-0.961243613104	1.042754451663	-0.003785707620	0.004744375851	0.000085130234	0.985234950586	N\A	0.038457682838	0.004642316359	0.016311830782	40	21	
3600000	554.384969	1	-0.946645253409	1.030065995784	-0.006612686704	0.025566870579	0.000089812992	0.985132473256	N\A	0.039469387985	0.004671644389	0.016731805104	48	36	
3650000	561.434751	1	-0.918844527648	1.050123752280	-0.010761406430	0.014980994479	0.000076421608	0.983833348396	N\A	0.040399186360	0.004542322779	0.016126368020	46	25	
3700000	566.644762	1	-0.911399127198	1.028946648938	-0.006609379481	0.027536011895	0.000095060408	0.987769449460	N\A	0.037582562046	0.004237217654	0.014978593530	43	36	
3750000	566.302478	1	-0.924558039386	1.035624755240	-0.014488674323	0.057511764419	0.000104711595	0.982948687963	N\A	0.042091671709	0.004757659611	0.016604819946	40	25	
3800000	554.038894	1	-0.977889804664	1.055844682548	-0.017338202791	0.063083207079	0.000080593558	0.986895266478	N\A	0.041886985696	0.004364303441	0.015957299155	41	24	
3850000	567.036059	1	-1.088913150741	1.114027329670	-0.017920516096	0.033980209887	0.000081228741	0.986243700510	N\A	0.039469406029	0.004649100756	0.015894671767	41	18	
3900000	559.172763	1	-1.072158576776	1.109093407608	-0.015019530146	0.011809590624	0.000099291325	0.986833039701	N\A	0.040307847365	0.003249402267	0.014517271633	41	15	
3950000	573.462257	1	-0.946063205253	1.049755843159	-0.006118078855	0.007345178666	0.000075080365	0.986254339852	N\A	0.041202388122	0.004415582295	0.015740985751	53	20	
4000000	557.548539	1	-0.942060905114	1.042314284813	-0.009997634256	0.035049732840	0.000074311875	0.992613388900	N\A	0.038739926740	0.004130734166	0.015873866656	41	28	
4050000	558.067537	1	-0.937011681263	1.020978204406	-0.002943310576	0.029200781157	0.000086693606	0.982157195650	N\A	0.042879150004	0.004937644121	0.013275295770	46	36	
4100000	570.535315	1	-1.183296448773	1.173946924810	-0.021106216941	-0.004598677847	0.000091540588	0.983575467399	N\A	0.038923910071	0.004987324340	0.017024155174	53	24	
4150000	571.971762	1	-1.090195027640	1.117356245113	-0.015132531524	0.012746592816	0.000090299893	0.985053008931	N\A	0.036846545604	0.004303716596	0.015993862012	39	22	
4200000	556.631427	1	-1.083121610003	1.132354028739	-0.021433701459	0.027355523368	0.000057619735	0.981920651158	N\A	0.040372391773	0.005312577765	0.017017285139	48	23	
4250000	572.391476	1	-0.940361893974	1.041160660202	-0.004315119995	0.002151305444	0.000077544077	0.981073204990	N\A	0.042391447953	0.004654124424	0.017504869345	35	14	
4300000	563.029134	1	-1.079996453819	1.122250285754	-0.019488106024	0.023436786109	0.000083004618	0.984446461961	N\A	0.041269771515	0.004442768671	0.016379674101	38	19	
4350000	556.085577	1	-1.136421570921	1.145731640215	-0.016370399130	-0.002278612013	0.000082962277	0.983202540255	N\A	0.042143238299	0.005281074583	0.016231309503	37	24	
4400000	571.970973	1	-0.978601580203	1.050404556018	-0.006432822160	0.015108137198	0.000069393575	0.985295377531	N\A	0.041609724230	0.004994575828	0.017100283679	49	22	
4450000	564.211274	1	-0.978226951712	1.049726524077	-0.014194105947	0.057608955598	0.000082824303	0.984684036251	N\A	0.039442418943	0.004520133563	0.016671171981	37	20	
4500000	565.911747	1	-1.002039559259	1.058675445417	-0.011067774429	0.031540398442	0.000077424785	0.988833546746	N\A	0.023749668125	0.003602596602	0.012409261158	48	20	
4550000	571.837734	1	-0.863863730228	0.982483806415	-0.001803029555	0.042929834264	0.000085619471	0.985814189911	N\A	0.036640602312	0.004148712530	0.015640938911	36	23	
4600000	549.614268	1	-1.163601065820	1.164208056646	-0.021665726581	0.011492598709	0.000075126174	0.980631738975	N\A	0.043632671422	0.005215166636	0.018496525960	49	21	
4650000	565.901410	1	-0.962117574652	1.046044600782	-0.010233986294	0.038177923573	0.000081587861	0.987584656787	N\A	0.038241455861	0.004154616038	0.014827198802	51	24	
4700000	575.510876	1	-0.829590273549	0.978356559811	-0.003553817548	0.044207818796	0.000082557498	0.985237827170	N\A	0.033210606330	0.004101761940	0.015016853988	39	36	
4750000	547.565681	1	-0.885974729556	0.996349089346	-0.006016696961	0.047326328959	0.000118352547	0.982134013462	N\A	0.043256921777	0.005193783724	0.018379081587	47	24	
4800000	559.795088	1	-0.987135085904	1.054257572478	-0.012843424185	0.046906806037	0.000197870927	0.985941354029	N\A	0.038207007165	0.004293514562	0.015937652849	44	24	
4850000	556.795538	1	-0.992108050617	1.070964609968	-0.015780664364	0.040719297714	0.000099557077	0.984368679187	N\A	0.041319559807	0.005067697768	0.018993507994	45	28	
4900000	560.558930	1	-0.921692076776	1.035448681812	-0.009615305899	0.030450640008	0.000074638376	0.980870684639	N\A	0.043002006761	0.004704747487	0.017717293682	53	22	
4950000	559.286687	1	-0.945779136892	1.035294425364	-0.014623768530	0.067012408367	0.000084342311	0.984756585346	N\A	0.036863214647	0.004410842652	0.015873235368	50	29	
5000000	562.514862	1	-1.145806876211	1.147808297131	-0.020253394950	0.011914230260	0.000067398801	0.982260905301	N\A	0.042029776988	0.004803739694	0.017530885089	41	23	
5050000	569.251163	1	-0.930405661481	1.025300900727	-0.002105314267	0.011300843264	0.000078019652	0.986285802762	N\A	0.039164344733	0.004305942184	0.012898613123	30	32	
5100000	562.087361	1	-1.094852501687	1.122436335899	-0.016245760955	0.011113895027	0.000083963872	0.984946121756	N\A	0.041296487835	0.004882824607	0.016742454867	41	26	
5150000	558.973630	1	-0.820341833555	0.945175403824	0.007197244607	0.023881591842	0.000089534556	0.986508184255	N\A	0.042884629777	0.004763040274	0.016982660229	46	27	
5200000	562.751395	1	-1.024960066994	1.096522792492	-0.011687011662	0.000473068537	0.000084529664	0.983793867332	N\A	0.040294527559	0.004451824992	0.016165531124	45	17	
5250000	578.553968	1	-1.025715369397	1.053675025352	-0.009639656701	0.039953325429	0.000066365316	0.994381538765	N\A	0.015621317629	0.003571939328	0.012781037827	52	32	
5300000	573.667675	1	-0.969474240962	1.052528013122	-0.010613719981	0.031173061533	0.000091617802	0.985668922733	N\A	0.040749048126	0.004590239160	0.015999754680	41	25	
5350000	555.762891	1	-1.103750231580	1.133247593221	-0.018467797396	0.012743004426	0.000083447843	0.985103894257	N\A	0.035977480854	0.004347561502	0.014556075450	47	20	
5400000	567.365010	1	-0.875388654014	0.994860008885	-0.004400551066	0.042468894373	0.000079164748	0.984713109175	N\A	0.043331485252	0.004566896115	0.017116018762	47	20	
5450000	568.446131	1	-1.020554541217	1.074895279319	-0.007983167943	0.006756031039	0.000080055969	0.986023309698	N\A	0.039452417076	0.004243895559	0.016331831892	41	20	
5500000	568.111115	1	-1.032245738811	1.077358043695	-0.012985725716	0.029553465729	0.000081098228	0.985997117739	N\A	0.035522369954	0.004054018727	0.015077382405	44	25	
5550000	560.121714	1	-1.003515827874	1.067301405843	-0.010524044511	0.026881945350	0.000075766262	0.983528704614	N\A	0.040464874673	0.004425922559	0.016131134450	43	17	
5600000	579.879158	1	-0.972148240889	1.038528510115	-0.009060105280	0.041185374075	0.000083867438	0.989885229324	N\A	0.033103903716	0.003846579124	0.015051328112	25	22	
5650000	574.770550	1	-0.960896718891	1.047188711497	-0.006879385601	0.013475486970	0.000100025000	0.984743944720	N\A	0.043057773650	0.004843434267	0.017745438237	49	32	
5700000	567.919032	1	-1.157426633770	1.165887705434	-0.021357557438	-0.001432693912	0.000076798070	0.983381906779	N\A	0.040546797462	0.004861064136	0.017447955244	48	21	
5750000	553.481322	1	-0.977478508833	1.054613019749	-0.008998061360	0.028167476031	0.000082148313	0.983250442104	N\A	0.040282379649	0.004645948505	0.016439280028	42	32	
5800000	557.946107	1	-0.993586277468	1.068779046087	-0.014965401474	0.039531459066	0.000103122446	0.992610406828	N\A	0.021501903788	0.004827413564	0.013914609352	31	26	
5850000	560.546067	1	-0.969963929710	1.055332827432	-0.017095192561	0.057862577873	0.000084572856	0.980654264095	N\A	0.039061333574	0.004555794789	0.017151749125	42	26	
5900000	572.669117	1	-1.103415798500	1.139211537119	-0.023518855554	0.028692612996	0.000065542349	0.985718354395	N\A	0.038733383366	0.004601163270	0.016266412638	43	24	
5950000	569.894787	1	-0.973601585260	1.035455075102	-0.009638906478	0.048723434573	0.000098579009	0.990211408279	N\A	0.032694974093	0.003682975720	0.013907630535	56	26	
6000000	562.761944	1	-0.799799941369	0.955980253940	-0.004178733900	0.060762270852	0.000088551143	0.985999257764	N\A	0.033513580143	0.003982656464	0.014711901065	40	23	
6050000	554.622511	1	-0.924603357562	1.043275776337	-0.013833533719	0.049498468489	0.000071600231	0.984007532438	N\A	0.040863662219	0.004596886990	0.017079845880	40	27	
6100000	568.544843	1	-0.908950939418	1.030637800030	-0.008285059672	0.029817186424	0.000088758394	0.985459333401	N\A	0.041010549231	0.004320932212	0.016393218447	40	23	
6150000	567.505438	1	-1.092561235908	1.118081322281	-0.009187310336	-0.021547674192	0.000076243817	0.986137044148	N\A	0.040664096833	0.004717664243	0.016512206652	54	22	
6200000	566.441773	1	-1.027856395158	1.084361047750	-0.007798779947	-0.003893746882	0.000085678738	0.983458910235	N\A	0.038480646974	0.004317069184	0.016251605148	52	23	
6250000	562.730218	1	-1.033335830013	1.085332780180	-0.012415085644	0.014473653321	0.000080414182	0.989668824455	N\A	0.038326703223	0.004269336358	0.014831793702	49	27	
6300000	570.219749	1	-0.956433571540	1.038807719434	-0.010823780502	0.047800052966	0.000080274290	0.984532868699	N\A	0.041299166294	0.004387069139	0.016763958603	47	26	
6350000	573.417365	1	-1.072146135872	1.099895387320	-0.016983425079	0.032869447585	0.000080470121	0.988403332186	N\A	0.037494590588	0.004038527236	0.015130133246	55	23	
6400000	563.196876	1	-1.010005385664	1.079264506825	-0.008686716464	0.001114170805	0.000077388787	0.983933721553	N\A	0.038711052730	0.004495608440	0.016802266985	49	23	
6450000	569.517784	1	-0.992386062526	1.060530421260	-0.009297946702	0.023601284260	0.000085108376	0.992541425807	N\A	0.036295553672	0.004134278072	0.014414815162	42	25	
6500000	572.630722	1	-1.035528807413	1.093726598114	-0.017841108268	0.048061417225	0.000069069940	0.985450267629	N\A	0.039626643433	0.004411058163	0.016354263329	44	22	
6550000	562.049334	1	-0.961342527767	1.043093908675	-0.008054935344	0.023547457443	0.000064898571	0.983168855959	N\A	0.042005365882	0.004374556924	0.016982289756	36	23	
6600000	562.686750	1	-1.099729115761	1.123221885593	-0.019512180464	0.024499226255	0.000022448709	0.981277054694	N\A	0.043590246799	0.004720339462	0.017991396385	53	27	
6650000	567.047942	1	-0.958947653532	1.038812714632	-0.008378977761	0.029135837597	0.000015007567	0.980847045176	N\A	0.041939548589	0.004831584900	0.016899126989	50	17	
