Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  AMY_d1_m8-glob-001.txt
Log File Name:                   AMY_d1_m8-glob-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            4080964823
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   AMY_d1_m8-glob-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.287140
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.67 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	508.786341	1	-1.530498302275	1.161708081172	-0.055498143721	0.044523277162	0.000109762332	0.962123783774	N\A	0.047456686678	0.006187798582	0.021321087503	35	4	0.001947749304	Global Trend	
1050000	508.457735	1	-1.559064356266	1.181943342798	-0.050136714372	-0.002870242119	0.000099123739	0.960395354602	N\A	0.044702513898	0.005900185522	0.020638365772	31	4	0.001643795489	Global Trend	
1100000	513.543127	1	-1.402314738567	1.092687071054	-0.044442229347	0.034166289089	0.000136766889	0.961627852386	N\A	0.048287720229	0.005883078458	0.021487632858	41	7	0.001131027567	Global Trend	
1150000	496.937804	1	-1.610979573538	1.095904544874	-0.049040734970	0.032286264937	0.000128232605	0.968799119843	N\A	0.027145650409	0.004405854565	0.014166493472	41	2	-0.015561047580	Global Trend	
1200000	530.177146	1	-1.710061282839	1.183840951787	-0.053987800790	0.013782871598	0.000102544177	0.967411909591	N\A	0.038399756543	0.004394583960	0.017928992045	41	5	-0.004499563112	Global Trend	
1250000	496.998491	1	-1.438230512334	1.068492183434	-0.043313246556	0.028956151336	0.000156824698	0.962973954539	N\A	0.038243409297	0.004986443553	0.020873132170	37	3	-0.007708436333	Global Trend	
1300000	503.079169	1	-1.263908341362	0.930935435125	-0.029897196631	0.076540058195	0.000103446052	0.968174789405	N\A	0.029915597940	0.003479128847	0.022673927596	37	4	0.011154158992	Global Trend	
1350000	517.722884	1	-1.674546398902	1.225819267403	-0.068082648847	0.050515894166	0.000105412088	0.961961893284	N\A	0.045182278937	0.005913933122	0.020455898562	40	4	-0.000374776259	Global Trend	
1400000	506.414500	1	-1.532047666721	1.122412369802	-0.052997800226	0.057969968868	0.000111582061	0.960490934102	N\A	0.048181087650	0.005361008384	0.020589413271	32	5	-0.000949442840	Global Trend	
1450000	516.318732	1	-1.549200918654	1.160263242475	-0.054456217948	0.021659828542	0.000083106945	0.969212785229	N\A	0.044781201834	0.005029889987	0.018498835865	36	8	-0.000456679025	Global Trend	
1500000	503.191878	1	-1.390924171437	1.063435069909	-0.040301086666	0.033774233412	0.000100750412	0.963609328320	N\A	0.046605484878	0.006047990100	0.021179947912	35	5	0.001514033586	Global Trend	
1550000	509.776570	1	-1.537763442860	1.140468449093	-0.063198089269	0.083224639474	0.000105393108	0.959153288191	N\A	0.050744525844	0.006623824038	0.023528101454	33	3	-0.001238354668	Global Trend	
1600000	509.453653	1	-1.461471297256	1.110749051670	-0.043273637660	0.006711973937	0.000108089291	0.965531195524	N\A	0.048070079201	0.005325693354	0.017798340762	30	4	0.000086508019	Global Trend	
1650000	520.015538	1	-1.526433135641	1.143425978448	-0.059276526501	0.050060570775	0.000078293535	0.971842605778	N\A	0.047945412470	0.006242775586	0.021631778622	38	7	-0.001519811884	Global Trend	
1700000	506.281777	1	-1.475654100885	1.090729396553	-0.052154907232	0.063742966847	0.000112610191	0.962372877307	N\A	0.045683978067	0.006117669658	0.022578477314	38	5	-0.002924708914	Global Trend	
1750000	503.748477	1	-1.639771453411	1.200931075278	-0.065502702750	0.047720912391	0.000101539405	0.958951711606	N\A	0.048067013187	0.006193244898	0.021519022151	34	4	-0.001212765147	Global Trend	
1800000	506.854613	1	-1.170901894627	0.951404758788	-0.036777074959	0.091433755270	0.000065901278	0.989688359484	N\A	0.016544771907	0.002320540119	0.015338452420	30	4	0.019778026595	Global Trend	
1850000	513.942165	1	-1.241598150064	0.942689176898	-0.034504035370	0.090127727118	0.000124788125	0.998983143977	N\A	0.015531502243	0.002021445062	0.016522111515	30	4	0.173333701654	Global Trend	
1900000	510.040041	1	-1.575536516289	1.175555443130	-0.054036523887	0.015339573259	0.000162245045	0.962497166151	N\A	0.047269151608	0.005737479928	0.020111884627	35	5	-0.000466202932	Global Trend	
1950000	504.847415	1	-1.508308294032	1.143272240422	-0.053374700871	0.029948299196	0.000131390081	0.964933919273	N\A	0.051134447781	0.006430210872	0.020735022762	31	4	0.000055933404	Global Trend	
2000000	503.896234	1	-1.350983590820	1.037621991883	-0.043506891252	0.064194040847	0.000107634103	0.958269835616	N\A	0.052940503214	0.006814257520	0.022276940287	30	3	-0.000143115267	Global Trend	
2050000	514.558079	1	-1.414725921331	1.098225034334	-0.046773179324	0.042741060703	0.000110270740	0.975464221069	N\A	0.042580162310	0.004938627401	0.016394985488	32	6	0.003180040375	Global Trend	
2100000	507.484213	1	-1.530092630126	1.157240774472	-0.058646183571	0.040235076395	0.000111355348	0.968314747316	N\A	0.045655826272	0.005594875726	0.019314061399	26	4	-0.000384296038	Global Trend	
