Species_TTOL	MOB	rest_of_brain	BOD	BOD2
Petrogale_inornata	2.529943	4.23497248958282	3.628389	13.165206735321
Petrogale_lateralis	2.651472	4.16786355239828	3.556303	12.647291027809
Petrogale_penicillata	2.576802	4.31879823891567	3.690196	13.617546518416
Petrogale_purpureicollis	2.58995	4.24652097310723	3.740363	13.990315371769
Petropseudes_dahli	2.096215	3.69722055952986	3.127105	9.778785681025
Phascolarctos_cinereus	2.569374	4.22355030391757	3.968483	15.748857321289
Planigale_ingrami	0.869818	1.97840863192174	0.826075	0.682399905625
Planigale_maculata	1.152288	2.30272041723985	1.041393	1.084499380449
Potorous_tridactylus_tridactylus	2.835564	3.99808497676137	3.089905	9.547512909025
Pseudochirulus_canescens	1.980003	3.33597913853393	2.447158	5.988582276964
Pseudochirulus_forbesi	1.914872	3.47922966682932	2.70757	7.3309353049
Sarcophilus_harrisii	3.03623	4.14834965764349	3.732394	13.930764971236
Sminthopsis_crassicaudata	1.409933	2.53750425778387	1.146128	1.313609392384
Sminthopsis_leucopus	1.419956	2.66164229549523	1.361728	1.854303145984
Phalanger_gymnotis	2.5867	4.06032757480693	3.451786	11.914826589796
Thylacinus_cynocephalus	3.254548	4.70915133299125	4.342423	18.856637510929
Thylogale_billardierii	2.674953	4.34805949126278	3.845098	14.784778629604
Thylogale_stigmatica	2.645422	4.25065668458073	3.653213	13.345965223369
Trichosurus_vulpecula	2.488127	4.00237325530746	3.30103	10.8967990609
Vombatus_ursinus	3.028571	4.68410274637518	4.357935	18.991597464225
Wallabia_bicolor	2.91339	4.55349934894676	4.198657	17.628720603649
Balionycteris_maculata	1.494	2.68604357258994	1.158	1.340964
Casinycteris_argynnis	1.456	2.89835140151989	1.428	2.039184
Chironax_melanocephalus	1.554	2.75718362381577	1.248	1.557504
Cynopterus_brachyotis	1.775	2.966833649282	1.53	2.3409
Cynopterus_horsfieldii	1.82	3.11468350641045	1.773	3.143529
Cynopterus_sphinx	1.846	3.05354966776212	1.713	2.934369
Dobsonia_inermis	2.163	3.40766797562694	2.173	4.721929
Dobsonia_moluccensis	2.405	3.63531672034154	2.543	6.466849
