Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  AMY_d1_m3-glob-004.txt
Log File Name:                   AMY_d1_m3-glob-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2048693461
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   AMY_d1_m3-glob-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.287140
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.67 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
2400000	386.459171	1	0.325519044381	0.684267159798	-0.027398995234	0.000430094294	0.926241393063	N\A	0.022423732717	0.005184519388	38	11	0.000785228244	Global Trend	
2450000	417.890896	1	0.406432428273	0.705844012825	-0.032204209179	0.000183507244	0.935061239884	N\A	0.021861752332	0.004574292792	28	12	-0.000837458714	Global Trend	
2500000	399.640097	1	0.417459027155	0.692656402088	-0.032708049986	0.000153982249	0.937254778409	N\A	0.019903225260	0.004692816735	44	6	-0.000821407094	Global Trend	
2550000	397.287206	1	0.315474308787	0.755122244796	-0.043251482900	0.000188032844	0.936498341570	N\A	0.019699078754	0.004359692840	46	7	-0.000394185908	Global Trend	
2600000	417.701976	1	0.251578302641	0.762033438753	-0.046358501554	0.000260726878	0.931434439443	N\A	0.021246851234	0.004472126428	29	13	0.001039603980	Global Trend	
2650000	406.803819	1	0.396080273475	0.722659165303	-0.041213599408	0.000248921725	0.938392616958	N\A	0.022195297271	0.004824483205	44	8	-0.001372639192	Global Trend	
2700000	401.719399	1	0.379542509335	0.714791645104	-0.038358533216	0.000310117005	0.922934202421	N\A	0.020312441082	0.004466191163	36	9	-0.000209685625	Global Trend	
2750000	404.049931	1	0.318907776100	0.733088377158	-0.041876779581	0.000276743736	0.931540381368	N\A	0.021120783320	0.004987077240	41	8	0.000269900777	Global Trend	
2800000	428.813939	1	0.373826323054	0.717386109486	-0.040357799104	0.000170150722	0.934606624129	N\A	0.020027240844	0.004319194838	44	12	-0.001966048699	Global Trend	
2850000	388.592981	1	0.531483027702	0.718756659996	-0.039034531127	0.000187857439	0.922118090587	N\A	0.022577648109	0.004671753274	38	6	-0.003368896876	Global Trend	
2900000	412.994986	1	0.353252800634	0.743666415906	-0.041876280093	0.000165927523	0.925557123869	N\A	0.021881177210	0.004524485842	33	6	-0.000531900472	Global Trend	
2950000	411.385574	1	0.328074914308	0.744430496428	-0.045350035160	0.000225040943	0.930219965623	N\A	0.021083174892	0.004525311284	42	12	0.000240144279	Global Trend	
3000000	395.469524	1	0.384185036002	0.760813478383	-0.047563671634	0.000132063260	0.926411831070	N\A	0.021958701287	0.004895247700	42	8	-0.000266902123	Global Trend	
3050000	420.427202	1	0.297900312144	0.742968795595	-0.041066761410	0.000221064889	0.941587864637	N\A	0.018928195376	0.004518397102	42	12	0.000315042233	Global Trend	
3100000	393.024681	1	0.527453551106	0.677483570302	-0.030609053068	0.000261961066	0.931488142726	N\A	0.022083584264	0.004985077800	40	11	-0.001785222281	Global Trend	
3150000	416.498799	1	0.440411131559	0.730430349322	-0.043662230007	0.000215005079	0.929350240579	N\A	0.019883097300	0.004252857328	37	10	-0.001888890053	Global Trend	
3200000	400.173399	1	0.401031819442	0.719882739331	-0.035918884701	0.000227107099	0.928414279037	N\A	0.020478302021	0.004732369262	39	9	-0.001500651459	Global Trend	
3250000	414.457087	1	0.291529760923	0.721766321924	-0.037930908966	0.000161032149	0.932358132687	N\A	0.020830743333	0.004467560620	47	11	0.000691777568	Global Trend	
3300000	410.936753	1	0.392834872897	0.732777221370	-0.040843867327	0.000308989541	0.928254268617	N\A	0.020634275707	0.004696529242	33	11	-0.001566004740	Global Trend	
3350000	411.387898	1	0.467465404449	0.716023310405	-0.039640885754	0.000181000360	0.928070142647	N\A	0.020524147929	0.004172902370	37	10	-0.001552775240	Global Trend	
3400000	395.115047	1	0.417357885848	0.683250048070	-0.034899084004	0.000219711241	0.919936189474	N\A	0.022067159201	0.004821371341	43	8	-0.000021768310	Global Trend	
3450000	402.561030	1	0.370956941725	0.710749094042	-0.039387638788	0.000178462065	0.924291278800	N\A	0.021839576420	0.004652289219	33	9	-0.000752020129	Global Trend	
3500000	391.959279	1	0.333221491987	0.750824188097	-0.051679434425	0.000210949198	0.919101618640	N\A	0.021693543512	0.004755652047	34	9	0.000348923566	Global Trend	
3550000	406.532357	1	0.505441021251	0.713388311509	-0.036845165771	0.000256006148	0.935616743893	N\A	0.021161025067	0.004646052777	38	9	-0.002786758983	Global Trend	
3600000	421.785842	1	0.351311677230	0.760536448126	-0.046552557314	0.000177576199	0.930640531721	N\A	0.021640950825	0.004436043700	34	11	-0.001020951401	Global Trend	
3650000	397.384469	1	0.372190084944	0.721930555437	-0.040104370723	0.000207932110	0.919315891170	N\A	0.021340710614	0.004507841006	44	7	-0.000721882378	Global Trend	
3700000	403.308746	1	0.262285159753	0.711499533874	-0.034118300039	0.000151849140	0.926794894862	N\A	0.022949172879	0.005049990490	42	8	0.001545198973	Global Trend	
3750000	399.121440	1	0.153453643715	0.774489283679	-0.045188335397	0.000168203621	0.926396837454	N\A	0.020124355231	0.004433193047	33	8	-0.000621051778	Global Trend	
3800000	403.562299	1	0.352209344790	0.727042601925	-0.036796142338	0.000150206787	0.925698983781	N\A	0.021760419944	0.004827416972	37	10	-0.000340475082	Global Trend	
3850000	414.733211	1	0.408113766572	0.751433603723	-0.043569780456	0.000188444456	0.941008499445	N\A	0.020082458205	0.004709743536	34	9	-0.001438734940	Global Trend	
3900000	397.441104	1	0.550313173757	0.736089216314	-0.041215856831	0.000269323352	0.918111119240	N\A	0.021385016422	0.004634619178	34	10	-0.004602694816	Global Trend	
3950000	405.183372	1	0.516279539414	0.714170320151	-0.032559136034	0.000186166815	0.932392004621	N\A	0.021223400027	0.004389063138	36	8	-0.003213312697	Global Trend	
4000000	391.497863	1	0.379411570371	0.718394561032	-0.036879175138	0.000286993756	0.917688729460	N\A	0.021654283911	0.004817319839	29	7	-0.000474716476	Global Trend	
4050000	398.407393	1	0.332252451322	0.709243365174	-0.037766690669	0.000206564356	0.928974918770	N\A	0.021449249297	0.005122922366	41	9	0.000458773369	Global Trend	
4100000	406.435477	1	0.245197103149	0.755072346209	-0.043535478253	0.000222508964	0.923674754701	N\A	0.022177487200	0.005128655785	34	11	0.000698189078	Global Trend	
4150000	416.325688	1	0.319982940571	0.761668167965	-0.046814327125	0.000263563932	0.927552754771	N\A	0.021813354513	0.004930938595	31	8	-0.000357754737	Global Trend	
4200000	421.278042	1	0.526943167365	0.728544280664	-0.039851455233	0.000193006882	0.964648921368	N\A	0.016623824292	0.002794443842	34	10	-0.003716284503	Global Trend	
4250000	409.464282	1	0.277632574660	0.729975633568	-0.041834503770	0.000162700782	0.931166647939	N\A	0.021569000160	0.004563554161	34	12	0.000846660672	Global Trend	
4300000	390.578047	1	0.451526167476	0.736552407014	-0.040364230519	0.000246191981	0.916991106776	N\A	0.024285859389	0.005343166946	35	8	-0.001994638406	Global Trend	
4350000	416.115501	1	0.372847725953	0.730061845347	-0.041055669397	0.000144591738	0.939504814994	N\A	0.020398931037	0.004626471074	42	12	-0.000365472257	Global Trend	
4400000	410.478998	1	0.262988501160	0.754038446512	-0.051979426533	0.000181593097	0.924319317041	N\A	0.021603148946	0.004795095090	42	11	0.001145766688	Global Trend	
