Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  AMY_d1_m9-glob-003.txt
Log File Name:                   AMY_d1_m9-glob-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            769433658
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   AMY_d1_m9-glob-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.287140
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.67 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	Global Trend	
2000000	503.539978	1	-1.503293314259	1.098513799223	-0.040157697798	0.041994257891	-0.005894309364	0.000119276127	0.960647347855	N\A	0.108707897542	0.014684783642	0.045154827677	0.007732971667	39	7	0.000081585223	Global Trend	
2050000	520.502170	1	-1.244520888149	0.936639665499	-0.023146369381	0.103254884708	-0.016774736007	0.000107176651	0.999975655948	N\A	0.025951772320	0.003684065895	0.028136254574	0.004536338532	38	9	0.723437116720	Global Trend	
2100000	507.833071	1	-1.681321077693	1.275400246259	-0.070276896070	-0.003618257022	0.005657482632	0.000084885923	0.962686928910	N\A	0.096910862843	0.013167537085	0.042574868105	0.007162591630	35	5	0.000209076569	Global Trend	
2150000	500.071620	1	-1.559792934351	1.184743568761	-0.062349328741	-0.009951648925	0.013723248505	0.000120663028	0.960726241122	N\A	0.092626954052	0.010878611701	0.042794404320	0.006161716547	32	5	-0.000931999217	Global Trend	
2200000	518.253173	1	-1.184112047885	0.926465630429	-0.025680250401	0.118751344473	-0.016548205614	0.000117107312	0.991619243244	N\A	0.028912765884	0.004122625692	0.030320382792	0.004730751796	37	4	0.046661062981	Global Trend	
2250000	506.737224	1	-1.527087049942	1.177714364352	-0.057840355633	-0.007042275420	0.008859981131	0.000129449212	0.960827540258	N\A	0.090660413192	0.012991053096	0.038847861252	0.006923826172	29	4	0.000507296791	Global Trend	
2300000	519.620685	1	-1.343308779633	1.014427078816	-0.035802179259	0.045668450339	-0.002054700956	0.000102944652	0.978580706858	N\A	0.031494146466	0.004692207599	0.024579843288	0.004261567534	40	6	-0.013369786067	Global Trend	
2350000	491.794997	1	-2.072099127007	1.501778420857	-0.101565386553	-0.083083896161	0.022222917622	0.000121783568	0.966860114842	N\A	0.079488856358	0.011423577635	0.036133805093	0.006900904089	36	3	-0.000773775768	Global Trend	
2400000	514.672855	1	-1.739440713640	1.302076915549	-0.085271944909	0.009292484058	0.016846910054	0.000359034238	0.968177509129	N\A	0.089671293646	0.012666608086	0.039002742059	0.007412497419	43	3	-0.001763213961	Global Trend	
2450000	512.522028	1	-1.804539009811	1.290282596753	-0.070548701931	-0.026619897149	0.009401487565	0.000111431692	0.965120679356	N\A	0.097905681768	0.013181687606	0.041546972794	0.007123043755	32	4	-0.001556460029	Global Trend	
2500000	512.646291	1	-1.563144968306	1.207255715996	-0.067836148055	0.011987621291	0.008461862004	0.000099007828	0.964757076905	N\A	0.093416298501	0.012876606215	0.040474459682	0.007094093720	36	3	0.000219903251	Global Trend	
2550000	505.506128	1	-1.485258419067	1.145560609943	-0.056334808779	0.025173548037	0.003172167945	0.000107105524	0.958423761093	N\A	0.093172203998	0.013548827707	0.039258242487	0.007211774391	29	3	0.000391519917	Global Trend	
2600000	504.064846	1	-1.442638536505	1.115561614727	-0.047074679719	-0.017411289984	0.008860045127	0.000113876462	0.960973871042	N\A	0.104309159663	0.015153160746	0.045271294651	0.008638556521	27	5	-0.000777611848	Global Trend	
2650000	514.251789	1	-1.810341279509	1.263634584220	-0.070225295185	-0.014955165257	0.011453956289	0.000103733625	0.966333298695	N\A	0.072683711787	0.009623646170	0.036534837328	0.006360703425	34	4	-0.003936978499	Global Trend	
2700000	511.208365	1	-1.371569726917	0.994432879643	-0.039126215592	0.099411771557	-0.008557552192	0.000085372163	0.969023756168	N\A	0.046510744563	0.006351804000	0.034747032258	0.005851239094	32	8	-0.010120798318	Global Trend	
2750000	495.695075	1	-1.568937600387	1.162118030508	-0.063042617488	0.038474777815	0.008046284942	0.000242536652	0.958228814205	N\A	0.095034477203	0.013419125024	0.042895210716	0.007973377378	35	3	-0.001797744279	Global Trend	
