Species_TTOL	MES	rest_of_brain	rest_of_brain2	BOD
Brachyphylla_cavernarum	1.834	3.0789623596587	9.48000921219507	1.648
Cardioderma_cor	1.823	3.0789623596587	9.48000921219507	1.415
Carollia_perspicillata	1.561	3.0789623596587	9.48000921219507	1.25
Chalinolobus_gouldii	1.373	3.0789623596587	9.48000921219507	1.068
Chalinolobus_morio	1.286	3.0789623596587	9.48000921219507	0.919
Chiroderma_salvini	1.741	3.0789623596587	9.48000921219507	1.417
Chiroderma_trinitatum	1.549	3.0789623596587	9.48000921219507	1.137
Chiroderma_villosum	1.713	3.0789623596587	9.48000921219507	1.394
Choeroniscus_minor	1.382	3.0789623596587	9.48000921219507	0.982
Coleura_afra	1.42	3.0789623596587	9.48000921219507	1.061
Cormura_brevirostris	1.436	3.0789623596587	9.48000921219507	0.914
Craseonycteris_thonglongyai	1.025	3.0789623596587	9.48000921219507	0.408
Desmodus_rotundus	1.766	3.0789623596587	9.48000921219507	1.56
Diphylla_ecaudata	1.724	3.0789623596587	9.48000921219507	1.49
Emballonura_monticola	1.301	3.0789623596587	9.48000921219507	0.724
Emballonura_raffrayana	1.33	3.0789623596587	9.48000921219507	0.771
Eptesicus_brasiliensis	1.336	3.0789623596587	9.48000921219507	0.964
Eptesicus_fuscus_bahamensis	1.354	3.0789623596587	9.48000921219507	1.134
Eumops_auripendulus	1.779	3.0789623596587	9.48000921219507	1.529
Eumops_glaucinus	1.809	3.0789623596587	9.48000921219507	1.562
Furipterus_horrens	1.104	3.0789623596587	9.48000921219507	0.535
Glischropus_tylopus	1.049	3.0789623596587	9.48000921219507	0.69
Glossophaga_longirostris	1.444	3.0789623596587	9.48000921219507	1.053
Glossophaga_soricina	1.412	3.0789623596587	9.48000921219507	0.996
Harpiocephalus_harpia	1.481	3.0789623596587	9.48000921219507	1.13
Hesperoptenus_blanfordi	1.281	3.0789623596587	9.48000921219507	0.863
Hipposideros_armiger	1.89	3.0789623596587	9.48000921219507	1.748
Hipposideros_ater	1.369	3.0789623596587	9.48000921219507	0.839
Hipposideros_caffer	1.477	3.0789623596587	9.48000921219507	1.041
Macronycteris_commersoni	1.769	3.0789623596587	9.48000921219507	1.997
Hipposideros_diadema	1.84	3.0789623596587	9.48000921219507	1.622
Hipposideros_fulvus	1.401	3.0789623596587	9.48000921219507	0.845
Hipposideros_lankadiva	1.799	3.0789623596587	9.48000921219507	1.686
Hipposideros_larvatus	1.61	3.0789623596587	9.48000921219507	1.312
Hipposideros_ridleyi	1.453	3.0789623596587	9.48000921219507	0.982
Hipposideros_speoris	1.458	3.0789623596587	9.48000921219507	1.061
Hipposideros_turpis	1.758	3.0789623596587	9.48000921219507	1.542
Ia_io	1.848	3.0789623596587	9.48000921219507	1.727
Kerivoula_papillosa	1.36	3.0789623596587	9.48000921219507	1.004
Lasiurus_borealis	1.272	3.0789623596587	9.48000921219507	0.892
Leptonycteris_curasoae	1.547	3.0789623596587	9.48000921219507	1.389
Leptonycteris_nivalis	1.555	3.0789623596587	9.48000921219507	1.358
Lonchophylla_mordax	1.494	3.0789623596587	9.48000921219507	1.029
Hsunycteris_thomasi	1.332	3.0789623596587	9.48000921219507	0.839
Lophostoma_silvicolum	1.792	3.0789623596587	9.48000921219507	1.509
Macroderma_gigas	2.16	3.0789623596587	9.48000921219507	2.078
Macrophyllum_macrophyllum	1.456	3.0789623596587	9.48000921219507	0.934
Megaderma_lyra	1.906	3.0789623596587	9.48000921219507	1.587
Megaderma_spasma	1.792	3.0789623596587	9.48000921219507	1.354
Mesophylla_macconnelli	1.386	3.0789623596587	9.48000921219507	0.875
Micronycteris_brachyotis	1.456	3.0789623596587	9.48000921219507	1.167
Micronycteris_megalotis	1.369	3.0789623596587	9.48000921219507	0.813
Micronycteris_minuta	1.316	3.0789623596587	9.48000921219507	0.839
Micronycteris_schmidtorum	1.364	3.0789623596587	9.48000921219507	0.892
Gardnerycteris_crenulatum	1.48	3.0789623596587	9.48000921219507	1.072
Miniopterus_australis	1.255	3.0789623596587	9.48000921219507	0.851
Miniopterus_inflatus	1.438	3.0789623596587	9.48000921219507	1.173
Miniopterus_magnater	1.43	3.0789623596587	9.48000921219507	1.176
Miniopterus_pusillus	1.26	3.0789623596587	9.48000921219507	0.934
Miniopterus_tristis	1.477	3.0789623596587	9.48000921219507	1.193
Molossus_molossus	1.516	3.0789623596587	9.48000921219507	1.137
Molossus_rufus	1.731	3.0789623596587	9.48000921219507	1.526
Monophyllus_plethodon	1.455	3.0789623596587	9.48000921219507	1.176
Mormoops_megalophylla	1.489	3.0789623596587	9.48000921219507	1.196
Murina_cyclotis	1.326	3.0789623596587	9.48000921219507	0.851
Murina_huttoni	1.31	3.0789623596587	9.48000921219507	0.944
Myotis_adversus	1.417	3.0789623596587	9.48000921219507	1.049
Myotis_albescens	1.111	3.0789623596587	9.48000921219507	0.602
Myotis_annectans	1.31	3.0789623596587	9.48000921219507	0.991
Myotis_bechsteinii	1.358	3.0789623596587	9.48000921219507	0.978
Myotis_bocagii	1.303	3.0789623596587	9.48000921219507	0.845
Myotis_dasycneme	1.513	3.0789623596587	9.48000921219507	1.176
Myotis_myotis	1.669	3.0789623596587	9.48000921219507	1.408
Myotis_nigricans	1.173	3.0789623596587	9.48000921219507	0.663
Myotis_siligorensis	1.045	3.0789623596587	9.48000921219507	0.539
Natalus_tumidirostris	1.283	3.0789623596587	9.48000921219507	0.839
Noctilio_albiventris	1.69	3.0789623596587	9.48000921219507	1.515
Noctilio_leporinus	1.953	3.0789623596587	9.48000921219507	1.763
Nyctalus_noctula	1.576	3.0789623596587	9.48000921219507	1.431
Nycteris_arge	1.574	3.0789623596587	9.48000921219507	1.025
Nycteris_grandis	1.862	3.0789623596587	9.48000921219507	1.474
Nycteris_hispida	1.479	3.0789623596587	9.48000921219507	0.892
Nycteris_javanica	1.733	3.0789623596587	9.48000921219507	1.265
Nycteris_macrotis	1.585	3.0789623596587	9.48000921219507	1.161
Nycteris_thebaica	1.516	3.0789623596587	9.48000921219507	0.949
Nyctophilus_geoffroyi	1.19	3.0789623596587	9.48000921219507	0.857
Otomops_martiensseni	1.777	3.0789623596587	9.48000921219507	1.618
Peropteryx_macrotis	1.286	3.0789623596587	9.48000921219507	0.748
Phylloderma_stenops	1.852	3.0789623596587	9.48000921219507	1.664
Phyllostomus_discolor	1.802	3.0789623596587	9.48000921219507	1.563
Phyllostomus_elongatus	1.806	3.0789623596587	9.48000921219507	1.652
Phyllostomus_hastatus	1.981	3.0789623596587	9.48000921219507	1.963
Pipistrellus_javanicus	1.121	3.0789623596587	9.48000921219507	0.653
Pipistrellus_tenuis	1.017	3.0789623596587	9.48000921219507	0.591
Afronycteris_nana	1.009	3.0789623596587	9.48000921219507	0.591
Hypsugo_pulveratus	1.188	3.0789623596587	9.48000921219507	0.724
Perimyotis_subflavus	1.117	3.0789623596587	9.48000921219507	0.724
Pteronotus_gymnonotus	1.41	3.0789623596587	9.48000921219507	1.134
Pteronotus_parnellii_mesoamericanus	1.612	3.0789623596587	9.48000921219507	1.305
Pteronotus_personatus	1.276	3.0789623596587	9.48000921219507	0.908
Rhinolophus_cornutus	1.255	3.0789623596587	9.48000921219507	0.82
Rhinolophus_eloquens	1.558	3.0789623596587	9.48000921219507	1.281
Rhinolophus_hipposideros	1.182	3.0789623596587	9.48000921219507	0.663
Rhinolophus_landeri	1.446	3.0789623596587	9.48000921219507	0.987
Rhinolophus_lepidus	1.281	3.0789623596587	9.48000921219507	0.778
Rhinolophus_luctus	1.749	3.0789623596587	9.48000921219507	1.516
Rhinolophus_macrotis	1.305	3.0789623596587	9.48000921219507	0.799
Rhinolophus_malayanus	1.31	3.0789623596587	9.48000921219507	0.806
Rhinolophus_megaphyllus	1.382	3.0789623596587	9.48000921219507	0.991
Rhinolophus_pearsonii	1.474	3.0789623596587	9.48000921219507	1.143
Rhinolophus_pusillus	1.204	3.0789623596587	9.48000921219507	0.672
Rhinolophus_trifoliatus	1.588	3.0789623596587	9.48000921219507	1.164
Rhinolophus_yunnanensis	1.614	3.0789623596587	9.48000921219507	1.371
Rhinonicteris_aurantia	1.403	3.0789623596587	9.48000921219507	0.934
Rhinophylla_pumilio	1.356	3.0789623596587	9.48000921219507	0.949
Rhinopoma_hardwickii	1.481	3.0789623596587	9.48000921219507	1.111
Rhinopoma_microphyllum	1.605	3.0789623596587	9.48000921219507	1.468
Rhogeessa_parvula	1.111	3.0789623596587	9.48000921219507	0.653
Rhynchonycteris_naso	1.164	3.0789623596587	9.48000921219507	0.58
Saccopteryx_bilineata	1.456	3.0789623596587	9.48000921219507	0.924
Saccopteryx_canescens	1.246	3.0789623596587	9.48000921219507	0.531
Saccopteryx_leptura	1.346	3.0789623596587	9.48000921219507	0.708
Scotomanes_ornatus	1.637	3.0789623596587	9.48000921219507	1.338
Scotophilus_dinganii	1.658	3.0789623596587	9.48000921219507	1.386
Scotophilus_kuhlii	1.575	3.0789623596587	9.48000921219507	1.31
Sphaeronycteris_toxophyllum	1.62	3.0789623596587	9.48000921219507	1.265
Sturnira_lilium	1.521	3.0789623596587	9.48000921219507	1.305
Sturnira_ludovici	1.603	3.0789623596587	9.48000921219507	1.413
Sturnira_tildae	1.562	3.0789623596587	9.48000921219507	1.387
Tadarida_aegyptiaca	1.545	3.0789623596587	9.48000921219507	1.248
Taphozous_australis	1.737	3.0789623596587	9.48000921219507	1.38
Taphozous_hildegardeae	1.725	3.0789623596587	9.48000921219507	1.438
Taphozous_mauritianus	1.811	3.0789623596587	9.48000921219507	1.462
Taphozous_melanopogon	1.715	3.0789623596587	9.48000921219507	1.356
Tonatia_bidens	1.801	3.0789623596587	9.48000921219507	1.468
Lophostoma_schulzi	1.71	3.0789623596587	9.48000921219507	1.328
Trachops_cirrhosus	1.912	3.0789623596587	9.48000921219507	1.567
Triaenops_persicus	1.415	3.0789623596587	9.48000921219507	1.137
Tylonycteris_pachypus	0.987	3.0789623596587	9.48000921219507	0.681
Tylonycteris_robustula	1.127	3.0789623596587	9.48000921219507	0.857
Uroderma_bilobatum	1.614	3.0789623596587	9.48000921219507	1.21
Vampyressa_pusilla	1.413	3.0789623596587	9.48000921219507	0.934
Vampyrum_spectrum	2.19	3.0789623596587	9.48000921219507	2.238
Alouatta_seniculus	2.994	3.0789623596587	9.48000921219507	3.806
Aotus_trivirgatus	2.612	3.0789623596587	9.48000921219507	2.919
Ateles_geoffroyi	3.171	3.0789623596587	9.48000921219507	3.903
Avahi_laniger	2.535	3.0789623596587	9.48000921219507	3.109
Plecturocebus_moloch	2.724	3.0789623596587	9.48000921219507	2.954
Callimico_goeldii	2.531	3.0789623596587	9.48000921219507	2.681
Callithrix_jacchus	2.47	3.0789623596587	9.48000921219507	2.447
Cebuella_pygmaea	2.283	3.0789623596587	9.48000921219507	2.146
Cebus_albifrons	3.087	3.0789623596587	9.48000921219507	3.491
Cercopithecus_ascanius	3.065	3.0789623596587	9.48000921219507	3.531
Cercopithecus_mitis_mitis	3.132	3.0789623596587	9.48000921219507	3.799
Cheirogaleus_major	2.382	3.0789623596587	9.48000921219507	2.653
Cheirogaleus_medius	2.161	3.0789623596587	9.48000921219507	2.248
Daubentonia_madagascariensis	2.953	3.0789623596587	9.48000921219507	3.447
Erythrocebus_patas	3.21	3.0789623596587	9.48000921219507	3.892
Eulemur_fulvus_fulvus	2.771	3.0789623596587	9.48000921219507	3.146
Galago_senegalensis	2.312	3.0789623596587	9.48000921219507	2.27
Galagoides_demidoff	2.13	3.0789623596587	9.48000921219507	1.908
Gorilla_gorilla	3.639	3.0789623596587	9.48000921219507	5.021
Homo_sapiens	3.908	3.0789623596587	9.48000921219507	4.813
Hylobates_lar	3.164	3.0789623596587	9.48000921219507	3.756
Indri_indri	2.99	3.0789623596587	9.48000921219507	3.796
Lagothrix_lagotricha	3.199	3.0789623596587	9.48000921219507	3.716
Lepilemur_mustelinus	2.415	3.0789623596587	9.48000921219507	2.961
Lophocebus_albigena	3.248	3.0789623596587	9.48000921219507	3.898
Loris_tardigradus_tardigradus	2.342	3.0789623596587	9.48000921219507	2.508
Macaca_mulatta	3.14	3.0789623596587	9.48000921219507	3.892
Microcebus_murinus	1.93	3.0789623596587	9.48000921219507	1.732
Miopithecus_talapoin	2.917	3.0789623596587	9.48000921219507	3.079
Nasalis_larvatus	3.192	3.0789623596587	9.48000921219507	4.146
Nycticebus_coucang	2.538	3.0789623596587	9.48000921219507	2.903
Otolemur_crassicaudatus	2.584	3.0789623596587	9.48000921219507	2.929
Pan_troglodytes	3.573	3.0789623596587	9.48000921219507	4.663
Papio_cynocephalus	3.433	3.0789623596587	9.48000921219507	4.398
Perodicticus_potto	2.592	3.0789623596587	9.48000921219507	3.061
Pithecia_monachus	2.872	3.0789623596587	9.48000921219507	3.176
Piliocolobus_badius	3.125	3.0789623596587	9.48000921219507	3.845
Propithecus_verreauxi	2.892	3.0789623596587	9.48000921219507	3.542
Pygathrix_nemaeus	3.129	3.0789623596587	9.48000921219507	3.875
Saguinus_midas	2.521	3.0789623596587	9.48000921219507	2.531
Saguinus_oedipus	2.522	3.0789623596587	9.48000921219507	2.58
Saimiri_sciureus_sciureus	2.721	3.0789623596587	9.48000921219507	2.82
Tarsius_tarsier	2.294	3.0789623596587	9.48000921219507	2.097
Varecia_variegata	3.008	3.0789623596587	9.48000921219507	3.477
