Species_TTOL	AMY	rest_of_brain	rest_of_brain2	BOD
Casinycteris_argynnis	1.238	3.0789623596587	9.48000921219507	1.428
Chironax_melanocephalus	1.17	3.0789623596587	9.48000921219507	1.248
Cynopterus_brachyotis	1.391	3.0789623596587	9.48000921219507	1.53
Cynopterus_horsfieldii	1.462	3.0789623596587	9.48000921219507	1.773
Cynopterus_sphinx	1.435	3.0789623596587	9.48000921219507	1.713
Dobsonia_inermis	1.833	3.0789623596587	9.48000921219507	2.173
Dobsonia_moluccensis	1.988	3.0789623596587	9.48000921219507	2.543
Dobsonia_praedatrix	1.838	3.0789623596587	9.48000921219507	2.25
Eidolon_helvum	1.997	3.0789623596587	9.48000921219507	2.418
Eonycteris_spelaea	1.512	3.0789623596587	9.48000921219507	1.769
Epomophorus_labiatus	1.571	3.0789623596587	9.48000921219507	1.806
Epomops_franqueti	1.667	3.0789623596587	9.48000921219507	2.072
Hypsignathus_monstrosus	1.755	3.0789623596587	9.48000921219507	2.491
Macroglossus_minimus	1.114	3.0789623596587	9.48000921219507	1.164
Megaerops_ecaudatus	1.243	3.0789623596587	9.48000921219507	1.38
Megaloglossus_woermanni	1.193	3.0789623596587	9.48000921219507	1.253
Melonycteris_melanops	1.528	3.0789623596587	9.48000921219507	1.675
Melonycteris_woodfordi	1.365	3.0789623596587	9.48000921219507	1.549
Epomophorus_pusillus	1.365	3.0789623596587	9.48000921219507	1.4
Myonycteris_torquata	1.391	3.0789623596587	9.48000921219507	1.561
Notopteris_macdonaldi	1.595	3.0789623596587	9.48000921219507	1.841
Nyctimene_albiventer	1.342	3.0789623596587	9.48000921219507	1.473
Nyctimene_robinsoni	1.522	3.0789623596587	9.48000921219507	1.673
Nyctimene_vizcaccia	1.428	3.0789623596587	9.48000921219507	1.549
Paranyctimene_raptor	1.25	3.0789623596587	9.48000921219507	1.417
Pteropus_alecto	2.064	3.0789623596587	9.48000921219507	2.775
Pteropus_conspicillatus	2.151	3.0789623596587	9.48000921219507	2.875
Pteropus_hypomelanus	1.999	3.0789623596587	9.48000921219507	2.591
Pteropus_lylei	2.009	3.0789623596587	9.48000921219507	2.497
Pteropus_neohibernicus	2.145	3.0789623596587	9.48000921219507	2.924
Pteropus_poliocephalus	2.06	3.0789623596587	9.48000921219507	2.842
Pteropus_samoensis	1.968	3.0789623596587	9.48000921219507	2.491
Pteropus_scapulatus	1.938	3.0789623596587	9.48000921219507	2.574
Pteropus_temminckii	1.968	3.0789623596587	9.48000921219507	2.398
Pteropus_tonganus	2.035	3.0789623596587	9.48000921219507	2.652
Pteropus_vampyrus	2.145	3.0789623596587	9.48000921219507	3.027
Rousettus_aegyptiacus	1.706	3.0789623596587	9.48000921219507	2.111
Rousettus_amplexicaudatus	1.602	3.0789623596587	9.48000921219507	1.856
Scotonycteris_zenkeri	1.225	3.0789623596587	9.48000921219507	1.328
Sphaerias_blanfordi	1.294	3.0789623596587	9.48000921219507	1.47
Syconycteris_australis	1.149	3.0789623596587	9.48000921219507	1.207
Anoura_caudifer	1.021	3.0789623596587	9.48000921219507	1.025
Anoura_geoffroyi	1.22	3.0789623596587	9.48000921219507	1.204
Ardops_nichollsi	1.27	3.0789623596587	9.48000921219507	1.352
Artibeus_cinereus	1.068	3.0789623596587	9.48000921219507	1.1
Artibeus_concolor	1.283	3.0789623596587	9.48000921219507	1.288
Artibeus_jamaicensis	1.436	3.0789623596587	9.48000921219507	1.613
Artibeus_lituratus	1.542	3.0789623596587	9.48000921219507	1.748
Aselliscus_stoliczkanus	0.705	3.0789623596587	9.48000921219507	0.69
Aselliscus_tricuspidatus	0.742	3.0789623596587	9.48000921219507	0.643
Brachyphylla_cavernarum	1.529	3.0789623596587	9.48000921219507	1.648
Cardioderma_cor	1.382	3.0789623596587	9.48000921219507	1.415
Carollia_perspicillata	1.207	3.0789623596587	9.48000921219507	1.25
Chalinolobus_gouldii	1.041	3.0789623596587	9.48000921219507	1.068
Chalinolobus_morio	0.805	3.0789623596587	9.48000921219507	0.919
Chiroderma_salvini	1.382	3.0789623596587	9.48000921219507	1.417
Chiroderma_trinitatum	1.201	3.0789623596587	9.48000921219507	1.137
Chiroderma_villosum	1.314	3.0789623596587	9.48000921219507	1.394
Choeroniscus_minor	1.057	3.0789623596587	9.48000921219507	0.982
Coleura_afra	1.14	3.0789623596587	9.48000921219507	1.061
Cormura_brevirostris	1.111	3.0789623596587	9.48000921219507	0.914
Craseonycteris_thonglongyai	0.637	3.0789623596587	9.48000921219507	0.408
Desmodus_rotundus	1.483	3.0789623596587	9.48000921219507	1.56
Diphylla_ecaudata	1.334	3.0789623596587	9.48000921219507	1.49
Emballonura_monticola	0.981	3.0789623596587	9.48000921219507	0.724
Emballonura_raffrayana	0.908	3.0789623596587	9.48000921219507	0.771
Eptesicus_brasiliensis	1.004	3.0789623596587	9.48000921219507	0.964
