Species_TTOL	DIE	BOD	GroupChiroptera_mega	GroupChiroptera_micro	GroupEuarchontoglires	GroupEulipotyphla	GroupMarsupials	BOD_GroupChiroptera_mega	BOD_GroupChiroptera_micro	BOD_GroupEuarchontoglires	BOD_GroupEulipotyphla	BOD_GroupMarsupials
Dasyuroides_byrnei	2.115943	2.146128	0	0	0	0	1	0	0	0	0	2.146128
Dasyurus_geoffroii	2.60021	2.69897	0	0	0	0	1	0	0	0	0	2.69897
Dasyurus_hallucatus	2.389343	3.021189	0	0	0	0	1	0	0	0	0	3.021189
Dendrolagus_lumholtzi	3.272538	3.78533	0	0	0	0	1	0	0	0	0	3.78533
Distoechurus_pennatus	1.93902	1.633468	0	0	0	0	1	0	0	0	0	1.633468
Dorcopsis	3.171726	3.462398	0	0	0	0	1	0	0	0	0	3.462398
Echymipera_kalubu	2.423246	2.819544	0	0	0	0	1	0	0	0	0	2.819544
Gymnobelideus_leadbeateri	2.276002	2.041393	0	0	0	0	1	0	0	0	0	2.041393
Hypsiprymnodon_moschatus	2.647285	2.748188	0	0	0	0	1	0	0	0	0	2.748188
Isoodon_macrourus	2.42341	3.033424	0	0	0	0	1	0	0	0	0	3.033424
Isoodon_obesulus_obesulus	2.516271	3.004321	0	0	0	0	1	0	0	0	0	3.004321
Osphranter_antilopinus	3.631241	4.537819	0	0	0	0	1	0	0	0	0	4.537819
Macropus_giganteus	3.658393	4.563481	0	0	0	0	1	0	0	0	0	4.563481
Notamacropus_irma	3.33666	3.819544	0	0	0	0	1	0	0	0	0	3.819544
Notamacropus_parma	3.172311	3.536558	0	0	0	0	1	0	0	0	0	3.536558
Notamacropus_parryi	3.470704	4.170262	0	0	0	0	1	0	0	0	0	4.170262
Osphranter_robustus	3.498999	4.409933	0	0	0	0	1	0	0	0	0	4.409933
Osphranter_rufus	3.656577	4.494155	0	0	0	0	1	0	0	0	0	4.494155
Thylamys_pallidior	1.678518	1.477121	0	0	0	0	1	0	0	0	0	1.477121
Marmosops_impavidus	1.928396	1.845098	0	0	0	0	1	0	0	0	0	1.845098
Monodelphis_brevicaudata	1.85248	1.924279	0	0	0	0	1	0	0	0	0	1.924279
Notoryctes_typhlops	1.854306	1.531479	0	0	0	0	1	0	0	0	0	1.531479
Petauroides_volans	2.57588	3.09691	0	0	0	0	1	0	0	0	0	3.09691
Petaurus_australis	2.746089	2.748188	0	0	0	0	1	0	0	0	0	2.748188
Petaurus_breviceps	2.300378	2.113943	0	0	0	0	1	0	0	0	0	2.113943
Petaurus_norfolcensis	2.442009	2.374748	0	0	0	0	1	0	0	0	0	2.374748
Petrogale_inornata	3.156852	3.628389	0	0	0	0	1	0	0	0	0	3.628389
Petrogale_lateralis	3.061075	3.556303	0	0	0	0	1	0	0	0	0	3.556303
Petrogale_penicillata	3.276002	3.690196	0	0	0	0	1	0	0	0	0	3.690196
Petrogale_purpureicollis	3.182415	3.740363	0	0	0	0	1	0	0	0	0	3.740363
Petropseudes_dahli	2.671636	3.127105	0	0	0	0	1	0	0	0	0	3.127105
Phascolarctos_cinereus	3.189209	3.968483	0	0	0	0	1	0	0	0	0	3.968483
Planigale_ingrami	0.920123	0.826075	0	0	0	0	1	0	0	0	0	0.826075
Planigale_maculata	1.214844	1.041393	0	0	0	0	1	0	0	0	0	1.041393
Potorous_tridactylus_tridactylus	2.932271	3.089905	0	0	0	0	1	0	0	0	0	3.089905
Pseudochirulus_canescens	2.253096	2.447158	0	0	0	0	1	0	0	0	0	2.447158
Pseudochirulus_forbesi	2.426023	2.70757	0	0	0	0	1	0	0	0	0	2.70757
Sarcophilus_harrisii	3.026533	3.732394	0	0	0	0	1	0	0	0	0	3.732394
Sminthopsis_crassicaudata	1.475671	1.146128	0	0	0	0	1	0	0	0	0	1.146128
Sminthopsis_leucopus	1.636488	1.361728	0	0	0	0	1	0	0	0	0	1.361728
Phalanger_gymnotis	3.023664	3.451786	0	0	0	0	1	0	0	0	0	3.451786
Thylacinus_cynocephalus	3.60401	4.342423	0	0	0	0	1	0	0	0	0	4.342423
Thylogale_billardierii	3.262925	3.845098	0	0	0	0	1	0	0	0	0	3.845098
Thylogale_stigmatica	3.218536	3.653213	0	0	0	0	1	0	0	0	0	3.653213
Trichosurus_vulpecula	2.912859	3.30103	0	0	0	0	1	0	0	0	0	3.30103
Vombatus_ursinus	3.621124	4.357935	0	0	0	0	1	0	0	0	0	4.357935
Wallabia_bicolor	3.471878	4.198657	0	0	0	0	1	0	0	0	0	4.198657
Balionycteris_maculata	1.613	1.158	1	0	0	0	0	1.158	0	0	0	0
Casinycteris_argynnis	1.857	1.428	1	0	0	0	0	1.428	0	0	0	0
Chironax_melanocephalus	1.681	1.248	1	0	0	0	0	1.248	0	0	0	0
Cynopterus_brachyotis	1.892	1.53	1	0	0	0	0	1.53	0	0	0	0
Cynopterus_horsfieldii	2.037	1.773	1	0	0	0	0	1.773	0	0	0	0
Cynopterus_sphinx	1.978	1.713	1	0	0	0	0	1.713	0	0	0	0
Dobsonia_inermis	2.303	2.173	1	0	0	0	0	2.173	0	0	0	0
Dobsonia_moluccensis	2.543	2.543	1	0	0	0	0	2.543	0	0	0	0
Dobsonia_praedatrix	2.38	2.25	1	0	0	0	0	2.25	0	0	0	0
Eidolon_helvum	2.564	2.418	1	0	0	0	0	2.418	0	0	0	0
Eonycteris_spelaea	2.023	1.769	1	0	0	0	0	1.769	0	0	0	0
Epomophorus_labiatus	2.134	1.806	1	0	0	0	0	1.806	0	0	0	0
Epomops_franqueti	2.283	2.072	1	0	0	0	0	2.072	0	0	0	0
Hypsignathus_monstrosus	2.477	2.491	1	0	0	0	0	2.491	0	0	0	0
Macroglossus_minimus	1.668	1.164	1	0	0	0	0	1.164	0	0	0	0
Megaerops_ecaudatus	1.818	1.38	1	0	0	0	0	1.38	0	0	0	0
Megaloglossus_woermanni	1.728	1.253	1	0	0	0	0	1.253	0	0	0	0
Melonycteris_melanops	2.023	1.675	1	0	0	0	0	1.675	0	0	0	0
Melonycteris_woodfordi	1.911	1.549	1	0	0	0	0	1.549	0	0	0	0
Epomophorus_pusillus	1.831	1.4	1	0	0	0	0	1.4	0	0	0	0
Myonycteris_torquata	1.997	1.561	1	0	0	0	0	1.561	0	0	0	0
Notopteris_macdonaldi	2.073	1.841	1	0	0	0	0	1.841	0	0	0	0
Nyctimene_albiventer	1.817	1.473	1	0	0	0	0	1.473	0	0	0	0
Nyctimene_robinsoni	1.977	1.673	1	0	0	0	0	1.673	0	0	0	0
Nyctimene_vizcaccia	1.9	1.549	1	0	0	0	0	1.549	0	0	0	0
Paranyctimene_raptor	1.762	1.417	1	0	0	0	0	1.417	0	0	0	0
Pteropus_alecto	2.759	2.775	1	0	0	0	0	2.775	0	0	0	0
Pteropus_conspicillatus	2.836	2.875	1	0	0	0	0	2.875	0	0	0	0
Pteropus_hypomelanus	2.637	2.591	1	0	0	0	0	2.591	0	0	0	0
Pteropus_lylei	2.711	2.497	1	0	0	0	0	2.497	0	0	0	0
Pteropus_neohibernicus	2.857	2.924	1	0	0	0	0	2.924	0	0	0	0
Pteropus_poliocephalus	2.784	2.842	1	0	0	0	0	2.842	0	0	0	0
Pteropus_samoensis	2.671	2.491	1	0	0	0	0	2.491	0	0	0	0
Pteropus_scapulatus	2.64	2.574	1	0	0	0	0	2.574	0	0	0	0
Pteropus_temminckii	2.622	2.398	1	0	0	0	0	2.398	0	0	0	0
Pteropus_tonganus	2.713	2.652	1	0	0	0	0	2.652	0	0	0	0
Pteropus_vampyrus	2.837	3.027	1	0	0	0	0	3.027	0	0	0	0
Rousettus_aegyptiacus	2.284	2.111	1	0	0	0	0	2.111	0	0	0	0
Rousettus_amplexicaudatus	2.093	1.856	1	0	0	0	0	1.856	0	0	0	0
Scotonycteris_zenkeri	1.763	1.328	1	0	0	0	0	1.328	0	0	0	0
Sphaerias_blanfordi	1.833	1.47	1	0	0	0	0	1.47	0	0	0	0
Syconycteris_australis	1.685	1.207	1	0	0	0	0	1.207	0	0	0	0
Anoura_caudifer	1.476	1.025	0	1	0	0	0	0	1.025	0	0	0
Anoura_geoffroyi	1.618	1.204	0	1	0	0	0	0	1.204	0	0	0
Ardops_nichollsi	1.609	1.352	0	1	0	0	0	0	1.352	0	0	0
Artibeus_cinereus	1.513	1.1	0	1	0	0	0	0	1.1	0	0	0
Artibeus_concolor	1.649	1.288	0	1	0	0	0	0	1.288	0	0	0
Artibeus_jamaicensis	1.861	1.613	0	1	0	0	0	0	1.613	0	0	0
Artibeus_lituratus	1.933	1.748	0	1	0	0	0	0	1.748	0	0	0
Aselliscus_stoliczkanus	0.991	0.69	0	1	0	0	0	0	0.69	0	0	0
Aselliscus_tricuspidatus	0.991	0.643	0	1	0	0	0	0	0.643	0	0	0
Brachyphylla_cavernarum	1.984	1.648	0	1	0	0	0	0	1.648	0	0	0
Cardioderma_cor	1.737	1.415	0	1	0	0	0	0	1.415	0	0	0
Carollia_perspicillata	1.577	1.25	0	1	0	0	0	0	1.25	0	0	0
Chalinolobus_gouldii	1.23	1.068	0	1	0	0	0	0	1.068	0	0	0
Chalinolobus_morio	1.137	0.919	0	1	0	0	0	0	0.919	0	0	0
Chiroderma_salvini	1.774	1.417	0	1	0	0	0	0	1.417	0	0	0
Chiroderma_trinitatum	1.584	1.137	0	1	0	0	0	0	1.137	0	0	0
Chiroderma_villosum	1.697	1.394	0	1	0	0	0	0	1.394	0	0	0
Choeroniscus_minor	1.474	0.982	0	1	0	0	0	0	0.982	0	0	0
Coleura_afra	1.31	1.061	0	1	0	0	0	0	1.061	0	0	0
Cormura_brevirostris	1.265	0.914	0	1	0	0	0	0	0.914	0	0	0
Craseonycteris_thonglongyai	0.875	0.408	0	1	0	0	0	0	0.408	0	0	0
Desmodus_rotundus	1.874	1.56	0	1	0	0	0	0	1.56	0	0	0
Diphylla_ecaudata	1.803	1.49	0	1	0	0	0	0	1.49	0	0	0
Emballonura_monticola	1.17	0.724	0	1	0	0	0	0	0.724	0	0	0
Emballonura_raffrayana	1.173	0.771	0	1	0	0	0	0	0.771	0	0	0
Eptesicus_brasiliensis	1.185	0.964	0	1	0	0	0	0	0.964	0	0	0
Eptesicus_fuscus_bahamensis	1.279	1.134	0	1	0	0	0	0	1.134	0	0	0
Eumops_auripendulus	1.668	1.529	0	1	0	0	0	0	1.529	0	0	0
Eumops_glaucinus	1.665	1.562	0	1	0	0	0	0	1.562	0	0	0
Furipterus_horrens	0.964	0.535	0	1	0	0	0	0	0.535	0	0	0
Glischropus_tylopus	0.892	0.69	0	1	0	0	0	0	0.69	0	0	0
Glossophaga_longirostris	1.502	1.053	0	1	0	0	0	0	1.053	0	0	0
Glossophaga_soricina	1.455	0.996	0	1	0	0	0	0	0.996	0	0	0
Harpiocephalus_harpia	1.501	1.13	0	1	0	0	0	0	1.13	0	0	0
Hesperoptenus_blanfordi	1.104	0.863	0	1	0	0	0	0	0.863	0	0	0
Hipposideros_armiger	1.749	1.748	0	1	0	0	0	0	1.748	0	0	0
Hipposideros_ater	1.193	0.839	0	1	0	0	0	0	0.839	0	0	0
Hipposideros_caffer	1.326	1.041	0	1	0	0	0	0	1.041	0	0	0
Macronycteris_commersoni	1.734	1.997	0	1	0	0	0	0	1.997	0	0	0
Hipposideros_diadema	1.728	1.622	0	1	0	0	0	0	1.622	0	0	0
Hipposideros_fulvus	1.25	0.845	0	1	0	0	0	0	0.845	0	0	0
Hipposideros_lankadiva	1.728	1.686	0	1	0	0	0	0	1.686	0	0	0
Hipposideros_larvatus	1.49	1.312	0	1	0	0	0	0	1.312	0	0	0
Hipposideros_ridleyi	1.324	0.982	0	1	0	0	0	0	0.982	0	0	0
Hipposideros_speoris	1.31	1.061	0	1	0	0	0	0	1.061	0	0	0
Hipposideros_turpis	1.629	1.542	0	1	0	0	0	0	1.542	0	0	0
Ia_io	1.774	1.727	0	1	0	0	0	0	1.727	0	0	0
Kerivoula_papillosa	1.33	1.004	0	1	0	0	0	0	1.004	0	0	0
Lasiurus_borealis	1.097	0.892	0	1	0	0	0	0	0.892	0	0	0
Leptonycteris_curasoae	1.643	1.389	0	1	0	0	0	0	1.389	0	0	0
Leptonycteris_nivalis	1.636	1.358	0	1	0	0	0	0	1.358	0	0	0
Lonchophylla_mordax	1.517	1.029	0	1	0	0	0	0	1.029	0	0	0
Hsunycteris_thomasi	1.373	0.839	0	1	0	0	0	0	0.839	0	0	0
Lophostoma_silvicolum	1.743	1.509	0	1	0	0	0	0	1.509	0	0	0
Macroderma_gigas	2.139	2.078	0	1	0	0	0	0	2.078	0	0	0
Macrophyllum_macrophyllum	1.384	0.934	0	1	0	0	0	0	0.934	0	0	0
Megaderma_lyra	1.863	1.587	0	1	0	0	0	0	1.587	0	0	0
Megaderma_spasma	1.679	1.354	0	1	0	0	0	0	1.354	0	0	0
Mesophylla_macconnelli	1.389	0.875	0	1	0	0	0	0	0.875	0	0	0
Micronycteris_brachyotis	1.444	1.167	0	1	0	0	0	0	1.167	0	0	0
Micronycteris_megalotis	1.297	0.813	0	1	0	0	0	0	0.813	0	0	0
Micronycteris_minuta	1.255	0.839	0	1	0	0	0	0	0.839	0	0	0
Micronycteris_schmidtorum	1.324	0.892	0	1	0	0	0	0	0.892	0	0	0
Gardnerycteris_crenulatum	1.415	1.072	0	1	0	0	0	0	1.072	0	0	0
Miniopterus_australis	1.164	0.851	0	1	0	0	0	0	0.851	0	0	0
Miniopterus_inflatus	1.34	1.173	0	1	0	0	0	0	1.173	0	0	0
Miniopterus_magnater	1.338	1.176	0	1	0	0	0	0	1.176	0	0	0
Miniopterus_pusillus	1.199	0.934	0	1	0	0	0	0	0.934	0	0	0
Miniopterus_tristis	1.364	1.193	0	1	0	0	0	0	1.193	0	0	0
Molossus_molossus	1.371	1.137	0	1	0	0	0	0	1.137	0	0	0
Molossus_rufus	1.611	1.526	0	1	0	0	0	0	1.526	0	0	0
Monophyllus_plethodon	1.501	1.176	0	1	0	0	0	0	1.176	0	0	0
Mormoops_megalophylla	1.387	1.196	0	1	0	0	0	0	1.196	0	0	0
Murina_cyclotis	1.262	0.851	0	1	0	0	0	0	0.851	0	0	0
Murina_huttoni	1.276	0.944	0	1	0	0	0	0	0.944	0	0	0
Myotis_adversus	1.299	1.049	0	1	0	0	0	0	1.049	0	0	0
Myotis_albescens	1	0.602	0	1	0	0	0	0	0.602	0	0	0
Myotis_annectans	1.253	0.991	0	1	0	0	0	0	0.991	0	0	0
Myotis_bechsteinii	1.354	0.978	0	1	0	0	0	0	0.978	0	0	0
Myotis_bocagii	1.199	0.845	0	1	0	0	0	0	0.845	0	0	0
Myotis_dasycneme	1.422	1.176	0	1	0	0	0	0	1.176	0	0	0
Myotis_myotis	1.604	1.408	0	1	0	0	0	0	1.408	0	0	0
Myotis_nigricans	1	0.663	0	1	0	0	0	0	0.663	0	0	0
Myotis_siligorensis	0.94	0.539	0	1	0	0	0	0	0.539	0	0	0
Natalus_tumidirostris	1.262	0.839	0	1	0	0	0	0	0.839	0	0	0
Noctilio_albiventris	1.665	1.515	0	1	0	0	0	0	1.515	0	0	0
Noctilio_leporinus	1.947	1.763	0	1	0	0	0	0	1.763	0	0	0
Nyctalus_noctula	1.405	1.431	0	1	0	0	0	0	1.431	0	0	0
Nycteris_arge	1.403	1.025	0	1	0	0	0	0	1.025	0	0	0
Nycteris_grandis	1.726	1.474	0	1	0	0	0	0	1.474	0	0	0
Nycteris_hispida	1.318	0.892	0	1	0	0	0	0	0.892	0	0	0
Nycteris_javanica	1.56	1.265	0	1	0	0	0	0	1.265	0	0	0
Nycteris_macrotis	1.484	1.161	0	1	0	0	0	0	1.161	0	0	0
Nycteris_thebaica	1.391	0.949	0	1	0	0	0	0	0.949	0	0	0
Nyctophilus_geoffroyi	1.1	0.857	0	1	0	0	0	0	0.857	0	0	0
Otomops_martiensseni	1.728	1.618	0	1	0	0	0	0	1.618	0	0	0
Peropteryx_macrotis	1.111	0.748	0	1	0	0	0	0	0.748	0	0	0
Phylloderma_stenops	1.953	1.664	0	1	0	0	0	0	1.664	0	0	0
Phyllostomus_discolor	1.916	1.563	0	1	0	0	0	0	1.563	0	0	0
Phyllostomus_elongatus	1.81	1.652	0	1	0	0	0	0	1.652	0	0	0
Phyllostomus_hastatus	2.045	1.963	0	1	0	0	0	0	1.963	0	0	0
Pipistrellus_javanicus	0.973	0.653	0	1	0	0	0	0	0.653	0	0	0
Pipistrellus_tenuis	0.881	0.591	0	1	0	0	0	0	0.591	0	0	0
Afronycteris_nana	0.898	0.591	0	1	0	0	0	0	0.591	0	0	0
Hypsugo_pulveratus	1.064	0.724	0	1	0	0	0	0	0.724	0	0	0
Perimyotis_subflavus	1.017	0.724	0	1	0	0	0	0	0.724	0	0	0
Pteronotus_gymnonotus	1.36	1.134	0	1	0	0	0	0	1.134	0	0	0
Pteronotus_parnellii_mesoamericanus	1.573	1.305	0	1	0	0	0	0	1.305	0	0	0
Pteronotus_personatus	1.193	0.908	0	1	0	0	0	0	0.908	0	0	0
Rhinolophus_cornutus	1.149	0.82	0	1	0	0	0	0	0.82	0	0	0
Rhinolophus_eloquens	1.476	1.281	0	1	0	0	0	0	1.281	0	0	0
Rhinolophus_hipposideros	1.093	0.663	0	1	0	0	0	0	0.663	0	0	0
Rhinolophus_landeri	1.324	0.987	0	1	0	0	0	0	0.987	0	0	0
Rhinolophus_lepidus	1.149	0.778	0	1	0	0	0	0	0.778	0	0	0
Rhinolophus_luctus	1.667	1.516	0	1	0	0	0	0	1.516	0	0	0
Rhinolophus_macrotis	1.173	0.799	0	1	0	0	0	0	0.799	0	0	0
Rhinolophus_malayanus	1.167	0.806	0	1	0	0	0	0	0.806	0	0	0
Rhinolophus_megaphyllus	1.253	0.991	0	1	0	0	0	0	0.991	0	0	0
Rhinolophus_pearsonii	1.407	1.143	0	1	0	0	0	0	1.143	0	0	0
Rhinolophus_pusillus	1.093	0.672	0	1	0	0	0	0	0.672	0	0	0
Rhinolophus_trifoliatus	1.449	1.164	0	1	0	0	0	0	1.164	0	0	0
Rhinolophus_yunnanensis	1.516	1.371	0	1	0	0	0	0	1.371	0	0	0
Rhinonicteris_aurantia	1.248	0.934	0	1	0	0	0	0	0.934	0	0	0
Rhinophylla_pumilio	1.375	0.949	0	1	0	0	0	0	0.949	0	0	0
Rhinopoma_hardwickii	1.391	1.111	0	1	0	0	0	0	1.111	0	0	0
Rhinopoma_microphyllum	1.507	1.468	0	1	0	0	0	0	1.468	0	0	0
Rhogeessa_parvula	0.968	0.653	0	1	0	0	0	0	0.653	0	0	0
Rhynchonycteris_naso	0.973	0.58	0	1	0	0	0	0	0.58	0	0	0
Saccopteryx_bilineata	1.27	0.924	0	1	0	0	0	0	0.924	0	0	0
Saccopteryx_canescens	1.041	0.531	0	1	0	0	0	0	0.531	0	0	0
Saccopteryx_leptura	1.124	0.708	0	1	0	0	0	0	0.708	0	0	0
Scotomanes_ornatus	1.519	1.338	0	1	0	0	0	0	1.338	0	0	0
Scotophilus_dinganii	1.544	1.386	0	1	0	0	0	0	1.386	0	0	0
Scotophilus_kuhlii	1.458	1.31	0	1	0	0	0	0	1.31	0	0	0
Sphaeronycteris_toxophyllum	1.615	1.265	0	1	0	0	0	0	1.265	0	0	0
Sturnira_lilium	1.657	1.305	0	1	0	0	0	0	1.305	0	0	0
Sturnira_ludovici	1.702	1.413	0	1	0	0	0	0	1.413	0	0	0
Sturnira_tildae	1.703	1.387	0	1	0	0	0	0	1.387	0	0	0
Tadarida_aegyptiaca	1.483	1.248	0	1	0	0	0	0	1.248	0	0	0
Taphozous_australis	1.566	1.38	0	1	0	0	0	0	1.38	0	0	0
Taphozous_hildegardeae	1.579	1.438	0	1	0	0	0	0	1.438	0	0	0
Taphozous_mauritianus	1.626	1.462	0	1	0	0	0	0	1.462	0	0	0
Taphozous_melanopogon	1.583	1.356	0	1	0	0	0	0	1.356	0	0	0
Tonatia_bidens	1.73	1.468	0	1	0	0	0	0	1.468	0	0	0
Lophostoma_schulzi	1.568	1.328	0	1	0	0	0	0	1.328	0	0	0
Trachops_cirrhosus	1.829	1.567	0	1	0	0	0	0	1.567	0	0	0
Triaenops_persicus	1.25	1.137	0	1	0	0	0	0	1.137	0	0	0
Tylonycteris_pachypus	0.826	0.681	0	1	0	0	0	0	0.681	0	0	0
Tylonycteris_robustula	0.964	0.857	0	1	0	0	0	0	0.857	0	0	0
Uroderma_bilobatum	1.635	1.21	0	1	0	0	0	0	1.21	0	0	0
Vampyressa_pusilla	1.431	0.934	0	1	0	0	0	0	0.934	0	0	0
Vampyrum_spectrum	2.294	2.238	0	1	0	0	0	0	2.238	0	0	0
Alouatta_seniculus	3.524	3.806	0	0	1	0	0	0	0	3.806	0	0
Aotus_trivirgatus	3.041	2.919	0	0	1	0	0	0	0	2.919	0	0
Ateles_geoffroyi	3.727	3.903	0	0	1	0	0	0	0	3.903	0	0
Avahi_laniger	2.936	3.109	0	0	1	0	0	0	0	3.109	0	0
Plecturocebus_moloch	3.138	2.954	0	0	1	0	0	0	0	2.954	0	0
Callimico_goeldii	2.869	2.681	0	0	1	0	0	0	0	2.681	0	0
Callithrix_jacchus	2.744	2.447	0	0	1	0	0	0	0	2.447	0	0
Cebuella_pygmaea	2.534	2.146	0	0	1	0	0	0	0	2.146	0	0
Cebus_albifrons	3.602	3.491	0	0	1	0	0	0	0	3.491	0	0
Cercopithecus_ascanius	3.557	3.531	0	0	1	0	0	0	0	3.531	0	0
Cercopithecus_mitis_mitis	3.621	3.799	0	0	1	0	0	0	0	3.799	0	0
Cheirogaleus_major	2.689	2.653	0	0	1	0	0	0	0	2.653	0	0
Cheirogaleus_medius	2.371	2.248	0	0	1	0	0	0	0	2.248	0	0
Daubentonia_madagascariensis	3.549	3.447	0	0	1	0	0	0	0	3.447	0	0
Erythrocebus_patas	3.734	3.892	0	0	1	0	0	0	0	3.892	0	0
Eulemur_fulvus_fulvus	3.234	3.146	0	0	1	0	0	0	0	3.146	0	0
Galago_senegalensis	2.582	2.27	0	0	1	0	0	0	0	2.27	0	0
Galagoides_demidoff	2.391	1.908	0	0	1	0	0	0	0	1.908	0	0
Gorilla_gorilla	4.287	5.021	0	0	1	0	0	0	0	5.021	0	0
Homo_sapiens	4.523	4.813	0	0	1	0	0	0	0	4.813	0	0
Hylobates_lar	3.757	3.756	0	0	1	0	0	0	0	3.756	0	0
Indri_indri	3.464	3.796	0	0	1	0	0	0	0	3.796	0	0
Lagothrix_lagotricha	3.757	3.716	0	0	1	0	0	0	0	3.716	0	0
Lepilemur_mustelinus	2.773	2.961	0	0	1	0	0	0	0	2.961	0	0
