Species_TTOL	DIE	BOD	GroupChiroptera_mega	GroupChiroptera_micro	GroupEuarchontoglires	GroupEulipotyphla	GroupMarsupials	BOD_GroupChiroptera_mega	BOD_GroupChiroptera_micro	BOD_GroupEuarchontoglires	BOD_GroupEulipotyphla	BOD_GroupMarsupials
Anourosorex_squamipes	1.405	1.307	0	0	0	1	0	0	0	0	1.307	0
Atelerix_algirus	2.4	2.867	0	0	0	1	0	0	0	0	2.867	0
Blarina_brevicauda	1.42	1.267	0	0	0	1	0	0	0	0	1.267	0
Chrysochloris_asiatica	1.723	1.69	0	0	0	0	0	0	0	0	0	0
Chrysochloris_stuhlmanni	1.713	1.626	0	0	0	0	0	0	0	0	0	0
Crocidura_attenuata	1.114	0.968	0	0	0	1	0	0	0	0	0.968	0
Crocidura_flavescens	1.4	1.467	0	0	0	1	0	0	0	0	1.467	0
Crocidura_hildegardeae	1.146	0.996	0	0	0	1	0	0	0	0	0.996	0
Crocidura_denti	1.212	1.079	0	0	0	1	0	0	0	0	1.079	0
Crocidura_russula	1.143	1.049	0	0	0	1	0	0	0	0	1.049	0
Crocidura_suaveolens	1.104	1.013	0	0	0	1	0	0	0	0	1.013	0
Cryptotis_parvus	1.233	0.991226075692495	0	0	0	1	0	0	0	0	0.991226075692495	0
Desmana_moschata	2.536	2.646	0	0	0	1	0	0	0	0	2.646	0
Echinops_telfairi	1.605	1.942	0	0	0	0	0	0	0	0	0	0
Echinosorex_gymnura	2.597	2.921	0	0	0	1	0	0	0	0	2.921	0
Erinaceus_europaeus	2.385	2.929	0	0	0	1	0	0	0	0	2.929	0
Euroscaptor_micrura	1.784	1.617	0	0	0	1	0	0	0	0	1.617	0
Galemys_pyrenaicus	2.019	1.778	0	0	0	1	0	0	0	0	1.778	0
Geogale_aurita	0.898	1	0	0	0	0	0	0	0	0	0	0
Hemicentetes_semispinosus	1.679	2.062	0	0	0	0	0	0	0	0	0	0
Hemiechinus_auritus	2.147	2.371	0	0	0	1	0	0	0	0	2.371	0
Hylomys_suillus	1.934	1.756	0	0	0	1	0	0	0	0	1.756	0
Limnogale_mergulus	1.908	1.964	0	0	0	0	0	0	0	0	0	0
Microgale_dobsoni	1.513	1.504	0	0	0	0	0	0	0	0	0	0
Microgale_talazaci	1.657	1.683	0	0	0	0	0	0	0	0	0	0
Micropotamogale_lamottei	1.798	1.808	0	0	0	0	0	0	0	0	0	0
Micropotamogale_ruwenzorii	1.948	1.986	0	0	0	0	0	0	0	0	0	0
Myosorex_sclateri	1.373	1.23	0	0	0	1	0	0	0	0	1.23	0
Neomys_anomalus	1.332	1.037	0	0	0	1	0	0	0	0	1.037	0
Neomys_fodiens	1.382	1.182	0	0	0	1	0	0	0	0	1.182	0
Oryzorictes_hova	1.567	1.645	0	0	0	0	0	0	0	0	0	0
Parascalops_breweri	1.82	1.731	0	0	0	1	0	0	0	0	1.731	0
Potamogale_velox	2.478	2.791	0	0	0	0	0	0	0	0	0	0
Ruwenzorisorex_suncoides	1.418	1.262	0	0	0	1	0	0	0	0	1.262	0
Scalopus_aquaticus	1.962	2.061	0	0	0	1	0	0	0	0	2.061	0
Scutisorex_somereni	1.61	1.792	0	0	0	1	0	0	0	0	1.792	0
Setifer_setosus	1.969	2.373	0	0	0	0	0	0	0	0	0	0
Solenodon_paradoxus	2.435	2.826	0	0	0	1	0	0	0	0	2.826	0
Sorex_alpinus	1.23	1.033	0	0	0	1	0	0	0	0	1.033	0
Sorex_araneus	1.17	0.987	0	0	0	1	0	0	0	0	0.987	0
Sorex_cinereus	1.037	0.633	0	0	0	1	0	0	0	0	0.633	0
Sorex_fumeus	1.199	0.924	0	0	0	1	0	0	0	0	0.924	0
Sorex_hoyi	0.839	0.42	0	0	0	1	0	0	0	0	0.42	0
Sorex_minutus	0.886	0.633	0	0	0	1	0	0	0	0	0.633	0
Suncus_etruscus	0.643	0.762	0	0	0	1	0	0	0	0	0.762	0
Suncus_murinus	1.382	1.529	0	0	0	1	0	0	0	0	1.529	0
Sylvisorex_granti	1.004	0.591	0	0	0	1	0	0	0	0	0.591	0
Suncus_megalura	1.09	0.74	0	0	0	1	0	0	0	0	0.74	0
Talpa_europaea	1.907	1.908	0	0	0	1	0	0	0	0	1.908	0
Tenrec_ecaudatus	2.187	2.935	0	0	0	0	0	0	0	0	0	0
Aepyprymnus_rufescens	3.032135	3.392697	0	0	0	0	1	0	0	0	0	3.392697
Antechinus_flavipes	1.70927	1.568202	0	0	0	0	1	0	0	0	0	1.568202
Antechinus_minimus	1.800029	1.724276	0	0	0	0	1	0	0	0	0	1.724276
Bettongia_gaimardi	3.007705	3.176091	0	0	0	0	1	0	0	0	0	3.176091
Bettongia_penicillata	2.933791	3.079181	0	0	0	0	1	0	0	0	0	3.079181
Burramys_parvus	1.9154	1.770852	0	0	0	0	1	0	0	0	0	1.770852
Cercartetus_nanus	1.583199	1.278754	0	0	0	0	1	0	0	0	0	1.278754
Dactylopsila_trivirgata	2.659346	2.643453	0	0	0	0	1	0	0	0	0	2.643453
Dasycercus_cristicauda	2.120903	2	0	0	0	0	1	0	0	0	0	2
